Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,135.09,135.34,134.41,135.34,1783,0
2016-06-15,15:45:00,134.53,134.62,134.46,134.46,801,0
2016-06-15,15:50:00,134.44,134.84,134.44,134.84,740,0
2016-06-15,15:55:00,134.79,135.04,134.74,134.97,4055,0
2016-06-15,16:25:00,135.44,135.44,135.36,135.36,701,0
2016-06-15,16:30:00,135.35,135.49,135.25,135.25,801,0
2016-06-15,16:35:00,135.25,135.45,135.24,135.35,1502,0
2016-06-15,16:40:00,135.29,135.69,135.29,135.69,1973,0
2016-06-15,16:50:00,135.5,135.59,135.43,135.58,1302,0
2016-06-15,16:55:00,135.58,135.58,135.32,135.42,2304,0
2016-06-15,17:00:00,135.48,135.48,135.17,135.19,6014,0
2016-06-15,17:05:00,135.15,135.34,135.12,135.23,13308,0
2016-06-15,17:10:00,135.22,135.3,135.04,135.22,9147,0
2016-06-15,17:15:00,135.31,135.49,135.18,135.28,6708,0
2016-06-15,17:20:00,135.28,135.39,135.15,135.15,2503,0
2016-06-15,17:25:00,135.14,135.14,135.14,135.14,300,0
2016-06-15,17:30:00,134.97,134.97,134.91,134.91,200,0
2016-06-15,17:35:00,134.92,134.92,134.51,134.51,3905,0
2016-06-15,17:40:00,134.72,134.94,134.56,134.57,7909,0
2016-06-15,17:45:00,134.57,134.77,134.5,134.65,5107,0
2016-06-15,17:50:00,134.53,134.53,134.51,134.51,200,0
2016-06-15,17:55:00,134.63,134.68,134.56,134.56,1402,0
2016-06-15,18:00:00,134.6,134.7,134.6,134.66,1178,0
2016-06-15,18:05:00,134.79,134.81,134.42,134.43,3905,0
2016-06-15,18:10:00,134.49,134.55,134.49,134.52,300,0
2016-06-15,18:15:00,134.64,134.64,134.26,134.26,6908,0
2016-06-15,18:20:00,134.26,134.68,134.26,134.66,7011,0
2016-06-15,18:25:00,134.47,134.57,134.45,134.45,2658,0
2016-06-15,18:30:00,134.39,134.39,134.24,134.26,6508,0
2016-06-15,18:35:00,134.37,134.54,134.33,134.45,3004,0
2016-06-15,18:40:00,134.5,134.51,134.35,134.35,1011,0
2016-06-15,18:45:00,134.65,134.65,134.65,134.65,100,0
2016-06-15,18:50:00,134.52,134.52,134.45,134.49,805,0
2016-06-15,18:55:00,134.49,134.57,134.33,134.49,2803,0
2016-06-15,19:00:00,134.55,134.59,134.29,134.39,8510,0
2016-06-15,19:05:00,134.39,134.58,134.24,134.27,17821,0
2016-06-15,19:10:00,134.26,134.48,134.13,134.13,3539,0
2016-06-15,19:15:00,134.2,134.2,134.14,134.14,400,0
2016-06-15,19:20:00,134.18,134.18,134.02,134.02,1201,0
