Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-02,15:40:00,8.05,8.19,8.05,8.19,300,0
2016-05-02,15:45:00,8.15,8.25,8.11,8.118,2800,0
2016-05-02,15:50:00,8.11,8.2,8.09,8.2,2000,0
2016-05-02,16:40:00,8.1985,8.2,8.1985,8.2,580,0
2016-05-02,16:55:00,8.1915,8.2,8.19,8.2,1880,0
2016-05-02,17:20:00,8.24,8.24,8.2,8.2,500,0
2016-05-02,17:25:00,8.3599,8.3599,8.3599,8.3599,500,0
2016-05-02,17:55:00,8.25,8.25,8.25,8.25,100,0
2016-05-02,18:25:00,8.22,8.37,8.22,8.37,1800,0
2016-05-02,18:30:00,8.35,8.355,8.35,8.35,2150,0
2016-05-02,18:35:00,8.28,8.28,8.28,8.28,2000,0
2016-05-02,18:45:00,8.31,8.32,8.31,8.32,500,0
2016-05-02,19:50:00,8.25,8.3,8.25,8.3,700,0
2016-05-02,19:55:00,8.32,8.32,8.29,8.29,800,0
2016-05-02,20:35:00,8.18,8.18,8.15,8.18,600,0
2016-05-02,20:50:00,8.255,8.255,8.255,8.255,200,0
2016-05-02,20:55:00,8.25,8.25,8.25,8.25,400,0
2016-05-02,21:10:00,8.23,8.24,8.23,8.24,300,0
2016-05-02,21:25:00,8.26,8.26,8.2401,8.2401,600,0
2016-05-02,21:30:00,8.24,8.24,8.24,8.24,200,0
2016-05-02,21:35:00,8.24,8.24,8.2,8.2,1600,0
2016-05-02,21:40:00,8.24,8.25,8.2,8.25,3979,0
2016-05-02,21:45:00,8.25,8.25,8.22,8.24,1300,0
2016-05-02,21:50:00,8.24,8.24,8.24,8.24,100,0
2016-05-02,21:55:00,8.26,8.26,8.26,8.26,800,0
2016-05-02,22:00:00,8.26,8.28,8.26,8.27,1400,0
2016-05-03,15:45:00,8.6,8.6001,8.6,8.6,1100,0
2016-05-03,15:50:00,8.6,8.6,8.5,8.5,2300,0
2016-05-03,15:55:00,8.52,8.54,8.52,8.53,600,0
2016-05-03,16:00:00,8.56,8.56,8.3,8.3,3150,0
2016-05-03,18:15:00,8.44,8.44,8.44,8.44,150,0
2016-05-03,18:50:00,8.43,8.43,8.43,8.43,100,0
2016-05-03,19:10:00,8.43,8.43,8.43,8.43,748,0
2016-05-03,19:15:00,8.43,8.43,8.39,8.39,800,0
2016-05-03,19:50:00,8.36,8.36,8.36,8.36,500,0
2016-05-03,19:55:00,8.31,8.31,8.31,8.31,100,0
2016-05-03,21:00:00,8.3785,8.38,8.3785,8.38,600,0
2016-05-03,21:05:00,8.38,8.38,8.38,8.38,100,0
2016-05-03,21:30:00,8.4199,8.4199,8.4199,8.4199,400,0
2016-05-03,21:55:00,8.43,8.43,8.39,8.39,1100,0
2016-05-03,22:00:00,8.42,8.43,8.4,8.4,1015,0
2016-05-04,16:00:00,8.03,8.03,8.03,8.03,100,0
2016-05-04,16:30:00,8.09,8.09,8.09,8.09,400,0
2016-05-04,16:35:00,8.08,8.09,8.08,8.09,1000,0
2016-05-04,17:35:00,8.1,8.11,8.1,8.11,400,0
2016-05-04,17:50:00,8.2,8.2,8.12,8.12,700,0
2016-05-04,18:00:00,8.1,8.1,8.1,8.1,700,0
2016-05-04,18:05:00,8.11,8.11,8.11,8.11,300,0
2016-05-04,18:10:00,8.13,8.13,8.1,8.1,600,0
2016-05-04,18:20:00,8.1,8.1,8.1,8.1,1000,0
2016-05-04,18:35:00,8.1189,8.1189,8.1189,8.1189,100,0
2016-05-04,18:55:00,8.09,8.11,8.09,8.1,600,0
2016-05-04,19:15:00,8.1,8.1,8.1,8.1,300,0
2016-05-04,19:20:00,8.15,8.15,8.12,8.12,1060,0
2016-05-04,19:30:00,8.1201,8.1201,8.1201,8.1201,350,0
2016-05-04,19:40:00,8.1274,8.1274,8.1274,8.1274,700,0
2016-05-04,19:45:00,8.13,8.13,8.13,8.13,182,0
2016-05-04,19:50:00,8.11,8.12,8.1,8.1,800,0
2016-05-04,20:00:00,8.08,8.08,8.08,8.08,102,0
2016-05-04,20:10:00,8.06,8.06,8.06,8.06,100,0
2016-05-04,21:40:00,8.07,8.07,8.06,8.06,700,0
2016-05-04,21:50:00,8.07,8.07,8.07,8.07,200,0
2016-05-04,21:55:00,8.07,8.08,8.07,8.08,400,0
2016-05-04,22:00:00,8.07,8.07,8.07,8.07,560,0
2016-05-05,15:35:00,8.22,8.22,8.1973,8.1973,1363,0
2016-05-05,16:10:00,7.91,7.91,7.9001,7.9015,1100,0
2016-05-05,16:15:00,7.9,7.9999,7.9,7.9999,600,0
2016-05-05,16:25:00,7.9989,7.9989,7.9989,7.9989,100,0
2016-05-05,16:50:00,7.9899,7.9899,7.9899,7.9899,400,0
2016-05-05,16:55:00,7.91,7.91,7.79,7.86,2950,0
2016-05-05,17:00:00,7.86,7.86,7.86,7.86,636,0
2016-05-05,17:20:00,7.8199,7.8199,7.8199,7.8199,100,0
2016-05-05,18:20:00,7.7616,7.7616,7.74,7.74,2000,0
2016-05-05,18:35:00,7.75,7.75,7.75,7.75,100,0
2016-05-05,19:05:00,7.76,7.76,7.75,7.75,200,0
2016-05-05,19:40:00,7.75,7.75,7.75,7.75,125,0
2016-05-05,20:10:00,7.78,7.78,7.78,7.78,100,0
2016-05-05,20:15:00,7.76,7.76,7.74,7.74,500,0
2016-05-05,20:20:00,7.75,7.75,7.69,7.71,1600,0
2016-05-05,20:25:00,7.74,7.74,7.74,7.74,400,0
2016-05-05,20:30:00,7.74,7.74,7.74,7.74,200,0
2016-05-05,21:40:00,7.725,7.736,7.725,7.7327,1400,0
2016-05-05,21:55:00,7.7372,7.7372,7.71,7.71,800,0
2016-05-05,22:00:00,7.7299,7.74,7.71,7.74,1400,0
2016-05-06,15:35:00,7.6301,7.64,7.63,7.63,1300,0
2016-05-06,15:45:00,7.4874,7.4874,7.4874,7.4874,500,0
2016-05-06,15:50:00,7.4,7.4,7.28,7.29,1600,0
2016-05-06,16:10:00,7.31,7.31,7.31,7.31,100,0
2016-05-06,16:25:00,7.3999,7.3999,7.3999,7.3999,100,0
2016-05-06,16:30:00,7.39,7.4,7.39,7.39,300,0
2016-05-06,16:35:00,7.39,7.39,7.39,7.39,200,0
2016-05-06,17:10:00,7.3544,7.3544,7.3544,7.3544,100,0
2016-05-06,17:25:00,7.4,7.4,7.4,7.4,500,0
2016-05-06,17:35:00,7.41,7.42,7.41,7.42,300,0
2016-05-06,17:40:00,7.42,7.52,7.42,7.51,2600,0
2016-05-06,17:50:00,7.5,7.5,7.5,7.5,100,0
2016-05-06,17:55:00,7.5,7.5,7.5,7.5,200,0
2016-05-06,18:00:00,7.5,7.5,7.5,7.5,200,0
2016-05-06,18:05:00,7.5,7.5,7.5,7.5,100,0
2016-05-06,18:10:00,7.4943,7.4943,7.4471,7.4471,2030,0
2016-05-06,18:25:00,7.45,7.48,7.45,7.48,200,0
2016-05-06,18:40:00,7.45,7.45,7.45,7.45,100,0
2016-05-06,19:35:00,7.5,7.5,7.45,7.46,800,0
2016-05-06,19:45:00,7.47,7.47,7.47,7.47,200,0
2016-05-06,19:55:00,7.42,7.42,7.42,7.42,500,0
2016-05-06,20:00:00,7.47,7.47,7.42,7.42,500,0
2016-05-06,20:10:00,7.5,7.5,7.5,7.5,200,0
2016-05-06,20:15:00,7.44,7.44,7.44,7.44,200,0
2016-05-06,20:35:00,7.5,7.5,7.45,7.45,400,0
2016-05-06,20:50:00,7.43,7.43,7.43,7.43,100,0
2016-05-06,21:05:00,7.5,7.5,7.48,7.48,400,0
2016-05-06,21:15:00,7.45,7.5,7.45,7.5,300,0
2016-05-06,21:30:00,7.5,7.5,7.5,7.5,200,0
2016-05-06,21:45:00,7.4999,7.5,7.44,7.5,580,0
2016-05-06,21:50:00,7.45,7.45,7.45,7.45,100,0
2016-05-06,21:55:00,7.49,7.49,7.49,7.49,300,0
2016-05-06,22:00:00,7.49,7.5,7.45,7.5,900,0
2016-05-09,15:45:00,7.55,7.58,7.55,7.58,2100,0
2016-05-09,15:50:00,7.59,7.59,7.58,7.58,600,0
2016-05-09,15:55:00,7.51,7.51,7.49,7.49,800,0
2016-05-09,16:00:00,7.4999,7.4999,7.4999,7.4999,2000,0
2016-05-09,16:05:00,7.5,7.5,7.5,7.5,100,0
2016-05-09,16:15:00,7.51,7.51,7.51,7.51,1200,0
2016-05-09,16:20:00,7.51,7.51,7.51,7.51,100,0
2016-05-09,16:45:00,7.55,7.55,7.55,7.55,100,0
2016-05-09,17:05:00,7.57,7.58,7.5,7.5,400,0
2016-05-09,17:10:00,7.606,7.606,7.598,7.598,3000,0
2016-05-09,17:20:00,7.55,7.55,7.55,7.55,100,0
2016-05-09,17:25:00,7.55,7.55,7.55,7.55,100,0
2016-05-09,17:30:00,7.55,7.55,7.55,7.55,100,0
2016-05-09,20:45:00,7.51,7.51,7.51,7.51,400,0
2016-05-09,21:55:00,7.57,7.58,7.57,7.58,656,0
2016-05-09,22:00:00,7.52,7.5935,7.51,7.56,3550,0
2016-05-10,15:35:00,7.01,7.17,7,7.05,20252,0
2016-05-10,15:40:00,7.3,7.32,7.22,7.22,4500,0
2016-05-10,15:45:00,7.25,7.28,7.09,7.09,3300,0
2016-05-10,15:50:00,7.05,7.05,7.02,7.05,2200,0
2016-05-10,15:55:00,7.02,7.02,7.02,7.02,2000,0
2016-05-10,16:00:00,7.02,7.06,6.95,6.9501,5180,0
2016-05-10,16:05:00,7,7,6.8,6.85,4400,0
2016-05-10,16:10:00,6.97,7,6.94,6.95,1700,0
2016-05-10,16:15:00,6.94,6.94,6.92,6.93,1650,0
2016-05-10,16:20:00,6.9299,6.98,6.9299,6.98,3861,0
2016-05-10,16:25:00,7,7,6.9558,6.9558,4200,0
