Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,26.88,27.06,26.88,26.96,10822,0
2016-06-16,15:40:00,26.95,26.95,26.72,26.78,6900,0
2016-06-16,15:45:00,26.83,26.86,26.83,26.84,3080,0
2016-06-16,15:50:00,26.82,26.87,26.76,26.78,8900,0
2016-06-16,15:55:00,26.75,26.82,26.71,26.81,4200,0
2016-06-16,16:00:00,26.82,26.82,26.68,26.68,5150,0
2016-06-16,16:05:00,26.68,26.75,26.66,26.7,5400,0
2016-06-16,16:10:00,26.68,26.7,26.62,26.65,7700,0
2016-06-16,16:15:00,26.65,26.75,26.64,26.75,6300,0
2016-06-16,16:20:00,26.76,26.79,26.705,26.705,3110,0
2016-06-16,16:25:00,26.68,26.68,26.6,26.62,2800,0
2016-06-16,16:30:00,26.6,26.62,26.51,26.6,10926,0
2016-06-16,16:35:00,26.6,26.645,26.56,26.61,6990,0
2016-06-16,16:40:00,26.63,26.65,26.52,26.59,9700,0
2016-06-16,16:45:00,26.59,26.6,26.59,26.59,3600,0
2016-06-16,16:50:00,26.59,26.65,26.59,26.65,6100,0
2016-06-16,16:55:00,26.68,26.68,26.57,26.59,4664,0
2016-06-16,17:00:00,26.6,26.6,26.55,26.56,4000,0
2016-06-16,17:05:00,26.56,26.62,26.56,26.57,6744,0
2016-06-16,17:10:00,26.59,26.595,26.56,26.56,5700,0
2016-06-16,17:15:00,26.56,26.68,26.56,26.68,4005,0
2016-06-16,17:20:00,26.68,26.68,26.59,26.6,5400,0
2016-06-16,17:25:00,26.58,26.675,26.58,26.675,3399,0
2016-06-16,17:30:00,26.67,26.74,26.65,26.74,7500,0
2016-06-16,17:35:00,26.74,26.79,26.72,26.72,5580,0
2016-06-16,17:40:00,26.71,26.745,26.67,26.7,4390,0
2016-06-16,17:45:00,26.7,26.7,26.61,26.61,4600,0
2016-06-16,17:50:00,26.59,26.62,26.57,26.62,7200,0
2016-06-16,17:55:00,26.62,26.63,26.61,26.62,2400,0
2016-06-16,18:00:00,26.625,26.63,26.55,26.55,4000,0
2016-06-16,18:05:00,26.55,26.635,26.55,26.63,4360,0
2016-06-16,18:10:00,26.62,26.62,26.58,26.61,4443,0
2016-06-16,18:15:00,26.615,26.62,26.56,26.59,5900,0
2016-06-16,18:20:00,26.595,26.65,26.59,26.65,4100,0
2016-06-16,18:25:00,26.66,26.69,26.63,26.68,5801,0
2016-06-16,18:30:00,26.71,26.73,26.67,26.72,4800,0
2016-06-16,18:35:00,26.73,26.74,26.69,26.72,5100,0
2016-06-16,18:40:00,26.71,26.7201,26.68,26.72,5726,0
2016-06-16,18:45:00,26.72,26.76,26.69,26.76,4300,0
2016-06-16,18:50:00,26.765,26.765,26.69,26.69,5400,0
2016-06-16,18:55:00,26.68,26.68,26.58,26.58,5800,0
2016-06-16,19:00:00,26.58,26.615,26.57,26.6,5329,0
2016-06-16,19:05:00,26.6,26.66,26.6,26.63,8952,0
2016-06-16,19:10:00,26.62,26.62,26.56,26.59,4133,0
2016-06-16,19:15:00,26.59,26.6,26.55,26.58,5800,0
2016-06-16,19:20:00,26.58,26.6,26.55,26.59,5654,0
2016-06-16,19:25:00,26.59,26.59,26.54,26.56,6119,0
2016-06-16,19:30:00,26.57,26.575,26.52,26.52,4900,0
2016-06-16,19:35:00,26.54,26.56,26.52,26.5475,7500,0
2016-06-16,19:40:00,26.545,26.575,26.54,26.56,3338,0
2016-06-16,19:45:00,26.56,26.56,26.54,26.54,5411,0
2016-06-16,19:50:00,26.545,26.555,26.5,26.51,8007,0
2016-06-16,19:55:00,26.51,26.51,26.49,26.5,6390,0
2016-06-16,20:00:00,26.505,26.515,26.47,26.47,5259,0
2016-06-16,20:05:00,26.48,26.525,26.48,26.52,6483,0
2016-06-16,20:10:00,26.525,26.5669,26.525,26.5669,8666,0
2016-06-16,20:15:00,26.56,26.64,26.56,26.63,4866,0
2016-06-16,20:20:00,26.63,26.67,26.63,26.67,5064,0
2016-06-16,20:25:00,26.675,26.68,26.63,26.68,5500,0
2016-06-16,20:30:00,26.68,26.68,26.6,26.64,5788,0
2016-06-16,20:35:00,26.66,26.68,26.65,26.66,6517,0
2016-06-16,20:40:00,26.66,26.68,26.65,26.65,6836,0
2016-06-16,20:45:00,26.65,26.67,26.64,26.64,3200,0
2016-06-16,20:50:00,26.65,26.67,26.65,26.67,6500,0
2016-06-16,20:55:00,26.67,26.7,26.67,26.7,6653,0
2016-06-16,21:00:00,26.705,26.705,26.65,26.66,6100,0
2016-06-16,21:05:00,26.67,26.69,26.62,26.65,10925,0
2016-06-16,21:10:00,26.65,26.67,26.62,26.655,8259,0
