Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,1.01,1.02,1.01,1.02,42718,0
2016-06-16,15:40:00,1.02,1.02,1.0101,1.015,14670,0
2016-06-16,15:45:00,1.015,1.02,1.01,1.015,74651,0
2016-06-16,15:50:00,1.01,1.0199,1,1,93027,0
2016-06-16,15:55:00,1.0075,1.01,1,1.01,11821,0
2016-06-16,16:00:00,1.01,1.01,1,1.005,15476,0
2016-06-16,16:05:00,1.01,1.01,1,1,42034,0
2016-06-16,16:10:00,1,1.0072,1,1.005,18380,0
2016-06-16,16:15:00,1.005,1.01,1,1.005,21439,0
2016-06-16,16:20:00,1.005,1.01,1,1.005,69771,0
2016-06-16,16:25:00,1.005,1.01,1,1,11650,0
2016-06-16,16:30:00,1.005,1.01,1,1.005,10757,0
2016-06-16,16:35:00,1.005,1.0095,1,1.005,11138,0
2016-06-16,16:40:00,1.005,1.009,1,1,10550,0
2016-06-16,16:45:00,1,1.01,1,1,19900,0
2016-06-16,16:50:00,1.005,1.0063,1,1,7570,0
2016-06-16,16:55:00,1.005,1.005,1,1,8200,0
2016-06-16,17:00:00,1,1.005,1,1,5000,0
2016-06-16,17:05:00,1,1.01,1,1.005,18675,0
2016-06-16,17:10:00,1,1.0065,1,1,11454,0
2016-06-16,17:15:00,1,1.0079,1,1,13696,0
2016-06-16,17:20:00,1,1.01,1,1,9289,0
2016-06-16,17:25:00,1.005,1.01,1,1,158700,0
2016-06-16,17:30:00,1.005,1.01,1,1.005,29083,0
2016-06-16,17:35:00,1,1.01,1,1.005,122980,0
2016-06-16,17:40:00,1,1.005,1,1,3700,0
2016-06-16,17:45:00,1,1.0099,1,1,12001,0
2016-06-16,17:50:00,1,1.005,1,1,6300,0
2016-06-16,17:55:00,1,1.0099,1,1,6100,0
2016-06-16,18:00:00,1.005,1.005,1,1,10100,0
2016-06-16,18:05:00,1.01,1.01,1,1,12198,0
2016-06-16,18:10:00,1,1.01,1,1,79760,0
2016-06-16,18:15:00,1,1.01,1,1.005,6500,0
2016-06-16,18:20:00,1.005,1.01,1,1.005,6460,0
2016-06-16,18:25:00,1.005,1.0095,0.998,0.9982,171852,0
2016-06-16,18:30:00,0.9982,0.9986,0.998,0.9986,18030,0
2016-06-16,18:35:00,0.9986,0.9986,0.9984,0.9984,19150,0
2016-06-16,18:40:00,0.9984,0.999,0.998,0.9989,37024,0
2016-06-16,18:45:00,0.999,1.005,0.999,1.005,6872,0
2016-06-16,18:50:00,1.005,1.0098,1,1.005,6300,0
2016-06-16,18:55:00,1,1.01,1,1,10290,0
2016-06-16,19:00:00,1,1.01,1,1.005,4840,0
2016-06-16,19:05:00,1.005,1.01,1,1.005,3800,0
2016-06-16,19:10:00,1,1.009,1,1.005,4900,0
2016-06-16,19:15:00,1,1.01,1,1,6300,0
2016-06-16,19:20:00,1,1.01,1,1.005,4700,0
2016-06-16,19:25:00,1,1.005,1,1.005,4600,0
2016-06-16,19:30:00,1.005,1.01,1,1.005,5500,0
2016-06-16,19:35:00,1,1.01,1,1.005,26600,0
2016-06-16,19:40:00,1,1.01,1,1.01,6900,0
2016-06-16,19:45:00,1.005,1.01,1,1.01,2500,0
2016-06-16,19:50:00,1,1.01,1,1,28100,0
2016-06-16,19:55:00,1,1.01,1,1,4900,0
2016-06-16,20:00:00,1.005,1.01,1,1,20415,0
2016-06-16,20:05:00,1.005,1.0072,1,1.005,8003,0
2016-06-16,20:10:00,1,1.01,1,1.01,9132,0
2016-06-16,20:15:00,1,1.01,1,1,5500,0
2016-06-16,20:20:00,1,1.01,1,1,37837,0
2016-06-16,20:25:00,1.01,1.01,1,1,37589,0
2016-06-16,20:30:00,1.005,1.01,1,1,4501,0
2016-06-16,20:35:00,1,1.01,1,1.01,3000,0
2016-06-16,20:40:00,1,1.005,1,1.005,8890,0
2016-06-16,20:45:00,1.005,1.01,1,1,13890,0
2016-06-16,20:50:00,1.005,1.01,1,1.01,250252,0
2016-06-16,20:55:00,1.01,1.01,1.005,1.005,8944,0
2016-06-16,21:00:00,1.005,1.01,1,1.005,28456,0
2016-06-16,21:05:00,1.01,1.01,1.005,1.005,11920,0
2016-06-16,21:10:00,1.005,1.01,1.005,1.005,10344,0
2016-06-16,21:15:00,1.0063,1.01,1.005,1.005,9300,0
2016-06-16,21:20:00,1.005,1.01,1.005,1.01,43612,0
2016-06-16,21:25:00,1.008,1.01,1,1.005,7990,0
2016-06-16,21:30:00,1.01,1.01,1.001,1.01,11450,0
2016-06-16,21:35:00,1.01,1.01,1.005,1.005,9359,0
2016-06-16,21:40:00,1.005,1.01,1.005,1.005,11578,0
2016-06-16,21:45:00,1.01,1.01,1.005,1.01,19830,0
2016-06-16,21:50:00,1.01,1.01,1,1.01,29960,0
2016-06-16,21:55:00,1.01,1.01,1,1.005,69893,0
2016-06-16,22:00:00,1.005,1.02,1,1.015,329542,0
2016-06-17,15:35:00,1.01,1.01,1,1.005,636049,0
2016-06-17,15:40:00,1.01,1.01,1,1.005,2142,0
2016-06-17,15:45:00,1.01,1.02,1,1.01,14382,0
2016-06-17,15:50:00,1.01,1.02,1.01,1.02,117581,0
2016-06-17,15:55:00,1.02,1.02,1.01,1.015,232672,0
2016-06-17,16:00:00,1.016,1.02,1.01,1.015,5067,0
2016-06-17,16:05:00,1.015,1.02,1.0101,1.02,9156,0
2016-06-17,16:10:00,1.02,1.02,1.01,1.02,7643,0
2016-06-17,16:15:00,1.02,1.02,1.01,1.01,32739,0
2016-06-17,16:20:00,1.015,1.02,1.01,1.015,19392,0
2016-06-17,16:25:00,1.015,1.02,1.01,1.02,7600,0
2016-06-17,16:30:00,1.0199,1.02,1.0101,1.0125,8566,0
2016-06-17,16:35:00,1.015,1.02,1.01,1.01,5482,0
2016-06-17,16:40:00,1.015,1.02,1.01,1.02,16045,0
2016-06-17,16:45:00,1.019,1.02,1.01,1.01,10546,0
2016-06-17,16:50:00,1.02,1.02,1.0101,1.02,9800,0
2016-06-17,16:55:00,1.02,1.02,1.01,1.015,3720,0
2016-06-17,17:00:00,1.02,1.02,1.01,1.02,7300,0
2016-06-17,17:05:00,1.02,1.02,1.0125,1.02,4678,0
2016-06-17,17:10:00,1.02,1.02,1.01,1.02,15932,0
2016-06-17,17:15:00,1.015,1.02,1.01,1.02,8935,0
2016-06-17,17:20:00,1.0125,1.02,1.0125,1.02,4000,0
2016-06-17,17:25:00,1.02,1.02,1.01,1.02,9106,0
2016-06-17,17:30:00,1.015,1.02,1.0125,1.02,7700,0
2016-06-17,17:35:00,1.02,1.02,1.01,1.015,16074,0
2016-06-17,17:40:00,1.02,1.02,1.015,1.02,3330,0
2016-06-17,17:45:00,1.02,1.02,1.01,1.02,3730,0
2016-06-17,17:50:00,1.015,1.02,1.0103,1.015,7700,0
2016-06-17,17:55:00,1.02,1.02,1.0132,1.0132,4780,0
2016-06-17,18:00:00,1.015,1.02,1.015,1.02,5100,0
2016-06-17,18:05:00,1.02,1.02,1.015,1.015,4700,0
2016-06-17,18:10:00,1.015,1.025,1.01,1.02,45886,0
2016-06-17,18:15:00,1.025,1.03,1.02,1.025,176950,0
2016-06-17,18:20:00,1.025,1.03,1.02,1.03,16200,0
2016-06-17,18:25:00,1.02,1.03,1.02,1.025,12950,0
2016-06-17,18:30:00,1.0239,1.03,1.02,1.025,6280,0
2016-06-17,18:35:00,1.03,1.03,1.02,1.03,2800,0
2016-06-17,18:40:00,1.03,1.03,1.02,1.03,211159,0
2016-06-17,18:45:00,1.029,1.03,1.0201,1.03,20107,0
2016-06-17,18:50:00,1.03,1.03,1.02,1.025,3300,0
2016-06-17,18:55:00,1.025,1.03,1.0215,1.025,7300,0
2016-06-17,19:00:00,1.025,1.03,1.02,1.02,9171,0
2016-06-17,19:05:00,1.03,1.03,1.02,1.03,4423,0
2016-06-17,19:10:00,1.025,1.03,1.02,1.0235,6519,0
2016-06-17,19:15:00,1.03,1.03,1.0241,1.03,3200,0
2016-06-17,19:20:00,1.03,1.03,1.02,1.0299,7950,0
2016-06-17,19:25:00,1.025,1.03,1.02,1.025,5800,0
2016-06-17,19:30:00,1.02,1.03,1.02,1.025,7540,0
2016-06-17,19:35:00,1.02,1.025,1.01,1.015,69358,0
2016-06-17,19:40:00,1.015,1.02,1.015,1.015,29509,0
2016-06-17,19:45:00,1.015,1.02,1.015,1.015,8857,0
2016-06-17,19:50:00,1.015,1.02,1.01,1.0186,7100,0
2016-06-17,19:55:00,1.01,1.02,1.01,1.015,9716,0
2016-06-17,20:00:00,1.014,1.02,1.01,1.01,8250,0
2016-06-17,20:05:00,1.01,1.02,1.01,1.02,20214,0
2016-06-17,20:10:00,1.015,1.02,1.01,1.02,5200,0
2016-06-17,20:15:00,1.02,1.02,1.01,1.02,37752,0
2016-06-17,20:20:00,1.02,1.02,1.01,1.02,35200,0
2016-06-17,20:25:00,1.015,1.02,1.0101,1.02,9095,0
2016-06-17,20:30:00,1.02,1.02,1.015,1.015,6500,0
2016-06-17,20:35:00,1.02,1.02,1.01,1.015,47500,0
2016-06-17,20:40:00,1.015,1.02,1.015,1.02,13948,0
2016-06-17,20:45:00,1.015,1.02,1.015,1.015,4619,0
2016-06-17,20:50:00,1.02,1.02,1.01,1.01,12257,0
2016-06-17,20:55:00,1.02,1.02,1.01,1.015,5353,0
2016-06-17,21:00:00,1.02,1.02,1.01,1.02,44586,0
2016-06-17,21:05:00,1.019,1.02,1.01,1.02,6500,0
2016-06-17,21:10:00,1.02,1.02,1.01,1.015,76650,0
2016-06-17,21:15:00,1.015,1.02,1.01,1.015,11840,0
2016-06-17,21:20:00,1.02,1.02,1.01,1.02,14867,0
2016-06-17,21:25:00,1.015,1.02,1.01,1.01,11447,0
2016-06-17,21:30:00,1.015,1.02,1.01,1.015,11400,0
2016-06-17,21:35:00,1.015,1.02,1.01,1.02,73183,0
2016-06-17,21:40:00,1.02,1.02,1.01,1.015,62393,0
2016-06-17,21:45:00,1.015,1.02,1.01,1.02,26250,0
2016-06-17,21:50:00,1.015,1.02,1.01,1.0101,45200,0
2016-06-17,21:55:00,1.015,1.02,1.01,1.01,70128,0
2016-06-17,22:00:00,1.015,1.02,1.01,1.01,1952682,0
2016-06-20,15:35:00,1,1.03,1,1.01,73353,0
2016-06-20,15:40:00,1.01,1.02,1,1,27286,0
2016-06-20,15:45:00,1.005,1.01,1,1,24174,0
2016-06-20,15:50:00,1,1.01,0.9996,1.01,100743,0
2016-06-20,15:55:00,1.01,1.01,1,1.0065,4108,0
2016-06-20,16:00:00,1,1.01,1,1.0095,10683,0
2016-06-20,16:05:00,1.005,1.01,1,1.01,52734,0
2016-06-20,16:10:00,1.01,1.02,1.01,1.02,15353,0
2016-06-20,16:15:00,1.02,1.03,1.015,1.03,70754,0
2016-06-20,16:20:00,1.03,1.03,1.02,1.03,6000,0
2016-06-20,16:25:00,1.03,1.03,1.02,1.025,9860,0
2016-06-20,16:30:00,1.02,1.03,1.02,1.025,11836,0
2016-06-20,16:35:00,1.025,1.03,1.02,1.02,30752,0
2016-06-20,16:40:00,1.025,1.03,1.02,1.03,20724,0
2016-06-20,16:45:00,1.02,1.03,1.02,1.025,5100,0
2016-06-20,16:50:00,1.02,1.03,1.02,1.02,9819,0
2016-06-20,16:55:00,1.02,1.03,1.02,1.02,16311,0
2016-06-20,17:00:00,1.025,1.03,1.02,1.025,2700,0
2016-06-20,17:05:00,1.02,1.03,1.02,1.025,24950,0
2016-06-20,17:10:00,1.025,1.03,1.02,1.02,15645,0
2016-06-20,17:15:00,1.025,1.03,1.02,1.02,4900,0
2016-06-20,17:20:00,1.025,1.03,1.02,1.02,4600,0
2016-06-20,17:25:00,1.025,1.03,1.02,1.03,62127,0
2016-06-20,17:30:00,1.025,1.03,1.02,1.025,12450,0
2016-06-20,17:35:00,1.02,1.03,1.02,1.02,4200,0
2016-06-20,17:40:00,1.025,1.03,1.02,1.02,9300,0
2016-06-20,17:45:00,1.02,1.03,1.02,1.02,11512,0
2016-06-20,17:50:00,1.025,1.03,1.02,1.02,8320,0
2016-06-20,17:55:00,1.025,1.03,1.01,1.015,66823,0
2016-06-20,18:00:00,1.01,1.02,1.01,1.015,7516,0
2016-06-20,18:05:00,1.01,1.02,1.01,1.015,4860,0
2016-06-20,18:10:00,1.01,1.02,1.01,1.01,14086,0
2016-06-20,18:15:00,1.02,1.02,1.01,1.02,9594,0
2016-06-20,18:20:00,1.015,1.02,1.01,1.02,8250,0
2016-06-20,18:25:00,1.01,1.02,1.01,1.01,6200,0
2016-06-20,18:30:00,1.02,1.02,1.01,1.01,28600,0
2016-06-20,18:35:00,1.012,1.02,1.01,1.015,6800,0
2016-06-20,18:40:00,1.02,1.02,1.01,1.02,3300,0
2016-06-20,18:45:00,1.01,1.02,1.01,1.015,13322,0
2016-06-20,18:50:00,1.01,1.02,1.01,1.015,11500,0
2016-06-20,18:55:00,1.015,1.02,1.01,1.01,41620,0
2016-06-20,19:00:00,1.02,1.02,1.01,1.015,3200,0
2016-06-20,19:05:00,1.015,1.02,1.01,1.01,4800,0
2016-06-20,19:10:00,1.02,1.02,1.01,1.02,7900,0
2016-06-20,19:15:00,1.01,1.02,1.01,1.02,3605,0
2016-06-20,19:20:00,1.01,1.02,1.01,1.015,22173,0
2016-06-20,19:25:00,1.015,1.02,1.01,1.01,10318,0
2016-06-20,19:30:00,1.015,1.02,1.01,1.01,2900,0
2016-06-20,19:35:00,1.015,1.02,1.01,1.015,23600,0
2016-06-20,19:40:00,1.015,1.02,1.01,1.015,22203,0
2016-06-20,19:45:00,1.02,1.03,1.01,1.03,79818,0
2016-06-20,19:50:00,1.02,1.03,1.02,1.02,11363,0
2016-06-20,19:55:00,1.025,1.03,1.02,1.025,15800,0
2016-06-20,20:00:00,1.03,1.03,1.02,1.025,23500,0
2016-06-20,20:05:00,1.03,1.03,1.02,1.02,16727,0
2016-06-20,20:10:00,1.025,1.03,1.0201,1.025,15465,0
2016-06-20,20:15:00,1.025,1.03,1.02,1.02,14003,0
2016-06-20,20:20:00,1.025,1.03,1.02,1.03,14076,0
2016-06-20,20:25:00,1.03,1.03,1.02,1.025,37763,0
2016-06-20,20:30:00,1.03,1.03,1.02,1.03,18491,0
2016-06-20,20:35:00,1.03,1.03,1.025,1.03,9463,0
2016-06-20,20:40:00,1.025,1.03,1.02,1.025,26147,0
2016-06-20,20:45:00,1.03,1.03,1.02,1.03,3130,0
2016-06-20,20:50:00,1.02,1.03,1.02,1.03,21034,0
2016-06-20,20:55:00,1.03,1.03,1.02,1.03,28389,0
2016-06-20,21:00:00,1.03,1.04,1.02,1.0322,164280,0
2016-06-20,21:05:00,1.03,1.04,1.03,1.035,66631,0
2016-06-20,21:10:00,1.03,1.04,1.03,1.03,44055,0
2016-06-20,21:15:00,1.03,1.04,1.03,1.04,79650,0
2016-06-20,21:20:00,1.036,1.04,1.03,1.03,59487,0
2016-06-20,21:25:00,1.03,1.04,1.03,1.035,14232,0
2016-06-20,21:30:00,1.04,1.04,1.03,1.04,17700,0
2016-06-20,21:35:00,1.035,1.04,1.03,1.03,11075,0
2016-06-20,21:40:00,1.04,1.04,1.03,1.03,6100,0
2016-06-20,21:45:00,1.03,1.04,1.03,1.04,43992,0
2016-06-20,21:50:00,1.035,1.04,1.03,1.03,30523,0
2016-06-20,21:55:00,1.035,1.04,1.03,1.03,43328,0
2016-06-20,22:00:00,1.04,1.04,1.03,1.04,248243,0
2016-06-21,15:35:00,1.02,1.03,1.02,1.03,38434,0
2016-06-21,15:40:00,1.03,1.03,1.02,1.03,13986,0
2016-06-21,15:45:00,1.03,1.03,1.02,1.03,17550,0
2016-06-21,15:50:00,1.03,1.04,1.025,1.04,27415,0
2016-06-21,15:55:00,1.04,1.04,1.03,1.0319,5300,0
2016-06-21,16:00:00,1.03,1.04,1.03,1.04,34399,0
2016-06-21,16:05:00,1.035,1.04,1.03,1.04,51541,0
2016-06-21,16:10:00,1.035,1.04,1.03,1.035,9543,0
2016-06-21,16:15:00,1.03,1.04,1.03,1.03,44024,0
2016-06-21,16:20:00,1.035,1.04,1.03,1.03,13665,0
2016-06-21,16:25:00,1.0399,1.04,1.03,1.0338,19101,0
2016-06-21,16:30:00,1.04,1.04,1.03,1.03,11150,0
2016-06-21,16:35:00,1.03,1.04,1.03,1.035,11060,0
2016-06-21,16:40:00,1.035,1.04,1.03,1.0385,9234,0
2016-06-21,16:45:00,1.04,1.04,1.02,1.04,60127,0
2016-06-21,16:50:00,1.04,1.04,1.03,1.04,2509,0
2016-06-21,16:55:00,1.04,1.04,1.03,1.04,4100,0
2016-06-21,17:00:00,1.03,1.04,1.03,1.035,3098,0
2016-06-21,17:05:00,1.04,1.04,1.03,1.04,20224,0
