Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,32.4,32.465,32.02,32.07,7261,0
2016-06-16,15:40:00,32.04,32.14,31.98,32.1,5500,0
2016-06-16,15:45:00,32.11,32.11,32.03,32.03,9558,0
2016-06-16,15:50:00,32.05,32.16,32.02,32.16,4626,0
2016-06-16,15:55:00,32.155,32.25,32.15,32.2,7000,0
2016-06-16,16:00:00,32.2,32.2,32.11,32.11,4000,0
2016-06-16,16:05:00,32.11,32.14,32.1,32.14,5350,0
2016-06-16,16:10:00,32.16,32.19,32.16,32.19,4456,0
2016-06-16,16:15:00,32.195,32.24,32.195,32.21,6995,0
2016-06-16,16:20:00,32.2,32.2,32.17,32.19,5020,0
2016-06-16,16:25:00,32.18,32.18,32.14,32.14,15744,0
2016-06-16,16:30:00,32.12,32.15,32.12,32.14,4892,0
2016-06-16,16:35:00,32.15,32.16,32.13,32.14,3712,0
2016-06-16,16:40:00,32.145,32.17,32.08,32.0999,3806,0
2016-06-16,16:45:00,32.09,32.09,32.07,32.07,900,0
2016-06-16,16:50:00,32.05,32.08,32.03,32.08,32152,0
2016-06-16,16:55:00,32.08,32.08,32.07,32.07,6189,0
2016-06-16,17:00:00,32.07,32.11,32.07,32.105,5909,0
2016-06-16,17:05:00,32.11,32.14,32.11,32.14,4738,0
2016-06-16,17:10:00,32.14,32.14,32.13,32.13,500,0
2016-06-16,17:15:00,32.13,32.14,32.13,32.13,2450,0
2016-06-16,17:20:00,32.13,32.13,32.12,32.12,800,0
2016-06-16,17:25:00,32.12,32.15,32.12,32.15,2049,0
2016-06-16,17:30:00,32.15,32.23,32.15,32.23,2200,0
2016-06-16,17:35:00,32.23,32.25,32.22,32.22,2369,0
2016-06-16,17:40:00,32.21,32.215,32.17,32.17,4000,0
2016-06-16,17:45:00,32.2,32.21,32.18,32.2,1110,0
2016-06-16,17:50:00,32.18,32.2,32.16,32.18,3355,0
2016-06-16,17:55:00,32.19,32.21,32.18,32.2,6000,0
2016-06-16,18:00:00,32.19,32.23,32.19,32.2141,12474,0
2016-06-16,18:05:00,32.2125,32.25,32.21,32.25,3331,0
2016-06-16,18:10:00,32.25,32.26,32.235,32.24,1600,0
2016-06-16,18:15:00,32.235,32.27,32.235,32.26,2873,0
2016-06-16,18:20:00,32.27,32.31,32.27,32.3,2098,0
2016-06-16,18:25:00,32.32,32.36,32.305,32.36,3300,0
2016-06-16,18:30:00,32.34,32.38,32.34,32.34,2762,0
2016-06-16,18:35:00,32.32,32.32,32.32,32.32,700,0
2016-06-16,18:40:00,32.32,32.37,32.315,32.37,3100,0
2016-06-16,18:45:00,32.37,32.3923,32.36,32.39,2563,0
2016-06-16,18:50:00,32.38,32.38,32.37,32.38,1886,0
2016-06-16,18:55:00,32.39,32.39,32.345,32.345,2460,0
2016-06-16,19:00:00,32.345,32.36,32.345,32.36,1000,0
2016-06-16,19:05:00,32.36,32.43,32.36,32.43,1800,0
2016-06-16,19:10:00,32.45,32.45,32.425,32.44,2360,0
2016-06-16,19:15:00,32.44,32.46,32.39,32.39,3289,0
2016-06-16,19:20:00,32.39,32.41,32.38,32.41,5892,0
2016-06-16,19:25:00,32.41,32.43,32.41,32.43,1170,0
2016-06-16,19:30:00,32.437,32.45,32.4,32.4,3128,0
2016-06-16,19:35:00,32.391,32.391,32.35,32.36,1800,0
2016-06-16,19:40:00,32.37,32.37,32.37,32.37,400,0
2016-06-16,19:45:00,32.38,32.38,32.35,32.36,1430,0
2016-06-16,19:50:00,32.35,32.36,32.35,32.36,900,0
2016-06-16,19:55:00,32.365,32.38,32.365,32.38,800,0
2016-06-16,20:00:00,32.38,32.38,32.38,32.38,500,0
2016-06-16,20:05:00,32.38,32.39,32.37,32.38,1550,0
2016-06-16,20:10:00,32.37,32.39,32.35,32.38,4284,0
2016-06-16,20:15:00,32.39,32.45,32.38,32.45,3126,0
2016-06-16,20:20:00,32.43,32.43,32.4,32.42,2729,0
2016-06-16,20:25:00,32.41,32.41,32.37,32.39,5090,0
2016-06-16,20:30:00,32.38,32.38,32.34,32.34,1400,0
2016-06-16,20:35:00,32.35,32.36,32.3404,32.35,5317,0
2016-06-16,20:40:00,32.35,32.37,32.35,32.36,1330,0
2016-06-16,20:45:00,32.36,32.38,32.35,32.37,5620,0
2016-06-16,20:50:00,32.36,32.38,32.35,32.38,3117,0
2016-06-16,20:55:00,32.39,32.4,32.375,32.39,5960,0
2016-06-16,21:00:00,32.38,32.38,32.345,32.3599,4828,0
2016-06-16,21:05:00,32.36,32.36,32.355,32.355,800,0
2016-06-16,21:10:00,32.35,32.36,32.345,32.36,5400,0
2016-06-16,21:15:00,32.36,32.36,32.355,32.355,1300,0
2016-06-16,21:20:00,32.35,32.38,32.34,32.37,10400,0
2016-06-16,21:25:00,32.36,32.37,32.34,32.35,9649,0
2016-06-16,21:30:00,32.36,32.39,32.35,32.385,16688,0
2016-06-16,21:35:00,32.385,32.39,32.375,32.375,11227,0
2016-06-16,21:40:00,32.375,32.38,32.37,32.38,23600,0
2016-06-16,21:45:00,32.38,32.43,32.38,32.41,22980,0
2016-06-16,21:50:00,32.41,32.41,32.385,32.395,11040,0
2016-06-16,21:55:00,32.395,32.41,32.37,32.37,49778,0
2016-06-16,22:00:00,32.375,32.45,32.36,32.41,62256,0
2016-06-17,15:35:00,32.46,32.51,32.46,32.46,2239,0
2016-06-17,15:40:00,32.44,32.44,32.44,32.44,100,0
2016-06-17,15:45:00,32.52,32.52,32.49,32.49,1000,0
2016-06-17,15:50:00,32.5079,32.56,32.495,32.55,4467,0
2016-06-17,15:55:00,32.53,32.63,32.53,32.61,5339,0
2016-06-17,16:00:00,32.595,32.64,32.59,32.62,9641,0
2016-06-17,16:05:00,32.61,32.63,32.59,32.61,7883,0
2016-06-17,16:10:00,32.62,32.65,32.62,32.64,3800,0
2016-06-17,16:15:00,32.64,32.665,32.64,32.65,2312,0
2016-06-17,16:20:00,32.67,32.7,32.67,32.7,1100,0
2016-06-17,16:25:00,32.705,32.73,32.7,32.71,1800,0
2016-06-17,16:30:00,32.72,32.74,32.7,32.7,2300,0
2016-06-17,16:35:00,32.6764,32.6764,32.65,32.65,300,0
2016-06-17,16:40:00,32.64,32.69,32.64,32.67,1300,0
2016-06-17,16:45:00,32.68,32.68,32.68,32.68,100,0
2016-06-17,16:50:00,32.7,32.73,32.7,32.73,1700,0
2016-06-17,16:55:00,32.7399,32.745,32.72,32.72,1760,0
2016-06-17,17:00:00,32.72,32.73,32.68,32.68,1200,0
2016-06-17,17:05:00,32.68,32.72,32.66,32.67,3075,0
2016-06-17,17:10:00,32.675,32.69,32.67,32.68,900,0
2016-06-17,17:15:00,32.68,32.69,32.67,32.67,1400,0
2016-06-17,17:20:00,32.68,32.6999,32.67,32.69,1700,0
2016-06-17,17:25:00,32.7,32.71,32.69,32.71,1500,0
2016-06-17,17:30:00,32.7,32.71,32.68,32.68,1400,0
2016-06-17,17:35:00,32.66,32.68,32.64,32.68,2800,0
2016-06-17,17:40:00,32.69,32.7,32.69,32.7,1200,0
2016-06-17,17:45:00,32.71,32.75,32.71,32.75,1300,0
2016-06-17,17:50:00,32.75,32.755,32.73,32.73,1600,0
2016-06-17,17:55:00,32.72,32.74,32.72,32.74,800,0
2016-06-17,18:00:00,32.73,32.76,32.69,32.7,5364,0
2016-06-17,18:05:00,32.7,32.71,32.7,32.7,2500,0
2016-06-17,18:10:00,32.7,32.705,32.69,32.7,1800,0
2016-06-17,18:15:00,32.7,32.7,32.7,32.7,1700,0
2016-06-17,18:20:00,32.69,32.6975,32.65,32.65,6685,0
2016-06-17,18:25:00,32.65,32.655,32.65,32.65,300,0
2016-06-17,18:30:00,32.66,32.66,32.66,32.66,2700,0
2016-06-17,18:35:00,32.66,32.66,32.645,32.645,2355,0
2016-06-17,18:40:00,32.64,32.66,32.64,32.655,2501,0
2016-06-17,18:45:00,32.65,32.66,32.65,32.655,1649,0
2016-06-17,18:50:00,32.66,32.66,32.64,32.645,3778,0
