Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-06,15:35:00,1.71,1.7999,1.71,1.7999,3401,0
2016-06-06,15:45:00,1.7899,1.7899,1.7899,1.7899,1800,0
2016-06-06,15:50:00,1.73,1.7899,1.73,1.73,350,0
2016-06-06,16:05:00,1.78,1.78,1.78,1.78,100,0
2016-06-06,16:10:00,1.769,1.77,1.769,1.77,1100,0
2016-06-06,16:25:00,1.7649,1.77,1.7649,1.77,350,0
2016-06-06,16:35:00,1.77,1.77,1.77,1.77,390,0
2016-06-06,16:50:00,1.78,1.81,1.78,1.81,3477,0
2016-06-06,17:00:00,1.81,1.815,1.81,1.815,1410,0
2016-06-06,17:10:00,1.8299,1.8299,1.8299,1.8299,250,0
2016-06-06,17:15:00,1.81,1.82,1.81,1.82,200,0
2016-06-06,17:20:00,1.82,1.82,1.82,1.82,400,0
2016-06-06,17:25:00,1.8,1.818,1.8,1.818,400,0
2016-06-06,17:30:00,1.811,1.82,1.811,1.82,5900,0
2016-06-06,17:35:00,1.8238,1.8238,1.81,1.82,2129,0
2016-06-06,17:40:00,1.8099,1.8099,1.8099,1.8099,100,0
2016-06-06,17:55:00,1.79,1.79,1.79,1.79,100,0
2016-06-06,18:05:00,1.793,1.793,1.791,1.791,500,0
2016-06-06,18:10:00,1.79,1.79,1.79,1.79,100,0
2016-06-06,18:20:00,1.81,1.81,1.81,1.81,400,0
2016-06-06,18:25:00,1.8,1.8,1.8,1.8,100,0
2016-06-06,18:35:00,1.81,1.81,1.81,1.81,100,0
2016-06-06,18:40:00,1.83,1.83,1.83,1.83,100,0
2016-06-06,18:45:00,1.83,1.83,1.83,1.83,100,0
2016-06-06,18:50:00,1.82,1.82,1.82,1.82,200,0
2016-06-06,18:55:00,1.82,1.82,1.8,1.8,400,0
2016-06-06,19:00:00,1.82,1.82,1.82,1.82,200,0
2016-06-06,19:05:00,1.8,1.8,1.8,1.8,100,0
