Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,9.63,9.63,9.56,9.62,23364,0
2016-06-16,15:40:00,9.61,9.61,9.52,9.52,228037,0
2016-06-16,15:45:00,9.52,9.54,9.505,9.515,348696,0
2016-06-16,15:50:00,9.51,9.51,9.485,9.49,836583,0
2016-06-16,15:55:00,9.49,9.5,9.47,9.495,66560,0
2016-06-16,16:00:00,9.49,9.49,9.38,9.42,424710,0
2016-06-16,16:05:00,9.415,9.46,9.39,9.4,238663,0
2016-06-16,16:10:00,9.39,9.42,9.375,9.42,300600,0
2016-06-16,16:15:00,9.41,9.4625,9.4099,9.455,54249,0
2016-06-16,16:20:00,9.46,9.47,9.425,9.47,100393,0
2016-06-16,16:25:00,9.46,9.46,9.4,9.41,97896,0
2016-06-16,16:30:00,9.4,9.42,9.4,9.41,157708,0
2016-06-16,16:35:00,9.4,9.41,9.4,9.405,164616,0
2016-06-16,16:40:00,9.4,9.41,9.39,9.4,85751,0
2016-06-16,16:45:00,9.4,9.42,9.385,9.415,87217,0
2016-06-16,16:50:00,9.415,9.43,9.41,9.42,10830,0
2016-06-16,16:55:00,9.4264,9.43,9.4,9.405,51891,0
2016-06-16,17:00:00,9.41,9.44,9.405,9.41,65228,0
2016-06-16,17:05:00,9.415,9.42,9.38,9.3801,38367,0
2016-06-16,17:10:00,9.38,9.39,9.37,9.375,519790,0
2016-06-16,17:15:00,9.38,9.39,9.37,9.39,23160,0
2016-06-16,17:20:00,9.39,9.39,9.36,9.375,652627,0
2016-06-16,17:25:00,9.38,9.385,9.36,9.365,81928,0
2016-06-16,17:30:00,9.36,9.38,9.36,9.37,56103,0
2016-06-16,17:35:00,9.38,9.39,9.36,9.375,94459,0
2016-06-16,17:40:00,9.375,9.38,9.35,9.35,52352,0
2016-06-16,17:45:00,9.355,9.355,9.33,9.33,26197,0
2016-06-16,17:50:00,9.335,9.335,9.29,9.315,99521,0
2016-06-16,17:55:00,9.315,9.38,9.31,9.345,637802,0
2016-06-16,18:00:00,9.34,9.37,9.31,9.31,575785,0
2016-06-16,18:05:00,9.31,9.3199,9.29,9.295,609167,0
2016-06-16,18:10:00,9.29,9.3,9.25,9.26,265894,0
2016-06-16,18:15:00,9.26,9.275,9.25,9.27,109011,0
2016-06-16,18:20:00,9.26,9.34,9.26,9.34,78107,0
2016-06-16,18:25:00,9.3399,9.38,9.32,9.38,62573,0
2016-06-16,18:30:00,9.39,9.4,9.36,9.36,163619,0
