Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,5.65,5.785,5.61,5.61,3752,0
2016-06-16,15:40:00,5.61,5.61,5.56,5.5799,5710,0
2016-06-16,15:45:00,5.56,5.58,5.56,5.58,4150,0
2016-06-16,15:50:00,5.58,5.62,5.5699,5.62,3653,0
2016-06-16,15:55:00,5.64,5.6599,5.575,5.59,3216,0
2016-06-16,16:00:00,5.57,5.6,5.57,5.58,3800,0
2016-06-16,16:05:00,5.585,5.6,5.55,5.58,15450,0
2016-06-16,16:10:00,5.565,5.59,5.55,5.59,800,0
2016-06-16,16:15:00,5.6,5.62,5.6,5.608,1600,0
2016-06-16,16:20:00,5.62,5.64,5.62,5.625,731,0
2016-06-16,16:25:00,5.62,5.64,5.57,5.57,7600,0
2016-06-16,16:30:00,5.57,5.6,5.55,5.585,1100,0
2016-06-16,16:35:00,5.61,5.61,5.55,5.55,4800,0
2016-06-16,16:40:00,5.56,5.59,5.56,5.56,4490,0
2016-06-16,16:45:00,5.555,5.57,5.555,5.57,760,0
2016-06-16,16:50:00,5.58,5.59,5.56,5.59,2100,0
2016-06-16,16:55:00,5.59,5.59,5.54,5.5599,4400,0
2016-06-16,17:00:00,5.57,5.59,5.57,5.59,1672,0
2016-06-16,17:05:00,5.58,5.58,5.5401,5.579,3969,0
2016-06-16,17:10:00,5.57,5.57,5.56,5.56,1000,0
2016-06-16,17:15:00,5.55,5.59,5.55,5.59,2300,0
2016-06-16,17:20:00,5.59,5.59,5.56,5.56,1900,0
2016-06-16,17:25:00,5.57,5.62,5.57,5.62,4403,0
2016-06-16,17:30:00,5.63,5.675,5.615,5.655,10200,0
2016-06-16,17:35:00,5.65,5.65,5.58,5.6,2100,0
2016-06-16,17:40:00,5.61,5.63,5.61,5.63,1100,0
2016-06-16,17:45:00,5.63,5.63,5.625,5.625,800,0
2016-06-16,17:50:00,5.625,5.64,5.625,5.64,2200,0
2016-06-16,17:55:00,5.67,5.67,5.64,5.645,3224,0
2016-06-16,18:00:00,5.64,5.64,5.6,5.64,3700,0
2016-06-16,18:05:00,5.64,5.64,5.62,5.63,1024,0
2016-06-16,18:10:00,5.62,5.64,5.62,5.64,800,0
2016-06-16,18:15:00,5.64,5.64,5.62,5.63,4650,0
2016-06-16,18:20:00,5.64,5.67,5.64,5.67,2300,0
2016-06-16,18:25:00,5.67,5.67,5.66,5.66,2200,0
2016-06-16,18:30:00,5.66,5.66,5.66,5.66,100,0
