Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,9.14,9.175,9.09,9.1,13138,0
2016-06-16,15:40:00,9.09,9.1695,9.06,9.13,27878,0
2016-06-16,15:45:00,9.13,9.155,9.11,9.11,13258,0
2016-06-16,15:50:00,9.1,9.17,9.1,9.17,8000,0
2016-06-16,15:55:00,9.17,9.21,9.15,9.21,23126,0
2016-06-16,16:00:00,9.21,9.28,9.21,9.27,16524,0
2016-06-16,16:05:00,9.27,9.29,9.22,9.28,17300,0
2016-06-16,16:10:00,9.27,9.29,9.2389,9.28,15200,0
2016-06-16,16:15:00,9.285,9.36,9.27,9.35,29077,0
2016-06-16,16:20:00,9.33,9.33,9.27,9.29,7475,0
2016-06-16,16:25:00,9.28,9.28,9.19,9.19,6600,0
2016-06-16,16:30:00,9.2,9.25,9.19,9.21,6000,0
2016-06-16,16:35:00,9.22,9.22,9.18,9.19,6687,0
2016-06-16,16:40:00,9.18,9.19,9.13,9.13,19400,0
2016-06-16,16:45:00,9.13,9.13,9.1,9.1,9673,0
2016-06-16,16:50:00,9.1,9.105,9.045,9.05,90538,0
2016-06-16,16:55:00,9.045,9.05,9,9.01,80872,0
2016-06-16,17:00:00,9.01,9.095,9.01,9.095,18680,0
2016-06-16,17:05:00,9.105,9.125,9.045,9.114,20466,0
2016-06-16,17:10:00,9.11,9.14,9.1,9.14,7857,0
2016-06-16,17:15:00,9.1399,9.155,9.09,9.12,50545,0
2016-06-16,17:20:00,9.11,9.11,9.02,9.03,10782,0
2016-06-16,17:25:00,9.03,9.05,9.02,9.035,7580,0
2016-06-16,17:30:00,9.036,9.08,9.03,9.035,22215,0
2016-06-16,17:35:00,9.035,9.04,9,9.01,13895,0
2016-06-16,17:40:00,9.0199,9.02,9,9,14739,0
2016-06-16,17:45:00,9.005,9.0275,9,9.02,8100,0
2016-06-16,17:50:00,9.02,9.0499,9.015,9.02,9635,0
2016-06-16,17:55:00,9.03,9.03,9.02,9.02,700,0
2016-06-16,18:00:00,9.02,9.0274,9,9,48820,0
2016-06-16,18:05:00,9,9.015,9,9.01,7784,0
2016-06-16,18:10:00,9.02,9.04,9.02,9.0315,4250,0
2016-06-16,18:15:00,9.04,9.1,9.02,9.04,10488,0
2016-06-16,18:20:00,9.04,9.09,9.035,9.09,8400,0
2016-06-16,18:25:00,9.09,9.1,9.06,9.09,38138,0
2016-06-16,18:30:00,9.1,9.12,9.065,9.065,12424,0
2016-06-16,18:35:00,9.07,9.07,9.03,9.05,7600,0
2016-06-16,18:40:00,9.05,9.09,9.04,9.085,8450,0
2016-06-16,18:45:00,9.08,9.08,9.03,9.08,17294,0
2016-06-16,18:50:00,9.08,9.09,9.05,9.06,5600,0
2016-06-16,18:55:00,9.07,9.08,9.06,9.07,3200,0
2016-06-16,19:00:00,9.08,9.1,9.07,9.08,5000,0
2016-06-16,19:05:00,9.08,9.13,9.07,9.11,10150,0
2016-06-16,19:10:00,9.11,9.12,9.08,9.1,16200,0
2016-06-16,19:15:00,9.1025,9.11,9.075,9.075,9869,0
2016-06-16,19:20:00,9.07,9.07,9.04,9.07,9220,0
2016-06-16,19:25:00,9.075,9.095,9.06,9.08,5810,0
2016-06-16,19:30:00,9.1,9.12,9.08,9.09,10339,0
2016-06-16,19:35:00,9.08,9.09,9.03,9.03,49800,0
2016-06-16,19:40:00,9.03,9.07,9.03,9.07,9519,0
2016-06-16,19:45:00,9.06,9.07,9.03,9.055,9082,0
2016-06-16,19:50:00,9.06,9.07,9.03,9.05,16206,0
2016-06-16,19:55:00,9.05,9.06,9.02,9.045,10847,0
2016-06-16,20:00:00,9.05,9.05,9.025,9.025,8200,0
2016-06-16,20:05:00,9.02,9.03,9.01,9.03,11738,0
2016-06-16,20:10:00,9.04,9.055,9.01,9.055,9000,0
2016-06-16,20:15:00,9.055,9.08,9.05,9.06,6500,0
2016-06-16,20:20:00,9.065,9.11,9.06,9.105,5700,0
2016-06-16,20:25:00,9.1063,9.12,9.09,9.105,24400,0
2016-06-16,20:30:00,9.11,9.125,9.1,9.11,7200,0
2016-06-16,20:35:00,9.11,9.13,9.105,9.11,5700,0
2016-06-16,20:40:00,9.11,9.14,9.1,9.11,7400,0
2016-06-16,20:45:00,9.12,9.13,9.08,9.11,39202,0
2016-06-16,20:50:00,9.11,9.13,9.1,9.12,18263,0
2016-06-16,20:55:00,9.13,9.16,9.11,9.14,17925,0
2016-06-16,21:00:00,9.15,9.15,9.135,9.14,3700,0
2016-06-16,21:05:00,9.15,9.15,9.13,9.13,3800,0
2016-06-16,21:10:00,9.14,9.15,9.09,9.09,47819,0
2016-06-16,21:15:00,9.09,9.09,9.05,9.0899,13965,0
2016-06-16,21:20:00,9.0889,9.105,9.06,9.105,10600,0
2016-06-16,21:25:00,9.1,9.11,9.075,9.1,4195,0
2016-06-16,21:30:00,9.1,9.15,9.1,9.11,12000,0
2016-06-16,21:35:00,9.12,9.16,9.12,9.1515,15100,0
2016-06-16,21:40:00,9.15,9.16,9.12,9.125,5200,0
2016-06-16,21:45:00,9.13,9.15,9.13,9.14,12305,0
2016-06-16,21:50:00,9.145,9.15,9.14,9.145,7581,0
2016-06-16,21:55:00,9.15,9.15,9.13,9.135,19533,0
2016-06-16,22:00:00,9.135,9.15,9.13,9.15,76840,0
2016-06-17,15:35:00,9.18,9.21,9.11,9.1699,161262,0
2016-06-17,15:40:00,9.13,9.14,9.02,9.02,21100,0
2016-06-17,15:45:00,9.02,9.08,9,9.08,12654,0
2016-06-17,15:50:00,9.06,9.14,9.02,9.06,15900,0
2016-06-17,15:55:00,9.07,9.115,9.05,9.0811,11426,0
2016-06-17,16:00:00,9.07,9.08,9.04,9.06,5100,0
