Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,73.42,73.42,73.42,73.42,1004,0
2016-06-16,15:40:00,73.05,73.22,72.92,73.08,6190,0
2016-06-16,15:45:00,73.27,73.38,73.27,73.29,1200,0
2016-06-16,15:50:00,73.35,73.71,73.295,73.56,6637,0
2016-06-16,15:55:00,73.6,74.1,73.59,73.93,2626,0
2016-06-16,16:00:00,73.79,73.79,73.37,73.37,1850,0
2016-06-16,16:05:00,73.24,73.4,73.1,73.19,2615,0
2016-06-16,16:10:00,73.136,73.136,72.85,72.87,3100,0
2016-06-16,16:15:00,72.97,73.08,72.9,72.985,3000,0
2016-06-16,16:20:00,73.04,73.04,72.82,72.84,1300,0
2016-06-16,16:25:00,72.77,72.77,72.59,72.66,2622,0
2016-06-16,16:30:00,72.53,72.74,72.53,72.6,1410,0
2016-06-16,16:35:00,72.6,72.66,72.55,72.63,2599,0
2016-06-16,16:40:00,72.66,72.66,72.54,72.5573,3600,0
2016-06-16,16:45:00,72.545,72.77,72.545,72.71,1676,0
2016-06-16,16:50:00,72.78,72.78,72.71,72.71,300,0
2016-06-16,16:55:00,72.6,72.7,72.47,72.7,3400,0
2016-06-16,17:00:00,72.62,72.7,72.59,72.7,800,0
2016-06-16,17:05:00,72.7,72.8,72.66,72.8,3200,0
2016-06-16,17:10:00,72.84,72.85,72.775,72.85,1788,0
2016-06-16,17:15:00,72.87,73.05,72.87,73.03,2300,0
2016-06-16,17:20:00,73.03,73.07,72.94,73,1500,0
2016-06-16,17:25:00,72.97,73.07,72.88,73.07,3100,0
2016-06-16,17:30:00,73.02,73.2,73.02,73.2,2700,0
2016-06-16,17:35:00,73.2,73.2,73.08,73.08,1066,0
2016-06-16,17:40:00,73.08,73.22,73.08,73.21,4180,0
2016-06-16,17:45:00,73.26,73.35,73.2,73.3,3913,0
2016-06-16,17:50:00,73.295,73.43,73.275,73.43,3400,0
2016-06-16,17:55:00,73.39,73.39,73.34,73.34,600,0
2016-06-16,18:00:00,73.31,73.34,73.26,73.3,6203,0
2016-06-16,18:05:00,73.3,73.4,73.26,73.4,3158,0
2016-06-16,18:10:00,73.37,73.37,73.37,73.37,100,0
2016-06-16,18:15:00,73.34,73.35,73.245,73.28,4200,0
2016-06-16,18:20:00,73.31,73.41,73.31,73.35,2500,0
2016-06-16,18:25:00,73.34,73.57,73.31,73.48,4600,0
2016-06-16,18:30:00,73.5,73.54,73.49,73.5,2000,0
2016-06-16,18:35:00,73.5,73.55,73.49,73.55,2654,0
2016-06-16,18:40:00,73.5,73.57,73.48,73.55,1300,0
2016-06-16,18:45:00,73.57,73.66,73.54,73.66,1500,0
2016-06-16,18:50:00,73.62,73.66,73.53,73.53,2400,0
2016-06-16,18:55:00,73.53,73.555,73.44,73.51,3650,0
2016-06-16,19:00:00,73.45,73.5,73.38,73.395,1600,0
2016-06-16,19:05:00,73.42,73.565,73.42,73.48,2378,0
2016-06-16,19:10:00,73.46,73.5,73.41,73.47,3000,0
2016-06-16,19:15:00,73.44,73.44,73.37,73.39,900,0
2016-06-16,19:20:00,73.34,73.395,73.335,73.395,1300,0
2016-06-16,19:25:00,73.42,73.42,73.35,73.38,2100,0
2016-06-16,19:30:00,73.395,73.395,73.19,73.2,2220,0
2016-06-16,19:35:00,73.2,73.29,73.08,73.11,3800,0
2016-06-16,19:40:00,73.11,73.27,73.11,73.17,2700,0
2016-06-16,19:45:00,73.13,73.16,73.04,73.04,1000,0
2016-06-16,19:50:00,73.07,73.12,72.9973,73.12,2206,0
2016-06-16,19:55:00,73.105,73.18,73.105,73.12,900,0
2016-06-16,20:00:00,73.16,73.16,73.075,73.16,2760,0
2016-06-16,20:05:00,73.18,73.225,73.18,73.22,1500,0
2016-06-16,20:10:00,73.2,73.27,73.17,73.27,1400,0
2016-06-16,20:15:00,73.27,73.38,73.27,73.34,3401,0
