Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,11.55,11.58,11.55,11.5675,5823,0
2016-06-16,15:40:00,11.55,11.55,11.46,11.47,8101,0
2016-06-16,15:45:00,11.48,11.53,11.44,11.53,23630,0
2016-06-16,15:50:00,11.53,11.57,11.52,11.56,28498,0
2016-06-16,15:55:00,11.555,11.56,11.54,11.55,27707,0
2016-06-16,16:00:00,11.54,11.54,11.53,11.53,3855,0
2016-06-16,16:05:00,11.53,11.54,11.52,11.535,7956,0
2016-06-16,16:10:00,11.53,11.53,11.5,11.505,9037,0
2016-06-16,16:15:00,11.505,11.505,11.49,11.505,6178,0
2016-06-16,16:20:00,11.51,11.52,11.51,11.52,3132,0
2016-06-16,16:25:00,11.52,11.52,11.505,11.505,25888,0
2016-06-16,16:30:00,11.51,11.53,11.51,11.53,6166,0
2016-06-16,16:35:00,11.53,11.53,11.52,11.525,10938,0
2016-06-16,16:40:00,11.52,11.52,11.5,11.51,5100,0
2016-06-16,16:45:00,11.51,11.52,11.51,11.52,2876,0
2016-06-16,16:50:00,11.53,11.54,11.53,11.54,3000,0
2016-06-16,16:55:00,11.54,11.54,11.53,11.535,1375,0
2016-06-16,17:00:00,11.5393,11.56,11.5393,11.56,9428,0
2016-06-16,17:05:00,11.555,11.56,11.545,11.55,10300,0
2016-06-16,17:10:00,11.545,11.55,11.545,11.55,400,0
2016-06-16,17:15:00,11.545,11.56,11.5401,11.555,4720,0
2016-06-16,17:20:00,11.555,11.56,11.54,11.545,4085,0
2016-06-16,17:25:00,11.55,11.57,11.55,11.57,3300,0
2016-06-16,17:30:00,11.57,11.61,11.57,11.61,8547,0
2016-06-16,17:35:00,11.61,11.61,11.585,11.59,4100,0
2016-06-16,17:40:00,11.58,11.6,11.58,11.6,4020,0
2016-06-16,17:45:00,11.595,11.6,11.595,11.6,1300,0
2016-06-16,17:50:00,11.595,11.595,11.58,11.585,3600,0
2016-06-16,17:55:00,11.59,11.59,11.585,11.59,400,0
2016-06-16,18:00:00,11.58,11.58,11.56,11.565,3300,0
2016-06-16,18:05:00,11.57,11.57,11.565,11.57,900,0
2016-06-16,18:10:00,11.57,11.57,11.56,11.565,1000,0
2016-06-16,18:15:00,11.565,11.57,11.55,11.56,4615,0
2016-06-16,18:20:00,11.555,11.57,11.55,11.565,7200,0
2016-06-16,18:25:00,11.565,11.61,11.565,11.61,7800,0
2016-06-16,18:30:00,11.61,11.615,11.6,11.61,6418,0
2016-06-16,18:35:00,11.6,11.6,11.59,11.595,3664,0
2016-06-16,18:40:00,11.595,11.62,11.595,11.62,12549,0
2016-06-16,18:45:00,11.63,11.66,11.625,11.655,5617,0
2016-06-16,18:50:00,11.65,11.65,11.645,11.65,5643,0
2016-06-16,18:55:00,11.65,11.65,11.63,11.635,5263,0
2016-06-16,19:00:00,11.63,11.64,11.63,11.635,900,0
2016-06-16,19:05:00,11.64,11.66,11.64,11.66,12724,0
2016-06-16,19:10:00,11.67,11.67,11.65,11.65,1500,0
2016-06-16,19:15:00,11.66,11.67,11.65,11.65,4963,0
2016-06-16,19:20:00,11.66,11.665,11.655,11.66,7200,0
2016-06-16,19:25:00,11.67,11.68,11.67,11.68,6497,0
2016-06-16,19:30:00,11.675,11.68,11.665,11.68,8923,0
2016-06-16,19:35:00,11.67,11.7,11.67,11.68,9568,0
2016-06-16,19:40:00,11.675,11.68,11.675,11.68,500,0
2016-06-16,19:45:00,11.68,11.68,11.67,11.675,700,0
2016-06-16,19:50:00,11.67,11.68,11.665,11.665,4300,0
2016-06-16,19:55:00,11.665,11.68,11.665,11.68,7500,0
2016-06-16,20:00:00,11.68,11.68,11.66,11.665,5197,0
2016-06-16,20:05:00,11.665,11.69,11.66,11.69,8828,0
2016-06-16,20:10:00,11.69,11.69,11.685,11.6864,568,0
2016-06-16,20:15:00,11.69,11.71,11.69,11.71,3400,0
2016-06-16,20:20:00,11.71,11.73,11.705,11.73,5112,0
2016-06-16,20:25:00,11.74,11.74,11.72,11.72,2288,0
2016-06-16,20:30:00,11.72,11.72,11.7,11.705,5601,0
2016-06-16,20:35:00,11.71,11.71,11.7,11.705,1500,0
2016-06-16,20:40:00,11.71,11.71,11.69,11.7,7698,0
