Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,1.73,1.7603,1.73,1.7603,10197,0
2016-06-16,15:40:00,1.76,1.76,1.74,1.74,5041,0
2016-06-16,15:45:00,1.75,1.75,1.74,1.74,800,0
2016-06-16,15:50:00,1.745,1.7467,1.73,1.735,9830,0
2016-06-16,15:55:00,1.74,1.74,1.73,1.73,22156,0
2016-06-16,16:00:00,1.74,1.74,1.73,1.735,1900,0
2016-06-16,16:05:00,1.7393,1.74,1.73,1.74,7046,0
2016-06-16,16:10:00,1.7338,1.74,1.73,1.7374,5200,0
2016-06-16,16:15:00,1.7337,1.74,1.73,1.74,22100,0
2016-06-16,16:20:00,1.735,1.74,1.73,1.74,7819,0
2016-06-16,16:25:00,1.74,1.74,1.73,1.74,7482,0
2016-06-16,16:30:00,1.74,1.74,1.7337,1.74,4644,0
2016-06-16,16:35:00,1.735,1.74,1.733,1.74,1750,0
2016-06-16,16:40:00,1.735,1.74,1.73,1.74,1277,0
2016-06-16,16:45:00,1.74,1.74,1.7344,1.74,4647,0
2016-06-16,16:50:00,1.735,1.75,1.735,1.745,5200,0
2016-06-16,16:55:00,1.75,1.75,1.735,1.74,18659,0
2016-06-16,17:00:00,1.745,1.75,1.74,1.745,2200,0
2016-06-16,17:05:00,1.745,1.75,1.74,1.75,2900,0
2016-06-16,17:10:00,1.7464,1.75,1.7464,1.75,900,0
2016-06-16,17:15:00,1.75,1.75,1.7499,1.75,16030,0
2016-06-16,17:20:00,1.755,1.77,1.755,1.755,19574,0
2016-06-16,17:25:00,1.755,1.76,1.755,1.755,800,0
2016-06-16,17:30:00,1.76,1.77,1.7599,1.77,9300,0
2016-06-16,17:35:00,1.765,1.77,1.75,1.755,16067,0
2016-06-16,17:40:00,1.75,1.76,1.75,1.75,700,0
2016-06-16,17:45:00,1.75,1.75,1.75,1.75,1400,0
2016-06-16,17:50:00,1.75,1.76,1.75,1.755,1550,0
2016-06-16,17:55:00,1.76,1.76,1.75,1.76,6800,0
2016-06-16,18:00:00,1.75,1.76,1.75,1.75,900,0
2016-06-16,18:05:00,1.75,1.76,1.75,1.76,400,0
2016-06-16,18:10:00,1.76,1.76,1.7544,1.755,18600,0
2016-06-16,18:15:00,1.76,1.76,1.75,1.75,8800,0
2016-06-16,18:20:00,1.755,1.755,1.75,1.755,700,0
2016-06-16,18:25:00,1.755,1.76,1.755,1.76,300,0
2016-06-16,18:30:00,1.755,1.76,1.75,1.75,32872,0
2016-06-16,18:35:00,1.755,1.755,1.755,1.755,300,0
2016-06-16,18:40:00,1.755,1.76,1.75,1.755,2706,0
2016-06-16,18:45:00,1.75,1.76,1.75,1.7544,5100,0
2016-06-16,18:50:00,1.755,1.76,1.755,1.76,400,0
2016-06-16,18:55:00,1.755,1.76,1.75,1.75,4625,0
2016-06-16,19:00:00,1.76,1.76,1.75,1.76,975,0
2016-06-16,19:05:00,1.76,1.76,1.75,1.7593,3100,0
2016-06-16,19:10:00,1.755,1.76,1.751,1.76,1300,0
2016-06-16,19:15:00,1.76,1.76,1.755,1.755,500,0
2016-06-16,19:20:00,1.755,1.76,1.755,1.76,1000,0
2016-06-16,19:25:00,1.755,1.76,1.755,1.755,2900,0
