Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-10-07,15:35:00,1.4942,1.4942,1.4942,1.4942,104,0
2015-10-07,15:40:00,1.5525,1.5525,1.4845,1.5428,3211,0
2015-10-07,15:45:00,1.5525,1.5525,1.5525,1.5525,10306,0
2015-10-07,16:10:00,1.5428,1.5428,1.5428,1.5428,357,0
2015-10-07,16:20:00,1.5428,1.5428,1.5428,1.5428,4162,0
2015-10-07,16:25:00,1.5428,1.5525,1.5428,1.5525,9688,0
2015-10-07,16:30:00,1.5524,1.5525,1.5524,1.5525,4844,0
2015-10-07,16:40:00,1.5525,1.5525,1.5525,1.5525,207,0
2015-10-07,19:00:00,1.4946,1.4946,1.4946,1.4946,124,0
2015-10-07,19:45:00,1.5233,1.5233,1.5233,1.5233,104,0
2015-10-07,20:45:00,1.5137,1.5137,1.5137,1.5137,2061,0
2015-10-07,20:50:00,1.5525,1.5525,1.5525,1.5525,2886,0
2015-10-07,21:50:00,1.5372,1.5372,1.5372,1.5372,2061,0
2015-10-07,22:00:00,1.5428,1.5428,1.5428,1.5428,207,0
2015-10-08,16:35:00,1.5138,1.5278,1.5137,1.5278,2266,0
2015-10-08,17:35:00,1.5233,1.5233,1.5233,1.5233,411,0
2015-10-08,18:00:00,1.5233,1.5525,1.5233,1.5525,10305,0
2015-10-08,18:05:00,1.5525,1.5525,1.5525,1.5525,10926,0
2015-10-09,15:50:00,1.5329,1.5329,1.5329,1.5329,4020,0
2015-10-09,16:00:00,1.5329,1.5329,1.5329,1.5329,308,0
2015-10-09,16:30:00,1.5524,1.5524,1.5524,1.5524,207,0
2015-10-09,19:35:00,1.5349,1.5349,1.5349,1.5349,733,0
2015-10-09,20:05:00,1.533,1.533,1.5329,1.5329,2062,0
2015-10-12,15:35:00,1.5621,1.5621,1.5621,1.5621,104,0
2015-10-12,15:45:00,1.5524,1.5525,1.5524,1.5525,7988,0
2015-10-12,16:00:00,1.5525,1.5525,1.5525,1.5525,3144,0
2015-10-12,16:15:00,1.4942,1.4942,1.4942,1.4942,104,0
2015-10-15,15:55:00,1.5041,1.5041,1.4844,1.4844,10188,0
2015-10-15,16:05:00,1.4845,1.4845,1.4845,1.4845,562,0
2015-10-15,17:40:00,1.5332,1.5332,1.5332,1.5332,690,0
2015-10-15,17:55:00,1.5332,1.5332,1.5332,1.5332,306,0
2015-10-16,15:35:00,1.5235,1.5235,1.5235,1.5235,4710,0
2015-10-16,15:45:00,1.5723,1.5723,1.5723,1.5723,206,0
2015-10-16,16:15:00,1.5626,1.5626,1.5626,1.5626,291,0
2015-10-16,16:35:00,1.5138,1.5138,1.5138,1.5138,103,0
2015-10-16,16:50:00,1.5529,1.5529,1.5529,1.5529,206,0
2015-10-16,17:15:00,1.5529,1.5626,1.5529,1.5626,206,0
2015-10-16,17:40:00,1.5529,1.5529,1.5529,1.5529,206,0
2015-10-16,18:10:00,1.5626,1.5626,1.5626,1.5626,206,0
2015-10-16,18:40:00,1.5529,1.5529,1.5529,1.5529,206,0
2015-10-16,19:25:00,1.5626,1.5626,1.5626,1.5626,118,0
2015-10-16,20:50:00,1.5626,1.5626,1.5626,1.5626,193,0
2015-10-16,21:40:00,1.5626,1.5626,1.5626,1.5626,103,0
2015-10-16,21:45:00,1.5626,1.5626,1.5626,1.5626,103,0
2015-10-16,21:55:00,1.5626,1.5626,1.5626,1.5626,103,0
2015-10-16,22:00:00,1.5626,1.5626,1.5529,1.5615,1229,0
2015-10-19,15:55:00,1.5626,1.5626,1.5626,1.5626,5120,0
2015-10-19,16:05:00,1.5529,1.5626,1.5529,1.5626,2150,0
2015-10-19,16:30:00,1.5584,1.5616,1.5584,1.5616,3071,0
2015-10-19,17:05:00,1.5626,1.5626,1.5626,1.5626,7167,0
2015-10-19,17:25:00,1.5626,1.5626,1.5626,1.5626,615,0
2015-10-19,17:50:00,1.5553,1.5553,1.5553,1.5553,2048,0
2015-10-19,18:30:00,1.5479,1.5479,1.5332,1.5332,818,0
2015-10-19,19:15:00,1.5415,1.5415,1.5415,1.5415,201,0
2015-10-19,20:05:00,1.5332,1.5332,1.4844,1.4945,3789,0
2015-10-19,20:45:00,1.5528,1.5528,1.5528,1.5528,6144,0
2015-10-19,20:50:00,1.5054,1.5054,1.5054,1.5054,2048,0
