Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-17,15:35:00,1.32,1.36,1.29,1.31,92736,0
2016-05-17,15:40:00,1.3201,1.326,1.3,1.3,14600,0
2016-05-17,15:45:00,1.2999,1.3165,1.295,1.3099,6620,0
2016-05-17,15:50:00,1.3,1.3,1.27,1.2872,30362,0
2016-05-17,15:55:00,1.284,1.29,1.26,1.2616,18209,0
2016-05-17,16:00:00,1.27,1.27,1.23,1.2308,32738,0
2016-05-17,16:05:00,1.235,1.2593,1.23,1.25,40481,0
2016-05-17,16:10:00,1.244,1.27,1.244,1.2665,7116,0
2016-05-17,16:15:00,1.265,1.28,1.265,1.28,7308,0
2016-05-17,16:20:00,1.2762,1.3099,1.275,1.3099,10524,0
2016-05-17,16:25:00,1.3,1.32,1.3,1.3033,14434,0
2016-05-17,16:30:00,1.31,1.32,1.31,1.32,400,0
2016-05-17,16:35:00,1.2913,1.31,1.29,1.31,1960,0
2016-05-17,16:40:00,1.31,1.31,1.29,1.29,5600,0
2016-05-17,16:45:00,1.2901,1.3,1.28,1.3,12816,0
2016-05-17,16:50:00,1.2801,1.2967,1.27,1.282,24613,0
2016-05-17,16:55:00,1.2893,1.2899,1.2801,1.2801,2604,0
2016-05-17,17:00:00,1.28,1.34,1.28,1.3295,113881,0
2016-05-17,17:05:00,1.32,1.33,1.3,1.32,15378,0
2016-05-17,17:10:00,1.3171,1.32,1.3,1.304,3140,0
2016-05-17,17:15:00,1.314,1.314,1.31,1.31,2336,0
2016-05-17,17:20:00,1.315,1.315,1.3,1.3,8876,0
2016-05-17,17:25:00,1.29,1.2975,1.27,1.2708,8865,0
2016-05-17,17:30:00,1.277,1.28,1.2717,1.2799,9809,0
2016-05-17,17:35:00,1.2931,1.2931,1.28,1.2868,3956,0
2016-05-17,17:40:00,1.2901,1.2915,1.29,1.29,2432,0
2016-05-17,17:45:00,1.2967,1.2967,1.2967,1.2967,125,0
2016-05-17,17:50:00,1.29,1.29,1.29,1.29,194,0
2016-05-17,17:55:00,1.2848,1.2848,1.28,1.2814,5570,0
2016-05-17,18:00:00,1.2832,1.2832,1.26,1.27,17500,0
2016-05-17,18:05:00,1.268,1.2724,1.2601,1.2724,3600,0
2016-05-17,18:10:00,1.26,1.26,1.25,1.25,3000,0
2016-05-17,18:15:00,1.25,1.25,1.24,1.2475,482,0
2016-05-17,18:20:00,1.2501,1.2501,1.2501,1.2501,1150,0
2016-05-17,18:25:00,1.2558,1.2558,1.245,1.2498,3100,0
2016-05-17,18:30:00,1.246,1.2493,1.24,1.24,11158,0
2016-05-17,18:35:00,1.2399,1.2399,1.236,1.2362,2200,0
2016-05-17,18:40:00,1.231,1.2399,1.23,1.2399,14442,0
2016-05-17,18:45:00,1.24,1.25,1.23,1.25,15154,0
2016-05-17,18:50:00,1.2599,1.26,1.2501,1.2599,5416,0
2016-05-17,18:55:00,1.26,1.2799,1.26,1.2601,5189,0
2016-05-17,19:00:00,1.26,1.27,1.258,1.258,8050,0
2016-05-17,19:05:00,1.2626,1.2626,1.2626,1.2626,250,0
2016-05-17,19:10:00,1.2597,1.2699,1.2597,1.2597,3200,0
2016-05-17,19:15:00,1.26,1.26,1.26,1.26,100,0
2016-05-17,19:20:00,1.27,1.27,1.27,1.27,100,0
2016-05-17,19:25:00,1.27,1.28,1.2699,1.28,5195,0
2016-05-17,19:30:00,1.29,1.29,1.26,1.26,5400,0
2016-05-17,19:35:00,1.27,1.27,1.27,1.27,300,0
2016-05-17,19:40:00,1.27,1.275,1.27,1.2701,1000,0
2016-05-17,19:45:00,1.27,1.27,1.26,1.26,2000,0
2016-05-17,19:50:00,1.2702,1.273,1.27,1.273,4295,0
2016-05-17,19:55:00,1.282,1.29,1.282,1.2844,1310,0
2016-05-17,20:00:00,1.27,1.2702,1.27,1.2702,3150,0
2016-05-17,20:05:00,1.2701,1.29,1.2701,1.29,2040,0
2016-05-17,20:10:00,1.2801,1.2899,1.28,1.2899,3549,0
2016-05-17,20:15:00,1.29,1.29,1.29,1.29,5100,0
2016-05-17,20:20:00,1.285,1.285,1.27,1.27,5200,0
2016-05-17,20:25:00,1.26,1.2699,1.25,1.2699,7800,0
2016-05-17,20:30:00,1.26,1.2699,1.25,1.25,9160,0
2016-05-17,20:45:00,1.25,1.26,1.25,1.26,5300,0
2016-05-17,20:55:00,1.2566,1.2566,1.2566,1.2566,1300,0
2016-05-17,21:00:00,1.267,1.27,1.267,1.27,1600,0
2016-05-17,21:20:00,1.2601,1.2601,1.2601,1.2601,100,0
2016-05-17,21:25:00,1.2699,1.2699,1.26,1.26,653,0
2016-05-17,21:30:00,1.25,1.26,1.25,1.26,480,0
2016-05-17,21:35:00,1.2502,1.26,1.25,1.255,1430,0
2016-05-17,21:45:00,1.25,1.25,1.21,1.226,20248,0
2016-05-17,21:50:00,1.2299,1.23,1.2101,1.2299,14940,0
2016-05-17,21:55:00,1.22,1.22,1.21,1.2125,2322,0
2016-05-17,22:00:00,1.21,1.23,1.2,1.2,26824,0
2016-05-18,15:35:00,1.19,1.2,1.15,1.1962,41733,0
2016-05-18,15:40:00,1.19,1.21,1.1862,1.1862,14117,0
2016-05-18,15:45:00,1.19,1.19,1.18,1.18,14763,0
2016-05-18,15:50:00,1.1714,1.19,1.17,1.1701,37999,0
2016-05-18,15:55:00,1.1786,1.1799,1.1786,1.1799,1600,0
2016-05-18,16:00:00,1.1799,1.1801,1.17,1.175,28589,0
2016-05-18,16:05:00,1.181,1.181,1.15,1.15,25644,0
2016-05-18,16:10:00,1.15,1.16,1.1276,1.145,22227,0
2016-05-18,16:15:00,1.1499,1.15,1.14,1.1407,13882,0
2016-05-18,16:20:00,1.14,1.17,1.14,1.1544,16511,0
2016-05-18,16:25:00,1.16,1.17,1.15,1.17,7658,0
2016-05-18,16:30:00,1.16,1.169,1.16,1.169,11016,0
2016-05-18,16:35:00,1.17,1.17,1.15,1.17,6367,0
2016-05-18,16:40:00,1.162,1.162,1.1501,1.16,11970,0
2016-05-18,16:45:00,1.155,1.155,1.151,1.151,1100,0
2016-05-18,16:50:00,1.15,1.16,1.15,1.1599,3400,0
2016-05-18,16:55:00,1.15,1.16,1.15,1.1515,11857,0
2016-05-18,17:00:00,1.16,1.16,1.1501,1.1501,8000,0
2016-05-18,17:05:00,1.1508,1.16,1.15,1.155,12290,0
2016-05-18,17:10:00,1.16,1.16,1.1515,1.1515,3640,0
2016-05-18,17:15:00,1.1599,1.1599,1.13,1.133,22225,0
2016-05-18,17:20:00,1.15,1.15,1.13,1.1499,13127,0
2016-05-18,17:25:00,1.15,1.15,1.1489,1.15,3800,0
2016-05-18,17:30:00,1.1406,1.15,1.1401,1.15,1749,0
2016-05-18,17:35:00,1.1426,1.15,1.1401,1.15,2460,0
2016-05-18,17:45:00,1.15,1.15,1.1401,1.15,3200,0
2016-05-18,17:50:00,1.1499,1.1499,1.1499,1.1499,1000,0
2016-05-18,17:55:00,1.1401,1.15,1.1401,1.15,2656,0
2016-05-18,18:00:00,1.1434,1.15,1.1434,1.1454,1300,0
2016-05-18,18:05:00,1.15,1.15,1.13,1.1301,10744,0
2016-05-18,18:10:00,1.14,1.14,1.14,1.14,100,0
2016-05-18,18:15:00,1.133,1.133,1.13,1.13,5750,0
2016-05-18,18:20:00,1.1337,1.14,1.1337,1.14,2050,0
2016-05-18,18:25:00,1.14,1.14,1.13,1.1301,3600,0
2016-05-18,18:30:00,1.14,1.14,1.1399,1.1399,200,0
2016-05-18,18:35:00,1.14,1.14,1.1399,1.1399,1500,0
2016-05-18,18:40:00,1.14,1.15,1.1399,1.14,10562,0
2016-05-18,18:45:00,1.15,1.15,1.1489,1.15,17052,0
2016-05-18,18:50:00,1.148,1.15,1.1402,1.15,27607,0
2016-05-18,18:55:00,1.1499,1.15,1.1457,1.15,5459,0
2016-05-18,19:00:00,1.15,1.15,1.1438,1.15,6100,0
2016-05-18,19:05:00,1.1401,1.1401,1.1401,1.1401,1500,0
2016-05-18,19:10:00,1.15,1.15,1.14,1.15,3600,0
2016-05-18,19:15:00,1.1439,1.15,1.14,1.15,17765,0
2016-05-18,19:20:00,1.15,1.15,1.1497,1.1497,704,0
2016-05-18,19:25:00,1.15,1.15,1.145,1.15,1700,0
2016-05-18,19:30:00,1.1537,1.16,1.1537,1.1593,4700,0
2016-05-18,19:40:00,1.16,1.16,1.15,1.15,12500,0
2016-05-18,19:45:00,1.15,1.15,1.14,1.1499,800,0
2016-05-18,19:50:00,1.1401,1.15,1.1401,1.15,500,0
2016-05-18,19:55:00,1.15,1.15,1.14,1.15,1500,0
2016-05-18,20:00:00,1.14,1.14,1.137,1.137,3300,0
2016-05-18,20:10:00,1.14,1.14,1.13,1.14,1743,0
2016-05-18,20:15:00,1.14,1.14,1.13,1.1301,8900,0
2016-05-18,20:20:00,1.14,1.14,1.11,1.113,53536,0
2016-05-18,20:25:00,1.13,1.1399,1.1201,1.1399,3300,0
2016-05-18,20:30:00,1.13,1.14,1.13,1.14,200,0
2016-05-18,20:40:00,1.14,1.14,1.135,1.1399,8200,0
