Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,15:35:00,4.71,4.73,4.71,4.73,965,0
2016-05-20,15:40:00,4.71,4.71,4.71,4.71,100,0
2016-05-20,16:15:00,4.7318,4.7318,4.7318,4.7318,400,0
2016-05-20,16:25:00,4.73,4.74,4.73,4.74,4138,0
2016-05-20,16:30:00,4.74,4.74,4.74,4.74,300,0
2016-05-20,16:35:00,4.74,4.74,4.74,4.74,400,0
2016-05-20,16:40:00,4.74,4.74,4.74,4.74,200,0
2016-05-20,16:45:00,4.74,4.74,4.74,4.74,300,0
2016-05-20,16:50:00,4.74,4.74,4.74,4.74,400,0
2016-05-20,16:55:00,4.74,4.74,4.74,4.74,100,0
2016-05-20,17:05:00,4.75,4.75,4.72,4.72,2767,0
2016-05-20,17:20:00,4.75,4.76,4.75,4.76,200,0
2016-05-20,17:35:00,4.75,4.75,4.75,4.75,100,0
2016-05-20,17:40:00,4.75,4.75,4.75,4.75,100,0
2016-05-20,17:45:00,4.75,4.75,4.75,4.75,100,0
2016-05-20,18:05:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,18:10:00,4.75,4.75,4.75,4.75,200,0
2016-05-20,18:15:00,4.75,4.75,4.75,4.75,100,0
2016-05-20,18:20:00,4.72,4.72,4.72,4.72,200,0
2016-05-20,18:45:00,4.75,4.75,4.75,4.75,100,0
2016-05-20,19:00:00,4.75,4.75,4.75,4.75,2576,0
2016-05-20,19:10:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,19:15:00,4.75,4.76,4.75,4.76,400,0
2016-05-20,19:25:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,19:40:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,19:45:00,4.75,4.75,4.75,4.75,900,0
2016-05-20,19:55:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,20:00:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,20:15:00,4.76,4.76,4.76,4.76,100,0
2016-05-20,20:25:00,4.76,4.76,4.73,4.73,200,0
2016-05-20,20:55:00,4.75,4.75,4.74,4.75,4089,0
2016-05-20,21:00:00,4.735,4.735,4.735,4.735,100,0
2016-05-20,21:10:00,4.72,4.75,4.72,4.75,200,0
2016-05-20,21:25:00,4.75,4.75,4.75,4.75,200,0
2016-05-20,21:30:00,4.75,4.75,4.72,4.72,300,0
2016-05-20,21:35:00,4.75,4.75,4.75,4.75,100,0
2016-05-20,21:45:00,4.72,4.72,4.72,4.72,600,0
2016-05-20,21:55:00,4.72,4.72,4.72,4.72,500,0
2016-05-20,22:00:00,4.72,4.72,4.71,4.72,2693,0
2016-05-23,15:35:00,4.71,4.72,4.71,4.72,3414,0
2016-05-23,15:50:00,4.73,4.73,4.73,4.73,100,0
2016-05-23,16:00:00,4.76,4.76,4.76,4.76,1500,0
2016-05-23,16:35:00,4.76,4.76,4.76,4.76,100,0
2016-05-23,17:10:00,4.76,4.76,4.71,4.71,1839,0
2016-05-23,17:15:00,4.71,4.7252,4.71,4.7252,1150,0
2016-05-23,18:00:00,4.71,4.74,4.71,4.73,700,0
2016-05-23,19:10:00,4.75,4.76,4.75,4.76,5997,0
2016-05-23,19:20:00,4.75,4.75,4.72,4.72,800,0
2016-05-23,19:35:00,4.75,4.75,4.75,4.75,600,0
2016-05-23,19:50:00,4.73,4.73,4.73,4.73,100,0
2016-05-23,20:05:00,4.72,4.72,4.72,4.72,899,0
2016-05-23,20:15:00,4.742,4.742,4.742,4.742,2100,0
2016-05-23,20:25:00,4.74,4.74,4.74,4.74,100,0
2016-05-23,20:50:00,4.7445,4.76,4.7445,4.76,200,0
2016-05-23,21:15:00,4.75,4.75,4.73,4.75,400,0
2016-05-23,21:25:00,4.76,4.76,4.76,4.76,100,0
2016-05-23,21:45:00,4.76,4.76,4.74,4.74,200,0
2016-05-23,21:55:00,4.75,4.76,4.74,4.74,1500,0
2016-05-23,22:00:00,4.73,4.76,4.72,4.76,1863,0
2016-05-24,17:05:00,4.79,4.8,4.7874,4.7874,400,0
2016-05-24,17:10:00,4.77,4.77,4.76,4.77,864,0
2016-05-24,18:15:00,4.8,4.83,4.77,4.77,2028,0
2016-05-24,18:20:00,4.78,4.78,4.77,4.77,3000,0
2016-05-24,18:25:00,4.82,4.82,4.77,4.77,1028,0
2016-05-24,18:30:00,4.8,4.8,4.8,4.8,100,0
2016-05-24,18:45:00,4.76,4.76,4.76,4.76,300,0
2016-05-24,18:55:00,4.77,4.77,4.77,4.77,600,0
