Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-17,15:35:00,4.8,4.8,4.7,4.7,1757,0
2016-05-17,15:40:00,4.73,4.73,4.7,4.7097,2680,0
2016-05-17,15:45:00,4.71,4.71,4.71,4.71,100,0
2016-05-17,15:55:00,4.7,4.8,4.7,4.8,500,0
2016-05-17,16:15:00,4.74,4.74,4.74,4.74,100,0
2016-05-17,16:40:00,4.72,4.72,4.72,4.72,100,0
2016-05-17,17:55:00,4.8,4.8,4.74,4.74,400,0
2016-05-17,18:10:00,4.8,4.8,4.8,4.8,200,0
2016-05-17,18:35:00,4.73,4.73,4.73,4.73,100,0
2016-05-17,18:40:00,4.76,4.76,4.76,4.76,100,0
2016-05-17,18:50:00,4.74,4.79,4.71,4.71,3667,0
2016-05-17,18:55:00,4.71,4.71,4.7,4.7,700,0
2016-05-17,19:05:00,4.7,4.7,4.7,4.7,100,0
2016-05-17,19:20:00,4.7,4.7,4.7,4.7,285,0
2016-05-17,19:30:00,4.7,4.7,4.7,4.7,100,0
2016-05-17,19:40:00,4.75,4.75,4.75,4.75,100,0
2016-05-17,19:45:00,4.7,4.71,4.7,4.71,200,0
2016-05-17,19:50:00,4.7,4.71,4.7,4.71,1300,0
2016-05-17,20:35:00,4.7,4.7,4.7,4.7,100,0
2016-05-17,20:40:00,4.7,4.7,4.7,4.7,1000,0
2016-05-17,20:45:00,4.71,4.71,4.71,4.71,100,0
2016-05-17,20:50:00,4.7,4.7,4.7,4.7,100,0
2016-05-17,21:00:00,4.7,4.7,4.7,4.7,200,0
2016-05-17,21:10:00,4.7,4.7,4.7,4.7,400,0
2016-05-17,21:20:00,4.7,4.7,4.7,4.7,100,0
2016-05-17,21:25:00,4.705,4.715,4.7,4.7,500,0
2016-05-17,21:30:00,4.7,4.7,4.7,4.7,200,0
2016-05-17,21:35:00,4.7,4.7,4.7,4.7,100,0
2016-05-17,21:50:00,4.7,4.74,4.7,4.7,28337,0
2016-05-17,21:55:00,4.7,4.7,4.65,4.65,2719,0
2016-05-17,22:00:00,4.7,4.7,4.62,4.62,9779,0
2016-05-18,15:35:00,4.53,4.6383,4.53,4.6,6938,0
2016-05-18,15:40:00,4.58,4.6,4.58,4.6,1184,0
2016-05-18,15:45:00,4.58,4.58,4.58,4.58,100,0
2016-05-18,15:50:00,4.58,4.58,4.58,4.58,1400,0
2016-05-18,16:05:00,4.58,4.58,4.58,4.58,3100,0
2016-05-18,16:10:00,4.58,4.59,4.58,4.58,3500,0
2016-05-18,16:20:00,4.58,4.63,4.55,4.59,8500,0
2016-05-18,16:25:00,4.59,4.59,4.58,4.58,1200,0
2016-05-18,16:30:00,4.6,4.66,4.56,4.59,35096,0
2016-05-18,16:35:00,4.6101,4.6101,4.58,4.59,2600,0
2016-05-18,16:40:00,4.6101,4.6101,4.58,4.585,6392,0
2016-05-18,16:45:00,4.58,4.58,4.58,4.58,100,0
2016-05-18,16:50:00,4.58,4.58,4.58,4.58,4639,0
2016-05-18,17:00:00,4.55,4.6,4.55,4.6,900,0
2016-05-18,17:05:00,4.56,4.56,4.47,4.47,1200,0
2016-05-18,17:10:00,4.45,4.5,4.45,4.5,500,0
2016-05-18,17:15:00,4.5,4.6,4.5,4.57,15700,0
2016-05-18,17:20:00,4.56,4.57,4.56,4.57,400,0
2016-05-18,17:25:00,4.58,4.58,4.43,4.43,500,0
2016-05-18,17:30:00,4.5093,4.58,4.5093,4.58,12200,0
2016-05-18,17:35:00,4.55,4.55,4.55,4.55,500,0
2016-05-18,17:40:00,4.58,4.58,4.58,4.58,200,0
2016-05-18,17:45:00,4.57,4.5701,4.55,4.5501,1500,0
2016-05-18,17:50:00,4.54,4.54,4.54,4.54,100,0
2016-05-18,18:10:00,4.54,4.54,4.54,4.54,100,0
2016-05-18,18:25:00,4.51,4.51,4.51,4.51,100,0
2016-05-18,18:30:00,4.55,4.55,4.55,4.55,100,0
2016-05-18,18:50:00,4.55,4.58,4.54,4.55,700,0
2016-05-18,18:55:00,4.55,4.55,4.55,4.55,500,0
2016-05-18,19:00:00,4.59,4.59,4.55,4.55,300,0
2016-05-18,19:05:00,4.55,4.5601,4.54,4.54,900,0
2016-05-18,19:20:00,4.55,4.55,4.55,4.55,100,0
2016-05-18,19:25:00,4.58,4.58,4.555,4.555,500,0
2016-05-18,19:50:00,4.55,4.55,4.55,4.55,100,0
2016-05-18,19:55:00,4.58,4.58,4.53,4.53,1100,0
2016-05-18,20:05:00,4.54,4.54,4.54,4.54,100,0
2016-05-18,20:15:00,4.55,4.55,4.53,4.53,700,0
2016-05-18,20:20:00,4.55,4.57,4.51,4.51,600,0
2016-05-18,20:25:00,4.51,4.51,4.48,4.48,400,0
2016-05-18,20:40:00,4.48,4.48,4.47,4.47,200,0
2016-05-18,20:45:00,4.44,4.44,4.44,4.44,200,0
2016-05-18,20:55:00,4.44,4.44,4.44,4.44,300,0
2016-05-18,21:00:00,4.39,4.39,4.39,4.39,100,0
2016-05-18,21:10:00,4.4,4.4,4.4,4.4,200,0
2016-05-18,21:15:00,4.4,4.43,4.22,4.22,13389,0
2016-05-18,21:20:00,4.26,4.26,4.26,4.26,100,0
2016-05-18,21:35:00,4.25,4.25,4.25,4.25,400,0
2016-05-18,21:40:00,4.2335,4.26,4.23,4.26,600,0
2016-05-18,21:45:00,4.23,4.23,4.22,4.22,200,0
2016-05-18,21:50:00,4.2667,4.2667,4.2667,4.2667,100,0
2016-05-18,21:55:00,4.24,4.26,4.24,4.25,300,0
2016-05-18,22:00:00,4.27,4.27,4.22,4.22,700,0
2016-05-19,15:35:00,4.3,4.3,4.3,4.3,2353,0
2016-05-19,15:40:00,4.3,4.3,4.3,4.3,941,0
2016-05-19,15:45:00,4.16,4.16,4.13,4.13,564,0
2016-05-19,15:55:00,4.08,4.08,4.08,4.08,100,0
2016-05-19,16:00:00,4.105,4.105,4.07,4.1044,300,0
2016-05-19,16:05:00,4.15,4.15,4.09,4.09,1700,0
2016-05-19,16:10:00,4.09,4.09,4,4.06,3800,0
2016-05-19,16:15:00,4,4.005,4,4,600,0
2016-05-19,16:20:00,4,4,4,4,300,0
2016-05-19,16:25:00,4,4.04,3.95,3.95,1855,0
2016-05-19,16:45:00,3.98,4,3.95,4,400,0
2016-05-19,16:50:00,4,4,4,4,100,0
2016-05-19,16:55:00,3.99,3.99,3.99,3.99,100,0
2016-05-19,17:00:00,3.99,4.005,3.99,4,400,0
2016-05-19,17:20:00,3.99,4,3.99,4,300,0
2016-05-19,18:10:00,3.99,3.99,3.99,3.99,400,0
2016-05-19,18:40:00,3.975,3.975,3.92,3.92,1399,0
2016-05-19,18:45:00,3.92,3.92,3.86,3.86,600,0
2016-05-19,18:50:00,3.9,3.9,3.9,3.9,400,0
2016-05-19,18:55:00,3.9,3.9,3.89,3.89,500,0
2016-05-19,19:00:00,3.9,3.9,3.9,3.9,100,0
2016-05-19,19:05:00,3.8999,3.8999,3.8999,3.8999,500,0
2016-05-19,19:15:00,3.88,3.88,3.82,3.82,600,0
2016-05-19,19:30:00,3.8077,3.8077,3.8077,3.8077,250,0
2016-05-19,19:45:00,3.82,3.82,3.82,3.82,200,0
2016-05-19,19:55:00,3.86,3.86,3.86,3.86,100,0
2016-05-19,20:00:00,3.8599,3.8599,3.8599,3.8599,100,0
2016-05-19,20:10:00,3.82,3.82,3.82,3.82,100,0
2016-05-19,20:20:00,3.78,3.785,3.78,3.78,300,0
2016-05-19,20:25:00,3.78,3.8001,3.78,3.78,900,0
2016-05-19,20:35:00,3.78,3.78,3.71,3.71,1600,0
2016-05-19,20:55:00,3.76,3.76,3.7502,3.7502,700,0
2016-05-19,21:00:00,3.75,3.76,3.75,3.755,2600,0
2016-05-19,21:10:00,3.78,3.78,3.78,3.78,100,0
2016-05-19,21:15:00,3.78,3.8,3.78,3.8,407,0
2016-05-19,21:20:00,3.75,3.75,3.75,3.75,400,0
2016-05-19,21:25:00,3.75,3.75,3.75,3.75,100,0
2016-05-19,21:40:00,3.77,3.77,3.77,3.77,100,0
2016-05-19,21:50:00,3.78,3.79,3.75,3.75,400,0
2016-05-19,21:55:00,3.79,3.8,3.76,3.76,1800,0
2016-05-19,22:00:00,3.76,3.8,3.66,3.67,74368,0
2016-05-20,15:35:00,3.7,3.7,3.67,3.67,654,0
2016-05-20,15:45:00,3.69,3.69,3.68,3.68,200,0
2016-05-20,15:50:00,3.68,3.68,3.68,3.68,200,0
2016-05-20,15:55:00,3.69,3.69,3.69,3.69,1657,0
2016-05-20,16:00:00,3.68,3.696,3.68,3.696,800,0
2016-05-20,16:05:00,3.69,3.69,3.6005,3.6005,3647,0
2016-05-20,16:10:00,3.61,3.68,3.61,3.67,1100,0
2016-05-20,16:15:00,3.67,3.67,3.67,3.67,200,0
2016-05-20,16:20:00,3.677,3.677,3.6,3.67,4761,0
2016-05-20,16:25:00,3.67,3.67,3.65,3.664,1165,0
2016-05-20,16:30:00,3.67,3.67,3.65,3.65,600,0
2016-05-20,16:35:00,3.65,3.65,3.65,3.65,100,0
2016-05-20,16:40:00,3.66,3.71,3.66,3.71,300,0
2016-05-20,16:45:00,3.66,3.66,3.66,3.66,200,0
2016-05-20,16:50:00,3.66,3.66,3.65,3.65,500,0
2016-05-20,16:55:00,3.71,3.71,3.7,3.7,400,0
2016-05-20,17:00:00,3.71,3.71,3.705,3.705,200,0
2016-05-20,17:05:00,3.72,3.72,3.72,3.72,100,0
2016-05-20,17:10:00,3.72,3.72,3.7,3.7,2300,0
2016-05-20,17:15:00,3.7,3.7,3.7,3.7,200,0
2016-05-20,17:20:00,3.72,3.72,3.7,3.7,900,0
2016-05-20,17:30:00,3.68,3.7,3.66,3.7,20500,0
2016-05-20,17:40:00,3.76,3.76,3.7,3.7,900,0
2016-05-20,17:45:00,3.7,3.7,3.65,3.65,5139,0
2016-05-20,17:50:00,3.65,3.67,3.65,3.66,1100,0
2016-05-20,17:55:00,3.65,3.66,3.65,3.65,1500,0
2016-05-20,18:00:00,3.65,3.65,3.65,3.65,400,0
2016-05-20,18:05:00,3.63,3.65,3.63,3.65,200,0
2016-05-20,18:10:00,3.61,3.6499,3.6,3.6499,1200,0
2016-05-20,18:15:00,3.6499,3.6499,3.6499,3.6499,2000,0
2016-05-20,18:20:00,3.61,3.62,3.6,3.61,1200,0
2016-05-20,18:25:00,3.6199,3.6199,3.61,3.6195,3556,0
2016-05-20,18:35:00,3.6,3.61,3.6,3.61,200,0
2016-05-20,18:40:00,3.61,3.61,3.61,3.61,100,0
2016-05-20,18:45:00,3.6,3.61,3.6,3.6,600,0
2016-05-20,18:50:00,3.62,3.62,3.62,3.62,222,0
2016-05-20,18:55:00,3.61,3.61,3.6,3.6,200,0
2016-05-20,19:00:00,3.65,3.65,3.65,3.65,800,0
2016-05-20,19:05:00,3.6,3.6481,3.6,3.6481,3200,0
2016-05-20,19:10:00,3.65,3.65,3.65,3.65,200,0
2016-05-20,19:15:00,3.61,3.61,3.61,3.61,200,0
2016-05-20,19:20:00,3.65,3.65,3.65,3.65,100,0
2016-05-20,19:25:00,3.61,3.61,3.61,3.61,200,0
2016-05-20,19:35:00,3.61,3.616,3.61,3.61,2700,0
2016-05-20,19:40:00,3.62,3.62,3.61,3.61,400,0
2016-05-20,19:45:00,3.625,3.625,3.625,3.625,100,0
2016-05-20,19:50:00,3.6101,3.6101,3.59,3.6,7200,0
