Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-03-28,15:35:00,2.9,2.9,2.9,2.9,1000,0
2016-03-28,15:40:00,2.99,3,2.99,3,4980,0
2016-03-28,16:00:00,3.01,3.01,3,3,3000,0
2016-03-28,16:05:00,3.02,3.02,3,3,7473,0
2016-03-28,16:40:00,2.99,3,2.99,2.9999,8500,0
2016-03-28,16:45:00,3,3,3,3,400,0
2016-03-28,17:05:00,2.99,2.99,2.99,2.99,35000,0
2016-03-28,17:10:00,2.99,2.99,2.99,2.99,200,0
2016-03-28,17:25:00,2.99,2.99,2.99,2.99,1800,0
2016-03-28,17:45:00,2.9901,2.9901,2.9901,2.9901,320,0
2016-03-28,19:55:00,3.03,3.03,3.03,3.03,300,0
2016-03-28,20:00:00,3.05,3.05,3.03,3.03,4000,0
2016-03-28,20:05:00,2.99,2.99,2.99,2.99,500,0
2016-03-28,20:25:00,2.7905,2.7905,2.7905,2.7905,500,0
2016-03-28,21:50:00,2.92,2.9299,2.92,2.9299,400,0
2016-03-28,21:55:00,2.86,2.936,2.86,2.86,1074,0
2016-03-28,22:00:00,2.82,2.82,2.79,2.79,600,0
2016-03-29,17:15:00,2.96,3,2.79,2.9899,9549,0
2016-03-29,18:55:00,2.92,2.92,2.8,2.899,3500,0
2016-03-29,19:25:00,2.88,2.88,2.88,2.88,200,0
2016-03-29,22:00:00,2.91,2.91,2.91,2.91,107,0
2016-03-30,15:55:00,2.78,2.98,2.78,2.98,550,0
2016-03-30,19:25:00,2.95,2.95,2.94,2.94,200,0
2016-03-30,19:30:00,2.94,2.94,2.93,2.93,500,0
2016-04-01,15:50:00,2.9314,2.9314,2.8385,2.8385,350,0
2016-04-01,16:00:00,2.9,2.9,2.9,2.9,600,0
2016-04-01,17:05:00,2.9,2.9,2.9,2.9,1497,0
2016-04-01,19:30:00,3,3,3,3,100,0
2016-04-01,20:10:00,3,3,3,3,100,0
2016-04-01,20:50:00,2.94,2.94,2.94,2.94,1000,0
2016-04-04,17:50:00,2.9732,2.9732,2.94,2.94,300,0
2016-04-04,18:30:00,2.96,2.96,2.94,2.94,10003,0
2016-04-04,18:35:00,2.93,2.93,2.9299,2.9299,1900,0
2016-04-04,18:45:00,2.8995,2.8995,2.8995,2.8995,470,0
2016-04-04,22:00:00,2.77,2.77,2.77,2.77,200,0
2016-04-05,19:20:00,2.78,2.78,2.78,2.78,175,0
2016-04-05,20:30:00,2.78,2.8901,2.78,2.89,6400,0
2016-04-05,20:35:00,2.86,2.86,2.84,2.85,875,0
2016-04-05,22:00:00,2.87,2.97,2.87,2.97,2100,0
2016-04-06,15:35:00,3,3,3,3,1000,0
2016-04-06,20:20:00,2.9,2.9,2.9,2.9,100,0
2016-04-06,21:40:00,3,3,2.9,2.9,3417,0
2016-04-06,21:50:00,2.9999,2.9999,2.9999,2.9999,200,0
2016-04-06,21:55:00,3,3,2.99,2.99,2250,0
2016-04-06,22:00:00,3,3,3,3,100,0
2016-04-07,16:50:00,2.98,3,2.98,3,28000,0
2016-04-07,17:20:00,2.9999,2.9999,2.9999,2.9999,2200,0
2016-04-07,17:30:00,2.9999,2.9999,2.9999,2.9999,3500,0
2016-04-07,17:35:00,2.99,2.99,2.98,2.98,200,0
2016-04-07,17:45:00,2.9999,3.13,2.99,3,17837,0
2016-04-07,18:05:00,3.02,3.0999,3.02,3.0999,1200,0
2016-04-07,18:10:00,3.08,3.2,3.08,3.1,7337,0
2016-04-07,18:15:00,3.114,3.114,3.1,3.1,1763,0
2016-04-07,19:10:00,3.1,3.1,3.1,3.1,100,0
2016-04-07,19:15:00,3.1,3.1,3.1,3.1,100,0
2016-04-07,19:20:00,3.1,3.1,3.074,3.074,1000,0
2016-04-07,19:25:00,3.1,3.1,3.05,3.05,2000,0
2016-04-07,19:50:00,3.05,3.05,3,3.01,5100,0
2016-04-07,20:15:00,3,3,3,3,300,0
2016-04-08,15:35:00,2.96,2.96,2.96,2.96,500,0
2016-04-08,16:05:00,3,3,3,3,1500,0
2016-04-08,16:15:00,3,3,3,3,200,0
2016-04-08,16:30:00,3,3,3,3,400,0
