Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-24,15:45:00,4.47,4.48,4.4572,4.48,2425,0
2016-05-24,15:50:00,4.47,4.4999,4.47,4.4999,300,0
2016-05-24,15:55:00,4.5,4.5,4.5,4.5,200,0
2016-05-24,16:00:00,4.6,4.6,4.5985,4.5985,1300,0
2016-05-24,16:10:00,4.5955,4.6,4.57,4.6,1600,0
2016-05-24,16:15:00,4.58,4.5801,4.58,4.5801,850,0
2016-05-24,16:20:00,4.59,4.59,4.58,4.5895,3300,0
2016-05-24,16:35:00,4.55,4.55,4.54,4.54,660,0
2016-05-24,16:45:00,4.54,4.54,4.54,4.54,1100,0
2016-05-24,16:55:00,4.52,4.52,4.52,4.52,100,0
2016-05-24,17:20:00,4.52,4.52,4.52,4.52,100,0
2016-05-24,17:25:00,4.52,4.55,4.52,4.55,200,0
2016-05-24,17:40:00,4.54,4.54,4.54,4.54,100,0
2016-05-24,17:45:00,4.54,4.54,4.54,4.54,200,0
2016-05-24,17:50:00,4.52,4.52,4.52,4.52,1000,0
2016-05-24,17:55:00,4.53,4.53,4.53,4.53,400,0
2016-05-24,18:00:00,4.53,4.59,4.53,4.57,2900,0
2016-05-24,18:05:00,4.54,4.55,4.54,4.55,400,0
2016-05-24,18:15:00,4.5999,4.6,4.5999,4.6,200,0
2016-05-24,18:25:00,4.5342,4.5342,4.5145,4.5145,2681,0
2016-05-24,18:40:00,4.5201,4.5201,4.5201,4.5201,300,0
2016-05-24,18:45:00,4.52,4.52,4.52,4.52,400,0
2016-05-24,19:25:00,4.52,4.53,4.52,4.53,200,0
2016-05-24,19:30:00,4.53,4.53,4.53,4.53,100,0
2016-05-24,19:40:00,4.54,4.54,4.54,4.54,100,0
2016-05-24,19:45:00,4.54,4.54,4.53,4.53,4300,0
2016-05-24,19:55:00,4.5362,4.57,4.5362,4.57,400,0
2016-05-24,20:10:00,4.56,4.579,4.56,4.579,200,0
2016-05-24,20:30:00,4.59,4.59,4.57,4.57,200,0
2016-05-24,20:35:00,4.595,4.595,4.595,4.595,100,0
2016-05-24,20:45:00,4.595,4.595,4.57,4.58,1817,0
2016-05-24,20:50:00,4.58,4.58,4.58,4.58,100,0
2016-05-24,21:00:00,4.5401,4.5401,4.5401,4.5401,100,0
2016-05-24,21:20:00,4.546,4.55,4.51,4.535,5500,0
2016-05-24,21:25:00,4.56,4.56,4.56,4.56,100,0
2016-05-24,21:30:00,4.5581,4.5581,4.52,4.54,2400,0
2016-05-24,21:35:00,4.54,4.54,4.54,4.54,100,0
2016-05-24,21:45:00,4.56,4.56,4.56,4.56,100,0
2016-05-24,21:50:00,4.55,4.55,4.55,4.55,100,0
2016-05-24,21:55:00,4.54,4.545,4.54,4.54,700,0
2016-05-24,22:00:00,4.54,4.54,4.53,4.54,822,0
2016-05-25,15:35:00,4.59,4.59,4.59,4.59,1800,0
2016-05-25,15:50:00,4.55,4.55,4.55,4.55,100,0
2016-05-25,16:30:00,4.5505,4.5505,4.5505,4.5505,200,0
2016-05-25,16:45:00,4.58,4.58,4.58,4.58,1000,0
2016-05-25,16:50:00,4.58,4.58,4.58,4.58,1000,0
2016-05-25,16:55:00,4.59,4.59,4.59,4.59,300,0
2016-05-25,17:10:00,4.581,4.581,4.581,4.581,1910,0
2016-05-25,17:45:00,4.58,4.58,4.58,4.58,500,0
2016-05-25,18:20:00,4.59,4.59,4.59,4.59,100,0
2016-05-25,19:40:00,4.5993,4.5993,4.58,4.5993,2600,0
2016-05-25,19:50:00,4.59,4.59,4.59,4.59,200,0
2016-05-25,19:55:00,4.59,4.59,4.59,4.59,100,0
2016-05-25,20:05:00,4.595,4.6,4.59,4.59,1312,0
2016-05-25,20:10:00,4.5916,4.5916,4.5916,4.5916,100,0
2016-05-25,20:15:00,4.5916,4.5916,4.5916,4.5916,200,0
2016-05-25,20:20:00,4.59,4.59,4.59,4.59,200,0
2016-05-25,20:25:00,4.591,4.591,4.591,4.591,200,0
2016-05-25,20:35:00,4.59,4.59,4.59,4.59,300,0
2016-05-25,20:50:00,4.59,4.59,4.59,4.59,1000,0
2016-05-25,21:00:00,4.59,4.59,4.59,4.59,100,0
2016-05-25,21:25:00,4.58,4.587,4.55,4.55,3750,0
2016-05-25,21:35:00,4.55,4.5535,4.51,4.51,2800,0
2016-05-25,21:40:00,4.5176,4.5176,4.48,4.48,2100,0
2016-05-25,21:45:00,4.49,4.49,4.4601,4.4601,2400,0
2016-05-25,21:50:00,4.48,4.48,4.4312,4.45,1700,0
2016-05-25,21:55:00,4.44,4.45,4.42,4.43,900,0
2016-05-25,22:00:00,4.42,4.42,4.41,4.41,2323,0
2016-05-26,15:35:00,4.39,4.39,4.39,4.39,600,0
2016-05-26,15:40:00,4.3916,4.3922,4.3916,4.3922,5000,0
2016-05-26,15:50:00,4.46,4.46,4.46,4.46,100,0
2016-05-26,16:00:00,4.4281,4.4281,4.4281,4.4281,210,0
2016-05-26,16:35:00,4.43,4.44,4.42,4.42,850,0
2016-05-26,16:50:00,4.46,4.46,4.46,4.46,300,0
2016-05-26,17:00:00,4.43,4.43,4.43,4.43,200,0
2016-05-26,17:10:00,4.4399,4.4399,4.405,4.405,550,0
2016-05-26,17:15:00,4.4,4.4,4.4,4.4,100,0
2016-05-26,17:20:00,4.38,4.38,4.38,4.38,100,0
2016-05-26,17:35:00,4.44,4.44,4.44,4.44,200,0
2016-05-26,18:40:00,4.46,4.46,4.46,4.46,1000,0
2016-05-26,19:00:00,4.41,4.41,4.41,4.41,100,0
2016-05-26,19:05:00,4.39,4.39,4.39,4.39,100,0
2016-05-26,19:35:00,4.41,4.41,4.41,4.41,100,0
2016-05-26,20:45:00,4.43,4.4397,4.39,4.4,1200,0
2016-05-26,21:15:00,4.44,4.44,4.42,4.42,950,0
2016-05-26,21:20:00,4.43,4.43,4.41,4.41,1800,0
2016-05-26,21:25:00,4.41,4.41,4.39,4.39,1000,0
2016-05-26,21:30:00,4.426,4.4299,4.38,4.38,1500,0
2016-05-26,21:35:00,4.416,4.42,4.38,4.38,3200,0
2016-05-26,21:40:00,4.3801,4.385,4.33,4.385,13244,0
2016-05-26,21:45:00,4.416,4.416,4.36,4.36,1300,0
2016-05-26,21:50:00,4.41,4.42,4.36,4.42,1900,0
2016-05-26,21:55:00,4.37,4.37,4.37,4.37,200,0
2016-05-26,22:00:00,4.37,4.37,4.36,4.36,2011,0
2016-05-27,15:50:00,4.5,4.5,4.5,4.5,100,0
2016-05-27,16:25:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,16:35:00,4.4305,4.4305,4.42,4.42,600,0
2016-05-27,16:55:00,4.411,4.416,4.41,4.41,9100,0
2016-05-27,17:05:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,17:10:00,4.43,4.43,4.41,4.41,10600,0
2016-05-27,17:20:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,17:30:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,17:35:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,17:45:00,4.41,4.41,4.41,4.41,1250,0
2016-05-27,17:50:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,18:00:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,18:20:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,18:25:00,4.44,4.44,4.44,4.44,100,0
2016-05-27,18:40:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,19:00:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,19:15:00,4.43,4.43,4.43,4.43,300,0
2016-05-27,19:20:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,19:30:00,4.43,4.43,4.43,4.43,200,0
2016-05-27,19:35:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,20:00:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,20:20:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,20:30:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,20:40:00,4.41,4.41,4.41,4.41,200,0
2016-05-27,20:50:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,21:00:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,21:05:00,4.42,4.42,4.42,4.42,100,0
2016-05-27,21:15:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,21:20:00,4.43,4.43,4.43,4.43,100,0
2016-05-27,21:25:00,4.42,4.42,4.42,4.42,100,0
2016-05-27,21:30:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,21:40:00,4.41,4.41,4.41,4.41,100,0
2016-05-27,21:45:00,4.43,4.43,4.43,4.43,200,0
2016-05-27,21:50:00,4.43,4.43,4.41,4.41,200,0
2016-05-27,21:55:00,4.43,4.43,4.43,4.43,200,0
2016-05-27,22:00:00,4.43,4.43,4.4,4.4,2889,0
2016-05-31,15:35:00,4.45,4.45,4.43,4.43,1400,0
2016-05-31,15:45:00,4.4231,4.4231,4.4231,4.4231,1000,0
2016-05-31,15:50:00,4.4299,4.4299,4.4299,4.4299,950,0
2016-05-31,15:55:00,4.43,4.43,4.43,4.43,100,0
2016-05-31,16:05:00,4.44,4.46,4.44,4.46,2000,0
2016-05-31,16:10:00,4.46,4.46,4.46,4.46,300,0
2016-05-31,16:35:00,4.4799,4.4799,4.4799,4.4799,200,0
2016-05-31,17:00:00,4.48,4.48,4.48,4.48,100,0
2016-05-31,17:05:00,4.481,4.481,4.481,4.481,1832,0
2016-05-31,17:35:00,4.4767,4.4767,4.47,4.47,400,0
2016-05-31,17:55:00,4.4753,4.4753,4.4753,4.4753,300,0
2016-05-31,18:20:00,4.47,4.48,4.47,4.48,300,0
2016-05-31,18:30:00,4.4769,4.4769,4.47,4.47,1195,0
2016-05-31,18:35:00,4.48,4.48,4.48,4.48,200,0
2016-05-31,18:45:00,4.49,4.49,4.49,4.49,100,0
2016-05-31,19:05:00,4.5,4.5,4.48,4.48,400,0
2016-05-31,19:10:00,4.495,4.495,4.48,4.49,1200,0
2016-05-31,19:15:00,4.49,4.5,4.49,4.5,800,0
2016-05-31,19:20:00,4.4978,4.4978,4.4978,4.4978,760,0
2016-05-31,19:30:00,4.51,4.51,4.51,4.51,200,0
2016-05-31,19:35:00,4.5099,4.5099,4.49,4.49,900,0
2016-05-31,19:50:00,4.51,4.51,4.51,4.51,600,0
2016-05-31,20:05:00,4.51,4.51,4.49,4.51,500,0
2016-05-31,20:10:00,4.5,4.5,4.5,4.5,100,0
2016-05-31,20:20:00,4.5,4.51,4.5,4.5,5700,0
2016-05-31,20:25:00,4.52,4.53,4.5118,4.512,2000,0
2016-05-31,20:30:00,4.59,4.59,4.59,4.59,600,0
2016-05-31,20:35:00,4.59,4.59,4.58,4.58,300,0
2016-05-31,20:50:00,4.59,4.6,4.58,4.59,800,0
2016-05-31,20:55:00,4.59,4.59,4.5801,4.5801,2100,0
2016-05-31,21:05:00,4.58,4.58,4.58,4.58,100,0
2016-05-31,21:10:00,4.6,4.6,4.6,4.6,600,0
2016-05-31,21:15:00,4.59,4.59,4.59,4.59,200,0
2016-05-31,21:20:00,4.6,4.6,4.5918,4.5918,1412,0
2016-05-31,21:25:00,4.59,4.6,4.59,4.59,300,0
2016-05-31,21:30:00,4.6,4.6135,4.6,4.6135,1400,0
2016-05-31,21:35:00,4.62,4.62,4.6,4.6,300,0
2016-05-31,21:45:00,4.63,4.65,4.6299,4.6299,2488,0
2016-05-31,21:50:00,4.61,4.62,4.6,4.62,1500,0
2016-05-31,21:55:00,4.62,4.62,4.6,4.62,1200,0
2016-05-31,22:00:00,4.62,4.62,4.55,4.55,2112,0
2016-06-01,15:35:00,4.58,4.58,4.58,4.58,310,0
2016-06-01,15:40:00,4.635,4.635,4.635,4.635,100,0
2016-06-01,15:50:00,4.54,4.54,4.54,4.54,100,0
2016-06-01,16:15:00,4.6399,4.6399,4.6399,4.6399,100,0
2016-06-01,17:00:00,4.556,4.556,4.556,4.556,220,0
2016-06-01,17:15:00,4.6299,4.6299,4.6299,4.6299,300,0
2016-06-01,17:30:00,4.54,4.54,4.54,4.54,100,0
2016-06-01,17:40:00,4.58,4.58,4.58,4.58,100,0
2016-06-01,17:45:00,4.59,4.59,4.58,4.58,1200,0
2016-06-01,18:30:00,4.52,4.545,4.52,4.52,1200,0
2016-06-01,18:35:00,4.51,4.5399,4.51,4.5399,1100,0
2016-06-01,18:50:00,4.5,4.5,4.5,4.5,100,0
2016-06-01,19:05:00,4.5,4.5,4.5,4.5,100,0
2016-06-01,19:10:00,4.5,4.5,4.5,4.5,100,0
