Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,21.34,21.34,21.275,21.33,4279,0
2016-06-16,15:40:00,21.385,21.39,21.34,21.34,5250,0
2016-06-16,15:45:00,21.34,21.4,21.34,21.36,3001,0
2016-06-16,15:50:00,21.36,21.44,21.36,21.42,2700,0
2016-06-16,15:55:00,21.41,21.41,21.378,21.38,4249,0
2016-06-16,16:00:00,21.41,21.45,21.38,21.4,11000,0
2016-06-16,16:05:00,21.4,21.44,21.4,21.42,5100,0
2016-06-16,16:10:00,21.42,21.43,21.41,21.41,5156,0
2016-06-16,16:15:00,21.41,21.42,21.39,21.4,4950,0
2016-06-16,16:20:00,21.39,21.4,21.369,21.38,2351,0
2016-06-16,16:25:00,21.37,21.39,21.33,21.35,5225,0
2016-06-16,16:30:00,21.35,21.37,21.34,21.37,1619,0
2016-06-16,16:35:00,21.37,21.39,21.37,21.37,500,0
2016-06-16,16:40:00,21.39,21.41,21.32,21.32,4100,0
2016-06-16,16:45:00,21.31,21.36,21.3075,21.35,1600,0
2016-06-16,16:50:00,21.36,21.4,21.36,21.4,1700,0
2016-06-16,16:55:00,21.38,21.38,21.36,21.36,1400,0
2016-06-16,17:00:00,21.37,21.37,21.3575,21.3575,400,0
2016-06-16,17:05:00,21.37,21.42,21.35,21.38,4700,0
2016-06-16,17:10:00,21.4,21.43,21.4,21.42,9253,0
2016-06-16,17:15:00,21.41,21.42,21.39,21.42,5300,0
2016-06-16,17:20:00,21.42,21.42,21.4,21.42,2522,0
2016-06-16,17:25:00,21.4199,21.425,21.41,21.425,1400,0
2016-06-16,17:30:00,21.425,21.44,21.42,21.42,13350,0
2016-06-16,17:35:00,21.425,21.44,21.39,21.41,10300,0
2016-06-16,17:40:00,21.42,21.425,21.4,21.4,3800,0
2016-06-16,17:45:00,21.39,21.39,21.37,21.37,1169,0
2016-06-16,17:50:00,21.36,21.4,21.36,21.4,2622,0
2016-06-16,17:55:00,21.39,21.39,21.36,21.36,3198,0
2016-06-16,18:00:00,21.36,21.36,21.35,21.35,4409,0
2016-06-16,18:05:00,21.35,21.38,21.35,21.37,3429,0
2016-06-16,18:10:00,21.4,21.4,21.38,21.4,700,0
2016-06-16,18:15:00,21.42,21.42,21.4025,21.42,2200,0
2016-06-16,18:20:00,21.4,21.41,21.38,21.41,1900,0
2016-06-16,18:25:00,21.41,21.43,21.4,21.43,2800,0
2016-06-16,18:30:00,21.43,21.44,21.4195,21.42,2400,0
2016-06-16,18:35:00,21.44,21.44,21.42,21.42,4100,0
2016-06-16,18:40:00,21.42,21.42,21.4075,21.4075,6500,0
2016-06-16,18:45:00,21.4,21.41,21.36,21.38,6456,0
