Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-13,15:35:00,30.09,30.09,30.09,30.09,810,0
2016-06-13,15:40:00,30,30.06,29.98,30.06,900,0
2016-06-13,15:45:00,29.82,29.93,29.82,29.93,599,0
2016-06-13,15:50:00,29.9301,30.03,29.9301,30.02,2258,0
2016-06-13,15:55:00,30.04,30.12,30.04,30.085,3695,0
2016-06-13,16:00:00,30.03,30.09,30.03,30.065,1300,0
2016-06-13,16:05:00,30.06,30.15,30.06,30.07,1850,0
2016-06-13,16:10:00,30.05,30.05,30.03,30.04,700,0
2016-06-13,16:15:00,30.11,30.16,30.11,30.16,300,0
2016-06-13,16:20:00,30.16,30.16,30.15,30.15,600,0
2016-06-13,16:25:00,30.18,30.21,30.173,30.173,1300,0
2016-06-13,16:35:00,30.35,30.39,30.29,30.29,900,0
2016-06-13,16:40:00,30.25,30.25,30.25,30.25,500,0
2016-06-13,16:50:00,30.24,30.25,30.17,30.18,600,0
2016-06-13,16:55:00,30.18,30.18,30.03,30.08,315,0
2016-06-13,17:00:00,30.03,30.03,30.01,30.01,700,0
2016-06-13,17:05:00,30.03,30.1,30.03,30.068,2680,0
2016-06-13,17:10:00,30.21,30.21,30.1,30.1,500,0
2016-06-13,17:20:00,30.13,30.13,30.13,30.13,100,0
2016-06-13,17:25:00,30.06,30.06,30.03,30.03,200,0
2016-06-13,17:30:00,30.04,30.055,30.014,30.04,2700,0
2016-06-13,17:35:00,30.04,30.15,30.015,30.015,5812,0
2016-06-13,17:40:00,30.03,30.15,30.01,30.15,8299,0
2016-06-13,17:45:00,30.08,30.105,30.04,30.08,2000,0
2016-06-13,17:50:00,30.06,30.17,30,30.17,3710,0
2016-06-13,17:55:00,30.09,30.16,30.07,30.16,1600,0
2016-06-13,18:00:00,30.16,30.16,30.12,30.12,900,0
2016-06-13,18:05:00,30.13,30.13,30.13,30.13,100,0
2016-06-13,18:10:00,30.18,30.2,30.18,30.2,300,0
2016-06-13,18:20:00,30.35,30.35,30.35,30.35,100,0
2016-06-13,18:25:00,30.32,30.32,30.32,30.32,100,0
2016-06-13,18:30:00,30.25,30.29,30.21,30.21,3900,0
2016-06-13,18:35:00,30.25,30.255,30.16,30.16,2800,0
2016-06-13,18:40:00,30.17,30.21,30.17,30.21,300,0
2016-06-13,18:45:00,30.222,30.25,30.222,30.25,675,0
2016-06-13,18:50:00,30.29,30.29,30.29,30.29,100,0
2016-06-13,18:55:00,30.19,30.27,30.19,30.27,200,0
2016-06-13,19:00:00,30.267,30.267,30.267,30.267,500,0
2016-06-13,19:05:00,30.24,30.26,30.24,30.24,400,0
2016-06-13,19:10:00,30.27,30.28,30.27,30.28,300,0
2016-06-13,19:20:00,30.25,30.25,30.25,30.25,100,0
2016-06-13,19:25:00,30.245,30.28,30.245,30.28,900,0
2016-06-13,19:30:00,30.31,30.31,30.3,30.3,200,0
2016-06-13,19:35:00,30.28,30.28,30.26,30.26,200,0
2016-06-13,19:40:00,30.22,30.23,30.18,30.21,2418,0
2016-06-13,19:45:00,30.18,30.195,30.16,30.17,1347,0
2016-06-13,19:50:00,30.22,30.22,30.22,30.22,100,0
2016-06-13,19:55:00,30.16,30.16,30.08,30.08,1200,0
2016-06-13,20:00:00,30.07,30.1,30.07,30.1,400,0
2016-06-13,20:05:00,30.11,30.13,30.11,30.13,500,0
2016-06-13,20:20:00,30.08,30.08,30.02,30.06,1993,0
2016-06-13,20:25:00,30,30.04,30,30,825,0
2016-06-13,20:30:00,29.966,30.02,29.95,30.01,1072,0
2016-06-13,20:35:00,30.01,30.1,30.01,30.08,900,0
2016-06-13,20:40:00,30.01,30.01,29.99,29.99,200,0
2016-06-13,20:45:00,29.98,29.98,29.95,29.965,400,0
2016-06-13,20:50:00,29.99,30.01,29.97,30,1090,0
2016-06-13,20:55:00,29.99,30.05,29.99,30.05,1300,0
2016-06-13,21:00:00,30.02,30.03,30.02,30.03,200,0
2016-06-13,21:10:00,29.95,30,29.93,29.97,2300,0
2016-06-13,21:15:00,29.97,30.01,29.96,30,3100,0
2016-06-13,21:20:00,30.01,30.02,30,30.02,400,0
2016-06-13,21:25:00,30,30,29.98,29.98,5000,0
2016-06-13,21:30:00,30,30,29.97,30,800,0
2016-06-13,21:35:00,30,30,29.98,30,700,0
2016-06-13,21:40:00,29.98,30,29.93,29.96,4900,0
2016-06-13,21:45:00,29.93,30,29.92,29.92,5785,0
2016-06-13,21:50:00,29.96,29.97,29.96,29.97,2300,0
2016-06-13,21:55:00,29.95,29.99,29.9,29.97,4200,0
2016-06-13,22:00:00,29.94,30,29.92,29.97,9214,0
2016-06-14,15:35:00,29.86,30.01,29.86,30.01,1265,0
2016-06-14,15:40:00,30.03,30.23,30.03,30.23,500,0
2016-06-14,15:45:00,30.04,30.04,29.95,29.95,900,0
2016-06-14,15:50:00,29.91,29.91,29.91,29.91,100,0
2016-06-14,15:55:00,29.8981,29.8981,29.89,29.89,594,0
2016-06-14,16:05:00,29.875,29.97,29.84,29.91,3350,0
2016-06-14,16:10:00,29.92,30.03,29.85,29.92,6096,0
2016-06-14,16:15:00,29.92,30.04,29.91,30.01,3200,0
2016-06-14,16:20:00,29.93,30,29.9275,29.94,852,0
2016-06-14,16:25:00,29.96,30.01,29.89,29.94,5840,0
2016-06-14,16:30:00,29.96,30.01,29.92,29.95,3843,0
2016-06-14,16:35:00,29.9,30,29.9,30,2600,0
2016-06-14,16:40:00,29.92,29.92,29.92,29.92,300,0
2016-06-14,16:45:00,29.89,29.96,29.85,29.96,3400,0
2016-06-14,16:50:00,30,30,30,30,1400,0
2016-06-14,16:55:00,29.96,29.96,29.91,29.91,1805,0
2016-06-14,17:00:00,29.91,30.01,29.85,29.98,8200,0
2016-06-14,17:05:00,29.955,29.995,29.955,29.995,2322,0
2016-06-14,17:10:00,29.97,30.02,29.97,30.02,400,0
2016-06-14,17:15:00,29.99,30.0199,29.96,30.0199,755,0
2016-06-14,17:20:00,29.95,29.99,29.92,29.92,3598,0
2016-06-14,17:25:00,29.95,29.98,29.93,29.95,2100,0
2016-06-14,17:30:00,29.94,29.94,29.94,29.94,100,0
2016-06-14,17:35:00,30,30,29.88,29.925,23516,0
2016-06-14,17:40:00,29.92,30,29.92,30,800,0
2016-06-14,17:45:00,29.99,30.08,29.97,29.98,1161,0
2016-06-14,17:50:00,29.991,30.01,29.94,29.94,400,0
