Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,38.28,38.28,38.18,38.19,497,0
2016-06-15,15:40:00,38.16,38.18,38.08,38.08,600,0
2016-06-15,15:45:00,38.155,38.16,38.12,38.16,1200,0
2016-06-15,15:50:00,38.19,38.21,38.05,38.17,5900,0
2016-06-15,15:55:00,38.15,38.24,38.13,38.18,4865,0
2016-06-15,16:20:00,38.2,38.22,38.2,38.21,900,0
2016-06-15,16:25:00,38.21,38.28,38.14,38.28,2747,0
2016-06-15,16:30:00,38.265,38.265,38.21,38.21,400,0
2016-06-15,16:35:00,38.26,38.3,38.21,38.21,800,0
2016-06-15,16:40:00,38.24,38.26,38.24,38.25,1000,0
2016-06-15,16:45:00,38.25,38.31,38.25,38.27,500,0
2016-06-15,16:50:00,38.3,38.3,38.3,38.3,100,0
2016-06-15,16:55:00,38.36,38.36,38.32,38.36,600,0
2016-06-15,17:00:00,38.35,38.35,38.28,38.28,300,0
2016-06-15,17:10:00,38.34,38.41,38.34,38.41,300,0
2016-06-15,17:15:00,38.36,38.36,38.36,38.36,100,0
2016-06-15,17:20:00,38.36,38.37,38.33,38.35,1700,0
2016-06-15,17:25:00,38.38,38.38,38.36,38.36,600,0
2016-06-15,17:30:00,38.37,38.37,38.32,38.33,400,0
2016-06-15,17:35:00,38.34,38.34,38.33,38.33,400,0
2016-06-15,17:40:00,38.34,38.37,38.34,38.36,500,0
2016-06-15,17:45:00,38.34,38.38,38.31,38.31,300,0
2016-06-15,17:50:00,38.29,38.31,38.29,38.31,200,0
2016-06-15,18:00:00,38.4,38.45,38.4,38.45,1200,0
2016-06-15,18:10:00,38.47,38.54,38.47,38.54,200,0
2016-06-15,18:15:00,38.42,38.42,38.42,38.42,100,0
2016-06-15,18:20:00,38.45,38.51,38.45,38.48,900,0
2016-06-15,18:30:00,38.49,38.49,38.49,38.49,100,0
2016-06-15,18:35:00,38.44,38.49,38.43,38.49,1500,0
2016-06-15,18:45:00,38.5,38.51,38.46,38.46,500,0
2016-06-15,18:50:00,38.45,38.45,38.45,38.45,100,0
2016-06-15,18:55:00,38.44,38.49,38.44,38.46,600,0
2016-06-15,19:00:00,38.44,38.44,38.44,38.44,300,0
2016-06-15,19:05:00,38.49,38.51,38.49,38.51,200,0
2016-06-15,19:10:00,38.45,38.45,38.44,38.44,200,0
2016-06-15,19:15:00,38.41,38.45,38.41,38.45,200,0
2016-06-15,19:20:00,38.45,38.49,38.45,38.47,800,0
2016-06-15,19:25:00,38.46,38.46,38.46,38.46,100,0
2016-06-15,19:30:00,38.47,38.55,38.47,38.55,700,0
2016-06-15,19:40:00,38.47,38.53,38.47,38.53,500,0
2016-06-15,19:45:00,38.57,38.57,38.57,38.57,600,0
2016-06-15,19:50:00,38.57,38.6,38.51,38.54,900,0
2016-06-15,19:55:00,38.525,38.54,38.525,38.54,300,0
2016-06-15,20:00:00,38.53,38.58,38.53,38.58,300,0
2016-06-15,20:05:00,38.65,38.715,38.61,38.62,1400,0
2016-06-15,20:10:00,38.63,38.64,38.52,38.54,2512,0
2016-06-15,20:15:00,38.53,38.54,38.47,38.47,900,0
2016-06-15,20:20:00,38.43,38.54,38.43,38.51,900,0
2016-06-15,20:25:00,38.49,38.52,38.49,38.52,1200,0
2016-06-15,20:30:00,38.49,38.56,38.49,38.55,800,0
2016-06-15,20:35:00,38.51,38.53,38.48,38.53,1712,0
2016-06-15,20:40:00,38.52,38.55,38.52,38.53,2100,0
2016-06-15,20:45:00,38.54,38.59,38.54,38.58,964,0
2016-06-15,20:50:00,38.63,38.65,38.59,38.61,1700,0
