Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,5.24,5.24,5.1262,5.24,4129,0
2016-06-15,15:40:00,5.23,5.23,5.23,5.23,300,0
2016-06-15,15:45:00,5.24,5.25,5.24,5.25,3690,0
2016-06-15,15:50:00,5.24,5.26,5.23,5.26,700,0
2016-06-15,15:55:00,5.24,5.26,5.23,5.23,300,0
2016-06-15,16:00:00,5.23,5.23,5.23,5.23,100,0
2016-06-15,16:25:00,5.2299,5.25,5.2299,5.24,4300,0
2016-06-15,16:30:00,5.25,5.25,5.2,5.23,14309,0
2016-06-15,16:35:00,5.22,5.24,5.22,5.24,17040,0
2016-06-15,16:40:00,5.24,5.27,5.23,5.26,4053,0
2016-06-15,16:45:00,5.24,5.25,5.24,5.245,3585,0
2016-06-15,16:50:00,5.245,5.26,5.245,5.25,1900,0
2016-06-15,16:55:00,5.255,5.27,5.255,5.26,2100,0
2016-06-15,17:00:00,5.25,5.28,5.25,5.28,854,0
2016-06-15,17:05:00,5.28,5.28,5.25,5.26,1500,0
2016-06-15,17:10:00,5.25,5.27,5.25,5.27,2361,0
2016-06-15,17:15:00,5.26,5.29,5.26,5.26,500,0
2016-06-15,17:20:00,5.28,5.28,5.28,5.28,400,0
2016-06-15,17:25:00,5.29,5.31,5.28,5.31,2500,0
2016-06-15,17:30:00,5.3,5.32,5.3,5.32,500,0
2016-06-15,17:35:00,5.3,5.31,5.29,5.3,900,0
2016-06-15,17:40:00,5.3,5.32,5.3,5.32,2000,0
2016-06-15,17:45:00,5.31,5.335,5.31,5.32,992,0
2016-06-15,17:50:00,5.35,5.35,5.34,5.34,500,0
2016-06-15,17:55:00,5.37,5.38,5.3575,5.38,6300,0
2016-06-15,18:00:00,5.37,5.375,5.34,5.34,53000,0
2016-06-15,18:05:00,5.37,5.37,5.33,5.335,1942,0
2016-06-15,18:10:00,5.33,5.33,5.33,5.33,1100,0
2016-06-15,18:15:00,5.32,5.34,5.32,5.34,681,0
2016-06-15,18:20:00,5.32,5.32,5.32,5.32,100,0
2016-06-15,18:25:00,5.33,5.33,5.31,5.31,446,0
2016-06-15,18:30:00,5.32,5.325,5.31,5.31,1100,0
2016-06-15,18:40:00,5.3,5.3,5.3,5.3,100,0
2016-06-15,18:45:00,5.32,5.32,5.3,5.31,12700,0
2016-06-15,18:50:00,5.31,5.32,5.31,5.31,2900,0
2016-06-15,18:55:00,5.3,5.3,5.3,5.3,2400,0
2016-06-15,19:05:00,5.3,5.3,5.29,5.29,400,0
2016-06-15,19:10:00,5.3,5.305,5.3,5.3,2100,0
2016-06-15,19:20:00,5.2999,5.305,5.2999,5.305,3800,0
2016-06-15,19:25:00,5.29,5.29,5.28,5.29,3166,0
2016-06-15,19:30:00,5.3,5.3,5.3,5.3,700,0
2016-06-15,19:35:00,5.3,5.3,5.2908,5.2908,600,0
2016-06-15,19:40:00,5.29,5.3,5.29,5.3,500,0
2016-06-15,19:45:00,5.31,5.31,5.3,5.31,700,0
2016-06-15,19:50:00,5.3,5.3,5.3,5.3,1000,0
2016-06-15,19:55:00,5.3,5.3,5.29,5.29,1000,0
2016-06-15,20:00:00,5.29,5.29,5.29,5.29,496,0
2016-06-15,20:05:00,5.3,5.3,5.29,5.3,2500,0
2016-06-15,20:10:00,5.3,5.3,5.29,5.3,500,0
2016-06-15,20:15:00,5.29,5.29,5.29,5.29,900,0
2016-06-15,20:20:00,5.3,5.3,5.28,5.28,444,0
2016-06-15,20:25:00,5.3,5.3,5.3,5.3,100,0
2016-06-15,20:35:00,5.28,5.3055,5.27,5.3055,2402,0
2016-06-15,20:40:00,5.3,5.3,5.3,5.3,200,0
2016-06-15,20:45:00,5.295,5.3,5.29,5.3,500,0
2016-06-15,20:50:00,5.29,5.3,5.28,5.297,3164,0
2016-06-15,21:00:00,5.29,5.29,5.28,5.285,3600,0
2016-06-15,21:05:00,5.28,5.285,5.26,5.27,4628,0
2016-06-15,21:10:00,5.27,5.27,5.26,5.27,1600,0
2016-06-15,21:15:00,5.27,5.27,5.26,5.26,300,0
2016-06-15,21:20:00,5.27,5.27,5.25,5.2511,1300,0
2016-06-15,21:25:00,5.26,5.26,5.25,5.26,300,0
2016-06-15,21:30:00,5.26,5.26,5.25,5.25,2900,0
2016-06-15,21:35:00,5.25,5.25,5.22,5.22,2200,0
2016-06-15,21:40:00,5.22,5.23,5.21,5.215,1500,0
2016-06-15,21:45:00,5.21,5.23,5.21,5.22,1727,0
2016-06-15,21:50:00,5.22,5.22,5.2,5.21,5553,0
2016-06-15,21:55:00,5.21,5.22,5.2,5.22,6360,0
2016-06-15,22:00:00,5.21,5.22,5.21,5.22,10350,0
2016-06-16,15:35:00,5.18,5.21,5.11,5.173,2286,0
2016-06-16,15:40:00,5.13,5.14,5.1,5.12,1400,0
2016-06-16,15:45:00,5.13,5.19,5.1,5.14,1100,0
2016-06-16,15:50:00,5.09,5.15,5.09,5.115,2800,0
2016-06-16,15:55:00,5.12,5.16,5.12,5.15,2094,0
2016-06-16,16:00:00,5.19,5.19,5.16,5.18,300,0
2016-06-16,16:05:00,5.17,5.19,5.17,5.19,1112,0
2016-06-16,16:10:00,5.21,5.22,5.19,5.19,4600,0
2016-06-16,16:15:00,5.18,5.21,5.18,5.19,1900,0
2016-06-16,16:20:00,5.2,5.2,5.19,5.19,700,0
2016-06-16,16:25:00,5.185,5.185,5.14,5.14,1700,0
2016-06-16,16:30:00,5.15,5.16,5.15,5.151,650,0
2016-06-16,16:35:00,5.16,5.16,5.12,5.12,1500,0
2016-06-16,16:40:00,5.12,5.12,5.1,5.1,1500,0
2016-06-16,16:45:00,5.1,5.11,5.1,5.1,2200,0
2016-06-16,16:50:00,5.11,5.12,5.11,5.12,300,0
2016-06-16,16:55:00,5.12,5.14,5.12,5.14,600,0
2016-06-16,17:00:00,5.14,5.17,5.14,5.15,3100,0
2016-06-16,17:05:00,5.15,5.16,5.14,5.15,1300,0
2016-06-16,17:10:00,5.13,5.15,5.13,5.15,600,0
2016-06-16,17:15:00,5.15,5.155,5.145,5.15,2110,0
2016-06-16,17:20:00,5.17,5.17,5.14,5.14,700,0
2016-06-16,17:25:00,5.13,5.14,5.13,5.14,800,0
2016-06-16,17:30:00,5.14,5.15,5.14,5.15,1100,0
2016-06-16,17:35:00,5.15,5.15,5.15,5.15,600,0
2016-06-16,17:45:00,5.14,5.14,5.13,5.13,1300,0
2016-06-16,17:50:00,5.13,5.13,5.09,5.09,1200,0
2016-06-16,17:55:00,5.1,5.11,5.1,5.11,300,0
2016-06-16,18:00:00,5.09,5.0999,5.09,5.0999,1700,0
2016-06-16,18:05:00,5.1,5.11,5.1,5.11,600,0
2016-06-16,18:10:00,5.1,5.1,5.1,5.1,100,0
2016-06-16,18:15:00,5.11,5.11,5.1,5.1,200,0
2016-06-16,18:20:00,5.1095,5.1095,5.09,5.09,3200,0
2016-06-16,18:25:00,5.1,5.11,5.1,5.11,1000,0
2016-06-16,18:30:00,5.12,5.14,5.12,5.14,500,0
2016-06-16,18:35:00,5.125,5.125,5.125,5.125,100,0
2016-06-16,18:40:00,5.13,5.14,5.13,5.14,600,0
2016-06-16,18:50:00,5.14,5.15,5.14,5.14,1292,0
2016-06-16,19:00:00,5.15,5.155,5.15,5.15,1300,0
