Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,4.63,4.63,4.5,4.525,7056,0
2016-06-16,15:40:00,4.515,4.5199,4.38,4.45,20720,0
2016-06-16,15:45:00,4.45,4.5299,4.45,4.5286,1845,0
2016-06-16,15:50:00,4.51,4.51,4.48,4.48,1600,0
2016-06-16,15:55:00,4.48,4.52,4.48,4.49,2850,0
2016-06-16,16:00:00,4.49,4.5025,4.48,4.5,5200,0
2016-06-16,16:05:00,4.5,4.51,4.5,4.5,1100,0
2016-06-16,16:10:00,4.5098,4.51,4.5,4.51,3951,0
2016-06-16,16:15:00,4.51,4.55,4.51,4.55,4729,0
2016-06-16,16:20:00,4.55,4.58,4.55,4.56,9100,0
2016-06-16,16:25:00,4.56,4.56,4.5,4.5,4600,0
2016-06-16,16:30:00,4.5,4.5017,4.5,4.5,1110,0
2016-06-16,16:35:00,4.5,4.51,4.5,4.51,3000,0
2016-06-16,16:40:00,4.5,4.51,4.5,4.501,2700,0
2016-06-16,16:45:00,4.5,4.51,4.5,4.505,1500,0
2016-06-16,16:50:00,4.505,4.52,4.505,4.51,4855,0
2016-06-16,16:55:00,4.51,4.52,4.5,4.51,5421,0
2016-06-16,17:00:00,4.51,4.52,4.51,4.5192,1700,0
2016-06-16,17:05:00,4.5115,4.55,4.5115,4.55,2600,0
2016-06-16,17:10:00,4.54,4.54,4.53,4.54,900,0
2016-06-16,17:15:00,4.531,4.54,4.52,4.53,2012,0
2016-06-16,17:20:00,4.52,4.53,4.52,4.5211,2100,0
2016-06-16,17:25:00,4.52,4.5293,4.52,4.52,2900,0
2016-06-16,17:30:00,4.52,4.53,4.52,4.52,3100,0
2016-06-16,17:35:00,4.52,4.5211,4.52,4.52,6200,0
2016-06-16,17:40:00,4.52,4.53,4.52,4.52,1500,0
2016-06-16,17:45:00,4.52,4.52,4.52,4.52,1500,0
2016-06-16,17:50:00,4.52,4.52,4.52,4.52,1900,0
2016-06-16,17:55:00,4.52,4.52,4.52,4.52,1700,0
2016-06-16,18:00:00,4.52,4.525,4.52,4.52,3700,0
2016-06-16,18:05:00,4.52,4.525,4.52,4.525,900,0
2016-06-16,18:10:00,4.52,4.52,4.52,4.52,1400,0
2016-06-16,18:15:00,4.52,4.5293,4.52,4.52,1200,0
2016-06-16,18:20:00,4.52,4.53,4.52,4.52,1000,0
2016-06-16,18:25:00,4.52,4.52,4.5,4.51,2300,0
2016-06-16,18:30:00,4.5,4.51,4.5,4.505,3600,0
2016-06-16,18:35:00,4.5099,4.51,4.5,4.5,2700,0
2016-06-16,18:40:00,4.501,4.52,4.5,4.51,3003,0
2016-06-16,18:45:00,4.51,4.5184,4.5,4.501,3640,0
2016-06-16,18:50:00,4.501,4.51,4.5,4.5,1700,0
2016-06-16,18:55:00,4.5,4.5,4.5,4.5,1200,0
2016-06-16,19:00:00,4.5,4.51,4.5,4.5,2700,0
2016-06-16,19:05:00,4.5,4.5093,4.5,4.5,1327,0
2016-06-16,19:10:00,4.5007,4.51,4.5,4.5,1700,0
2016-06-16,19:15:00,4.5,4.51,4.5,4.51,1700,0
2016-06-16,19:20:00,4.5,4.505,4.5,4.5007,900,0
2016-06-16,19:25:00,4.5,4.51,4.5,4.5,1100,0
2016-06-16,19:30:00,4.5,4.51,4.5,4.505,1700,0
2016-06-16,19:35:00,4.5,4.5,4.49,4.495,7690,0
2016-06-16,19:40:00,4.49,4.495,4.48,4.49,3200,0
2016-06-16,19:45:00,4.48,4.48,4.45,4.455,6968,0
2016-06-16,19:50:00,4.45,4.4598,4.45,4.4592,2500,0
2016-06-16,19:55:00,4.45,4.47,4.45,4.455,5100,0
2016-06-16,20:00:00,4.465,4.47,4.46,4.47,1600,0
2016-06-16,20:05:00,4.47,4.5,4.465,4.5,2600,0
2016-06-16,20:10:00,4.49,4.5,4.49,4.5,1600,0
2016-06-16,20:15:00,4.495,4.5,4.49,4.495,3300,0
2016-06-16,20:20:00,4.5,4.51,4.495,4.51,2700,0
2016-06-16,20:25:00,4.515,4.52,4.51,4.51,1200,0
2016-06-16,20:30:00,4.51,4.51,4.49,4.495,4240,0
2016-06-16,20:35:00,4.495,4.5,4.495,4.5,1600,0
2016-06-16,20:40:00,4.495,4.51,4.495,4.5,1800,0
2016-06-16,20:45:00,4.51,4.51,4.5,4.5,1400,0
2016-06-16,20:50:00,4.51,4.51,4.5,4.505,1800,0
2016-06-16,20:55:00,4.5,4.5061,4.5,4.5061,1510,0
2016-06-16,21:00:00,4.5,4.51,4.5,4.51,4568,0
2016-06-16,21:05:00,4.51,4.52,4.51,4.515,1900,0
2016-06-16,21:10:00,4.51,4.52,4.51,4.51,2430,0
2016-06-16,21:15:00,4.51,4.52,4.51,4.52,3500,0
2016-06-16,21:20:00,4.511,4.52,4.51,4.52,4475,0
2016-06-16,21:25:00,4.52,4.52,4.51,4.515,2500,0
2016-06-16,21:30:00,4.52,4.52,4.51,4.51,2300,0
2016-06-16,21:35:00,4.51,4.55,4.51,4.55,10600,0
2016-06-16,21:40:00,4.5507,4.56,4.54,4.541,3400,0
2016-06-16,21:45:00,4.545,4.55,4.54,4.54,2067,0
2016-06-16,21:50:00,4.545,4.55,4.53,4.535,3852,0
2016-06-16,21:55:00,4.53,4.53,4.5,4.5,4704,0
2016-06-16,22:00:00,4.51,4.54,4.505,4.53,20337,0
2016-06-17,15:35:00,4.55,4.55,4.47,4.47,57094,0
2016-06-17,15:40:00,4.5,4.52,4.5,4.5057,580,0
2016-06-17,15:45:00,4.49,4.53,4.49,4.53,12399,0
2016-06-17,15:50:00,4.53,4.53,4.53,4.53,500,0
2016-06-17,15:55:00,4.54,4.55,4.53,4.53,1700,0
2016-06-17,16:00:00,4.5299,4.5299,4.5,4.5,1200,0
2016-06-17,16:05:00,4.52,4.52,4.52,4.52,300,0
2016-06-17,16:10:00,4.51,4.54,4.51,4.53,1900,0
2016-06-17,16:15:00,4.53,4.54,4.52,4.54,1400,0
2016-06-17,16:20:00,4.54,4.54,4.54,4.54,100,0
2016-06-17,16:30:00,4.54,4.54,4.53,4.535,7400,0
2016-06-17,16:35:00,4.54,4.56,4.53,4.56,3100,0
2016-06-17,16:40:00,4.57,4.6,4.56,4.59,600,0
2016-06-17,16:45:00,4.6,4.61,4.6,4.61,800,0
2016-06-17,16:50:00,4.61,4.63,4.6,4.6,5200,0
2016-06-17,16:55:00,4.58,4.5811,4.58,4.5811,800,0
