Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,7.47,7.47,7.06,7.2,1602,0
2016-06-14,15:50:00,7.37,7.375,7.37,7.375,1000,0
2016-06-14,15:55:00,7.38,7.38,7.33,7.36,7700,0
2016-06-14,16:00:00,7.37,7.37,7.35,7.35,200,0
2016-06-14,16:05:00,7.35,7.35,7.35,7.35,300,0
2016-06-14,16:10:00,7.38,7.39,7.35,7.35,1200,0
2016-06-14,16:15:00,7.4,7.4,7.4,7.4,200,0
2016-06-14,16:20:00,7.39,7.39,7.39,7.39,100,0
2016-06-14,16:25:00,7.4,7.44,7.4,7.44,600,0
2016-06-14,16:30:00,7.43,7.43,7.38,7.38,700,0
2016-06-14,16:35:00,7.39,7.39,7.39,7.39,300,0
2016-06-14,16:40:00,7.37,7.37,7.33,7.33,400,0
2016-06-14,16:45:00,7.38,7.39,7.38,7.39,400,0
2016-06-14,16:50:00,7.38,7.3875,7.38,7.3875,405,0
2016-06-14,17:05:00,7.37,7.37,7.37,7.37,100,0
2016-06-14,17:10:00,7.3601,7.4,7.3601,7.4,1400,0
2016-06-14,17:15:00,7.42,7.42,7.4,7.4,300,0
2016-06-14,17:20:00,7.39,7.4,7.39,7.39,900,0
2016-06-14,17:30:00,7.39,7.39,7.39,7.39,100,0
2016-06-14,17:35:00,7.39,7.39,7.39,7.39,800,0
2016-06-14,17:45:00,7.399,7.399,7.399,7.399,300,0
2016-06-14,17:50:00,7.42,7.42,7.42,7.42,100,0
2016-06-14,17:55:00,7.405,7.42,7.405,7.42,600,0
2016-06-14,18:00:00,7.4272,7.45,7.42,7.42,8300,0
2016-06-14,18:05:00,7.42,7.425,7.42,7.425,700,0
2016-06-14,18:10:00,7.42,7.43,7.42,7.43,200,0
2016-06-14,18:15:00,7.43,7.445,7.43,7.445,900,0
2016-06-14,18:20:00,7.46,7.46,7.36,7.3699,14314,0
2016-06-14,18:25:00,7.35,7.47,7.35,7.44,6000,0
2016-06-14,18:30:00,7.46,7.5,7.35,7.35,4785,0
2016-06-14,18:35:00,7.34,7.5,7.34,7.49,4420,0
2016-06-14,18:40:00,7.5,7.5,7.5,7.5,100,0
2016-06-14,18:45:00,7.52,7.52,7.5,7.5,600,0
2016-06-14,18:50:00,7.54,7.55,7.53,7.53,300,0
2016-06-14,18:55:00,7.54,7.56,7.54,7.56,600,0
2016-06-14,19:00:00,7.57,7.58,7.56,7.58,300,0
2016-06-14,19:05:00,7.59,7.59,7.59,7.59,500,0
2016-06-14,19:10:00,7.61,7.61,7.61,7.61,200,0
2016-06-14,19:15:00,7.62,7.62,7.62,7.62,400,0
2016-06-14,19:20:00,7.62,7.62,7.62,7.62,100,0
2016-06-14,19:30:00,7.64,7.64,7.6,7.6,200,0
2016-06-14,19:35:00,7.6,7.63,7.5901,7.61,995,0
2016-06-14,19:40:00,7.64,7.64,7.64,7.64,200,0
2016-06-14,19:50:00,7.63,7.63,7.63,7.63,200,0
2016-06-14,19:55:00,7.64,7.65,7.64,7.65,500,0
2016-06-14,20:00:00,7.65,7.65,7.65,7.65,100,0
2016-06-14,20:05:00,7.63,7.63,7.605,7.605,300,0
2016-06-14,20:10:00,7.6,7.605,7.58,7.58,1859,0
2016-06-14,20:15:00,7.58,7.58,7.58,7.58,100,0
2016-06-14,20:20:00,7.58,7.58,7.58,7.58,100,0
2016-06-14,20:25:00,7.6,7.6,7.58,7.58,400,0
2016-06-14,20:35:00,7.59,7.59,7.59,7.59,200,0
2016-06-14,20:40:00,7.61,7.61,7.59,7.61,500,0
2016-06-14,20:45:00,7.64,7.64,7.64,7.64,200,0
2016-06-14,20:50:00,7.63,7.63,7.63,7.63,700,0
2016-06-14,20:55:00,7.64,7.64,7.64,7.64,300,0
2016-06-14,21:00:00,7.63,7.63,7.6,7.6,800,0
2016-06-14,21:05:00,7.6,7.6,7.59,7.59,400,0
2016-06-14,21:15:00,7.58,7.58,7.58,7.58,100,0
2016-06-14,21:20:00,7.61,7.61,7.59,7.59,400,0
2016-06-14,21:25:00,7.61,7.61,7.61,7.61,100,0
2016-06-14,21:30:00,7.61,7.64,7.6025,7.64,700,0
2016-06-14,21:35:00,7.65,7.65,7.62,7.64,400,0
2016-06-14,21:40:00,7.63,7.64,7.61,7.61,1800,0
2016-06-14,21:45:00,7.61,7.61,7.61,7.61,186,0
2016-06-14,21:50:00,7.62,7.63,7.62,7.63,800,0
2016-06-14,21:55:00,7.61,7.63,7.61,7.63,1000,0
2016-06-14,22:00:00,7.63,7.66,7.62,7.65,7743,0
2016-06-15,15:35:00,7.73,7.73,7.73,7.73,1000,0
2016-06-15,15:40:00,7.68,7.68,7.68,7.68,100,0
2016-06-15,15:45:00,7.73,7.73,7.7,7.7,356,0
2016-06-15,15:55:00,7.81,7.81,7.79,7.79,600,0
2016-06-15,16:40:00,7.81,7.81,7.81,7.81,100,0
