Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-09,15:35:00,14.11,14.11,14.11,14.11,100,0
2016-06-09,15:40:00,14.5,14.5,14.09,14.09,200,0
2016-06-09,15:50:00,14.1,14.1,14,14,500,0
2016-06-09,15:55:00,14,14,14,14,100,0
2016-06-09,16:00:00,14,14,14,14,100,0
2016-06-09,16:10:00,13.9,13.9,13.9,13.9,100,0
2016-06-09,16:15:00,13.9,13.9,13.89,13.89,472,0
2016-06-09,16:20:00,13.643,13.75,13.61,13.75,436,0
2016-06-09,16:55:00,13.98,13.98,13.98,13.98,100,0
2016-06-09,17:20:00,13.81,13.81,13.81,13.81,100,0
2016-06-09,17:30:00,13.81,13.81,13.81,13.81,100,0
2016-06-09,17:35:00,13.8,13.8,13.8,13.8,100,0
2016-06-09,17:55:00,13.8,13.8,13.8,13.8,200,0
2016-06-09,18:30:00,13.89,13.89,13.89,13.89,100,0
2016-06-09,18:50:00,13.7501,13.89,13.7501,13.89,1100,0
2016-06-09,18:55:00,13.76,13.76,13.76,13.76,100,0
2016-06-09,19:00:00,13.76,13.76,13.76,13.76,100,0
2016-06-09,19:10:00,13.825,13.825,13.825,13.825,100,0
2016-06-09,19:15:00,13.82,13.82,13.82,13.82,170,0
2016-06-09,19:20:00,13.79,13.79,13.79,13.79,100,0
2016-06-09,19:40:00,13.9,13.9,13.9,13.9,100,0
2016-06-09,20:35:00,13.82,13.82,13.75,13.75,200,0
2016-06-09,20:40:00,13.72,13.73,13.71,13.73,500,0
2016-06-09,20:45:00,13.73,13.73,13.7,13.7,900,0
2016-06-09,20:50:00,13.69,13.69,13.69,13.69,400,0
2016-06-09,20:55:00,13.6198,13.67,13.6,13.64,1900,0
2016-06-09,21:00:00,13.58,13.58,13.58,13.58,400,0
2016-06-09,21:05:00,13.5742,13.58,13.5,13.505,900,0
2016-06-09,21:10:00,13.5,13.52,13.45,13.52,400,0
2016-06-09,21:15:00,13.64,13.64,13.64,13.64,500,0
2016-06-09,21:20:00,13.64,13.64,13.64,13.64,1822,0
2016-06-09,21:40:00,13.63,13.63,13.63,13.63,100,0
2016-06-09,21:55:00,13.64,13.74,13.64,13.74,849,0
2016-06-09,22:00:00,13.65,13.69,13.58,13.58,1135,0
2016-06-10,15:35:00,13.56,13.56,13.56,13.56,150,0
2016-06-10,15:45:00,13.5861,13.7204,13.58,13.7204,3400,0
2016-06-10,16:05:00,13.49,13.49,13.49,13.49,200,0
2016-06-10,16:10:00,13.57,13.57,13.57,13.57,200,0
2016-06-10,16:15:00,13.5599,13.5599,13.25,13.25,900,0
2016-06-10,16:20:00,13.23,13.23,13.23,13.23,300,0
2016-06-10,16:30:00,13.17,13.18,13.17,13.18,5345,0
2016-06-10,16:35:00,13.25,13.25,13.25,13.25,200,0
2016-06-10,16:40:00,13.27,13.4699,13.27,13.4699,400,0
2016-06-10,16:45:00,13.47,13.47,13.47,13.47,500,0
2016-06-10,16:50:00,13.47,13.47,13.47,13.47,100,0
2016-06-10,17:00:00,13.46,13.46,13.46,13.46,100,0
2016-06-10,17:05:00,13.44,13.44,13.44,13.44,100,0
2016-06-10,17:15:00,13.35,13.35,13.35,13.35,100,0
2016-06-10,17:20:00,13.35,13.38,13.35,13.38,700,0
2016-06-10,18:05:00,13.29,13.38,13.29,13.37,1800,0
2016-06-10,18:15:00,13.44,13.44,13.44,13.44,100,0
2016-06-10,18:25:00,13.3915,13.3915,13.3915,13.3915,190,0
2016-06-10,18:35:00,13.41,13.41,13.41,13.41,100,0
2016-06-10,18:45:00,13.43,13.43,13.43,13.43,100,0
2016-06-10,19:00:00,13.37,13.39,13.37,13.39,300,0
2016-06-10,19:10:00,13.43,13.44,13.43,13.44,1000,0
2016-06-10,19:20:00,13.39,13.47,13.39,13.47,400,0
2016-06-10,19:40:00,13.48,13.48,13.48,13.48,100,0
2016-06-10,19:50:00,13.42,13.42,13.41,13.41,200,0
2016-06-10,19:55:00,13.42,13.455,13.41,13.41,800,0
2016-06-10,20:25:00,13.21,13.22,13.14,13.14,2337,0
