Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,15:35:00,20.492,20.492,20.492,20.492,1997,0
2016-05-20,16:00:00,20.601,20.601,20.601,20.601,100,0
2016-05-20,16:05:00,20.711,20.711,20.711,20.711,100,0
2016-05-20,16:20:00,20.83,20.83,20.83,20.83,234,0
2016-05-20,16:25:00,20.751,20.751,20.751,20.751,246,0
2016-05-20,16:55:00,20.701,20.701,20.701,20.701,201,0
2016-05-20,17:20:00,20.651,20.651,20.651,20.651,100,0
2016-05-20,18:20:00,20.721,20.721,20.721,20.721,100,0
2016-05-20,18:35:00,20.721,20.721,20.721,20.721,201,0
2016-05-20,18:50:00,20.8,20.8,20.771,20.771,296,0
2016-05-20,19:35:00,20.591,20.591,20.591,20.591,100,0
2016-05-20,20:05:00,20.661,20.661,20.661,20.661,100,0
2016-05-20,20:10:00,20.671,20.701,20.656,20.656,703,0
2016-05-20,20:15:00,20.671,20.671,20.596,20.641,703,0
2016-05-20,20:20:00,20.621,20.621,20.581,20.581,603,0
2016-05-20,20:25:00,20.572,20.611,20.513,20.552,603,0
2016-05-20,20:30:00,20.572,20.611,20.482,20.611,1407,0
2016-05-20,20:35:00,20.552,20.81,20.552,20.621,1507,0
2016-05-20,20:40:00,20.671,20.671,20.532,20.581,1005,0
2016-05-20,20:45:00,20.701,20.701,20.591,20.591,804,0
2016-05-20,20:50:00,20.611,20.611,20.601,20.601,201,0
2016-05-20,20:55:00,20.572,20.581,20.442,20.542,2110,0
2016-05-20,21:00:00,20.581,20.591,20.581,20.591,201,0
2016-05-20,21:05:00,20.671,20.671,20.532,20.532,703,0
2016-05-20,21:25:00,20.601,20.611,20.601,20.611,201,0
2016-05-20,21:50:00,20.572,20.572,20.402,20.402,301,0
2016-05-20,21:55:00,20.502,20.502,20.452,20.452,402,0
2016-05-20,22:00:00,20.452,20.591,20.452,20.522,4103,0
2016-05-23,15:35:00,20.492,20.492,20.492,20.492,301,0
2016-05-23,15:55:00,20.621,20.621,20.601,20.601,603,0
2016-05-23,16:15:00,20.771,20.771,20.771,20.771,100,0
2016-05-23,16:30:00,20.731,20.731,20.731,20.731,100,0
2016-05-23,17:25:00,20.482,20.482,20.482,20.482,100,0
2016-05-23,17:30:00,20.482,20.482,20.482,20.482,100,0
2016-05-23,17:50:00,20.323,20.333,20.323,20.333,201,0
2016-05-23,18:30:00,20.392,20.452,20.333,20.422,1105,0
2016-05-23,18:35:00,20.462,20.462,20.462,20.462,100,0
2016-05-23,18:40:00,20.372,20.462,20.372,20.432,703,0
2016-05-23,18:45:00,20.313,20.382,20.313,20.382,301,0
2016-05-23,18:50:00,20.402,20.452,20.402,20.452,201,0
2016-05-23,19:10:00,20.502,20.502,20.402,20.402,201,0
2016-05-23,19:50:00,20.488,20.488,20.488,20.488,151,0
2016-05-23,20:00:00,20.581,20.581,20.581,20.581,100,0
2016-05-23,20:05:00,20.581,20.581,20.581,20.581,201,0
2016-05-23,20:10:00,20.751,20.751,20.741,20.741,402,0
2016-05-23,20:15:00,20.741,20.741,20.741,20.741,100,0
2016-05-23,20:20:00,20.691,20.691,20.641,20.641,201,0
2016-05-23,20:25:00,20.731,20.731,20.621,20.621,402,0
2016-05-23,20:30:00,20.8,20.8,20.621,20.621,402,0
2016-05-23,20:40:00,20.751,20.88,20.751,20.88,301,0
2016-05-23,20:45:00,20.9,20.9,20.83,20.83,201,0
2016-05-23,20:50:00,20.89,20.89,20.741,20.83,502,0
2016-05-23,20:55:00,20.84,20.84,20.84,20.84,100,0
2016-05-23,21:00:00,20.82,20.82,20.82,20.82,100,0
2016-05-23,21:05:00,20.89,20.89,20.771,20.771,502,0
2016-05-23,21:10:00,20.86,20.87,20.86,20.87,201,0
2016-05-23,21:15:00,20.85,20.85,20.771,20.771,301,0
2016-05-23,21:20:00,20.85,20.87,20.85,20.87,402,0
2016-05-23,21:25:00,20.87,20.87,20.87,20.87,100,0
2016-05-23,21:30:00,20.83,20.84,20.83,20.84,301,0
2016-05-23,21:35:00,20.86,20.9,20.83,20.83,571,0
2016-05-23,21:40:00,20.96,20.97,20.95,20.95,502,0
2016-05-23,21:45:00,20.95,20.95,20.88,20.88,402,0
2016-05-23,21:50:00,20.95,20.96,20.84,20.96,703,0
2016-05-23,21:55:00,20.98,20.98,20.89,20.89,992,0
2016-05-23,22:00:00,20.88,20.95,20.761,20.84,9379,0
2016-05-24,15:45:00,20.99,20.99,20.99,20.99,100,0
2016-05-24,15:50:00,21.179,21.388,21.179,21.388,6116,0
2016-05-24,16:25:00,21.388,21.388,21.368,21.388,402,0
2016-05-24,16:30:00,21.388,21.398,21.298,21.388,6129,0
2016-05-24,16:35:00,21.587,21.607,21.497,21.607,1089,0
2016-05-24,16:40:00,21.666,21.816,21.427,21.427,2713,0
2016-05-24,16:50:00,21.467,21.487,21.467,21.487,402,0
2016-05-24,16:55:00,21.567,21.567,21.567,21.567,117,0
2016-05-24,17:25:00,21.497,21.497,21.497,21.497,100,0
2016-05-24,17:35:00,21.816,21.816,21.816,21.816,100,0
2016-05-24,17:45:00,21.736,21.756,21.587,21.587,1206,0
2016-05-24,17:50:00,21.646,21.686,21.527,21.597,1708,0
2016-05-24,17:55:00,21.537,21.686,21.537,21.617,3718,0
