Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,64.25,64.35,64.13,64.18,75141,0
2016-06-16,15:40:00,64.1638,64.24,63.81,63.8608,36149,0
2016-06-16,15:45:00,63.83,63.95,63.69,63.94,35939,0
2016-06-16,15:50:00,63.88,63.895,63.66,63.8689,32819,0
2016-06-16,15:55:00,63.83,63.83,63.59,63.65,20257,0
2016-06-16,16:00:00,63.65,63.86,63.45,63.81,81636,0
2016-06-16,16:05:00,63.77,63.91,63.515,63.72,52982,0
2016-06-16,16:10:00,63.7,63.9,63.665,63.845,11154,0
2016-06-16,16:15:00,63.82,64.06,63.76,64.05,19800,0
2016-06-16,16:20:00,64.0401,64.11,63.87,63.92,12828,0
2016-06-16,16:25:00,63.9,63.95,63.77,63.77,12862,0
2016-06-16,16:30:00,63.76,63.84,63.71,63.79,13153,0
2016-06-16,16:35:00,63.77,63.84,63.59,63.6,17438,0
2016-06-16,16:40:00,63.56,63.63,63.48,63.48,21423,0
2016-06-16,16:45:00,63.51,63.59,63.49,63.59,15600,0
2016-06-16,16:50:00,63.6,63.68,63.5401,63.56,13052,0
2016-06-16,16:55:00,63.55,63.55,63.371,63.535,15948,0
2016-06-16,17:00:00,63.53,63.59,63.52,63.57,8470,0
2016-06-16,17:05:00,63.55,63.61,63.47,63.53,10331,0
2016-06-16,17:10:00,63.55,63.57,63.44,63.49,10045,0
2016-06-16,17:15:00,63.5258,63.66,63.49,63.65,10763,0
2016-06-16,17:20:00,63.64,63.65,63.55,63.59,8200,0
2016-06-16,17:25:00,63.6,63.64,63.52,63.64,11686,0
2016-06-16,17:30:00,63.64,63.84,63.578,63.78,11725,0
2016-06-16,17:35:00,63.8,63.88,63.71,63.75,48001,0
2016-06-16,17:40:00,63.75,63.8999,63.75,63.85,17020,0
2016-06-16,17:45:00,63.86,63.88,63.64,63.6532,8868,0
2016-06-16,17:50:00,63.65,63.67,63.56,63.6,18175,0
2016-06-16,17:55:00,63.5575,63.57,63.47,63.54,7495,0
2016-06-16,18:00:00,63.5,63.54,63.36,63.46,14600,0
2016-06-16,18:05:00,63.49,63.64,63.41,63.6,13005,0
2016-06-16,18:10:00,63.61,63.61,63.5012,63.53,8070,0
2016-06-16,18:15:00,63.54,63.59,63.45,63.57,8135,0
2016-06-16,18:20:00,63.56,63.79,63.52,63.78,11186,0
2016-06-16,18:25:00,63.82,63.96,63.73,63.95,12633,0
2016-06-16,18:30:00,63.95,64.08,63.93,63.9409,9466,0
2016-06-16,18:35:00,63.91,63.91,63.7684,63.89,8005,0
2016-06-16,18:40:00,63.88,64.17,63.88,64.15,13366,0
2016-06-16,18:45:00,64.13,64.3,64.07,64.2575,10674,0
2016-06-16,18:50:00,64.265,64.28,64.13,64.13,6428,0
2016-06-16,18:55:00,64.14,64.22,64.09,64.22,7178,0
2016-06-16,19:00:00,64.2,64.21,64.11,64.2,4549,0
2016-06-16,19:05:00,64.18,64.38,64.18,64.27,8750,0
2016-06-16,19:10:00,64.3,64.3,64.14,64.29,5900,0
2016-06-16,19:15:00,64.27,64.38,64.24,64.26,12764,0
2016-06-16,19:20:00,64.27,64.33,64.21,64.33,9845,0
2016-06-16,19:25:00,64.31,64.35,64.24,64.28,13178,0
2016-06-16,19:30:00,64.3,64.35,64.22,64.25,8124,0
2016-06-16,19:35:00,64.28,64.32,64.1,64.11,7792,0
2016-06-16,19:40:00,64.13,64.27,64.1,64.25,10571,0
2016-06-16,19:45:00,64.27,64.27,64.14,64.145,19553,0
2016-06-16,19:50:00,64.14,64.19,64.01,64.05,14497,0
2016-06-16,19:55:00,64.06,64.07,63.97,64.02,9050,0
2016-06-16,20:00:00,64.04,64.04,63.905,63.92,12435,0
2016-06-16,20:05:00,63.91,64.02,63.85,63.96,18092,0
2016-06-16,20:10:00,63.94,64,63.88,63.95,17103,0
2016-06-16,20:15:00,63.95,64.13,63.94,64.02,17492,0
2016-06-16,20:20:00,64.03,64.15,64.02,64.14,10359,0
2016-06-16,20:25:00,64.1,64.15,64.01,64.08,13092,0
2016-06-16,20:30:00,64.078,64.11,63.91,63.99,11047,0
2016-06-16,20:35:00,64,64.11,64,64.0699,6912,0
2016-06-16,20:40:00,64.07,64.19,64.07,64.16,11952,0
2016-06-16,20:45:00,64.13,64.25,64.13,64.25,7202,0
2016-06-16,20:50:00,64.24,64.37,64.23,64.37,7384,0
2016-06-16,20:55:00,64.377,64.52,64.34,64.51,13101,0
2016-06-16,21:00:00,64.51,64.52,64.35,64.39,8480,0
2016-06-16,21:05:00,64.38,64.49,64.38,64.47,5931,0
2016-06-16,21:10:00,64.48,64.61,64.46,64.5862,10451,0
2016-06-16,21:15:00,64.58,64.59,64.51,64.58,9000,0
2016-06-16,21:20:00,64.57,64.7,64.57,64.69,12640,0
2016-06-16,21:25:00,64.7,64.75,64.62,64.75,8226,0
2016-06-16,21:30:00,64.76,64.84,64.73,64.83,21333,0
2016-06-16,21:35:00,64.8361,64.87,64.82,64.83,27497,0
2016-06-16,21:40:00,64.8264,64.85,64.76,64.83,18382,0
2016-06-16,21:45:00,64.84,64.86,64.76,64.85,26480,0
2016-06-16,21:50:00,64.85,64.94,64.75,64.91,26864,0
2016-06-16,21:55:00,64.9,64.9,64.7301,64.81,38988,0
2016-06-16,22:00:00,64.8,64.87,64.74,64.78,147487,0
2016-06-17,15:35:00,64.74,64.74,63.8,63.8,232749,0
2016-06-17,15:40:00,63.88,63.88,63.4,63.535,35308,0
2016-06-17,15:45:00,63.56,63.8799,63.53,63.8799,23813,0
2016-06-17,15:50:00,63.81,63.87,63.61,63.64,15571,0
2016-06-17,15:55:00,63.61,63.97,63.61,63.65,31910,0
2016-06-17,16:00:00,63.69,63.78,63.6,63.74,16629,0
2016-06-17,16:05:00,63.73,63.96,63.62,63.83,23305,0
2016-06-17,16:10:00,63.86,63.98,63.74,63.85,16455,0
2016-06-17,16:15:00,63.84,63.9899,63.8,63.92,17445,0
2016-06-17,16:20:00,63.92,63.92,63.67,63.71,26724,0
2016-06-17,16:25:00,63.72,63.72,63.58,63.66,35555,0
2016-06-17,16:30:00,63.7,63.71,63.53,63.5501,22989,0
2016-06-17,16:35:00,63.54,63.58,63.34,63.39,41195,0
2016-06-17,16:40:00,63.38,63.76,63.31,63.73,29065,0
2016-06-17,16:45:00,63.76,63.83,63.7,63.72,19923,0
2016-06-17,16:50:00,63.7264,63.95,63.7264,63.92,22717,0
2016-06-17,16:55:00,63.91,63.98,63.85,63.91,21223,0
2016-06-17,17:00:00,63.9117,63.98,63.77,63.77,21907,0
2016-06-17,17:05:00,63.78,63.8,63.47,63.5,31812,0
2016-06-17,17:10:00,63.48,63.5299,63.43,63.5,22419,0
2016-06-17,17:15:00,63.49,63.576,63.41,63.5,10380,0
2016-06-17,17:20:00,63.48,63.64,63.37,63.64,24446,0
2016-06-17,17:25:00,63.66,63.75,63.61,63.68,11387,0
2016-06-17,17:30:00,63.66,63.68,63.41,63.41,11215,0
2016-06-17,17:35:00,63.4167,63.56,63.4,63.5573,15879,0
2016-06-17,17:40:00,63.54,63.68,63.5,63.68,11514,0
2016-06-17,17:45:00,63.7,63.82,63.7,63.79,12089,0
2016-06-17,17:50:00,63.8,63.8182,63.69,63.8182,11480,0
2016-06-17,17:55:00,63.83,63.84,63.72,63.72,9179,0
2016-06-17,18:00:00,63.72,63.72,63.51,63.59,10043,0
2016-06-17,18:05:00,63.594,63.76,63.56,63.71,8986,0
2016-06-17,18:10:00,63.69,63.86,63.64,63.8175,14346,0
2016-06-17,18:15:00,63.87,63.87,63.76,63.84,12807,0
2016-06-17,18:20:00,63.855,63.855,63.65,63.71,11985,0
2016-06-17,18:25:00,63.72,63.72,63.62,63.64,6444,0
