Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-13,15:35:00,9.96,10.29,9.96,10.25,3900,0
2016-06-13,15:40:00,10.26,10.47,10.25,10.25,400,0
2016-06-13,15:45:00,10.245,10.3,10.23,10.25,2300,0
2016-06-13,15:55:00,10.3,10.48,10.3,10.405,1100,0
2016-06-13,16:00:00,10.395,10.395,10.305,10.305,1000,0
2016-06-13,16:05:00,10.37,10.37,10.25,10.25,900,0
2016-06-13,16:10:00,10.25,10.25,10.25,10.25,100,0
2016-06-13,16:15:00,10.25,10.345,10.22,10.29,6705,0
2016-06-13,16:25:00,10.25,10.34,10.25,10.34,200,0
2016-06-13,16:30:00,10.32,10.32,10.32,10.32,100,0
2016-06-13,16:35:00,10.27,10.3,10.27,10.27,800,0
2016-06-13,16:40:00,10.3,10.3,10.3,10.3,300,0
2016-06-13,16:45:00,10.31,10.34,10.31,10.34,800,0
2016-06-13,16:50:00,10.34,10.34,10.26,10.26,800,0
2016-06-13,16:55:00,10.29,10.29,10.23,10.23,600,0
2016-06-13,17:05:00,10.2,10.22,10.2,10.22,300,0
2016-06-13,17:10:00,10.22,10.22,10.16,10.19,1500,0
2016-06-13,17:15:00,10.11,10.13,10.11,10.13,300,0
2016-06-13,17:20:00,10.11,10.13,10.11,10.13,300,0
2016-06-13,17:25:00,10.07,10.1,10.01,10.1,3208,0
2016-06-13,17:30:00,10.1,10.13,10.1,10.13,600,0
2016-06-13,17:35:00,10.135,10.25,10.135,10.18,5203,0
2016-06-13,17:45:00,10.17,10.17,10.17,10.17,300,0
2016-06-13,17:50:00,10.17,10.17,10.17,10.17,200,0
2016-06-13,18:00:00,10.17,10.17,10.1,10.1,700,0
2016-06-13,18:05:00,10.1,10.1,10.1,10.1,1200,0
2016-06-13,18:10:00,10.1,10.1,10.1,10.1,600,0
2016-06-13,18:15:00,10.1,10.11,10.1,10.1,400,0
2016-06-13,18:20:00,10.11,10.11,10.11,10.11,100,0
2016-06-13,18:25:00,10.1,10.1,10.09,10.09,1000,0
2016-06-13,18:40:00,10.105,10.17,10.105,10.17,2102,0
2016-06-13,18:50:00,10.19,10.19,10.16,10.16,200,0
2016-06-13,19:00:00,10.18,10.19,10.11,10.19,1000,0
2016-06-13,19:05:00,10.14,10.18,10.14,10.18,200,0
2016-06-13,19:10:00,10.15,10.15,10.15,10.15,400,0
2016-06-13,19:15:00,10.12,10.13,10.12,10.12,900,0
2016-06-13,19:20:00,10.14,10.14,10.14,10.14,100,0
2016-06-13,19:25:00,10.14,10.14,10.14,10.14,202,0
2016-06-13,19:30:00,10.14,10.145,10.11,10.11,700,0
2016-06-13,19:45:00,10.11,10.15,10.11,10.125,1500,0
2016-06-13,19:50:00,10.15,10.15,10.125,10.125,300,0
2016-06-13,20:00:00,10.11,10.11,10.11,10.11,100,0
2016-06-13,20:05:00,10.12,10.12,10.12,10.12,300,0
2016-06-13,20:10:00,10.12,10.33,10.11,10.33,4400,0
2016-06-13,20:15:00,10.33,10.39,10.33,10.35,1700,0
