Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-01-12,20:30:00,31.78,32.0,31.78,32.0,200,0
2015-01-14,18:15:00,29.67,29.67,29.67,29.67,200,0
2015-01-15,21:55:00,29.67,29.67,29.67,29.67,100,0
2015-02-03,18:05:00,29.9,29.95,29.9,29.95,300,0
2015-02-03,18:10:00,29.7,29.71,29.7,29.71,3400,0
2015-02-03,18:15:00,29.72,29.75,29.72,29.75,1100,0
2015-02-03,18:20:00,29.78,29.95,29.78,29.8,900,0
2015-02-03,18:25:00,29.63,29.63,29.63,29.63,200,0
2015-02-03,18:30:00,29.8,29.8,29.5,29.5,500,0
2015-02-03,18:35:00,29.7,29.7,29.7,29.7,200,0
2015-02-03,18:50:00,29.5,29.6,29.47,29.47,800,0
2015-02-03,18:55:00,29.49,29.49,29.49,29.49,200,0
2015-02-03,19:40:00,29.85,29.85,29.85,29.85,200,0
2015-02-18,15:45:00,33.39,33.39,33.37,33.37,1818,0
2015-02-18,15:50:00,33.35,33.35,33.0,33.27,3700,0
2015-02-18,16:45:00,33.53,33.53,33.37,33.37,1000,0
2015-03-06,19:45:00,34.35,34.35,34.35,34.35,100,0
2015-05-05,16:35:00,38.62,38.62,38.62,38.62,300,0
2015-05-05,17:40:00,38.935,38.96,38.935,38.96,400,0
2015-05-28,17:50:00,39.24,39.24,39.24,39.24,100,0
2015-06-12,21:45:00,44.72,44.72,44.72,44.72,100,0
2015-08-04,20:40:00,44.2,44.2,44.2,44.2,199,0
2015-08-10,17:45:00,44.11,44.1101,44.11,44.1101,400,0
2015-08-13,19:20:00,42.34,42.34,42.34,42.34,300,0
2015-08-24,15:35:00,36.045,36.045,36.045,36.045,400,0
2015-08-24,16:15:00,36.4,36.4,36.4,36.4,100,0
2015-08-26,21:50:00,35.31,35.31,35.31,35.31,100,0
2015-08-26,22:00:00,35.28,35.28,35.28,35.28,100,0
2015-08-31,21:35:00,38.96,38.96,38.96,38.96,100,0
2015-09-09,17:30:00,38.61,38.61,38.61,38.61,100,0
2016-01-20,20:45:00,22.6242,24.102,22.62,24.102,300,0
2016-01-20,22:00:00,23.4,24.55,23.4,24.55,1262,0
2016-01-21,15:35:00,22.54,22.54,22.53,22.53,200,0
2016-01-21,17:00:00,20.53,20.61,20.45,20.5,2300,0
2016-01-21,17:05:00,19.95,19.95,19.95,19.95,500,0
2016-01-21,17:20:00,20.12,20.12,20,20,1400,0
2016-01-21,17:30:00,20.56,20.56,20.54,20.54,800,0
2016-01-21,18:25:00,21.24,21.24,21.1,21.1,900,0
2016-01-21,19:10:00,20.57,20.57,20.57,20.57,700,0
2016-01-21,20:15:00,19.95,19.95,19.95,19.95,700,0
2016-01-21,21:30:00,19.54,19.54,19.46,19.46,3091,0
2016-01-21,21:35:00,19.57,19.57,19.57,19.57,700,0
2016-01-21,21:45:00,19.36,19.36,19.36,19.36,700,0
2016-01-22,18:55:00,20.1,20.1,20.1,20.1,700,0
2016-01-22,19:20:00,19.88,19.88,19.88,19.88,700,0
2016-01-28,19:20:00,22.0742,22.124,22.07,22.124,1700,0
2016-02-09,20:20:00,17.82,17.82,17.81,17.81,1400,0
2016-02-10,17:00:00,18.32,18.32,18.32,18.32,700,0
2016-02-10,18:50:00,18.18,18.18,18.18,18.18,700,0
2016-02-10,21:15:00,17.8,17.8,17.8,17.8,700,0
2016-02-11,16:25:00,16.87,16.87,16.87,16.87,700,0
2016-02-11,18:40:00,16.22,16.22,16.22,16.22,700,0
2016-02-11,19:45:00,16.27,16.3,16.27,16.27,1368,0
2016-02-11,21:00:00,16.96,17.05,16.96,17.05,200,0
2016-02-11,21:05:00,16.8,16.8,16.8,16.8,1202,0
2016-02-24,19:15:00,17.14,17.15,17.14,17.15,3532,0
2016-02-24,19:25:00,17.19,17.19,17.19,17.19,1400,0
2016-03-16,14:55:00,22.34,22.34,22.34,22.34,200,0
2016-03-16,19:10:00,22.34,22.34,22.34,22.34,200,0
2016-03-22,18:05:00,26.1,26.1,26.1,26.1,995,0
2016-03-29,19:50:00,22.57,22.57,22.57,22.57,100,0
2016-04-07,16:35:00,22.57,22.57,22.57,22.57,100,0
2016-04-07,21:45:00,21.54,21.54,21.54,21.54,8186,0
2016-04-25,16:10:00,29.55,29.55,29.55,29.55,3229,0
2016-04-25,16:45:00,29.55,29.55,29.55,29.55,200,0
2016-04-27,16:25:00,31.97,31.97,31.36,31.77,1300,0
2016-04-27,17:45:00,31.93,31.93,31.93,31.93,500,0
2016-04-27,19:45:00,31.62,31.62,31.62,31.62,700,0
2016-05-18,16:25:00,31.25,31.25,31.25,31.25,100,0
2016-05-18,20:15:00,31.6,31.6,31.6,31.6,100,0
2016-05-18,20:50:00,32.19,32.19,32.19,32.19,100,0
2016-06-03,17:45:00,32.92,32.96,32.92,32.96,300,0
2016-06-03,18:05:00,33.28,33.28,33.28,33.28,100,0
2016-06-06,17:30:00,36.01,36.01,36.01,36.01,300,0
2016-06-06,18:55:00,35.77,35.77,35.77,35.77,400,0
2016-06-15,20:10:00,33.44,33.44,33.42,33.42,400,0
