Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-06,15:35:00,0.82,0.82,0.8198,0.8198,500,0
2016-06-06,15:40:00,0.8198,0.82,0.8198,0.82,4100,0
2016-06-06,15:50:00,0.82,0.82,0.82,0.82,1100,0
2016-06-06,15:55:00,0.8198,0.83,0.8152,0.8254,40234,0
2016-06-06,16:00:00,0.83,0.83,0.82,0.8202,11781,0
2016-06-06,16:05:00,0.8299,0.83,0.8202,0.8206,7300,0
2016-06-06,16:10:00,0.8209,0.83,0.82,0.825,5900,0
2016-06-06,16:15:00,0.8202,0.8202,0.82,0.8202,2000,0
2016-06-06,16:20:00,0.82,0.8202,0.82,0.8202,4200,0
2016-06-06,16:25:00,0.8202,0.824,0.8201,0.824,4000,0
2016-06-06,16:35:00,0.824,0.824,0.824,0.824,5500,0
2016-06-06,16:40:00,0.8207,0.8208,0.81,0.81,700,0
2016-06-06,16:45:00,0.81,0.81,0.803,0.803,400,0
2016-06-06,16:55:00,0.803,0.803,0.8029,0.8029,1000,0
2016-06-06,17:10:00,0.824,0.824,0.824,0.824,100,0
2016-06-06,17:15:00,0.8063,0.8063,0.8063,0.8063,900,0
2016-06-06,17:25:00,0.824,0.824,0.824,0.824,100,0
2016-06-06,17:40:00,0.824,0.824,0.824,0.824,800,0
2016-06-06,17:45:00,0.824,0.824,0.824,0.824,200,0
2016-06-06,17:50:00,0.804,0.824,0.76,0.76,9468,0
2016-06-06,17:55:00,0.81,0.81,0.7901,0.7901,5100,0
2016-06-06,18:00:00,0.82,0.83,0.8,0.8,8500,0
2016-06-06,18:05:00,0.805,0.805,0.805,0.805,2600,0
2016-06-06,18:10:00,0.815,0.8151,0.815,0.8151,700,0
2016-06-06,18:15:00,0.8151,0.8151,0.7528,0.76,8999,0
2016-06-06,18:20:00,0.8056,0.8056,0.798,0.7981,3600,0
2016-06-06,18:30:00,0.8081,0.8081,0.8081,0.8081,700,0
2016-06-06,18:35:00,0.8081,0.8081,0.8081,0.8081,200,0
2016-06-06,18:40:00,0.8081,0.8132,0.8081,0.8132,200,0
2016-06-06,18:55:00,0.8,0.8073,0.8,0.8073,800,0
2016-06-06,19:00:00,0.82,0.82,0.82,0.82,400,0
2016-06-06,19:05:00,0.82,0.82,0.82,0.82,800,0
2016-06-06,19:10:00,0.81,0.81,0.81,0.81,300,0
2016-06-06,19:15:00,0.82,0.82,0.8029,0.8029,600,0
2016-06-06,19:30:00,0.8105,0.8105,0.8105,0.8105,430,0
2016-06-06,19:35:00,0.82,0.82,0.82,0.82,700,0
2016-06-06,19:40:00,0.82,0.82,0.82,0.82,700,0
2016-06-06,19:45:00,0.82,0.82,0.82,0.82,100,0
2016-06-06,19:50:00,0.8173,0.8173,0.8173,0.8173,600,0
2016-06-06,19:55:00,0.8199,0.82,0.8199,0.82,1700,0
2016-06-06,20:00:00,0.8199,0.82,0.8199,0.82,500,0
2016-06-06,20:05:00,0.8169,0.82,0.8169,0.82,1401,0
2016-06-06,20:10:00,0.82,0.82,0.82,0.82,700,0
2016-06-06,20:15:00,0.82,0.82,0.81,0.81,5700,0
2016-06-06,20:20:00,0.82,0.82,0.82,0.82,100,0
2016-06-06,20:40:00,0.82,0.82,0.82,0.82,300,0
2016-06-06,21:00:00,0.82,0.82,0.82,0.82,100,0
2016-06-06,21:05:00,0.8155,0.8155,0.8155,0.8155,600,0
2016-06-06,21:10:00,0.82,0.82,0.82,0.82,600,0
2016-06-06,21:20:00,0.8,0.8152,0.8,0.8105,2000,0
2016-06-06,21:25:00,0.8105,0.8106,0.81,0.81,900,0
2016-06-06,21:30:00,0.8,0.8,0.8,0.8,500,0
2016-06-06,21:35:00,0.8002,0.8002,0.8002,0.8002,866,0
2016-06-06,21:40:00,0.82,0.82,0.7984,0.7984,600,0
2016-06-06,21:45:00,0.82,0.82,0.7984,0.7984,2300,0
2016-06-06,21:50:00,0.82,0.82,0.82,0.82,100,0
2016-06-06,21:55:00,0.82,0.82,0.82,0.82,600,0
2016-06-06,22:00:00,0.81,0.82,0.792,0.792,3010,0
2016-06-07,15:35:00,0.814,0.82,0.814,0.82,353,0
2016-06-07,15:40:00,0.8188,0.82,0.8154,0.82,9071,0
2016-06-07,15:45:00,0.82,0.82,0.82,0.82,100,0
2016-06-07,15:50:00,0.7801,0.815,0.7801,0.815,200,0
2016-06-07,15:55:00,0.7801,0.7801,0.7801,0.7801,2100,0
2016-06-07,16:00:00,0.815,0.815,0.8136,0.8136,1100,0
2016-06-07,16:20:00,0.8116,0.8116,0.8116,0.8116,300,0
2016-06-07,16:25:00,0.8164,0.82,0.8164,0.82,1800,0
2016-06-07,16:30:00,0.82,0.82,0.819,0.82,900,0
2016-06-07,16:35:00,0.82,0.82,0.8012,0.8012,200,0
2016-06-07,16:40:00,0.8172,0.82,0.8172,0.82,957,0
