Date,Time,Open,High,Low,Close,Volume,OpenInt
2014-08-14,20:00:00,0.38,0.38,0.38,0.38,5000,0
2014-08-15,15:45:00,0.35,0.35,0.35,0.35,26000,0
2014-08-18,15:45:00,0.38,0.4,0.38,0.4,15000,0
2014-08-18,18:45:00,0.38,0.38,0.38,0.38,5000,0
2014-08-19,16:00:00,0.35,0.35,0.35,0.35,51000,0
2014-08-19,19:55:00,0.35,0.35,0.35,0.35,5000,0
2014-08-20,15:50:00,0.37,0.37,0.35,0.35,5100,0
2014-08-20,16:45:00,0.4,0.4,0.4,0.4,300,0
2014-08-20,16:55:00,0.35,0.35,0.35,0.35,28100,0
2014-08-20,19:45:00,0.38,0.38,0.3799,0.38,7000,0
2014-08-20,19:55:00,0.38,0.4,0.38,0.4,1300,0
2014-08-21,15:35:00,0.7,0.7,0.7,0.7,700,0
2014-08-21,15:40:00,0.7,0.7,0.49,0.49,1100,0
2014-08-21,17:00:00,0.33,0.33,0.33,0.33,185,0
2014-08-21,21:55:00,0.398,0.398,0.398,0.398,500,0
2014-08-21,22:00:00,0.35,0.35,0.35,0.35,200,0
2014-08-22,15:35:00,0.693,0.693,0.4851,0.4851,1100,0
2014-08-22,15:55:00,0.35,0.35,0.35,0.35,100,0
2014-08-22,22:00:00,0.3664,0.3664,0.3664,0.3664,200,0
2014-08-25,16:30:00,0.36,0.36,0.35,0.35,10000,0
2014-08-25,16:35:00,0.35,0.35,0.35,0.35,5200,0
2014-08-26,16:50:00,0.33,0.33,0.32,0.32,21200,0
2014-08-26,16:55:00,0.33,0.33,0.33,0.33,5000,0
2014-08-26,17:10:00,0.35,0.35,0.35,0.35,15000,0
2014-08-26,18:40:00,0.3501,0.3501,0.35,0.35,4000,0
2014-08-26,21:20:00,0.3699,0.383,0.3699,0.3829,7200,0
2014-08-27,17:10:00,0.35,0.35,0.35,0.35,36000,0
2014-08-28,15:55:00,0.35,0.35,0.35,0.35,200,0
2014-08-28,16:00:00,0.374,0.374,0.374,0.374,37700,0
2014-08-28,16:05:00,0.35,0.35,0.35,0.35,32000,0
2014-08-29,18:40:00,0.35,0.35,0.35,0.35,400,0
2014-08-29,20:15:00,0.35,0.35,0.35,0.35,100,0
2014-09-03,16:35:00,0.364,0.364,0.364,0.364,39400,0
2014-09-25,16:35:00,0.4001,0.4001,0.4,0.4,3800,0
2014-09-25,16:45:00,0.3994,0.3994,0.3994,0.3994,3600,0
2014-09-25,21:20:00,0.38,0.38,0.38,0.38,3600,0
2014-09-25,21:40:00,0.38,0.38,0.38,0.38,100,0
2014-09-25,21:50:00,0.3701,0.3701,0.3701,0.3701,1100,0
2014-09-29,16:35:00,0.37,0.37,0.37,0.37,4000,0
2014-09-29,16:55:00,0.36,0.36,0.36,0.36,2200,0
2014-10-01,21:35:00,0.45,0.45,0.45,0.45,5000,0
2014-10-08,19:15:00,0.4304,0.4304,0.4304,0.4304,300,0
2014-10-08,20:05:00,0.39,0.39,0.39,0.39,15000,0
2014-10-22,16:35:00,0.36,0.36,0.36,0.36,12200,0
2014-10-22,21:15:00,0.36,0.36,0.36,0.36,3000,0
2014-10-23,15:45:00,0.36,0.36,0.36,0.36,5000,0
2014-10-23,19:40:00,0.37,0.37,0.37,0.37,6800,0
2014-10-23,21:35:00,0.3698,0.3699,0.3698,0.3699,10000,0
2014-10-24,19:50:00,0.3503,0.3503,0.35,0.35,6200,0
2014-10-29,20:25:00,0.38,0.38,0.38,0.38,10000,0
2014-11-24,18:05:00,0.39,0.39,0.39,0.39,200,0
2014-11-25,16:00:00,0.39,0.39,0.39,0.39,250,0
2014-11-26,15:55:00,0.38,0.38,0.38,0.38,3000,0
2014-11-26,18:50:00,0.36,0.36,0.36,0.36,250,0
2014-11-26,20:00:00,0.36,0.36,0.36,0.36,1000,0
2014-12-03,15:45:00,0.38,0.38,0.38,0.38,400,0
2014-12-03,16:15:00,0.3502,0.3502,0.3502,0.3502,100,0
2014-12-05,19:50:00,0.38,0.38,0.38,0.38,1900,0
2014-12-09,21:55:00,0.3502,0.3502,0.3502,0.3502,100,0
2014-12-10,18:20:00,0.38,0.38,0.38,0.38,200,0
2014-12-17,15:35:00,0.32,0.32,0.32,0.32,200,0
2014-12-23,17:00:00,0.3503,0.3503,0.3503,0.3503,100,0
2015-01-23,20:30:00,0.39,0.39,0.39,0.39,100,0
2015-01-26,21:25:00,0.3502,0.3502,0.3502,0.3502,360,0
2015-02-02,21:40:00,0.39,0.39,0.39,0.39,2000,0
2015-02-05,20:55:00,0.3701,0.3701,0.3701,0.3701,900,0
2015-02-12,16:05:00,0.37,0.37,0.37,0.37,1400,0
2015-02-23,21:25:00,0.37,0.37,0.35,0.35,10900,0
