Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,16.94,16.94,16.85,16.88,3762,0
2016-06-16,15:40:00,16.82,16.82,16.75,16.785,1679,0
2016-06-16,15:45:00,16.77,16.81,16.73,16.8,5100,0
2016-06-16,15:50:00,16.8,16.8174,16.75,16.81,4300,0
2016-06-16,15:55:00,16.81,16.81,16.76,16.76,2400,0
2016-06-16,16:00:00,16.76,16.77,16.725,16.75,10200,0
2016-06-16,16:05:00,16.74,16.79,16.72,16.77,10576,0
2016-06-16,16:10:00,16.765,16.78,16.74,16.755,4400,0
2016-06-16,16:15:00,16.76,16.91,16.7404,16.9,12900,0
2016-06-16,16:20:00,16.89,16.94,16.85,16.905,12800,0
2016-06-16,16:25:00,16.89,16.91,16.815,16.83,7800,0
2016-06-16,16:30:00,16.805,16.88,16.75,16.86,16700,0
2016-06-16,16:35:00,16.86,16.89,16.8105,16.83,7051,0
2016-06-16,16:40:00,16.83,16.85,16.8,16.8097,3200,0
2016-06-16,16:45:00,16.785,16.8,16.77,16.79,1500,0
2016-06-16,16:50:00,16.79,16.83,16.76,16.8,10900,0
2016-06-16,16:55:00,16.81,16.815,16.76,16.78,4090,0
2016-06-16,17:00:00,16.79,16.79,16.76,16.79,1100,0
2016-06-16,17:05:00,16.79,16.8,16.78,16.79,1400,0
2016-06-16,17:10:00,16.79,16.8,16.785,16.8,2200,0
2016-06-16,17:15:00,16.81,16.85,16.79,16.84,2500,0
2016-06-16,17:20:00,16.82,16.83,16.79,16.81,2800,0
2016-06-16,17:25:00,16.8,16.83,16.79,16.82,1000,0
2016-06-16,17:30:00,16.84,16.89,16.84,16.875,1200,0
2016-06-16,17:35:00,16.9,16.9,16.82,16.82,1500,0
2016-06-16,17:40:00,16.83,16.92,16.8,16.89,12223,0
2016-06-16,17:45:00,16.9,16.91,16.885,16.9,9380,0
2016-06-16,17:50:00,16.9,16.92,16.89,16.89,8300,0
2016-06-16,17:55:00,16.89,16.9,16.84,16.85,2460,0
2016-06-16,18:00:00,16.84,16.88,16.83,16.87,7300,0
2016-06-16,18:05:00,16.87,16.92,16.87,16.92,7700,0
2016-06-16,18:10:00,16.914,16.92,16.895,16.91,1800,0
2016-06-16,18:15:00,16.91,16.96,16.91,16.94,9000,0
2016-06-16,18:20:00,16.935,16.94,16.905,16.905,1300,0
