Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-02-26,15:35:00,2.69,2.9,2.69,2.71,10706,0
2016-02-26,15:40:00,2.77,2.7995,2.7,2.7,2200,0
2016-02-26,15:45:00,2.756,2.79,2.55,2.65,16071,0
2016-02-26,15:50:00,2.65,2.97,2.55,2.97,14325,0
2016-02-26,15:55:00,2.94,2.97,2.7001,2.74,5630,0
2016-02-26,16:00:00,2.88,2.9,2.88,2.9,1400,0
2016-02-26,16:10:00,2.76,2.79,2.76,2.79,1600,0
2016-02-26,16:20:00,2.77,2.77,2.7001,2.7001,3200,0
2016-02-26,16:25:00,2.73,2.7518,2.73,2.7352,945,0
2016-02-26,16:30:00,2.85,2.85,2.7615,2.835,3400,0
2016-02-26,16:35:00,2.7775,2.7775,2.7775,2.7775,400,0
2016-02-26,16:40:00,2.7301,2.7301,2.7301,2.7301,100,0
2016-02-26,16:45:00,2.74,2.74,2.72,2.725,889,0
2016-02-26,16:50:00,2.7392,2.7392,2.7392,2.7392,500,0
2016-02-26,16:55:00,2.865,2.87,2.8098,2.8098,1208,0
2016-02-26,17:00:00,2.81,2.81,2.81,2.81,200,0
2016-02-26,17:10:00,2.7796,2.7796,2.7685,2.7685,1345,0
2016-02-26,17:15:00,2.75,2.75,2.75,2.75,100,0
2016-02-26,17:30:00,2.7742,2.7742,2.7742,2.7742,500,0
2016-02-26,17:40:00,2.7301,2.7301,2.7301,2.7301,130,0
2016-02-26,17:50:00,2.7826,2.7826,2.7826,2.7826,100,0
2016-02-26,18:15:00,2.8128,2.8128,2.8128,2.8128,100,0
2016-02-26,18:30:00,2.82,2.82,2.8,2.8,300,0
2016-02-26,18:40:00,2.77,2.77,2.77,2.77,350,0
2016-02-26,19:00:00,2.78,2.78,2.78,2.78,100,0
2016-02-26,19:05:00,2.89,2.89,2.89,2.89,1040,0
2016-02-26,19:10:00,2.8284,2.8284,2.8284,2.8284,800,0
2016-02-26,19:20:00,2.8699,2.8699,2.8699,2.8699,500,0
2016-02-26,19:35:00,2.838,2.838,2.838,2.838,100,0
2016-02-26,19:40:00,2.8275,2.8275,2.8275,2.8275,2000,0
2016-02-26,19:45:00,2.8132,2.8132,2.8132,2.8132,1000,0
2016-02-26,19:55:00,2.83,2.83,2.83,2.83,100,0
2016-02-26,20:00:00,2.807,2.807,2.807,2.807,100,0
2016-02-26,20:30:00,2.79,2.79,2.79,2.79,400,0
2016-02-26,20:45:00,2.78,2.78,2.78,2.78,261,0
2016-02-26,21:15:00,2.78,2.7863,2.78,2.78,3000,0
2016-02-26,21:35:00,2.78,2.786,2.78,2.786,1800,0
2016-02-26,22:00:00,2.8,2.81,2.798,2.81,1100,0
2016-02-29,15:35:00,2.81,2.81,2.81,2.81,284,0
2016-02-29,15:45:00,2.6801,2.6801,2.6801,2.6801,400,0
2016-02-29,15:50:00,2.75,2.75,2.745,2.745,234,0
2016-02-29,15:55:00,2.795,2.8,2.785,2.8,2290,0
2016-02-29,16:00:00,2.8546,2.8546,2.85,2.85,614,0
2016-02-29,16:05:00,2.89,2.89,2.89,2.89,100,0
2016-02-29,16:20:00,2.9,2.9,2.9,2.9,100,0
2016-02-29,17:35:00,2.895,2.895,2.89,2.89,517,0
2016-02-29,17:40:00,2.94,2.95,2.89,2.89,2845,0
2016-02-29,17:45:00,2.965,3,2.92,3,1921,0
2016-02-29,17:55:00,2.9571,2.9571,2.9571,2.9571,150,0
2016-02-29,18:45:00,2.8901,2.8901,2.8901,2.8901,100,0
2016-02-29,20:05:00,2.9001,2.9001,2.9,2.9,765,0
2016-02-29,20:55:00,2.9273,2.9273,2.9273,2.9273,125,0
2016-02-29,21:00:00,2.9,2.9,2.9,2.9,300,0
2016-02-29,21:20:00,2.95,2.95,2.95,2.95,100,0
2016-02-29,21:25:00,2.938,2.938,2.938,2.938,100,0
2016-02-29,22:00:00,2.9,2.9,2.89,2.89,300,0
2016-03-01,15:55:00,2.896,2.896,2.896,2.896,100,0
2016-03-01,16:00:00,2.896,2.896,2.89,2.89,200,0
2016-03-01,16:10:00,2.9499,2.9499,2.9499,2.9499,351,0
2016-03-01,17:20:00,2.86,2.8726,2.86,2.86,583,0
2016-03-01,17:30:00,2.86,2.86,2.86,2.86,250,0
2016-03-01,17:55:00,2.87,2.8715,2.87,2.8715,320,0
2016-03-01,18:00:00,2.9,2.9,2.9,2.9,200,0
2016-03-01,18:20:00,2.93,2.93,2.93,2.93,660,0
2016-03-01,18:25:00,2.9499,2.95,2.9499,2.95,444,0
2016-03-01,19:00:00,2.94,3.46,2.86,2.86,8918,0
2016-03-01,19:05:00,3.48,3.695,3.13,3.2,31354,0
2016-03-01,19:10:00,3.2298,3.2298,3.1,3.11,21700,0
2016-03-01,19:15:00,3.12,3.53,3.09,3.4899,32530,0
2016-03-01,19:20:00,3.291,3.53,3.117,3.5201,38708,0
2016-03-01,19:25:00,3.55,3.78,3.4,3.43,41890,0
2016-03-01,19:30:00,3.65,3.65,3.43,3.44,2800,0
2016-03-01,19:35:00,3.4908,3.4908,3.46,3.46,600,0
2016-03-01,19:40:00,3.45,3.45,3.44,3.44,200,0
2016-03-01,19:45:00,3.4301,3.4401,3.4301,3.4401,200,0
2016-03-01,19:50:00,3.445,3.5,3.4,3.4,2600,0
2016-03-01,19:55:00,3.4,3.4688,3.4,3.4688,588,0
2016-03-01,20:00:00,3.47,3.5,3.47,3.49,2400,0
2016-03-01,20:05:00,3.4708,3.48,3.47,3.47,1535,0
2016-03-01,20:10:00,3.4701,3.4701,3.4701,3.4701,101,0
2016-03-01,20:15:00,3.4999,3.4999,3.4999,3.4999,128,0
2016-03-01,20:20:00,3.41,3.475,3.4001,3.41,2160,0
2016-03-01,20:25:00,3.4001,3.4001,3.4001,3.4001,200,0
2016-03-01,20:30:00,3.41,3.41,3.4005,3.41,669,0
2016-03-01,20:40:00,3.4213,3.4213,3.4213,3.4213,100,0
2016-03-01,20:45:00,3.4201,3.432,3.4201,3.432,450,0
2016-03-01,20:50:00,3.5499,3.5499,3.4,3.4,2000,0
2016-03-01,20:55:00,3.415,3.415,3.4,3.4,1200,0
2016-03-01,21:05:00,3.4114,3.42,3.41,3.41,1200,0
2016-03-01,21:30:00,3.5082,3.5082,3.5082,3.5082,1000,0
2016-03-01,21:35:00,3.42,3.42,3.42,3.42,100,0
2016-03-01,21:55:00,3.43,3.43,3.43,3.43,100,0
2016-03-01,22:00:00,3.47,3.55,3.43,3.54,4275,0
2016-03-02,15:35:00,3.47,3.47,3.31,3.32,1132,0
2016-03-02,15:40:00,3.39,3.4,3.39,3.39,1200,0
2016-03-02,15:50:00,3.3999,3.3999,3.27,3.27,670,0
2016-03-02,16:20:00,3.3,3.3,3.29,3.29,400,0
2016-03-02,16:30:00,3.0501,3.0501,3.0501,3.0501,500,0
2016-03-02,17:15:00,3.2999,3.2999,3.2999,3.2999,300,0
