Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,36.87,37.2421,36.75,36.86,4539,0
2016-06-16,15:40:00,37.125,37.125,36.52,36.61,2900,0
2016-06-16,15:45:00,36.61,36.66,36.54,36.66,2180,0
2016-06-16,15:50:00,36.64,36.79,36.59,36.74,6021,0
2016-06-16,15:55:00,36.78,36.8,36.63,36.63,1216,0
2016-06-16,16:00:00,36.63,36.63,36.4,36.47,1711,0
2016-06-16,16:05:00,36.41,36.615,36.41,36.615,3100,0
2016-06-16,16:10:00,36.62,36.63,36.57,36.62,2750,0
2016-06-16,16:15:00,36.635,36.73,36.63,36.63,3000,0
2016-06-16,16:20:00,36.58,36.58,36.51,36.5152,2250,0
2016-06-16,16:25:00,36.5101,36.555,36.37,36.38,3600,0
2016-06-16,16:30:00,36.37,36.54,36.37,36.54,1769,0
2016-06-16,16:35:00,36.54,36.58,36.49,36.52,2200,0
2016-06-16,16:40:00,36.52,36.56,36.45,36.47,1300,0
2016-06-16,16:45:00,36.46,36.6099,36.45,36.55,2407,0
2016-06-16,16:50:00,36.6299,36.6299,36.59,36.59,1716,0
2016-06-16,16:55:00,36.59,36.6,36.51,36.55,2700,0
2016-06-16,17:00:00,36.58,36.58,36.5,36.53,2700,0
2016-06-16,17:05:00,36.52,36.63,36.52,36.57,4178,0
2016-06-16,17:10:00,36.58,36.63,36.57,36.61,2500,0
2016-06-16,17:15:00,36.64,36.685,36.61,36.685,2100,0
2016-06-16,17:20:00,36.67,36.67,36.59,36.61,1000,0
2016-06-16,17:25:00,36.62,36.65,36.6,36.64,4300,0
2016-06-16,17:30:00,36.655,36.79,36.635,36.77,3153,0
2016-06-16,17:35:00,36.79,36.8,36.7,36.73,2821,0
2016-06-16,17:40:00,36.72,36.72,36.63,36.68,4250,0
2016-06-16,17:45:00,36.68,36.7,36.64,36.65,1870,0
2016-06-16,17:50:00,36.65,36.67,36.6,36.61,1600,0
2016-06-16,17:55:00,36.61,36.62,36.56,36.59,2144,0
2016-06-16,18:00:00,36.61,36.625,36.5688,36.6,4171,0
2016-06-16,18:05:00,36.6034,36.625,36.58,36.61,1903,0
2016-06-16,18:10:00,36.64,36.64,36.59,36.59,2029,0
2016-06-16,18:15:00,36.59,36.61,36.55,36.6,1864,0
2016-06-16,18:20:00,36.61,36.62,36.6,36.62,2900,0
2016-06-16,18:25:00,36.61,36.64,36.56,36.62,1600,0
2016-06-16,18:30:00,36.64,36.655,36.59,36.61,4500,0
2016-06-16,18:35:00,36.62,36.65,36.6,36.65,3649,0
2016-06-16,18:40:00,36.63,36.67,36.63,36.67,2281,0
2016-06-16,18:45:00,36.655,36.715,36.65,36.6501,2696,0
2016-06-16,18:50:00,36.6788,36.6788,36.61,36.65,2015,0
2016-06-16,18:55:00,36.62,36.6201,36.59,36.62,1793,0
2016-06-16,19:00:00,36.61,36.63,36.6,36.63,1000,0
2016-06-16,19:05:00,36.64,36.7,36.63,36.66,2500,0
2016-06-16,19:10:00,36.65,36.67,36.62,36.66,3221,0
2016-06-16,19:15:00,36.65,36.6899,36.61,36.61,3800,0
2016-06-16,19:20:00,36.62,36.6699,36.62,36.6699,1350,0
2016-06-16,19:25:00,36.67,36.71,36.67,36.68,2956,0
2016-06-16,19:30:00,36.68,36.7,36.65,36.65,2900,0
2016-06-16,19:35:00,36.665,36.7197,36.64,36.69,3731,0
2016-06-16,19:40:00,36.675,36.7,36.65,36.65,5300,0
2016-06-16,19:45:00,36.65,36.66,36.56,36.56,3800,0
2016-06-16,19:50:00,36.54,36.57,36.53,36.55,1700,0
2016-06-16,19:55:00,36.55,36.55,36.5,36.5,2400,0
2016-06-16,20:00:00,36.53,36.5516,36.52,36.52,1242,0
2016-06-16,20:05:00,36.52,36.55,36.52,36.55,1000,0
2016-06-16,20:10:00,36.58,36.64,36.58,36.64,1568,0
2016-06-16,20:15:00,36.64,36.75,36.64,36.72,1900,0
2016-06-16,20:20:00,36.7255,36.8,36.7255,36.78,3025,0
2016-06-16,20:25:00,36.81,36.81,36.75,36.76,1867,0
2016-06-16,20:30:00,36.74,36.79,36.73,36.75,5500,0
2016-06-16,20:35:00,36.74,36.76,36.64,36.68,5560,0
2016-06-16,20:40:00,36.69,36.73,36.68,36.68,1200,0
2016-06-16,20:45:00,36.71,36.7201,36.71,36.71,1403,0
2016-06-16,20:50:00,36.7199,36.75,36.7,36.75,3211,0
2016-06-16,20:55:00,36.752,36.7999,36.72,36.7999,4750,0
2016-06-16,21:00:00,36.785,36.7899,36.72,36.74,3800,0
2016-06-16,21:05:00,36.75,36.76,36.72,36.72,4134,0
2016-06-16,21:10:00,36.71,36.72,36.69,36.7,2523,0
2016-06-16,21:15:00,36.7,36.7399,36.7,36.73,3895,0
2016-06-16,21:20:00,36.72,36.73,36.39,36.53,7777,0
2016-06-16,21:25:00,36.52,36.65,36.52,36.63,3769,0
2016-06-16,21:30:00,36.63,36.705,36.62,36.68,5066,0
2016-06-16,21:35:00,36.7,36.71,36.69,36.7,5022,0
2016-06-16,21:40:00,36.7,36.72,36.63,36.63,3089,0
2016-06-16,21:45:00,36.66,36.7,36.66,36.7,3855,0
2016-06-16,21:50:00,36.705,36.705,36.61,36.61,4690,0
2016-06-16,21:55:00,36.6,36.64,36.56,36.61,10656,0
2016-06-16,22:00:00,36.6,36.77,36.6,36.76,43478,0
2016-06-17,15:35:00,36.87,37.08,36.765,37,159643,0
2016-06-17,15:40:00,36.99,37.16,36.99,37.15,1500,0
2016-06-17,15:45:00,37.07,37.13,37.01,37.06,4084,0
2016-06-17,15:50:00,37.07,37.09,37.02,37.06,3301,0
2016-06-17,15:55:00,37.07,37.16,37.07,37.11,3557,0
2016-06-17,16:00:00,37.1,37.1,37.01,37.08,1359,0
2016-06-17,16:05:00,37.065,37.065,36.98,37,2700,0
2016-06-17,16:10:00,37,37.04,36.9301,36.9301,2917,0
2016-06-17,16:15:00,37,37.07,37,37.02,3038,0
2016-06-17,16:20:00,37.01,37.11,37.01,37.1,2000,0
2016-06-17,16:25:00,37.11,37.11,37.02,37.04,7788,0
2016-06-17,16:30:00,37.03,37.04,36.995,36.995,1919,0
