Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,9.88,10.05,9.88,10.04,2017,0
2016-06-15,15:40:00,9.95,10,9.94,10,3950,0
2016-06-15,15:45:00,10.0225,10.06,10,10,2217,0
2016-06-15,15:50:00,10.03,10.03,9.94,10,4800,0
2016-06-15,15:55:00,10.065,10.07,10.065,10.07,5600,0
2016-06-15,16:00:00,10.07,10.07,10.07,10.07,100,0
2016-06-15,16:20:00,10.04,10.04,10.04,10.04,100,0
2016-06-15,16:25:00,10.04,10.06,10.04,10.04,3226,0
2016-06-15,16:30:00,10.04,10.05,10.02,10.02,400,0
2016-06-15,16:35:00,10.05,10.07,10.04,10.05,3700,0
2016-06-15,16:40:00,10.06,10.09,10.05,10.05,1600,0
2016-06-15,16:45:00,10.05,10.06,10.02,10.0399,8100,0
2016-06-15,16:50:00,10.04,10.07,10.03,10.06,6830,0
2016-06-15,16:55:00,10.07,10.09,10.06,10.08,3100,0
2016-06-15,17:00:00,10.07,10.1,10.06,10.1,11642,0
2016-06-15,17:05:00,10.1,10.15,10.08,10.14,8800,0
2016-06-15,17:10:00,10.15,10.15,10.105,10.12,2000,0
2016-06-15,17:15:00,10.12,10.12,10.08,10.1,4400,0
2016-06-15,17:20:00,10.14,10.15,10.1,10.1,7539,0
2016-06-15,17:25:00,10.1,10.1,10.1,10.1,200,0
2016-06-15,17:30:00,10.07,10.07,10.04,10.05,1000,0
2016-06-15,17:35:00,10.04,10.04,10.01,10.01,1000,0
2016-06-15,17:40:00,10.01,10.05,10.01,10.05,1800,0
2016-06-15,17:45:00,10.05,10.08,10.05,10.08,700,0
2016-06-15,17:50:00,10.08,10.09,10.08,10.0801,2350,0
2016-06-15,18:00:00,10.1,10.13,10.095,10.095,3658,0
2016-06-15,18:05:00,10.11,10.11,10.1,10.103,1000,0
2016-06-15,18:10:00,10.09,10.1,10.071,10.071,400,0
2016-06-15,18:15:00,10.09,10.09,10.09,10.09,1000,0
2016-06-15,18:20:00,10.08,10.08,10.07,10.07,400,0
2016-06-15,18:25:00,10.07,10.08,10.07,10.08,800,0
2016-06-15,18:35:00,10.09,10.11,9.84,10.03,45049,0
2016-06-15,18:40:00,10.05,10.13,9.9401,10.04,27562,0
2016-06-15,18:45:00,10.06,10.11,10.06,10.1,600,0
2016-06-15,18:50:00,10.11,10.11,10.08,10.08,2560,0
2016-06-15,18:55:00,10.04,10.09,10.01,10.01,948,0
2016-06-15,19:00:00,9.99,9.99,9.98,9.98,200,0
2016-06-15,19:05:00,10.01,10.0352,10.01,10.02,1786,0
2016-06-15,19:10:00,10,10.02,9.99,10.01,1678,0
2016-06-15,19:15:00,10.01,10.02,10.01,10.02,800,0
2016-06-15,19:20:00,10.02,10.02,9.99,9.99,600,0
2016-06-15,19:25:00,9.985,10.04,9.985,10.04,1383,0
2016-06-15,19:30:00,10.05,10.05,10.04,10.04,400,0
2016-06-15,19:35:00,10.04,10.08,10.04,10.08,3396,0
2016-06-15,19:50:00,10.1,10.1,10.04,10.05,1300,0
2016-06-15,19:55:00,10.06,10.06,10.06,10.06,601,0
2016-06-15,20:00:00,10.11,10.11,10.08,10.08,700,0
2016-06-15,20:05:00,10.08,10.08,10.04,10.04,800,0
2016-06-15,20:10:00,10.02,10.02,9.9901,9.9901,1728,0
2016-06-15,20:15:00,9.99,9.995,9.98,9.98,1200,0
2016-06-15,20:20:00,10,10,9.95,9.95,1100,0
2016-06-15,20:25:00,9.94,9.95,9.94,9.95,800,0
2016-06-15,20:30:00,9.95,9.95,9.92,9.92,2050,0
2016-06-15,20:35:00,9.93,9.96,9.93,9.96,200,0
