Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-01,15:45:00,21.42,21.49,21.38,21.48,2600,0
2016-06-01,16:05:00,21.78,21.78,21.65,21.65,200,0
2016-06-01,16:15:00,21.67,21.67,21.64,21.64,300,0
2016-06-01,16:20:00,21.65,21.65,21.65,21.65,100,0
2016-06-01,16:35:00,21.68,21.68,21.66,21.66,400,0
2016-06-01,17:10:00,21.73,21.73,21.73,21.73,161,0
2016-06-01,17:20:00,21.66,21.66,21.66,21.66,200,0
2016-06-01,17:25:00,21.56,21.64,21.56,21.62,300,0
2016-06-01,17:30:00,21.555,21.555,21.555,21.555,100,0
2016-06-01,17:40:00,21.55,21.55,21.55,21.55,300,0
2016-06-01,17:45:00,21.65,21.65,21.57,21.57,200,0
2016-06-01,17:55:00,21.57,21.57,21.56,21.56,537,0
2016-06-01,18:00:00,21.54,21.54,21.43,21.5,900,0
2016-06-01,18:05:00,21.5,21.5,21.5,21.5,200,0
2016-06-01,18:10:00,21.5,21.6,21.5,21.6,600,0
2016-06-01,18:15:00,21.59,21.59,21.59,21.59,500,0
2016-06-01,18:20:00,21.56,21.56,21.56,21.56,100,0
2016-06-01,18:35:00,21.56,21.56,21.55,21.55,200,0
2016-06-01,18:40:00,21.71,21.71,21.71,21.71,100,0
2016-06-01,18:55:00,21.57,21.57,21.57,21.57,200,0
2016-06-01,19:15:00,21.635,21.635,21.635,21.635,100,0
2016-06-01,19:45:00,21.55,21.55,21.55,21.55,200,0
2016-06-01,19:50:00,21.55,21.55,21.51,21.51,690,0
2016-06-01,20:00:00,21.51,21.51,21.51,21.51,100,0
2016-06-01,20:10:00,21.5,21.5,21.5,21.5,900,0
2016-06-01,20:30:00,21.5,21.5,21.5,21.5,700,0
2016-06-01,20:40:00,21.5,21.5,21.5,21.5,400,0
2016-06-01,21:00:00,21.51,21.51,21.51,21.51,100,0
2016-06-01,21:10:00,21.5,21.5,21.49,21.49,900,0
2016-06-01,21:15:00,21.5,21.505,21.5,21.505,419,0
2016-06-01,21:20:00,21.47,21.47,21.47,21.47,100,0
2016-06-01,21:25:00,21.43,21.43,21.43,21.43,100,0
2016-06-01,21:40:00,21.5,21.55,21.5,21.52,300,0
2016-06-01,21:45:00,21.5,21.5,21.5,21.5,100,0
2016-06-01,21:55:00,21.5,21.5,21.44,21.44,200,0
2016-06-01,22:00:00,21.44,21.46,21.44,21.45,1514,0
2016-06-02,17:10:00,21.3,21.31,21.22,21.25,1900,0
2016-06-02,17:15:00,21.26,21.26,21.07,21.07,400,0
2016-06-02,17:20:00,21.26,21.26,21.24,21.24,300,0
2016-06-02,17:25:00,21.26,21.26,21.26,21.26,100,0
2016-06-02,17:30:00,21.25,21.25,21.25,21.25,100,0
2016-06-02,17:35:00,21.26,21.26,21.26,21.26,200,0
2016-06-02,17:40:00,21.26,21.29,21.04,21.04,800,0
2016-06-02,17:45:00,21.02,21.02,21.02,21.02,100,0
2016-06-02,17:55:00,21.21,21.21,21.21,21.21,100,0
2016-06-02,18:00:00,21.14,21.14,21.11,21.11,200,0
2016-06-02,18:05:00,21.12,21.12,21.12,21.12,100,0
2016-06-02,18:20:00,21.155,21.155,21.155,21.155,100,0
2016-06-02,18:30:00,21.11,21.11,21.11,21.11,200,0
2016-06-02,18:35:00,21.11,21.11,21.11,21.11,200,0
2016-06-02,18:45:00,21.11,21.11,21.11,21.11,100,0
2016-06-02,18:50:00,21.115,21.115,21.09,21.11,300,0
2016-06-02,18:55:00,21.08,21.08,21.08,21.08,100,0
2016-06-02,19:00:00,21.11,21.11,21.11,21.11,100,0
2016-06-02,19:05:00,21.1,21.1,21.025,21.025,500,0
2016-06-02,19:10:00,21.0295,21.07,21,21,800,0
2016-06-02,19:15:00,20.985,21.07,20.98,21.05,500,0
2016-06-02,19:20:00,20.9,20.9,20.9,20.9,100,0
2016-06-02,19:25:00,21.0075,21.0075,21.0075,21.0075,100,0
2016-06-02,19:30:00,21.02,21.08,20.98,21.07,2900,0
2016-06-02,19:35:00,21.07,21.07,21.06,21.06,200,0
2016-06-02,19:45:00,21.08,21.15,21.08,21.15,8948,0
2016-06-02,19:50:00,21.18,21.25,21.18,21.25,4000,0
2016-06-02,19:55:00,21.25,21.27,21.24,21.27,1700,0
2016-06-02,20:00:00,21.26,21.26,21.25,21.25,1000,0
2016-06-02,20:05:00,21.26,21.305,21.21,21.21,4100,0
2016-06-02,20:10:00,21.22,21.22,21.21,21.21,200,0
2016-06-02,20:15:00,21.25,21.25,21.17,21.225,7300,0
2016-06-02,20:40:00,21.2,21.28,21.2,21.28,400,0
2016-06-02,20:45:00,21.17,21.18,21.17,21.18,400,0
2016-06-02,21:00:00,21.16,21.16,21.09,21.09,945,0
2016-06-02,21:05:00,21.09,21.09,21.08,21.08,500,0
2016-06-02,21:10:00,21.08,21.08,21.08,21.08,300,0
2016-06-02,21:15:00,21.08,21.08,21.06,21.06,500,0
2016-06-02,21:20:00,21.06,21.12,21.06,21.12,200,0
2016-06-02,21:30:00,21.07,21.12,21.06,21.06,740,0
2016-06-02,21:35:00,21.06,21.06,21.02,21.02,500,0
2016-06-02,21:40:00,21.03,21.15,20.98,20.98,1400,0
2016-06-02,21:45:00,20.99,20.99,20.97,20.97,800,0
2016-06-02,21:50:00,20.9544,20.9544,20.93,20.93,550,0
2016-06-02,21:55:00,20.99,21.01,20.93,20.95,700,0
2016-06-02,22:00:00,20.95,21.05,20.9,20.9,1923,0
2016-06-03,15:35:00,20.94,20.94,20.94,20.94,200,0
2016-06-03,15:50:00,21.44,21.44,21.24,21.24,700,0
2016-06-03,16:15:00,20.96,20.96,20.96,20.96,100,0
2016-06-03,16:25:00,20.91,20.91,20.91,20.91,200,0
2016-06-03,16:40:00,20.95,20.95,20.95,20.95,100,0
2016-06-03,16:45:00,20.91,20.91,20.86,20.86,375,0
2016-06-03,17:35:00,20.81,20.82,20.8,20.8,1920,0
2016-06-03,17:40:00,20.65,20.79,20.53,20.7,1500,0
2016-06-03,17:45:00,20.56,20.82,20.56,20.82,300,0
2016-06-03,17:50:00,20.69,20.7499,20.69,20.7499,900,0
2016-06-03,18:00:00,20.91,20.95,20.52,20.52,1800,0
2016-06-03,18:05:00,20.95,21.27,20.875,21.22,2500,0
2016-06-03,18:20:00,21.1,21.1,21.0001,21.0001,400,0
2016-06-03,18:30:00,20.91,20.91,20.91,20.91,100,0
2016-06-03,18:35:00,20.916,21.03,20.916,20.935,900,0
2016-06-03,18:45:00,21,21.1,21,21.1,984,0
2016-06-03,18:50:00,21.175,21.175,21.16,21.16,300,0
2016-06-03,18:55:00,21.14,21.14,21.0501,21.0501,1300,0
2016-06-03,19:05:00,21.1789,21.1789,21.1789,21.1789,189,0
2016-06-03,19:15:00,21.03,21.03,21.03,21.03,200,0
2016-06-03,19:20:00,21.05,21.05,21.03,21.03,300,0
2016-06-03,19:30:00,21.19,21.19,21.19,21.19,100,0
2016-06-03,19:35:00,21.18,21.18,21.18,21.18,100,0
2016-06-03,19:40:00,21.24,21.24,21.24,21.24,100,0
2016-06-03,19:45:00,21.03,21.03,21.03,21.03,125,0
2016-06-03,19:50:00,21.03,21.043,20.98,20.9817,800,0
2016-06-03,20:00:00,20.9,20.9,20.9,20.9,100,0
2016-06-03,20:05:00,20.9,20.9,20.9,20.9,100,0
2016-06-03,20:40:00,20.94,21.1,20.94,21.1,200,0
2016-06-03,20:45:00,21,21,21,21,100,0
2016-06-03,21:00:00,21.09,21.09,21.09,21.09,100,0
2016-06-03,21:05:00,20.96,21.01,20.92,21.01,300,0
2016-06-03,21:10:00,20.91,20.91,20.91,20.91,100,0
2016-06-03,21:15:00,20.96,20.96,20.96,20.96,100,0
2016-06-03,21:20:00,20.99,20.99,20.99,20.99,100,0
2016-06-03,21:35:00,21.12,21.12,21.12,21.12,100,0
2016-06-03,21:40:00,21.11,21.17,20.91,20.91,600,0
2016-06-03,21:50:00,21.15,21.15,21.15,21.15,100,0
2016-06-03,21:55:00,21.17,21.17,21.17,21.17,200,0
2016-06-03,22:00:00,21.04,21.17,21.04,21.09,730,0
2016-06-06,16:00:00,21.35,21.3599,21.27,21.27,1000,0
2016-06-06,16:25:00,20.95,20.95,20.95,20.95,100,0
2016-06-06,16:35:00,21.3,21.3,21.3,21.3,100,0
2016-06-06,17:10:00,21.03,21.03,21.03,21.03,100,0
2016-06-06,17:25:00,21.035,21.0968,21.035,21.0398,400,0
2016-06-06,17:35:00,20.906,21.06,20.906,21.06,720,0
2016-06-06,17:40:00,21.09,21.2,21.09,21.14,637,0
2016-06-06,17:50:00,21.56,21.57,21.41,21.41,1200,0
2016-06-06,17:55:00,21.44,21.44,21.44,21.44,100,0
2016-06-06,18:15:00,21.29,21.37,21.29,21.37,400,0
2016-06-06,18:30:00,21.55,21.5699,21.34,21.34,1000,0
2016-06-06,18:40:00,21.46,21.46,21.22,21.22,230,0
2016-06-06,18:45:00,21.5,21.5,21.23,21.26,300,0
2016-06-06,18:50:00,21.35,21.35,21.35,21.35,100,0
2016-06-06,18:55:00,21.46,21.46,21.46,21.46,100,0
2016-06-06,19:00:00,21.45,21.45,21.45,21.45,200,0
2016-06-06,19:20:00,21.4,21.4,21.4,21.4,200,0
2016-06-06,19:35:00,21.54,21.54,21.44,21.44,400,0
2016-06-06,19:40:00,21.42,21.42,21.42,21.42,100,0
2016-06-06,20:15:00,21.39,21.39,21.39,21.39,100,0
2016-06-06,20:40:00,21.49,21.49,21.49,21.49,200,0
2016-06-06,21:00:00,21.55,21.55,21.55,21.55,100,0
2016-06-06,21:20:00,21.36,21.36,21.36,21.36,100,0
2016-06-06,21:30:00,21.54,21.54,21.54,21.54,100,0
2016-06-06,21:35:00,21.55,21.55,21.55,21.55,100,0
2016-06-06,21:50:00,21.44,21.44,21.44,21.44,100,0
2016-06-06,21:55:00,21.61,21.675,21.61,21.675,300,0
2016-06-06,22:00:00,21.66,21.66,21.48,21.48,868,0
2016-06-07,15:50:00,21.31,21.31,21.31,21.31,200,0
2016-06-07,16:15:00,21.296,21.296,21.296,21.296,250,0
2016-06-07,16:35:00,21.3,21.3,21.3,21.3,100,0
2016-06-07,16:45:00,21.3,21.3,21.3,21.3,200,0
2016-06-07,16:50:00,21.34,21.34,21.33,21.34,600,0
2016-06-07,17:45:00,21.34,21.3599,21.34,21.34,700,0
2016-06-07,17:55:00,21.59,21.72,21.56,21.56,900,0
2016-06-07,18:00:00,21.635,21.635,21.635,21.635,100,0
2016-06-07,18:10:00,21.55,21.55,21.55,21.55,100,0
2016-06-07,18:15:00,21.7,21.7,21.7,21.7,100,0
2016-06-07,18:25:00,21.74,21.74,21.74,21.74,100,0
2016-06-07,18:35:00,21.85,21.85,21.85,21.85,114,0
2016-06-07,19:05:00,21.74,21.81,21.64,21.81,500,0
2016-06-07,19:40:00,21.9,21.9,21.9,21.9,100,0
2016-06-07,20:00:00,21.77,21.77,21.77,21.77,100,0
2016-06-07,20:05:00,21.8,21.8,21.8,21.8,100,0
2016-06-07,20:10:00,21.74,21.74,21.74,21.74,100,0
2016-06-07,20:15:00,21.89,21.89,21.75,21.75,200,0
2016-06-07,20:20:00,21.77,21.865,21.77,21.865,200,0
2016-06-07,20:35:00,21.71,21.71,21.71,21.71,100,0
2016-06-07,20:40:00,21.72,21.87,21.72,21.87,600,0
2016-06-07,20:45:00,21.84,21.84,21.765,21.765,1200,0
2016-06-07,21:00:00,21.81,21.81,21.69,21.77,400,0
2016-06-07,21:05:00,21.39,21.59,21.39,21.59,300,0
2016-06-07,21:10:00,21.69,21.74,21.69,21.74,200,0
2016-06-07,21:20:00,21.52,21.52,21.52,21.52,100,0
2016-06-07,21:30:00,21.62,21.63,21.62,21.63,394,0
2016-06-07,21:45:00,21.63,21.63,21.63,21.63,100,0
2016-06-07,21:55:00,21.62,21.62,21.62,21.62,100,0
2016-06-07,22:00:00,21.49,21.53,21.44,21.44,937,0
2016-06-08,15:35:00,21.52,21.52,21.52,21.52,100,0
2016-06-08,15:40:00,21.76,21.76,21.76,21.76,100,0
2016-06-08,16:10:00,21.53,21.53,21.53,21.53,100,0
2016-06-08,16:40:00,22.04,22.04,22.04,22.04,100,0
2016-06-08,16:50:00,21.84,21.84,21.84,21.84,100,0
2016-06-08,17:00:00,21.53,21.53,21.53,21.53,100,0
2016-06-08,17:05:00,21.45,21.45,21.45,21.45,100,0
2016-06-08,17:35:00,21.48,21.5,21.43,21.43,400,0
2016-06-08,17:55:00,21.66,21.865,21.66,21.865,200,0
2016-06-08,18:00:00,21.66,21.91,21.66,21.71,1200,0
2016-06-08,18:05:00,21.71,21.71,21.6605,21.6605,200,0
2016-06-08,18:20:00,22.08,22.08,22.08,22.08,100,0
2016-06-08,18:45:00,21.48,21.48,21.48,21.48,100,0
2016-06-08,18:55:00,21.815,21.815,21.815,21.815,400,0
2016-06-08,19:10:00,22.09,22.09,22.09,22.09,100,0
2016-06-08,19:30:00,21.73,21.73,21.73,21.73,100,0
2016-06-08,19:40:00,21.98,22.04,21.98,22.04,200,0
2016-06-08,19:50:00,21.96,21.9695,21.81,21.8999,700,0
2016-06-08,19:55:00,21.95,21.95,21.95,21.95,100,0
2016-06-08,20:00:00,21.8,21.95,21.8,21.95,700,0
2016-06-08,20:05:00,21.95,21.95,21.95,21.95,100,0
2016-06-08,20:10:00,21.95,22,21.95,22,200,0
2016-06-08,20:15:00,21.96,21.96,21.79,21.79,700,0
2016-06-08,20:25:00,21.95,21.95,21.89,21.89,400,0
2016-06-08,20:30:00,21.86,21.8816,21.86,21.8816,333,0
2016-06-08,20:35:00,21.68,21.76,21.68,21.72,300,0
2016-06-08,20:40:00,21.84,21.84,21.84,21.84,100,0
2016-06-08,21:10:00,21.74,21.74,21.74,21.74,100,0
2016-06-08,21:20:00,21.88,21.88,21.87,21.87,433,0
2016-06-08,21:40:00,21.84,21.84,21.84,21.84,200,0
2016-06-08,21:45:00,21.87,21.87,21.87,21.87,100,0
