Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,3.61,3.7199,3.61,3.66,7986,0
2016-06-15,15:40:00,3.63,3.6599,3.62,3.63,4200,0
2016-06-15,15:45:00,3.64,3.66,3.63,3.64,7051,0
2016-06-15,15:50:00,3.63,3.64,3.63,3.635,2100,0
2016-06-15,15:55:00,3.64,3.67,3.64,3.655,13750,0
2016-06-15,16:00:00,3.65,3.66,3.65,3.66,400,0
2016-06-15,16:20:00,3.695,3.695,3.695,3.695,300,0
2016-06-15,16:25:00,3.7,3.7,3.695,3.7,1900,0
2016-06-15,16:30:00,3.69,3.7,3.69,3.7,3600,0
2016-06-15,16:35:00,3.695,3.7,3.69,3.7,2332,0
2016-06-15,16:40:00,3.7,3.7,3.695,3.7,6100,0
2016-06-15,16:45:00,3.7,3.7,3.68,3.685,5900,0
2016-06-15,16:50:00,3.69,3.69,3.68,3.69,2200,0
2016-06-15,16:55:00,3.69,3.7,3.68,3.69,8383,0
2016-06-15,17:00:00,3.69,3.7,3.69,3.7,4649,0
2016-06-15,17:05:00,3.7,3.71,3.695,3.71,7720,0
2016-06-15,17:10:00,3.7,3.71,3.7,3.71,1300,0
2016-06-15,17:15:00,3.705,3.72,3.705,3.715,5770,0
2016-06-15,17:20:00,3.72,3.72,3.71,3.72,6100,0
2016-06-15,17:25:00,3.715,3.73,3.7,3.705,22673,0
2016-06-15,17:30:00,3.71,3.71,3.69,3.7,9184,0
2016-06-15,17:35:00,3.7,3.7,3.69,3.69,800,0
2016-06-15,17:40:00,3.69,3.69,3.68,3.685,5700,0
2016-06-15,17:45:00,3.68,3.685,3.68,3.68,900,0
2016-06-15,17:50:00,3.685,3.685,3.68,3.68,1200,0
2016-06-15,17:55:00,3.685,3.69,3.68,3.685,1800,0
2016-06-15,18:00:00,3.685,3.69,3.68,3.685,2000,0
2016-06-15,18:05:00,3.685,3.695,3.68,3.685,9248,0
2016-06-15,18:10:00,3.69,3.69,3.685,3.685,300,0
2016-06-15,18:15:00,3.685,3.69,3.65,3.66,43120,0
2016-06-15,18:20:00,3.665,3.67,3.66,3.67,4200,0
2016-06-15,18:25:00,3.68,3.68,3.675,3.675,2100,0
2016-06-15,18:30:00,3.675,3.68,3.67,3.67,1800,0
2016-06-15,18:35:00,3.68,3.68,3.675,3.68,900,0
2016-06-15,18:40:00,3.68,3.68,3.675,3.68,400,0
2016-06-15,18:45:00,3.675,3.675,3.66,3.665,2100,0
2016-06-15,18:50:00,3.665,3.675,3.655,3.675,9500,0
2016-06-15,18:55:00,3.675,3.68,3.675,3.675,600,0
2016-06-15,19:00:00,3.675,3.68,3.675,3.675,700,0
2016-06-15,19:05:00,3.68,3.68,3.67,3.675,1100,0
2016-06-15,19:10:00,3.675,3.68,3.675,3.68,400,0
2016-06-15,19:15:00,3.67,3.68,3.67,3.68,800,0
2016-06-15,19:20:00,3.675,3.675,3.67,3.67,600,0
2016-06-15,19:25:00,3.68,3.68,3.655,3.655,2899,0
2016-06-15,19:30:00,3.66,3.66,3.65,3.655,600,0
2016-06-15,19:35:00,3.655,3.67,3.655,3.67,7832,0
2016-06-15,19:40:00,3.665,3.69,3.66,3.68,8001,0
2016-06-15,19:45:00,3.675,3.675,3.67,3.67,200,0
2016-06-15,19:50:00,3.68,3.68,3.67,3.675,500,0
2016-06-15,19:55:00,3.67,3.675,3.67,3.675,700,0
2016-06-15,20:00:00,3.67,3.7,3.67,3.69,8328,0
2016-06-15,20:05:00,3.68,3.69,3.67,3.67,2400,0
