Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-13,15:35:00,77.07,77.84,77,77.04,3963,0
2016-06-13,15:40:00,77,77.24,76.24,76.73,8604,0
2016-06-13,15:45:00,76.18,76.18,75.67,75.908,3410,0
2016-06-13,15:50:00,75.9,76.5,75.9,76.5,2919,0
2016-06-13,15:55:00,76.79,76.87,76.23,76.23,500,0
2016-06-13,16:00:00,76.54,76.55,76.21,76.55,1200,0
2016-06-13,16:05:00,76.55,77.31,76.55,77,3200,0
2016-06-13,16:15:00,77.17,77.23,77.09,77.23,400,0
2016-06-13,16:20:00,77.28,77.36,77.245,77.36,700,0
2016-06-13,16:25:00,77.27,77.3,77.24,77.3,600,0
2016-06-13,16:30:00,77.35,77.35,77.35,77.35,400,0
2016-06-13,16:35:00,77.44,77.85,77.33,77.85,3170,0
2016-06-13,16:40:00,77.78,77.78,77.67,77.67,200,0
2016-06-13,16:45:00,77.51,77.51,77.51,77.51,100,0
2016-06-13,16:50:00,77.56,77.56,77.45,77.45,500,0
2016-06-13,16:55:00,77.31,77.34,77.2,77.34,900,0
2016-06-13,17:00:00,77.18,77.2,77.1,77.16,800,0
2016-06-13,17:05:00,77.19,77.19,77.19,77.19,200,0
2016-06-13,17:10:00,77.17,77.17,77.13,77.16,500,0
2016-06-13,17:15:00,77.15,77.15,77.15,77.15,100,0
2016-06-13,17:25:00,77.01,77.01,77,77,800,0
2016-06-13,17:30:00,77,77,76.97,76.97,400,0
2016-06-13,17:35:00,76.66,76.66,76.3337,76.61,1000,0
2016-06-13,17:40:00,76.5,76.5,76.5,76.5,200,0
2016-06-13,17:45:00,76.49,76.5,76.38,76.45,1000,0
2016-06-13,17:50:00,76.42,76.51,76.28,76.28,3199,0
2016-06-13,17:55:00,76.28,76.36,76.165,76.21,1000,0
2016-06-13,18:00:00,75.97,76,75.97,75.98,700,0
2016-06-13,18:05:00,76.08,76.13,76.04,76.04,979,0
2016-06-13,18:10:00,76.37,76.37,76.225,76.225,200,0
2016-06-13,18:20:00,76.27,76.32,76.25,76.28,1200,0
2016-06-13,18:25:00,76.26,76.46,76.26,76.46,500,0
2016-06-13,18:30:00,76.35,76.35,76.05,76.07,400,0
2016-06-13,18:35:00,75.98,76.01,75.79,75.98,1400,0
2016-06-13,18:40:00,75.8,75.92,75.79,75.92,400,0
2016-06-13,18:45:00,75.89,75.99,75.89,75.99,1429,0
2016-06-13,18:50:00,76.14,76.15,75.99,75.99,1300,0
2016-06-13,18:55:00,75.92,76.02,75.61,76.02,800,0
2016-06-13,19:00:00,76,76,76,76,100,0
2016-06-13,19:05:00,76.01,76.01,75.626,75.785,1300,0
2016-06-13,19:15:00,75.56,75.58,75.21,75.49,1000,0
2016-06-13,19:20:00,75.52,75.92,75.52,75.91,400,0
2016-06-13,19:25:00,75.9,75.9,75.62,75.62,600,0
2016-06-13,19:30:00,75.6,75.6,75.45,75.46,700,0
2016-06-13,19:35:00,75.41,75.41,75.23,75.35,1300,0
2016-06-13,19:40:00,75.35,75.36,75.28,75.28,700,0
2016-06-13,19:45:00,75.02,75.02,75.02,75.02,100,0
2016-06-13,19:50:00,75.09,75.17,75,75.17,6398,0
2016-06-13,19:55:00,75.18,75.18,75,75.06,3900,0
2016-06-13,20:00:00,75.19,75.19,75.19,75.19,100,0
2016-06-13,20:05:00,75.2,75.2,75.2,75.2,100,0
2016-06-13,20:10:00,75.2,75.54,75.2,75.54,1000,0
2016-06-13,20:15:00,75.67,75.67,75.62,75.63,400,0
2016-06-13,20:20:00,75.59,75.6295,75.59,75.6295,400,0
2016-06-13,20:25:00,75.54,75.54,75.51,75.51,498,0
2016-06-13,20:30:00,75.245,75.37,75.2,75.2,4235,0
2016-06-13,20:35:00,75.28,75.35,75.27,75.35,1000,0
2016-06-13,20:40:00,75.47,75.48,75.47,75.47,600,0
2016-06-13,20:45:00,75.27,75.27,75.27,75.27,100,0
2016-06-13,20:55:00,75.26,75.31,75.04,75.05,1800,0
2016-06-13,21:00:00,75.23,75.23,75.14,75.22,1200,0
2016-06-13,21:05:00,75.26,75.26,75.26,75.26,100,0
2016-06-13,21:10:00,75.21,75.21,75.07,75.07,900,0
2016-06-13,21:15:00,75.09,75.1,75.01,75.08,1500,0
2016-06-13,21:20:00,75.09,75.12,75.09,75.11,700,0
2016-06-13,21:25:00,75.11,75.16,75.11,75.16,904,0
2016-06-13,21:30:00,75.28,75.28,75.162,75.2,600,0
2016-06-13,21:35:00,75.28,75.5,75.28,75.5,800,0
2016-06-13,21:40:00,75.57,75.92,75.47,75.89,1900,0
2016-06-13,21:45:00,75.885,75.9,75.67,75.76,7000,0
2016-06-13,21:50:00,75.81,76.08,75.72,76,6729,0
2016-06-13,21:55:00,75.95,75.95,75.44,75.74,4400,0
2016-06-13,22:00:00,75.64,75.74,75.404,75.53,12037,0
2016-06-14,15:35:00,75.22,75.8,75.15,75.8,5221,0
2016-06-14,15:40:00,75.97,76.005,75.97,76,1700,0
2016-06-14,15:50:00,75.92,75.92,75.89,75.89,600,0
2016-06-14,15:55:00,75.94,75.94,75.699,75.699,200,0
2016-06-14,16:00:00,75.55,75.55,75.43,75.47,1100,0
2016-06-14,16:05:00,75.48,75.94,75.41,75.86,1100,0
2016-06-14,16:15:00,75.23,75.23,75.01,75.01,200,0
2016-06-14,16:20:00,75.04,75.06,75.01,75.06,500,0
2016-06-14,16:25:00,75.05,75.16,75,75.15,6505,0
2016-06-14,16:30:00,75.15,75.44,75.15,75.28,1000,0
2016-06-14,16:35:00,75.49,75.49,75.49,75.49,100,0
2016-06-14,16:40:00,75.54,75.58,75.002,75.28,5481,0
2016-06-14,16:45:00,75.42,75.42,75.42,75.42,100,0
2016-06-14,16:50:00,75.422,75.77,75.422,75.53,300,0
2016-06-14,16:55:00,75.83,75.83,75.83,75.83,100,0
2016-06-14,17:00:00,75.79,75.79,75.6,75.6,300,0
2016-06-14,17:05:00,75.59,75.69,75.59,75.69,2800,0
2016-06-14,17:10:00,75.71,76,75.705,76,2200,0
2016-06-14,17:15:00,76.24,76.24,75.97,75.97,800,0
2016-06-14,17:20:00,75.7,75.7,75.55,75.66,2688,0
2016-06-14,17:25:00,75.64,75.64,75.64,75.64,100,0
2016-06-14,17:30:00,75.65,75.65,75.65,75.65,100,0
2016-06-14,17:35:00,75.65,75.94,75.64,75.94,1000,0
2016-06-14,17:50:00,76.18,76.18,75.94,75.985,1100,0
2016-06-14,17:55:00,75.98,76.18,75.93,76.18,2800,0
2016-06-14,18:00:00,75.97,76.22,75.97,76.07,600,0
2016-06-14,18:05:00,76.07,76.07,75.985,75.985,300,0
2016-06-14,18:10:00,76.13,76.13,76.08,76.08,500,0
2016-06-14,18:15:00,76.11,76.3,76.11,76.3,200,0
2016-06-14,18:20:00,76.29,76.55,76.29,76.55,600,0
2016-06-14,18:25:00,76.7,76.7,76.69,76.69,300,0
2016-06-14,18:30:00,76.85,76.85,76.85,76.85,100,0
2016-06-14,18:35:00,76.7,76.7,76.64,76.64,900,0
2016-06-14,18:45:00,76.32,76.42,76.32,76.42,200,0
2016-06-14,18:50:00,76.41,76.44,76.41,76.44,200,0
2016-06-14,18:55:00,76.34,76.51,76.34,76.51,300,0
2016-06-14,19:00:00,76.23,76.23,76.23,76.23,100,0
2016-06-14,19:05:00,76.21,76.56,76.21,76.56,500,0
2016-06-14,19:10:00,76.64,76.64,76.31,76.43,600,0
2016-06-14,19:15:00,76.23,76.57,76,76.2501,19750,0
2016-06-14,19:20:00,76.28,76.54,76.28,76.54,400,0
2016-06-14,19:30:00,76.81,76.82,76.67,76.82,300,0
2016-06-14,19:35:00,76.785,76.79,76.78,76.785,1100,0
2016-06-14,19:40:00,76.93,77.02,76.5,77,2000,0
2016-06-14,19:45:00,76.9,76.9,76.9,76.9,100,0
2016-06-14,19:50:00,76.72,77,76.52,77,1375,0
2016-06-14,19:55:00,76.95,76.99,76.95,76.99,300,0
2016-06-14,20:00:00,76.79,77.74,76.608,77.61,7698,0
2016-06-14,20:05:00,77.68,77.78,76.42,76.87,6303,0
2016-06-14,20:10:00,77.114,77.21,76.61,76.61,9961,0
2016-06-14,20:15:00,77,77.36,77,77.36,1000,0
2016-06-14,20:20:00,77.08,77.28,77.08,77.28,700,0
2016-06-14,20:30:00,77.39,77.39,77.35,77.38,600,0
2016-06-14,20:35:00,77.02,77.38,77.02,77.38,200,0
2016-06-14,20:40:00,77.14,77.19,77.14,77.17,1000,0
2016-06-14,20:45:00,77.25,77.27,77.25,77.27,200,0
2016-06-14,20:50:00,77.23,77.23,76.996,76.996,300,0
2016-06-14,20:55:00,77.15,77.15,76.74,76.86,700,0
2016-06-14,21:00:00,76.6,76.624,76.32,76.32,500,0
2016-06-14,21:05:00,76.27,76.42,76.27,76.42,1200,0
2016-06-14,21:10:00,76.42,76.72,76.42,76.45,900,0
2016-06-14,21:20:00,76.51,76.57,76.51,76.52,1500,0
2016-06-14,21:25:00,76.54,76.96,76.54,76.72,900,0
2016-06-14,21:30:00,76.47,77.01,76.47,76.52,1600,0
2016-06-14,21:35:00,76.57,76.75,76.55,76.55,800,0
2016-06-14,21:40:00,76.47,76.47,76.21,76.22,900,0
2016-06-14,21:45:00,76.305,76.36,75.81,76.16,4187,0
2016-06-14,21:50:00,76.16,76.17,76.07,76.16,700,0
2016-06-14,21:55:00,76.14,76.2,76,76.14,3400,0
2016-06-14,22:00:00,76.12,76.54,76.12,76.47,6276,0
2016-06-15,15:35:00,76.94,76.94,76.3,76.82,5784,0
2016-06-15,15:40:00,76.13,76.13,75.24,75.24,300,0
2016-06-15,15:45:00,75.65,75.95,75.65,75.91,2519,0
2016-06-15,15:50:00,75.9,75.9,75.9,75.9,400,0
2016-06-15,15:55:00,75.9,76.48,75.9,76.48,2180,0
2016-06-15,16:00:00,76.6,76.6,76.6,76.6,200,0
2016-06-15,16:25:00,77.65,77.69,77.63,77.63,400,0
2016-06-15,16:35:00,77.42,77.42,77.38,77.42,300,0
2016-06-15,16:40:00,77.24,77.4,77.24,77.3,600,0
2016-06-15,16:55:00,77.77,77.89,77.77,77.87,1400,0
2016-06-15,17:05:00,77.7,77.715,77.64,77.715,400,0
2016-06-15,17:10:00,77.71,77.71,77.64,77.64,400,0
2016-06-15,17:15:00,77.42,77.5,77.42,77.5,400,0
2016-06-15,17:25:00,77.45,77.45,77.215,77.215,712,0
2016-06-15,17:30:00,77.11,77.11,77.11,77.11,100,0
2016-06-15,17:35:00,77.23,77.28,76.83,77.28,1200,0
2016-06-15,17:40:00,77.06,77.06,77.05,77.05,200,0
2016-06-15,17:55:00,77.25,77.3,77.25,77.3,600,0
2016-06-15,18:00:00,77.42,77.42,77.42,77.42,100,0
2016-06-15,18:05:00,77.4,77.4,77.4,77.4,300,0
2016-06-15,18:10:00,77.47,77.5,77.47,77.5,200,0
2016-06-15,18:20:00,77.5,77.5,77.5,77.5,300,0
2016-06-15,18:35:00,77.49,77.49,77.24,77.24,200,0
2016-06-15,18:45:00,77.42,77.42,77.4,77.4,300,0
2016-06-15,18:50:00,77.21,77.21,77.21,77.21,100,0
2016-06-15,18:55:00,77.02,77.23,77.02,77.23,1300,0
2016-06-15,19:00:00,77.175,77.29,77.175,77.2,300,0
2016-06-15,19:15:00,76.9,77.09,76.8,77,3400,0
2016-06-15,19:20:00,77.03,77.51,77.03,77.05,9333,0
2016-06-15,19:25:00,77.06,77.19,76.91,77.15,5547,0
2016-06-15,19:30:00,77.25,77.4,77.2,77.28,1000,0
2016-06-15,19:35:00,77.1,77.55,77.1,77.55,2076,0
2016-06-15,19:50:00,77.82,77.82,77.74,77.74,500,0
2016-06-15,19:55:00,78.02,78.02,78.02,78.02,200,0
2016-06-15,20:00:00,77.97,77.97,77.97,77.97,100,0
2016-06-15,20:05:00,78.07,78.09,77.42,77.45,1200,0
2016-06-15,20:10:00,77.5,77.5,76.9,76.99,311,0
2016-06-15,20:15:00,76.72,76.72,76.72,76.72,100,0
2016-06-15,20:20:00,76.54,76.59,76.26,76.59,700,0
2016-06-15,20:25:00,76.46,76.46,76.46,76.46,100,0
2016-06-15,20:35:00,76.57,76.57,76.49,76.49,600,0
2016-06-15,20:40:00,76.71,76.76,76.54,76.54,500,0
2016-06-15,20:55:00,76.495,76.495,76.495,76.495,100,0
2016-06-15,21:05:00,76.65,76.65,76.43,76.43,200,0
2016-06-15,21:10:00,76.63,76.97,76.63,76.97,1020,0
2016-06-15,21:20:00,76.87,76.87,76.87,76.87,100,0
2016-06-15,21:30:00,76.87,76.96,76.68,76.715,600,0
2016-06-15,21:35:00,76.92,76.92,76.755,76.755,700,0
2016-06-15,21:45:00,76.5,76.51,76.37,76.51,3900,0
2016-06-15,21:50:00,76.425,76.7,76.19,76.7,3400,0
2016-06-15,21:55:00,76.12,76.61,76.12,76.24,1800,0
2016-06-15,22:00:00,76.25,76.53,76.25,76.48,6149,0
2016-06-16,15:35:00,75.87,75.8999,74.63,75.155,1209,0
2016-06-16,15:40:00,74.21,74.5,74.21,74.5,300,0
2016-06-16,15:45:00,74.5,74.5,74.095,74.095,400,0
2016-06-16,15:55:00,74.18,74.46,73.8,74.46,4380,0
2016-06-16,16:00:00,74.54,75.52,74.54,74.8,700,0
2016-06-16,16:05:00,74.76,74.96,74.54,74.74,4076,0
2016-06-16,16:10:00,74.63,74.705,74.35,74.41,500,0
2016-06-16,16:15:00,74.78,74.8,74.78,74.8,1213,0
2016-06-16,16:20:00,75.49,75.49,75.22,75.22,2900,0
2016-06-16,16:25:00,75.38,75.38,75.01,75.1126,444,0
2016-06-16,16:35:00,75.02,75.02,75.02,75.02,100,0
2016-06-16,16:45:00,75.22,75.22,75.22,75.22,200,0
2016-06-16,16:55:00,75,75.17,75,75.095,2500,0
2016-06-16,17:00:00,75.13,75.1395,75.01,75.01,300,0
2016-06-16,17:05:00,75.07,75.07,75,75,600,0
2016-06-16,17:10:00,75.03,75.14,75.03,75.03,729,0
2016-06-16,17:15:00,75.05,75.33,75.01,75.33,400,0
2016-06-16,17:20:00,75.17,75.17,75.17,75.17,400,0
2016-06-16,17:30:00,75.32,75.52,75.32,75.52,800,0
2016-06-16,17:40:00,75.56,75.56,75.165,75.165,1300,0
2016-06-16,17:45:00,75.21,75.25,75.21,75.25,300,0
2016-06-16,17:55:00,75.17,75.17,75.01,75.098,1200,0
2016-06-16,18:00:00,75.1,75.1,74.71,74.71,2000,0
2016-06-16,18:05:00,74.71,74.71,74.71,74.71,100,0
2016-06-16,18:10:00,74.72,74.72,74.35,74.51,1600,0
2016-06-16,18:20:00,74.53,74.54,74.53,74.54,200,0
2016-06-16,18:25:00,74.54,74.72,74.53,74.72,500,0
2016-06-16,18:30:00,74.7,74.78,74.66,74.73,1000,0
2016-06-16,18:40:00,74.845,74.86,74.84,74.86,800,0
2016-06-16,18:45:00,74.85,74.85,74.75,74.75,400,0
2016-06-16,18:50:00,74.74,74.76,74.74,74.76,400,0
2016-06-16,19:00:00,74.72,74.84,74.6605,74.79,1500,0
2016-06-16,19:05:00,75.14,75.29,74.92,74.92,400,0
2016-06-16,19:10:00,75.26,75.26,75.26,75.26,100,0
2016-06-16,19:15:00,74.99,75.16,74.99,75.16,1000,0
2016-06-16,19:20:00,75.22,75.25,75.22,75.25,200,0
2016-06-16,19:25:00,75.325,75.325,75.325,75.325,100,0
2016-06-16,19:30:00,75.37,75.37,75.27,75.37,775,0
2016-06-16,19:35:00,75.36,75.36,75.24,75.24,1000,0
2016-06-16,19:40:00,75,75.14,74.8,75.04,1200,0
2016-06-16,19:55:00,75.06,75.07,75.06,75.07,200,0
2016-06-16,20:00:00,75.06,75.06,74.76,74.76,2000,0
2016-06-16,20:05:00,74.93,75.09,74.83,75.07,2034,0
2016-06-16,20:10:00,75.23,75.24,75.23,75.24,500,0
2016-06-16,20:15:00,75.43,75.71,75.42,75.71,1000,0
2016-06-16,20:25:00,75.59,75.79,75.59,75.69,500,0
2016-06-16,20:30:00,75.55,75.56,75.43,75.43,500,0
2016-06-16,20:35:00,75.5,75.5,75.5,75.5,100,0
2016-06-16,20:40:00,75.392,75.5,75.34,75.34,400,0
2016-06-16,20:45:00,75.35,75.37,75.35,75.37,500,0
2016-06-16,20:50:00,75.46,75.48,75.45,75.45,950,0
2016-06-16,20:55:00,75.595,75.66,75.5,75.55,800,0
2016-06-16,21:00:00,75.65,75.65,75.3,75.3,1700,0
2016-06-16,21:05:00,75.504,75.504,75.23,75.23,1100,0
2016-06-16,21:10:00,75.25,75.25,75.25,75.25,200,0
2016-06-16,21:15:00,75.215,75.33,75.19,75.33,1300,0
2016-06-16,21:20:00,75.43,75.43,75.265,75.3712,700,0
2016-06-16,21:25:00,75.32,75.57,75.32,75.57,700,0
2016-06-16,21:30:00,75.41,75.715,75.41,75.52,1100,0
2016-06-16,21:35:00,75.6,75.725,75.6,75.6,300,0
2016-06-16,21:40:00,75.61,75.61,75.33,75.33,1400,0
2016-06-16,21:45:00,75.465,75.5,75.45,75.5,1074,0
2016-06-16,21:50:00,75.665,75.665,75.48,75.53,1176,0
2016-06-16,21:55:00,75.625,75.625,75.27,75.39,1200,0
2016-06-16,22:00:00,75.32,75.49,75.31,75.42,3737,0
2016-06-17,15:35:00,75.66,75.66,75.66,75.66,14092,0
2016-06-17,15:50:00,76.98,76.98,76.97,76.97,200,0
2016-06-17,15:55:00,77.06,77.18,77.03,77.03,600,0
2016-06-17,16:05:00,76.995,76.995,76.995,76.995,200,0
2016-06-17,16:10:00,76.82,76.82,76.55,76.55,200,0
2016-06-17,16:30:00,76.55,76.55,76.55,76.55,100,0
2016-06-17,16:35:00,76.55,76.8,76.26,76.8,700,0
2016-06-17,16:45:00,76.28,76.735,76.28,76.735,1200,0
2016-06-17,16:50:00,76.72,76.855,76.72,76.855,704,0
2016-06-17,16:55:00,76.77,76.77,76.49,76.49,2030,0
2016-06-17,17:00:00,76.656,76.656,76.5,76.53,1293,0
2016-06-17,17:05:00,76.52,76.52,76.31,76.31,700,0
2016-06-17,17:10:00,76.08,76.08,76.08,76.08,100,0
2016-06-17,17:15:00,76.08,76.15,76.08,76.09,400,0
2016-06-17,17:30:00,76.08,76.08,75.72,75.72,1500,0
2016-06-17,17:40:00,75.97,75.97,75.79,75.84,800,0
2016-06-17,17:55:00,75.96,75.96,75.83,75.83,600,0
2016-06-17,18:00:00,75.76,75.76,75.59,75.59,700,0
2016-06-17,18:05:00,75.79,75.94,75.79,75.94,500,0
2016-06-17,18:15:00,75.89,75.89,75.82,75.885,300,0
2016-06-17,18:20:00,75.73,75.73,75.72,75.725,400,0
2016-06-17,18:30:00,75.61,75.68,75.53,75.53,300,0
2016-06-17,18:35:00,75.54,75.54,75.29,75.29,500,0
2016-06-17,18:40:00,75.35,75.35,75.25,75.255,1700,0
2016-06-17,18:45:00,75.24,75.36,75.24,75.36,2400,0
2016-06-17,18:50:00,75.45,75.45,75.45,75.45,100,0
2016-06-17,18:55:00,75.25,75.25,75.245,75.245,200,0
2016-06-17,19:05:00,75.51,75.51,75.07,75.11,300,0
2016-06-17,19:10:00,75.25,75.25,75.25,75.25,300,0
2016-06-17,19:20:00,75.36,75.36,75.32,75.33,300,0
2016-06-17,19:40:00,75.44,75.49,75.27,75.46,4700,0
2016-06-17,19:45:00,75.27,75.6,75.27,75.32,4300,0
2016-06-17,19:50:00,75.58,75.58,75.32,75.41,2795,0
2016-06-17,19:55:00,75.53,75.59,75.53,75.59,200,0
2016-06-17,20:15:00,75.51,75.51,75.51,75.51,100,0
2016-06-17,20:20:00,75.59,75.59,75.53,75.53,300,0
2016-06-17,20:25:00,75.54,75.54,75.54,75.54,300,0
2016-06-17,20:30:00,75.62,75.62,75.62,75.62,100,0
2016-06-17,20:35:00,75.75,75.75,75.75,75.75,100,0
2016-06-17,20:40:00,75.645,75.645,75.645,75.645,100,0
2016-06-17,20:45:00,75.7,75.75,75.7,75.75,300,0
2016-06-17,20:50:00,75.82,75.85,75.82,75.85,200,0
2016-06-17,20:55:00,76.19,76.19,76.19,76.19,100,0
2016-06-17,21:20:00,76.05,76.05,76.05,76.05,100,0
2016-06-17,21:25:00,75.81,75.97,75.8,75.97,550,0
2016-06-17,21:30:00,75.8,75.82,75.58,75.58,700,0
2016-06-17,21:35:00,75.58,75.58,75.5,75.54,500,0
2016-06-17,21:45:00,75.62,75.62,75.5,75.5,400,0
2016-06-17,21:55:00,75.42,75.43,75.35,75.43,1208,0
2016-06-17,22:00:00,75.43,75.695,75.425,75.52,20167,0
2016-06-20,15:35:00,76.59,77,76.25,76.9,6704,0
2016-06-20,15:40:00,76.9,77,76.9,77,9149,0
2016-06-20,15:45:00,77.46,77.5,77.46,77.5,300,0
2016-06-20,15:50:00,77.5,77.53,77.29,77.39,2300,0
2016-06-20,15:55:00,77.32,77.32,76.81,76.81,600,0
2016-06-20,16:05:00,77.36,77.36,77.25,77.34,400,0
2016-06-20,16:10:00,77.5,77.8399,77.5,77.52,4300,0
2016-06-20,16:15:00,77.55,77.89,77.5,77.8,5900,0
2016-06-20,16:20:00,77.7,78,77.7,77.86,5917,0
2016-06-20,16:30:00,77.99,78,77.94,78,1100,0
2016-06-20,16:35:00,77.98,77.98,77.975,77.98,300,0
2016-06-20,16:40:00,77.935,77.935,77.29,77.7,2828,0
2016-06-20,16:45:00,77.69,77.69,77.52,77.52,600,0
2016-06-20,16:50:00,77.53,77.53,77.5,77.5,200,0
2016-06-20,16:55:00,77.425,77.425,77.425,77.425,100,0
2016-06-20,17:00:00,77.31,77.45,77.31,77.41,1200,0
2016-06-20,17:05:00,77.45,77.45,77.43,77.43,300,0
2016-06-20,17:15:00,77.34,77.55,77.335,77.55,1125,0
2016-06-20,17:20:00,77.53,77.53,77.53,77.53,100,0
2016-06-20,17:25:00,77.51,77.51,77.51,77.51,100,0
2016-06-20,17:30:00,77.42,77.47,77.36,77.47,300,0
2016-06-20,17:35:00,77.43,77.44,77.335,77.44,300,0
2016-06-20,17:40:00,77.44,77.44,77.44,77.44,100,0
2016-06-20,17:50:00,77.42,77.42,76.888,77.14,700,0
2016-06-20,17:55:00,77.17,77.17,77.03,77.03,200,0
2016-06-20,18:00:00,77,77.14,77,77.14,300,0
2016-06-20,18:05:00,77.35,77.52,77.29,77.335,4400,0
2016-06-20,18:10:00,77.42,77.54,77.3,77.51,3900,0
2016-06-20,18:15:00,77.49,77.985,77.49,77.985,1300,0
2016-06-20,18:20:00,77.935,77.99,77.79,77.79,1743,0
2016-06-20,18:30:00,77.75,77.9,77.75,77.7999,900,0
2016-06-20,18:40:00,77.83,77.93,77.83,77.93,400,0
2016-06-20,18:45:00,77.89,77.89,77.89,77.89,100,0
2016-06-20,19:00:00,77.74,77.785,77.74,77.745,600,0
2016-06-20,19:05:00,77.79,77.79,77.76,77.76,200,0
2016-06-20,19:10:00,77.71,77.71,77.71,77.71,200,0
2016-06-20,19:15:00,77.56,77.56,77.56,77.56,100,0
2016-06-20,19:20:00,77.57,77.58,77.57,77.58,200,0
2016-06-20,19:25:00,77.57,77.8,77.545,77.8,1400,0
2016-06-20,19:30:00,77.825,77.825,77.57,77.68,1500,0
2016-06-20,19:35:00,77.68,77.74,77.68,77.74,600,0
2016-06-20,19:40:00,77.73,77.765,77.73,77.765,679,0
2016-06-20,19:50:00,77.76,77.76,77.76,77.76,100,0
2016-06-20,20:00:00,77.82,77.82,77.82,77.82,100,0
2016-06-20,20:15:00,77.63,77.63,77.6225,77.63,300,0
2016-06-20,20:20:00,77.67,77.91,77.67,77.89,6902,0
2016-06-20,20:25:00,77.76,77.86,77.72,77.84,1055,0
2016-06-20,20:30:00,77.8,77.94,77.75,77.94,1300,0
2016-06-20,20:35:00,77.96,77.96,77.79,77.79,300,0
2016-06-20,20:40:00,78,78,77.96,77.98,300,0
2016-06-20,20:55:00,77.98,78,77.89,77.94,1680,0
2016-06-20,21:00:00,77.86,78,77.86,77.99,10499,0
2016-06-20,21:05:00,77.96,78.06,77.85,78.06,2632,0
2016-06-20,21:10:00,78.07,78.07,77.92,78,4105,0
2016-06-20,21:15:00,78,78.0299,77.97,78.0299,891,0
2016-06-20,21:20:00,77.99,78.05,77.99,78.05,500,0
2016-06-20,21:25:00,77.91,77.91,77.91,77.91,100,0
2016-06-20,21:30:00,77.98,78.04,77.93,77.93,1800,0
2016-06-20,21:35:00,77.88,78.03,77.82,77.94,1800,0
2016-06-20,21:40:00,77.99,78.05,77.94,77.94,1632,0
2016-06-20,21:45:00,78.05,78.05,77.91,77.91,200,0
2016-06-20,21:50:00,77.94,78.03,77.87,77.87,1496,0
2016-06-20,21:55:00,77.85,77.99,77.76,77.89,8700,0
2016-06-20,22:00:00,77.94,78.07,77.86,77.89,4879,0
2016-06-21,15:35:00,78.21,78.21,78.21,78.21,322,0
2016-06-21,15:40:00,78,78,77.89,77.89,200,0
2016-06-21,15:45:00,77.93,77.93,77.84,77.84,500,0
2016-06-21,15:50:00,77.83,77.83,77.68,77.68,300,0
2016-06-21,15:55:00,77.39,77.39,77.37,77.37,301,0
2016-06-21,16:05:00,77.57,77.57,77.37,77.37,200,0
2016-06-21,16:10:00,76.88,77.4,76.88,77.4,800,0
2016-06-21,16:15:00,77.39,77.52,77.39,77.52,400,0
2016-06-21,16:20:00,77.82,77.82,77.66,77.75,400,0
2016-06-21,16:25:00,77.7,77.7,77.09,77.09,1100,0
2016-06-21,16:30:00,77.39,77.66,77.39,77.66,700,0
2016-06-21,16:35:00,77.65,77.65,77.55,77.55,500,0
2016-06-21,16:45:00,77.44,77.45,77.23,77.28,500,0
2016-06-21,16:50:00,77.39,77.39,77.39,77.39,100,0
2016-06-21,16:55:00,77.45,77.56,77.37,77.56,1200,0
