Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-15,15:35:00,71.04,71.04,70.59,70.59,739,0
2016-06-15,15:40:00,70.465,70.465,70.465,70.465,100,0
2016-06-15,15:45:00,70.69,70.7818,70.66,70.66,2100,0
2016-06-15,15:50:00,70.56,70.63,70.55,70.56,800,0
2016-06-15,15:55:00,70.55,70.55,70.45,70.45,400,0
2016-06-15,16:25:00,70.53,70.5699,70.53,70.54,1132,0
2016-06-15,16:30:00,70.52,70.6,70.52,70.6,900,0
2016-06-15,16:35:00,70.64,70.705,70.6,70.69,3800,0
2016-06-15,16:40:00,70.69,70.77,70.68,70.68,2100,0
2016-06-15,16:45:00,70.65,70.75,70.65,70.73,6006,0
2016-06-15,16:50:00,70.69,70.79,70.69,70.79,700,0
2016-06-15,16:55:00,70.75,70.84,70.75,70.75,1700,0
2016-06-15,17:00:00,70.84,70.85,70.84,70.85,200,0
2016-06-15,17:05:00,70.86,70.86,70.84,70.84,400,0
2016-06-15,17:10:00,70.89,70.89,70.85,70.85,1400,0
2016-06-15,17:15:00,70.88,70.96,70.88,70.94,1600,0
2016-06-15,17:20:00,70.94,70.97,70.94,70.96,800,0
2016-06-15,17:30:00,70.93,70.96,70.91,70.91,600,0
2016-06-15,17:35:00,70.84,70.88,70.81,70.88,700,0
2016-06-15,17:40:00,70.85,70.99,70.85,70.9,4500,0
2016-06-15,17:45:00,70.935,70.95,70.9,70.95,2100,0
2016-06-15,17:50:00,71.05,71.05,71.05,71.05,100,0
2016-06-15,17:55:00,71.12,71.12,71.1,71.1,800,0
2016-06-15,18:00:00,71.14,71.19,71.1,71.1,3700,0
2016-06-15,18:05:00,71.1,71.1,71.05,71.065,1702,0
2016-06-15,18:10:00,71.08,71.17,71.08,71.1,2700,0
2016-06-15,18:15:00,71.1,71.125,71.07,71.07,1900,0
2016-06-15,18:20:00,71.12,71.16,70.99,71.04,7435,0
2016-06-15,18:25:00,71.05,71.05,70.98,70.98,1900,0
2016-06-15,18:30:00,70.94,70.955,70.94,70.955,300,0
2016-06-15,18:35:00,70.93,71,70.92,70.92,1500,0
2016-06-15,18:55:00,70.91,70.96,70.89,70.96,400,0
2016-06-15,19:00:00,70.89,70.89,70.89,70.89,200,0
