Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-14,15:35:00,6.73,6.73,6.3826,6.39,33711,0
2016-06-14,15:40:00,6.4221,6.4221,6.25,6.3334,26635,0
2016-06-14,15:45:00,6.33,6.33,6.25,6.3234,19022,0
2016-06-14,15:50:00,6.305,6.42,6.305,6.3308,11469,0
2016-06-14,15:55:00,6.31,6.35,6.26,6.26,2613,0
2016-06-14,16:00:00,6.221,6.2799,6.22,6.25,8949,0
2016-06-14,16:05:00,6.28,6.28,6.201,6.23,7836,0
2016-06-14,16:10:00,6.23,6.3,6.2,6.24,8950,0
2016-06-14,16:15:00,6.2637,6.38,6.2637,6.3,21054,0
2016-06-14,16:20:00,6.3,6.3,6.21,6.2713,5000,0
2016-06-14,16:25:00,6.24,6.28,6.21,6.27,6942,0
2016-06-14,16:30:00,6.34,6.42,6.33,6.362,3500,0
2016-06-14,16:35:00,6.4214,6.438,6.3,6.3,17258,0
2016-06-14,16:40:00,6.3,6.4,6.2,6.38,13640,0
2016-06-14,16:45:00,6.37,6.4,6.34,6.34,41704,0
2016-06-14,16:50:00,6.35,6.35,6.31,6.32,5100,0
2016-06-14,16:55:00,6.32,6.32,6.2795,6.2919,6900,0
2016-06-14,17:00:00,6.29,6.3172,6.27,6.3025,5800,0
2016-06-14,17:05:00,6.31,6.31,6.26,6.29,3300,0
2016-06-14,17:10:00,6.29,6.34,6.29,6.33,4800,0
2016-06-14,17:15:00,6.335,6.335,6.335,6.335,500,0
2016-06-14,17:20:00,6.33,6.37,6.33,6.36,10217,0
2016-06-14,17:25:00,6.36,6.36,6.34,6.352,9000,0
2016-06-14,17:30:00,6.35,6.3543,6.35,6.3543,1100,0
2016-06-14,17:35:00,6.35,6.35,6.3,6.3,3233,0
2016-06-14,17:40:00,6.306,6.31,6.29,6.29,3000,0
2016-06-14,17:45:00,6.29,6.45,6.285,6.37,15462,0
2016-06-14,17:50:00,6.399,6.399,6.399,6.399,100,0
2016-06-14,17:55:00,6.37,6.39,6.36,6.39,2074,0
2016-06-14,18:00:00,6.3914,6.3914,6.3914,6.3914,1000,0
2016-06-14,18:05:00,6.3889,6.3889,6.3889,6.3889,190,0
2016-06-14,18:10:00,6.39,6.4,6.39,6.4,290,0
2016-06-14,18:15:00,6.45,6.45,6.45,6.45,100,0
2016-06-14,18:20:00,6.48,6.5599,6.4721,6.4721,9183,0
2016-06-14,18:25:00,6.47,6.5699,6.47,6.5,2300,0
2016-06-14,18:30:00,6.54,6.64,6.51,6.58,22550,0
2016-06-14,18:35:00,6.63,6.74,6.58,6.68,25048,0
2016-06-14,18:40:00,6.6801,6.74,6.58,6.59,19180,0
2016-06-14,18:45:00,6.57,6.59,6.56,6.58,3600,0
2016-06-14,18:50:00,6.58,6.598,6.58,6.598,3100,0
