Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-06,15:35:00,21.839,21.839,21.839,21.839,318,0
2016-06-06,15:45:00,21.739,21.739,21.739,21.739,100,0
2016-06-06,16:05:00,21.63,21.63,21.63,21.63,201,0
2016-06-06,16:10:00,21.709,21.709,21.709,21.709,100,0
2016-06-06,17:05:00,21.59,21.59,21.59,21.59,100,0
2016-06-06,17:20:00,21.66,21.66,21.66,21.66,100,0
2016-06-06,17:25:00,21.655,21.655,21.655,21.655,100,0
2016-06-06,17:45:00,21.739,21.739,21.67,21.689,802,0
2016-06-06,18:00:00,21.709,21.709,21.709,21.709,100,0
2016-06-06,18:10:00,21.61,21.61,21.61,21.61,100,0
2016-06-06,18:20:00,21.67,21.709,21.67,21.709,602,0
2016-06-06,18:25:00,21.719,21.739,21.689,21.689,802,0
2016-06-06,18:30:00,21.719,21.739,21.719,21.739,201,0
2016-06-06,18:35:00,21.724,21.724,21.724,21.724,100,0
2016-06-06,18:40:00,21.739,21.739,21.724,21.724,201,0
2016-06-06,18:50:00,21.724,21.724,21.724,21.724,201,0
2016-06-06,18:55:00,21.724,21.739,21.724,21.739,201,0
2016-06-06,19:00:00,21.724,21.724,21.724,21.724,100,0
2016-06-06,19:05:00,21.739,21.739,21.709,21.724,702,0
2016-06-06,19:10:00,21.739,21.739,21.724,21.724,301,0
2016-06-06,19:25:00,21.724,21.724,21.724,21.724,201,0
2016-06-06,19:35:00,21.739,21.739,21.699,21.699,1103,0
2016-06-06,19:40:00,21.704,21.704,21.704,21.704,100,0
2016-06-06,19:50:00,21.699,21.719,21.699,21.699,301,0
2016-06-06,19:55:00,21.719,21.719,21.719,21.719,100,0
2016-06-06,20:00:00,21.739,21.739,21.739,21.739,100,0
2016-06-06,20:05:00,21.739,21.739,21.739,21.739,100,0
2016-06-06,20:10:00,21.724,21.739,21.709,21.709,1003,0
2016-06-06,20:15:00,21.735,21.739,21.724,21.739,1905,0
2016-06-06,20:20:00,21.729,21.729,21.729,21.729,100,0
2016-06-06,20:25:00,21.739,21.739,21.729,21.739,2006,0
2016-06-06,20:30:00,21.739,21.739,21.734,21.739,301,0
2016-06-06,20:35:00,21.729,21.734,21.729,21.734,401,0
2016-06-06,20:40:00,21.739,21.739,21.729,21.734,401,0
2016-06-06,20:45:00,21.729,21.729,21.729,21.729,100,0
2016-06-06,20:50:00,21.729,21.729,21.709,21.709,501,0
2016-06-06,20:55:00,21.719,21.719,21.719,21.719,100,0
2016-06-06,21:20:00,21.729,21.729,21.729,21.729,100,0
2016-06-06,21:30:00,21.739,21.739,21.729,21.729,201,0
2016-06-06,21:35:00,21.734,21.739,21.734,21.739,201,0
2016-06-06,21:40:00,21.739,21.739,21.729,21.739,1003,0
2016-06-06,21:45:00,21.739,21.739,21.739,21.739,100,0
2016-06-06,21:55:00,21.739,21.739,21.729,21.729,401,0
2016-06-06,22:00:00,21.739,21.739,21.739,21.739,541,0
2016-06-07,15:35:00,21.64,21.64,21.64,21.64,100,0
2016-06-07,15:50:00,22.346,22.346,22.346,22.346,501,0
2016-06-07,16:45:00,21.759,21.929,21.759,21.829,1453,0
2016-06-07,16:50:00,21.769,21.799,21.759,21.799,702,0
2016-06-07,16:55:00,21.724,21.724,21.699,21.699,201,0
2016-06-07,17:20:00,21.62,21.62,21.62,21.62,100,0
2016-06-07,17:25:00,21.645,21.645,21.645,21.645,100,0
2016-06-07,17:30:00,21.699,21.699,21.699,21.699,100,0
2016-06-07,17:35:00,21.699,21.699,21.59,21.699,301,0
2016-06-07,17:40:00,21.699,21.699,21.699,21.699,100,0
2016-06-07,17:50:00,21.699,21.699,21.699,21.699,100,0
2016-06-07,17:55:00,21.699,21.699,21.699,21.699,100,0
2016-06-07,18:00:00,21.699,21.699,21.699,21.699,100,0
2016-06-07,18:05:00,21.699,21.699,21.699,21.699,100,0
2016-06-07,18:10:00,21.699,21.709,21.665,21.709,903,0
2016-06-07,18:15:00,21.709,21.709,21.709,21.709,100,0
2016-06-07,18:20:00,21.709,21.709,21.709,21.709,401,0
2016-06-07,18:25:00,21.779,21.779,21.779,21.779,100,0
2016-06-07,18:30:00,21.769,21.769,21.769,21.769,100,0
2016-06-07,18:35:00,21.779,21.779,21.769,21.769,201,0
2016-06-07,18:40:00,21.704,21.704,21.704,21.704,100,0
2016-06-07,18:45:00,21.665,21.67,21.6,21.6,401,0
2016-06-07,18:55:00,21.68,21.68,21.68,21.68,100,0
2016-06-07,19:00:00,21.685,21.685,21.685,21.685,100,0
2016-06-07,19:05:00,21.665,21.665,21.64,21.64,301,0
2016-06-07,19:10:00,21.67,21.67,21.67,21.67,100,0
2016-06-07,19:15:00,21.675,21.675,21.675,21.675,100,0
2016-06-07,19:20:00,21.65,21.65,21.65,21.65,100,0
2016-06-07,19:25:00,21.675,21.675,21.65,21.65,301,0
2016-06-07,19:30:00,21.675,21.694,21.67,21.694,802,0
2016-06-07,19:35:00,21.739,21.739,21.739,21.739,100,0
2016-06-07,19:40:00,21.739,21.739,21.739,21.739,100,0
2016-06-07,19:45:00,21.744,21.789,21.699,21.789,401,0
2016-06-07,19:55:00,21.749,21.749,21.749,21.749,201,0
2016-06-07,20:00:00,21.744,21.744,21.744,21.744,100,0
2016-06-07,20:05:00,21.729,21.729,21.719,21.719,201,0
2016-06-07,20:10:00,21.709,21.729,21.709,21.729,201,0
2016-06-07,20:15:00,21.744,21.744,21.744,21.744,100,0
2016-06-07,20:20:00,21.729,21.729,21.729,21.729,100,0
2016-06-07,20:25:00,21.759,21.789,21.739,21.739,1103,0
2016-06-07,20:30:00,21.764,21.764,21.739,21.739,301,0
2016-06-07,20:35:00,21.754,21.754,21.754,21.754,201,0
2016-06-07,20:40:00,21.739,21.769,21.739,21.749,501,0
2016-06-07,20:45:00,21.739,21.759,21.739,21.759,501,0
2016-06-07,20:50:00,21.749,21.749,21.739,21.739,201,0
2016-06-07,21:00:00,21.759,21.759,21.759,21.759,100,0
2016-06-07,21:05:00,21.749,21.759,21.749,21.749,401,0
2016-06-07,21:10:00,21.749,21.749,21.739,21.739,256,0
2016-06-07,21:25:00,21.64,21.709,21.6,21.6,802,0
2016-06-07,21:30:00,21.59,21.6,21.59,21.595,903,0
2016-06-07,21:35:00,21.59,21.59,21.59,21.59,201,0
2016-06-07,21:40:00,21.6,21.6,21.6,21.6,100,0
2016-06-07,21:45:00,21.59,21.6,21.59,21.595,602,0
2016-06-07,21:50:00,21.59,21.59,21.59,21.59,201,0
