Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-08,15:35:00,1.5322,1.5499,1.5322,1.5499,12747,0
2016-06-08,15:40:00,1.5323,1.5323,1.5323,1.5323,101,0
2016-06-08,15:45:00,1.5371,1.542,1.5347,1.5383,5605,0
2016-06-08,15:50:00,1.5323,1.5323,1.5323,1.5323,101,0
2016-06-08,15:55:00,1.54,1.54,1.5322,1.5322,1922,0
2016-06-08,16:05:00,1.5323,1.5323,1.5323,1.5323,101,0
2016-06-08,16:10:00,1.5322,1.5322,1.5322,1.5322,202,0
2016-06-08,16:20:00,1.5362,1.5419,1.5322,1.5411,3449,0
2016-06-08,16:30:00,1.5322,1.5322,1.5322,1.5322,101,0
2016-06-08,16:35:00,1.5419,1.542,1.5419,1.542,405,0
2016-06-08,16:45:00,1.5395,1.5395,1.5395,1.5395,506,0
2016-06-08,16:50:00,1.5323,1.5411,1.5323,1.5411,3136,0
2016-06-08,16:55:00,1.5371,1.542,1.5322,1.542,2833,0
2016-06-08,17:00:00,1.5322,1.5371,1.5322,1.5322,11017,0
2016-06-08,17:05:00,1.5223,1.5272,1.5223,1.5272,303,0
2016-06-08,17:30:00,1.5223,1.5322,1.5223,1.5322,1113,0
2016-06-08,17:35:00,1.5302,1.5302,1.5272,1.5272,708,0
2016-06-08,17:55:00,1.5272,1.5322,1.5272,1.5272,2124,0
2016-06-08,18:10:00,1.5279,1.5279,1.5279,1.5279,1012,0
2016-06-08,18:15:00,1.5272,1.5322,1.5272,1.5322,7891,0
2016-06-08,18:30:00,1.5272,1.5272,1.5272,1.5272,101,0
2016-06-08,19:00:00,1.5223,1.5272,1.5223,1.5272,759,0
2016-06-08,19:05:00,1.5322,1.542,1.5322,1.542,5159,0
2016-06-08,19:10:00,1.542,1.542,1.542,1.542,303,0
2016-06-08,19:15:00,1.5323,1.542,1.5323,1.542,3338,0
2016-06-08,19:25:00,1.5371,1.542,1.5371,1.542,607,0
2016-06-08,19:35:00,1.542,1.542,1.542,1.542,101,0
2016-06-08,19:40:00,1.5323,1.542,1.5322,1.5322,13910,0
2016-06-08,19:45:00,1.5322,1.5322,1.5272,1.5272,477,0
2016-06-08,19:50:00,1.5322,1.542,1.5322,1.542,13589,0
2016-06-08,20:00:00,1.5371,1.5371,1.5371,1.5371,101,0
2016-06-08,20:05:00,1.542,1.542,1.5322,1.5322,105123,0
2016-06-08,20:10:00,1.5322,1.5322,1.5322,1.5322,607,0
2016-06-08,20:25:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,20:35:00,1.5223,1.5224,1.5223,1.5223,1517,0
2016-06-08,20:40:00,1.5322,1.5322,1.5322,1.5322,101,0
2016-06-08,20:50:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:00:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:10:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:20:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:30:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:40:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:45:00,1.5322,1.5322,1.5322,1.5322,405,0
2016-06-08,21:50:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-08,21:55:00,1.5223,1.542,1.5223,1.5361,1831,0
2016-06-08,22:00:00,1.5322,1.542,1.5223,1.5223,1219,0
2016-06-09,15:35:00,1.5223,1.5223,1.5223,1.5223,202,0
2016-06-09,15:40:00,1.5124,1.5256,1.5124,1.5256,1214,0
2016-06-09,15:50:00,1.5124,1.5124,1.5124,1.5124,101,0
2016-06-09,15:55:00,1.5223,1.5223,1.5223,1.5223,1315,0
2016-06-09,16:00:00,1.5272,1.5272,1.5272,1.5272,101,0
2016-06-09,16:10:00,1.5223,1.5223,1.5223,1.5223,380,0
2016-06-09,16:20:00,1.5322,1.5322,1.5125,1.5125,607,0
2016-06-09,16:30:00,1.5125,1.5125,1.5125,1.5125,101,0
2016-06-09,16:35:00,1.5288,1.5292,1.5288,1.5292,2150,0
2016-06-09,16:40:00,1.5125,1.5125,1.5125,1.5125,101,0
2016-06-09,16:50:00,1.5125,1.5125,1.5125,1.5125,101,0
2016-06-09,17:00:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-09,17:10:00,1.5223,1.5223,1.5223,1.5223,910,0
2016-06-09,17:20:00,1.5223,1.5272,1.5223,1.5272,809,0
2016-06-09,17:35:00,1.5223,1.5223,1.5223,1.5223,504,0
2016-06-09,17:40:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-09,17:50:00,1.5272,1.5306,1.5272,1.5306,1012,0
2016-06-09,17:55:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-09,18:00:00,1.529,1.529,1.5272,1.5272,486,0
2016-06-09,18:20:00,1.5272,1.5272,1.5223,1.5223,228,0
2016-06-09,18:35:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-09,18:40:00,1.5272,1.5272,1.5272,1.5272,1113,0
2016-06-09,18:50:00,1.5272,1.5272,1.5272,1.5272,202,0
2016-06-09,18:55:00,1.5223,1.5224,1.5223,1.5224,801,0
2016-06-09,19:05:00,1.5285,1.5285,1.5272,1.5272,1295,0
2016-06-09,19:30:00,1.5224,1.5224,1.5224,1.5224,910,0
2016-06-09,19:35:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-09,19:45:00,1.5223,1.5272,1.5223,1.5272,1216,0
2016-06-09,19:50:00,1.5224,1.5224,1.5224,1.5224,506,0
2016-06-09,20:00:00,1.5272,1.5272,1.5272,1.5272,607,0
2016-06-09,20:15:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-09,20:25:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-09,20:35:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-09,20:40:00,1.5223,1.5223,1.5223,1.5223,506,0
2016-06-09,20:50:00,1.5223,1.5322,1.5223,1.5322,202,0
2016-06-09,20:55:00,1.5322,1.5322,1.5272,1.5272,202,0
2016-06-09,21:10:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-09,21:20:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-09,21:30:00,1.5322,1.5322,1.5272,1.5272,405,0
2016-06-09,21:40:00,1.5224,1.5224,1.5224,1.5224,607,0
2016-06-09,21:45:00,1.5224,1.5322,1.5224,1.5272,1416,0
2016-06-09,21:50:00,1.5301,1.5301,1.5224,1.5224,921,0
2016-06-09,21:55:00,1.5322,1.5322,1.5223,1.5223,2023,0
2016-06-09,22:00:00,1.5272,1.5322,1.5223,1.5223,3205,0
2016-06-10,15:35:00,1.5322,1.5322,1.5322,1.5322,1325,0
2016-06-10,15:40:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,15:45:00,1.5224,1.5224,1.5224,1.5224,809,0
2016-06-10,15:50:00,1.542,1.542,1.5323,1.542,303,0
2016-06-10,15:55:00,1.5503,1.5503,1.5323,1.5323,556,0
2016-06-10,16:00:00,1.542,1.542,1.542,1.542,101,0
2016-06-10,16:05:00,1.5518,1.5518,1.5371,1.5371,8599,0
2016-06-10,16:10:00,1.5516,1.5516,1.5371,1.542,4350,0
2016-06-10,16:15:00,1.542,1.5519,1.542,1.542,4755,0
2016-06-10,16:20:00,1.5517,1.5518,1.5499,1.5518,4047,0
2016-06-10,16:30:00,1.5323,1.5518,1.5323,1.5518,3844,0
2016-06-10,16:35:00,1.542,1.542,1.542,1.542,405,0
2016-06-10,16:40:00,1.5323,1.5323,1.5323,1.5323,101,0
2016-06-10,16:50:00,1.5323,1.5323,1.5323,1.5323,101,0
2016-06-10,16:55:00,1.5323,1.5323,1.5322,1.5322,1821,0
2016-06-10,17:00:00,1.5322,1.5322,1.5322,1.5322,910,0
2016-06-10,17:05:00,1.5322,1.5322,1.5322,1.5322,101,0
2016-06-10,17:10:00,1.5322,1.5322,1.5322,1.5322,910,0
2016-06-10,17:20:00,1.5322,1.5322,1.5223,1.5322,6659,0
2016-06-10,17:25:00,1.542,1.542,1.542,1.542,202,0
2016-06-10,17:55:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,18:05:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,18:10:00,1.5238,1.5238,1.5238,1.5238,145,0
2016-06-10,18:20:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,18:35:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,18:40:00,1.5224,1.5322,1.5224,1.5322,2630,0
2016-06-10,18:45:00,1.5322,1.5322,1.5272,1.5272,910,0
2016-06-10,19:05:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,19:20:00,1.5322,1.5411,1.5322,1.5322,3136,0
2016-06-10,19:25:00,1.5371,1.5371,1.5346,1.5371,2327,0
2016-06-10,19:30:00,1.5322,1.5322,1.5322,1.5322,909,0
2016-06-10,19:35:00,1.5322,1.5322,1.5322,1.5322,507,0
2016-06-10,19:45:00,1.5419,1.5419,1.5322,1.5322,4350,0
2016-06-10,20:15:00,1.5224,1.5224,1.5224,1.5224,101,0
2016-06-10,20:25:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-10,20:40:00,1.5223,1.5294,1.5223,1.5294,303,0
2016-06-10,20:45:00,1.5223,1.542,1.5223,1.5223,4813,0
2016-06-10,20:50:00,1.5411,1.542,1.5411,1.542,753,0
2016-06-10,20:55:00,1.5322,1.5322,1.5322,1.5322,506,0
2016-06-10,21:00:00,1.5322,1.5322,1.5322,1.5322,101,0
2016-06-10,21:05:00,1.5224,1.5322,1.5224,1.5322,607,0
2016-06-10,21:10:00,1.5346,1.5346,1.5224,1.5224,2883,0
2016-06-10,21:15:00,1.5272,1.5312,1.5272,1.5312,303,0
2016-06-10,21:20:00,1.5284,1.5284,1.5272,1.5272,961,0
2016-06-10,21:30:00,1.5223,1.5272,1.5223,1.5223,2124,0
2016-06-10,21:35:00,1.5223,1.5322,1.5223,1.5272,3086,0
2016-06-10,21:45:00,1.5223,1.5272,1.5223,1.5223,1113,0
2016-06-10,21:50:00,1.5223,1.5272,1.5223,1.5272,1113,0
2016-06-10,21:55:00,1.5223,1.5223,1.5223,1.5223,101,0
2016-06-10,22:00:00,1.5223,1.5272,1.5124,1.5173,11076,0
2016-06-13,15:35:00,1.5322,1.5419,1.5148,1.5419,2130,0
2016-06-13,15:40:00,1.5419,1.5419,1.5125,1.5125,202,0
