Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-20,16:00:00,3.461,3.461,3.461,3.461,500,0
2015-11-20,16:05:00,3.55,3.55,3.52,3.52,600,0
2015-11-20,16:10:00,3.52,3.52,3.52,3.52,100,0
2015-11-20,16:40:00,3.53,3.53,3.53,3.53,2600,0
2015-11-20,17:10:00,3.6127,3.6127,3.6127,3.6127,1300,0
2015-11-20,18:15:00,3.47,3.52,3.47,3.52,200,0
2015-11-20,18:25:00,3.47,3.47,3.47,3.47,200,0
2015-11-20,18:50:00,3.525,3.525,3.525,3.525,200,0
2015-11-20,19:45:00,3.45,3.4575,3.45,3.4575,1300,0
2015-11-20,20:50:00,3.44,3.44,3.43,3.43,400,0
2015-11-20,20:55:00,3.41,3.41,3.4,3.4,2111,0
2015-11-20,21:00:00,3.4,3.4,3.4,3.4,500,0
2015-11-20,21:05:00,3.4,3.4,3.4,3.4,100,0
2015-11-20,21:15:00,3.3001,3.3001,3.3,3.3001,3091,0
2015-11-20,21:20:00,3.3,3.32,3.3,3.32,1000,0
2015-11-20,21:25:00,3.39,3.39,3.39,3.39,100,0
2015-11-20,21:30:00,3.33,3.33,3.31,3.31,630,0
2015-11-20,21:35:00,3.32,3.32,3.32,3.32,200,0
2015-11-20,21:45:00,3.31,3.31,3.31,3.31,1200,0
2015-11-20,21:55:00,3.4128,3.4128,3.32,3.387,3300,0
2015-11-20,22:00:00,3.32,3.49,3.31,3.49,2400,0
2015-11-23,15:35:00,3.47,3.4701,3.47,3.47,1600,0
2015-11-23,16:30:00,3.5193,3.5193,3.5193,3.5193,200,0
2015-11-23,18:05:00,3.47,3.48,3.47,3.48,1200,0
2015-11-23,18:30:00,3.47,3.47,3.47,3.47,100,0
2015-11-23,19:50:00,3.47,3.47,3.47,3.47,200,0
2015-11-23,20:40:00,3.51,3.51,3.51,3.51,100,0
2015-11-24,16:10:00,3.5,3.5783,3.5,3.5783,300,0
2015-11-24,16:40:00,3.5,3.5,3.5,3.5,100,0
2015-11-24,16:50:00,3.51,3.51,3.51,3.51,100,0
2015-11-24,17:55:00,3.5,3.5,3.5,3.5,300,0
2015-11-24,18:00:00,3.5,3.5,3.5,3.5,300,0
2015-11-24,20:10:00,3.5,3.5,3.5,3.5,400,0
2015-11-24,20:20:00,3.5,3.5,3.5,3.5,400,0
2015-11-24,21:00:00,3.5,3.5,3.5,3.5,100,0
2015-11-24,21:05:00,3.5,3.5,3.5,3.5,200,0
2015-11-24,21:25:00,3.5,3.51,3.5,3.51,304,0
2015-11-24,21:55:00,3.51,3.51,3.51,3.51,185,0
2015-11-24,22:00:00,3.51,3.51,3.51,3.51,100,0
2015-11-25,16:45:00,3.57,3.58,3.57,3.57,1300,0
2015-11-25,17:10:00,3.57,3.57,3.5699,3.5699,992,0
2015-11-25,20:05:00,3.57,3.57,3.2,3.3,57058,0
2015-11-25,20:10:00,3.29,3.3,3.28,3.29,1800,0
2015-11-25,20:15:00,3.29,3.3599,3.28,3.3599,1700,0
2015-11-25,20:20:00,3.28,3.28,3.28,3.28,299,0
2015-11-25,20:25:00,3.346,3.346,3.346,3.346,200,0
2015-11-25,20:55:00,3.28,3.28,3.28,3.28,100,0
2015-11-25,21:00:00,3.28,3.28,3.28,3.28,100,0
2015-11-25,21:15:00,3.35,3.35,3.35,3.35,100,0
2015-11-25,21:30:00,3.29,3.29,3.22,3.22,905,0
2015-11-25,21:40:00,3.37,3.37,3.37,3.37,100,0
2015-11-27,15:35:00,3.36,3.36,3.36,3.36,599,0
2015-11-27,15:50:00,3.36,3.37,3.36,3.37,200,0
2015-11-27,16:05:00,3.37,3.37,3.3699,3.3699,1500,0
2015-11-27,17:10:00,3.34,3.34,3.34,3.34,100,0
2015-11-27,18:55:00,3.27,3.31,3.27,3.31,600,0
2015-11-27,19:00:00,3.28,3.32,3.27,3.28,400,0
2015-11-30,16:50:00,3.27,3.27,3.26,3.26,445,0
2015-11-30,17:00:00,3.27,3.27,3.27,3.27,400,0
2015-11-30,17:05:00,3.28,3.37,3.28,3.37,600,0
2015-11-30,17:10:00,3.29,3.29,3.29,3.29,100,0
2015-11-30,17:15:00,3.2899,3.2899,3.2899,3.2899,900,0
2015-11-30,17:25:00,3.29,3.29,3.29,3.29,100,0
2015-11-30,17:55:00,3.26,3.28,3.26,3.28,400,0
2015-11-30,18:05:00,3.29,3.29,3.29,3.29,200,0
2015-11-30,18:20:00,3.2899,3.2899,3.2899,3.2899,160,0
2015-11-30,19:00:00,3.27,3.27,3.26,3.26,1755,0
2015-11-30,19:50:00,3.29,3.57,3.29,3.5,7200,0
2015-11-30,19:55:00,3.52,3.52,3.46,3.46,1250,0
2015-11-30,20:00:00,3.5,3.5399,3.46,3.46,3800,0
2015-11-30,20:05:00,3.5,3.5,3.47,3.47,1500,0
2015-11-30,20:10:00,3.49,3.4995,3.49,3.49,1600,0
