Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-03-12,14:55:00,2.45,2.45,2.44,2.44,1040,0
2015-03-12,15:00:00,2.4,2.4,2.4,2.4,700,0
2015-03-12,15:10:00,2.4799,2.4799,2.4799,2.4799,100,0
2015-03-12,15:15:00,2.4899,2.4899,2.4899,2.4899,1000,0
2015-03-12,16:00:00,2.49,2.49,2.4807,2.4807,1000,0
2015-03-12,17:00:00,2.49,2.58,2.49,2.49,2460,0
2015-03-12,17:10:00,2.5799,2.5799,2.5799,2.5799,100,0
2015-03-12,18:30:00,2.56,2.56,2.56,2.56,100,0
2015-03-12,19:45:00,2.5528,2.56,2.55,2.56,2100,0
2015-03-12,19:50:00,2.57,2.57,2.57,2.57,100,0
2015-03-13,14:35:00,2.55,2.55,2.55,2.55,2900,0
2015-03-13,14:40:00,2.55,2.55,2.5499,2.5499,1200,0
2015-03-13,14:45:00,2.56,2.59,2.56,2.56,1720,0
2015-03-13,15:35:00,2.54,2.58,2.54,2.58,1900,0
2015-03-13,15:45:00,2.55,2.55,2.4648,2.4648,1400,0
2015-03-13,15:50:00,2.55,2.55,2.55,2.55,2000,0
2015-03-13,16:25:00,2.57,2.57,2.57,2.57,100,0
2015-03-13,16:30:00,2.551,2.57,2.55,2.55,610,0
2015-03-13,16:35:00,2.461,2.5688,2.461,2.5688,310,0
2015-03-13,17:20:00,2.57,2.65,2.57,2.65,3420,0
2015-03-13,19:00:00,2.6217,2.6217,2.61,2.6101,3279,0
2015-03-13,19:05:00,2.6,2.6,2.6,2.6,1500,0
2015-03-13,19:10:00,2.57,2.57,2.57,2.57,700,0
2015-03-13,19:45:00,2.4812,2.4812,2.4812,2.4812,1154,0
2015-03-13,20:25:00,2.5688,2.5688,2.5688,2.5688,100,0
2015-03-13,21:00:00,2.46,2.46,2.46,2.46,200,0
2015-03-16,15:10:00,2.22,2.243,2.22,2.243,850,0
2015-03-16,15:30:00,2.3099,2.3099,2.3099,2.3099,100,0
2015-03-16,15:40:00,2.34,2.36,2.33,2.36,1048,0
2015-03-16,15:45:00,2.36,2.36,2.36,2.36,589,0
2015-03-16,16:00:00,2.35,2.35,2.34,2.35,2000,0
2015-03-16,16:05:00,2.36,2.36,2.35,2.35,500,0
2015-03-16,16:20:00,2.34,2.34,2.34,2.34,4700,0
2015-03-16,18:30:00,2.3799,2.38,2.3799,2.38,2000,0
2015-03-16,19:55:00,2.3612,2.3612,2.3612,2.3612,200,0
2015-03-17,14:40:00,2.2695,2.2695,2.2695,2.2695,620,0
2015-03-17,15:00:00,2.3588,2.3588,2.3588,2.3588,200,0
2015-03-17,15:15:00,2.24,2.24,2.24,2.24,100,0
2015-03-17,17:10:00,2.24,2.24,2.23,2.23,449,0
2015-03-17,17:15:00,2.28,2.3,2.28,2.3,6500,0
2015-03-17,17:20:00,2.3,2.3,2.3,2.3,1900,0
2015-03-17,17:25:00,2.27,2.2701,2.22,2.22,3150,0
2015-03-17,17:40:00,2.2992,2.2992,2.2992,2.2992,100,0
2015-03-17,18:00:00,2.3,2.3,2.3,2.3,100,0
2015-03-17,18:30:00,2.37,2.37,2.37,2.37,500,0
2015-03-17,20:50:00,2.3599,2.36,2.3599,2.36,875,0
2015-03-18,15:40:00,2.2301,2.2301,2.2301,2.2301,300,0
2015-03-18,15:55:00,2.319,2.319,2.319,2.319,100,0
2015-03-20,16:00:00,2.2501,2.2501,2.2501,2.2501,150,0
2015-03-20,16:20:00,2.2875,2.3577,2.2875,2.3577,600,0
2015-03-20,20:30:00,2.2957,2.2957,2.2957,2.2957,500,0
2015-03-20,20:50:00,2.3491,2.3491,2.3491,2.3491,100,0
