Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-16,15:35:00,5.41,5.464,5.34,5.34,10716,0
2016-06-16,15:40:00,5.34,5.34,5.2899,5.29,11350,0
2016-06-16,15:45:00,5.29,5.34,5.27,5.34,15500,0
2016-06-16,15:50:00,5.34,5.34,5.3099,5.3099,5310,0
2016-06-16,15:55:00,5.3,5.32,5.29,5.32,9300,0
2016-06-16,16:00:00,5.32,5.32,5.31,5.32,2500,0
2016-06-16,16:05:00,5.32,5.32,5.3151,5.32,2100,0
2016-06-16,16:10:00,5.32,5.33,5.31,5.33,2886,0
2016-06-16,16:15:00,5.32,5.325,5.29,5.31,8422,0
2016-06-16,16:20:00,5.32,5.32,5.31,5.31,1000,0
2016-06-16,16:25:00,5.3001,5.36,5.3,5.3,7836,0
2016-06-16,16:30:00,5.2802,5.3,5.28,5.28,2100,0
2016-06-16,16:35:00,5.28,5.29,5.27,5.28,10625,0
2016-06-16,16:40:00,5.2801,5.2801,5.24,5.24,9990,0
2016-06-16,16:45:00,5.24,5.26,5.225,5.2432,8401,0
2016-06-16,16:50:00,5.26,5.26,5.25,5.26,1700,0
2016-06-16,16:55:00,5.255,5.26,5.205,5.21,21050,0
2016-06-16,17:00:00,5.21,5.2399,5.2,5.23,4218,0
2016-06-16,17:05:00,5.2399,5.2539,5.23,5.24,9371,0
2016-06-16,17:10:00,5.24,5.24,5.23,5.24,2650,0
2016-06-16,17:15:00,5.23,5.24,5.22,5.24,6700,0
2016-06-16,17:20:00,5.23,5.24,5.22,5.235,6300,0
2016-06-16,17:25:00,5.2385,5.24,5.23,5.24,8150,0
2016-06-16,17:30:00,5.26,5.29,5.25,5.275,16640,0
2016-06-16,17:35:00,5.28,5.28,5.26,5.26,2254,0
2016-06-16,17:40:00,5.2608,5.27,5.26,5.265,700,0
2016-06-16,17:45:00,5.27,5.27,5.23,5.23,8395,0
2016-06-16,17:50:00,5.23,5.23,5.22,5.23,10238,0
2016-06-16,17:55:00,5.23,5.23,5.225,5.23,799,0
2016-06-16,18:00:00,5.22,5.225,5.215,5.22,2909,0
2016-06-16,18:05:00,5.22,5.22,5.2,5.2,3185,0
2016-06-16,18:10:00,5.2,5.23,5.18,5.23,23537,0
2016-06-16,18:15:00,5.22,5.235,5.205,5.23,5700,0
2016-06-16,18:20:00,5.23,5.25,5.23,5.25,11504,0
2016-06-16,18:25:00,5.25,5.26,5.25,5.25,3752,0
2016-06-16,18:30:00,5.25,5.25,5.25,5.25,810,0
2016-06-16,18:35:00,5.26,5.26,5.24,5.25,3607,0
2016-06-16,18:40:00,5.25,5.26,5.24,5.25,3991,0
2016-06-16,18:45:00,5.25,5.26,5.25,5.26,1600,0
2016-06-16,18:50:00,5.26,5.27,5.25,5.25,8600,0
2016-06-16,18:55:00,5.25,5.26,5.24,5.25,1100,0
2016-06-16,19:00:00,5.25,5.26,5.25,5.25,2168,0
2016-06-16,19:05:00,5.25,5.38,5.24,5.3199,130872,0
2016-06-16,19:10:00,5.32,5.324,5.3,5.31,20394,0
2016-06-16,19:15:00,5.3,5.31,5.29,5.3,8679,0
2016-06-16,19:20:00,5.3,5.31,5.29,5.3,5940,0
2016-06-16,19:25:00,5.3,5.33,5.3,5.33,11600,0
2016-06-16,19:30:00,5.335,5.36,5.33,5.35,34888,0
2016-06-16,19:35:00,5.35,5.35,5.33,5.34,850,0
2016-06-16,19:40:00,5.34,5.34,5.33,5.33,7576,0
2016-06-16,19:45:00,5.34,5.38,5.335,5.38,12810,0
2016-06-16,19:50:00,5.37,5.39,5.37,5.38,15589,0
2016-06-16,19:55:00,5.39,5.39,5.36,5.37,9305,0
2016-06-16,20:00:00,5.38,5.41,5.38,5.4,21640,0
2016-06-16,20:05:00,5.4,5.4,5.39,5.4,4700,0
2016-06-16,20:10:00,5.395,5.41,5.39,5.41,5300,0
2016-06-16,20:15:00,5.4,5.44,5.4,5.44,13187,0
2016-06-16,20:20:00,5.41,5.44,5.41,5.44,9657,0
