Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-25,16:10:00,4.5016,4.631,4.5016,4.631,402,0
2015-11-25,16:30:00,4.631,4.6609,4.631,4.6609,502,0
2015-11-25,18:00:00,4.5912,4.5912,4.5912,4.5912,201,0
2015-11-25,18:25:00,4.6609,4.6708,4.6609,4.6708,301,0
2015-11-25,18:45:00,4.6709,4.6709,4.6709,4.6709,100,0
2015-11-25,20:05:00,4.6709,4.6709,4.6509,4.6509,1194,0
2015-11-25,20:15:00,4.6609,4.6709,4.6609,4.6709,201,0
2015-11-25,20:20:00,4.6808,4.6808,4.6808,4.6808,100,0
2015-11-25,21:05:00,4.7804,4.7804,4.7804,4.7804,100,0
2015-11-27,15:40:00,4.7207,4.7804,4.7107,4.7804,819,0
2015-11-27,16:10:00,4.7007,4.7605,4.7007,4.7605,201,0
2015-11-30,15:40:00,4.6808,4.6808,4.6808,4.6808,100,0
2015-11-30,16:30:00,4.6808,4.6808,4.6808,4.6808,100,0
2015-11-30,16:55:00,4.7505,4.7505,4.7505,4.7505,1004,0
2015-11-30,17:05:00,4.6908,4.6908,4.6808,4.6808,301,0
2015-11-30,17:45:00,4.7207,4.7207,4.7207,4.7207,100,0
2015-11-30,19:05:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-11-30,20:35:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-11-30,21:20:00,4.6808,4.6808,4.6808,4.6808,301,0
2015-11-30,22:00:00,4.6908,4.7605,4.6908,4.7605,595,0
2015-12-01,16:15:00,4.7505,4.7505,4.7505,4.7505,402,0
2015-12-01,16:45:00,4.6992,4.6992,4.6992,4.6992,1004,0
2015-12-01,16:50:00,4.7306,4.7306,4.7306,4.7306,502,0
2015-12-01,18:00:00,4.631,4.631,4.631,4.631,100,0
2015-12-01,18:05:00,4.7505,4.7505,4.7505,4.7505,100,0
2015-12-01,18:45:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-12-01,19:30:00,4.6011,4.6011,4.6011,4.6011,100,0
2015-12-01,20:20:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-12-01,20:25:00,4.7406,4.7406,4.7406,4.7406,100,0
2015-12-01,20:30:00,4.7306,4.7406,4.7306,4.7406,201,0
2015-12-01,21:20:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-12-01,21:50:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-12-01,22:00:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-12-02,16:50:00,4.7267,4.7267,4.7267,4.7267,1004,0
2015-12-02,18:30:00,4.7406,4.7406,4.7306,4.7406,301,0
2015-12-02,21:25:00,4.7406,4.7406,4.7406,4.7406,100,0
2015-12-02,21:50:00,4.7007,4.7505,4.7007,4.7406,402,0
2015-12-03,16:00:00,4.7195,4.7195,4.7195,4.7195,1004,0
2015-12-03,16:05:00,4.7406,4.7406,4.7406,4.7406,100,0
2015-12-03,17:05:00,4.7386,4.7386,4.7386,4.7386,100,0
2015-12-03,17:25:00,4.7207,4.7207,4.7207,4.7207,100,0
2015-12-03,18:25:00,4.6609,4.6708,4.631,4.631,602,0
2015-12-03,19:55:00,4.7107,4.7107,4.7107,4.7107,100,0
2015-12-03,20:10:00,4.7207,4.7207,4.7207,4.7207,100,0
2015-12-03,20:15:00,4.7207,4.7207,4.7207,4.7207,201,0
2015-12-03,20:20:00,4.7207,4.7207,4.7207,4.7207,301,0
2015-12-03,20:25:00,4.7207,4.7207,4.7207,4.7207,201,0
2015-12-03,20:30:00,4.7207,4.7207,4.7207,4.7207,301,0
2015-12-03,20:35:00,4.7306,4.7306,4.7207,4.7207,201,0
2015-12-03,20:40:00,4.7207,4.7207,4.7207,4.7207,301,0
2015-12-03,20:45:00,4.7207,4.7306,4.7207,4.7306,201,0
2015-12-03,20:50:00,4.7306,4.7306,4.7306,4.7306,201,0
2015-12-03,20:55:00,4.7306,4.7306,4.7306,4.7306,301,0
2015-12-03,21:00:00,4.7306,4.7306,4.7306,4.7306,301,0
2015-12-04,16:25:00,4.7306,4.7306,4.7305,4.7306,798,0
2015-12-04,17:35:00,4.7007,4.7007,4.7007,4.7007,100,0
2015-12-04,18:05:00,4.7306,4.7306,4.7306,4.7306,100,0
2015-12-07,15:35:00,4.7107,4.7107,4.7107,4.7107,402,0
2015-12-07,15:40:00,4.641,4.7406,4.641,4.7406,301,0
2015-12-07,15:45:00,4.7406,4.7406,4.7406,4.7406,100,0
2015-12-07,16:20:00,4.7306,4.7505,4.7306,4.7505,201,0
2015-12-07,16:25:00,4.7605,4.7605,4.7605,4.7605,100,0
2015-12-07,17:20:00,4.6509,4.6808,4.6509,4.6808,402,0
2015-12-07,17:25:00,4.6728,4.6728,4.6728,4.6728,100,0
2015-12-07,18:05:00,4.7505,4.7505,4.7505,4.7505,100,0
2015-12-07,20:55:00,4.7505,4.7505,4.7505,4.7505,418,0
2015-12-08,15:35:00,4.8103,4.8103,4.8103,4.8103,5045,0
2015-12-08,16:15:00,4.9497,4.9497,4.9497,4.9497,100,0
2015-12-08,16:30:00,4.9597,4.9597,4.9597,4.9597,100,0
2015-12-08,16:35:00,4.9398,4.9398,4.8501,4.8501,1004,0
2015-12-08,16:40:00,4.8501,4.8501,4.8501,4.8501,100,0
2015-12-08,16:45:00,4.8501,4.8501,4.8501,4.8501,201,0
2015-12-08,16:50:00,4.8601,4.8601,4.8601,4.8601,100,0
2015-12-08,16:55:00,4.8402,4.8402,4.8402,4.8402,100,0
2015-12-08,17:10:00,4.7605,4.7605,4.7605,4.7605,1165,0
2015-12-08,18:35:00,4.7605,4.7605,4.7605,4.7605,201,0
2015-12-08,20:35:00,4.7485,4.7485,4.7485,4.7485,502,0
2015-12-08,20:50:00,4.7406,4.7406,4.6808,4.6808,901,0
2015-12-08,20:55:00,4.6808,4.6808,4.6808,4.6808,1806,0
2015-12-08,21:00:00,4.8601,4.8601,4.8601,4.8601,201,0
2015-12-08,22:00:00,4.9497,4.9647,4.9497,4.9597,602,0
2015-12-09,15:35:00,4.9696,4.9696,4.9696,4.9696,157,0
2015-12-09,16:00:00,4.9553,4.9597,4.9553,4.9597,402,0
2015-12-09,16:05:00,4.9696,4.9696,4.9571,4.9696,1105,0
2015-12-09,16:35:00,4.9695,4.9695,4.9695,4.9695,1004,0
2015-12-09,16:40:00,4.9696,4.9696,4.9696,4.9696,703,0
2015-12-09,16:50:00,4.9602,4.9696,4.9597,4.9696,703,0
2015-12-09,16:55:00,4.9597,4.9597,4.9099,4.9099,502,0
2015-12-09,17:00:00,4.87,4.8999,4.87,4.8999,402,0
2015-12-09,17:10:00,4.8999,4.8999,4.8999,4.8999,100,0
2015-12-09,17:15:00,4.9099,4.9099,4.9099,4.9099,100,0
2015-12-09,17:35:00,4.8501,4.8999,4.8501,4.8999,201,0
2015-12-09,17:55:00,4.9099,4.9099,4.9099,4.9099,100,0
2015-12-09,18:20:00,4.8501,4.8501,4.8501,4.8501,100,0
2015-12-09,18:25:00,4.87,4.87,4.87,4.87,100,0
2015-12-09,19:05:00,4.8153,4.88,4.8153,4.88,1004,0
2015-12-09,19:10:00,4.88,4.88,4.88,4.88,100,0
2015-12-10,16:00:00,4.8601,4.8601,4.8601,4.8601,100,0
2015-12-10,16:15:00,4.8003,4.8003,4.8003,4.8003,100,0
2015-12-10,16:20:00,4.6709,4.7704,4.6709,4.7704,301,0
2015-12-10,16:25:00,4.7704,4.7804,4.7704,4.7704,502,0
2015-12-10,16:30:00,4.5414,4.7605,4.5414,4.7605,201,0
2015-12-10,16:55:00,4.7704,4.7704,4.7704,4.7704,100,0
2015-12-10,17:55:00,4.7059,4.7505,4.7059,4.7505,1105,0
