Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,10.96,10.96,10.88,10.88,1246,0
2016-06-21,15:40:00,11,11,11,11,787,0
2016-06-21,15:45:00,11,11,10.96,10.96,275,0
2016-06-21,15:50:00,10.98,10.98,10.88,10.88,700,0
2016-06-21,15:55:00,10.92,10.92,10.88,10.88,150,0
2016-06-21,16:00:00,10.88,10.92,10.88,10.92,650,0
2016-06-21,16:05:00,10.884,10.92,10.88,10.92,234,0
2016-06-21,16:10:00,10.88,10.92,10.88,10.92,475,0
2016-06-21,16:15:00,10.92,10.96,10.92,10.96,275,0
2016-06-21,16:20:00,10.92,10.96,10.92,10.92,375,0
2016-06-21,16:25:00,10.92,10.92,10.88,10.88,500,0
2016-06-21,16:30:00,10.88,10.88,10.88,10.88,400,0
2016-06-21,16:35:00,10.9,10.9,10.88,10.892,1125,0
2016-06-21,16:40:00,10.868,10.868,10.8,10.84,2175,0
2016-06-21,16:45:00,10.84,10.84,10.84,10.84,175,0
2016-06-21,16:50:00,10.84,10.88,10.84,10.88,175,0
2016-06-21,16:55:00,10.88,10.88,10.84,10.88,75,0
2016-06-21,17:00:00,10.88,10.92,10.88,10.92,275,0
2016-06-21,17:05:00,10.9,10.92,10.88,10.92,300,0
2016-06-21,17:10:00,10.92,10.92,10.9,10.9,200,0
2016-06-21,17:15:00,10.92,10.92,10.9,10.9,275,0
2016-06-21,17:20:00,10.92,10.92,10.92,10.92,275,0
2016-06-21,17:25:00,10.92,10.96,10.92,10.96,200,0
2016-06-21,17:30:00,10.96,10.96,10.92,10.94,200,0
2016-06-21,17:35:00,10.96,10.96,10.96,10.96,200,0
2016-06-21,17:40:00,10.96,10.96,10.92,10.96,300,0
2016-06-21,17:45:00,10.96,10.96,10.94,10.96,3150,0
2016-06-21,17:50:00,10.96,10.96,10.92,10.96,250,0
2016-06-21,17:55:00,10.96,10.96,10.96,10.96,200,0
2016-06-21,18:00:00,10.96,10.96,10.96,10.96,275,0
2016-06-21,18:05:00,10.96,10.96,10.92,10.96,300,0
2016-06-21,18:10:00,10.96,10.96,10.96,10.96,150,0
2016-06-21,18:15:00,10.96,10.96,10.92,10.94,366,0
2016-06-21,18:20:00,10.96,10.96,10.96,10.96,100,0
2016-06-21,18:25:00,10.96,10.96,10.92,10.96,225,0
2016-06-21,18:30:00,10.96,10.96,10.92,10.96,375,0
2016-06-21,18:35:00,10.94,10.96,10.94,10.96,125,0
2016-06-21,18:40:00,10.92,10.92,10.92,10.92,325,0
2016-06-21,18:50:00,10.92,10.92,10.88,10.92,175,0
2016-06-21,18:55:00,10.92,10.92,10.92,10.92,75,0
2016-06-21,19:00:00,10.9,10.92,10.88,10.88,225,0
2016-06-21,19:05:00,10.88,10.96,10.88,10.92,2984,0
2016-06-21,19:10:00,10.96,10.96,10.92,10.92,1150,0
2016-06-21,19:15:00,10.96,10.96,10.926,10.96,575,0
2016-06-21,19:20:00,10.96,10.96,10.96,10.96,175,0
2016-06-21,19:25:00,10.92,10.96,10.92,10.96,325,0
2016-06-21,19:30:00,10.96,10.96,10.92,10.96,200,0
2016-06-21,19:35:00,10.96,10.96,10.92,10.96,375,0
2016-06-21,19:40:00,10.96,10.96,10.92,10.92,800,0
2016-06-21,19:45:00,10.92,10.96,10.92,10.92,325,0
2016-06-21,19:50:00,10.92,10.947,10.88,10.88,1647,0
2016-06-21,19:55:00,10.88,10.92,10.88,10.88,250,0
2016-06-21,20:00:00,10.92,10.92,10.92,10.92,75,0
2016-06-21,20:05:00,10.92,10.92,10.84,10.88,1877,0
