Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-17,15:35:00,0.51,0.51,0.5,0.5,1600,0
2016-05-17,16:00:00,0.51,0.51,0.51,0.51,400,0
2016-05-17,16:05:00,0.5099,0.5099,0.5099,0.5099,100,0
2016-05-17,16:20:00,0.5096,0.5096,0.5096,0.5096,200,0
2016-05-17,16:25:00,0.5096,0.51,0.505,0.51,1725,0
2016-05-17,16:30:00,0.5099,0.5099,0.5099,0.5099,100,0
2016-05-17,16:40:00,0.5099,0.51,0.5013,0.51,1900,0
2016-05-17,17:15:00,0.51,0.51,0.51,0.51,100,0
2016-05-17,17:20:00,0.5016,0.5016,0.5016,0.5016,400,0
2016-05-17,17:25:00,0.5016,0.5031,0.5016,0.5031,3300,0
2016-05-17,17:30:00,0.5013,0.5013,0.501,0.5012,15100,0
2016-05-17,17:35:00,0.506,0.506,0.506,0.506,100,0
2016-05-17,17:50:00,0.5099,0.5099,0.5067,0.5067,884,0
2016-05-17,18:10:00,0.5099,0.5099,0.5099,0.5099,100,0
2016-05-17,18:15:00,0.51,0.51,0.51,0.51,100,0
2016-05-17,18:30:00,0.51,0.51,0.51,0.51,100,0
2016-05-17,18:45:00,0.5036,0.5036,0.5036,0.5036,2400,0
2016-05-17,18:50:00,0.5098,0.5098,0.5098,0.5098,100,0
2016-05-17,19:10:00,0.5097,0.5097,0.501,0.501,10200,0
2016-05-17,19:15:00,0.5025,0.5025,0.501,0.501,20000,0
2016-05-17,19:20:00,0.501,0.501,0.501,0.501,2250,0
2016-05-17,19:25:00,0.5099,0.5099,0.501,0.501,2000,0
2016-05-17,19:40:00,0.5097,0.5097,0.501,0.501,700,0
2016-05-17,19:55:00,0.5033,0.5033,0.5033,0.5033,1500,0
2016-05-17,20:00:00,0.5098,0.5098,0.5098,0.5098,100,0
2016-05-17,20:10:00,0.5097,0.5097,0.5097,0.5097,100,0
2016-05-17,20:20:00,0.5096,0.5096,0.5096,0.5096,100,0
2016-05-17,20:40:00,0.5094,0.5094,0.5094,0.5094,300,0
2016-05-17,20:55:00,0.5091,0.5091,0.5091,0.5091,100,0
2016-05-17,21:05:00,0.5091,0.5091,0.5091,0.5091,100,0
2016-05-17,21:10:00,0.501,0.505,0.501,0.5028,345,0
2016-05-17,21:20:00,0.5089,0.5089,0.5089,0.5089,200,0
2016-05-17,21:30:00,0.501,0.501,0.501,0.501,300,0
2016-05-17,21:35:00,0.5088,0.5088,0.5088,0.5088,100,0
2016-05-17,21:40:00,0.501,0.501,0.501,0.501,300,0
2016-05-17,21:45:00,0.501,0.5019,0.501,0.501,600,0
2016-05-17,21:50:00,0.502,0.502,0.5011,0.5011,200,0
2016-05-17,21:55:00,0.5011,0.502,0.501,0.5011,550,0
2016-05-17,22:00:00,0.5011,0.5018,0.501,0.5018,3589,0
2016-05-18,15:35:00,0.501,0.5012,0.501,0.501,5270,0
2016-05-18,15:40:00,0.501,0.501,0.5,0.5,13068,0
2016-05-18,15:45:00,0.5,0.5,0.5,0.5,1700,0
2016-05-18,15:50:00,0.495,0.495,0.495,0.495,700,0
2016-05-18,15:55:00,0.495,0.495,0.495,0.495,100,0
2016-05-18,16:00:00,0.4899,0.4899,0.48,0.48,5000,0
2016-05-18,16:15:00,0.485,0.485,0.48,0.48,4100,0
2016-05-18,16:20:00,0.4801,0.4801,0.4801,0.4801,600,0
2016-05-18,16:25:00,0.4899,0.49,0.4896,0.49,20000,0
2016-05-18,16:40:00,0.498,0.498,0.498,0.498,936,0
2016-05-18,16:45:00,0.504,0.504,0.504,0.504,200,0
2016-05-18,16:50:00,0.4901,0.4901,0.48,0.48,600,0
2016-05-18,16:55:00,0.486,0.486,0.48,0.4847,9992,0
2016-05-18,17:05:00,0.494,0.494,0.4892,0.4892,400,0
2016-05-18,17:10:00,0.4996,0.4996,0.4996,0.4996,100,0
2016-05-18,17:15:00,0.4898,0.4898,0.4898,0.4898,1000,0
2016-05-18,17:20:00,0.49,0.49,0.49,0.49,200,0
2016-05-18,17:30:00,0.4834,0.4834,0.4834,0.4834,200,0
2016-05-18,17:35:00,0.49,0.49,0.49,0.49,1200,0
2016-05-18,17:45:00,0.4801,0.4875,0.4801,0.4875,470,0
2016-05-18,17:50:00,0.4822,0.4822,0.4822,0.4822,200,0
2016-05-18,18:00:00,0.481,0.481,0.481,0.481,860,0
2016-05-18,18:05:00,0.4873,0.4873,0.4873,0.4873,1000,0
2016-05-18,18:50:00,0.4875,0.4875,0.485,0.485,10100,0
2016-05-18,18:55:00,0.4898,0.4902,0.48,0.48,16390,0
2016-05-18,19:00:00,0.4999,0.4999,0.4999,0.4999,100,0
2016-05-18,19:05:00,0.5,0.5,0.5,0.5,300,0
2016-05-18,19:10:00,0.486,0.486,0.486,0.486,4000,0
2016-05-18,19:20:00,0.499,0.499,0.499,0.499,100,0
2016-05-18,19:25:00,0.49,0.49,0.4843,0.4843,4550,0
2016-05-18,19:35:00,0.48,0.4828,0.48,0.4828,6000,0
2016-05-18,19:45:00,0.4801,0.4801,0.4801,0.4801,2000,0
2016-05-18,19:50:00,0.485,0.485,0.485,0.485,100,0
2016-05-18,20:00:00,0.485,0.485,0.4844,0.4844,5100,0
2016-05-18,20:25:00,0.485,0.485,0.485,0.485,100,0
2016-05-18,20:35:00,0.48,0.48,0.4799,0.4799,9974,0
2016-05-18,20:40:00,0.47,0.47,0.46,0.46,1100,0
2016-05-18,20:50:00,0.4615,0.4615,0.4615,0.4615,100,0
2016-05-18,20:55:00,0.4616,0.4616,0.4616,0.4616,100,0
2016-05-18,21:05:00,0.47,0.485,0.47,0.485,500,0
2016-05-18,21:10:00,0.5,0.5,0.468,0.468,200,0
2016-05-18,21:15:00,0.5,0.5,0.5,0.5,600,0
2016-05-18,21:20:00,0.5,0.5,0.5,0.5,100,0
2016-05-18,21:40:00,0.4999,0.4999,0.4999,0.4999,100,0
2016-05-18,22:00:00,0.4999,0.4999,0.4999,0.4999,100,0
2016-05-19,15:35:00,0.5,0.5,0.5,0.5,9378,0
2016-05-19,15:40:00,0.5364,0.56,0.5363,0.56,10092,0
2016-05-19,15:50:00,0.5499,0.557,0.5499,0.557,200,0
2016-05-19,16:00:00,0.5225,0.55,0.5225,0.55,500,0
2016-05-19,16:15:00,0.5499,0.5499,0.5298,0.5298,1800,0
2016-05-19,16:20:00,0.5202,0.5202,0.5202,0.5202,10000,0
2016-05-19,16:25:00,0.53,0.53,0.53,0.53,200,0
2016-05-19,16:30:00,0.548,0.5488,0.54,0.5488,489,0
2016-05-19,16:35:00,0.54,0.54,0.54,0.54,100,0
2016-05-19,16:45:00,0.5479,0.5479,0.46,0.4623,35208,0
2016-05-19,16:50:00,0.46,0.4999,0.435,0.4999,22259,0
2016-05-19,17:00:00,0.5099,0.5099,0.5099,0.5099,100,0
2016-05-19,17:05:00,0.5099,0.5099,0.5099,0.5099,200,0
2016-05-19,17:10:00,0.5099,0.5099,0.5099,0.5099,100,0
2016-05-19,17:25:00,0.5159,0.5159,0.5159,0.5159,100,0
2016-05-19,17:55:00,0.5,0.5,0.5,0.5,10000,0
2016-05-19,18:05:00,0.5159,0.5159,0.5159,0.5159,300,0
2016-05-19,18:15:00,0.5199,0.5199,0.5102,0.5199,871,0
2016-05-19,18:35:00,0.5,0.5,0.47,0.47,10460,0
2016-05-19,18:55:00,0.5,0.5,0.5,0.5,100,0
2016-05-19,19:00:00,0.4999,0.4999,0.4999,0.4999,100,0
2016-05-19,19:50:00,0.5,0.5,0.5,0.5,100,0
2016-05-19,20:15:00,0.5001,0.5001,0.5001,0.5001,100,0
2016-05-19,20:20:00,0.52,0.52,0.52,0.52,100,0
2016-05-19,20:25:00,0.518,0.52,0.5001,0.5001,3700,0
2016-05-19,20:30:00,0.5,0.5,0.5,0.5,100,0
2016-05-19,20:45:00,0.4744,0.4744,0.4744,0.4744,1000,0
2016-05-19,20:50:00,0.49,0.49,0.49,0.49,200,0
2016-05-19,20:55:00,0.49,0.49,0.49,0.49,100,0
2016-05-19,21:00:00,0.49,0.49,0.49,0.49,100,0
2016-05-19,21:20:00,0.4999,0.52,0.4901,0.52,10299,0
2016-05-19,21:30:00,0.519,0.519,0.519,0.519,100,0
2016-05-19,21:35:00,0.51,0.51,0.51,0.51,460,0
2016-05-19,21:45:00,0.5095,0.5095,0.5095,0.5095,100,0
2016-05-19,21:50:00,0.5095,0.5095,0.5,0.5,200,0
2016-05-19,21:55:00,0.5096,0.5096,0.5096,0.5096,100,0
2016-05-19,22:00:00,0.5096,0.5096,0.5096,0.5096,100,0
2016-05-20,15:35:00,0.53,0.5399,0.51,0.51,8881,0
2016-05-20,15:50:00,0.5356,0.5356,0.5356,0.5356,200,0
2016-05-20,16:00:00,0.5355,0.5355,0.5355,0.5355,300,0
2016-05-20,16:35:00,0.5001,0.5001,0.5001,0.5001,100,0
2016-05-20,16:45:00,0.5,0.5,0.5,0.5,100,0
2016-05-20,16:55:00,0.5001,0.5001,0.5001,0.5001,150,0
2016-05-20,17:25:00,0.5001,0.5001,0.5001,0.5001,1700,0
2016-05-20,17:50:00,0.5001,0.5001,0.5,0.5,11800,0
2016-05-20,17:55:00,0.5001,0.5001,0.5001,0.5001,100,0
2016-05-20,18:05:00,0.5001,0.5001,0.5001,0.5001,200,0
2016-05-20,18:10:00,0.5001,0.5001,0.4901,0.4902,1100,0
2016-05-20,18:30:00,0.5101,0.5149,0.5101,0.5149,2100,0
2016-05-20,18:45:00,0.5197,0.5197,0.5197,0.5197,100,0
2016-05-20,19:10:00,0.51,0.51,0.51,0.51,400,0
2016-05-20,19:15:00,0.5195,0.5195,0.5195,0.5195,100,0
2016-05-20,19:20:00,0.5147,0.5147,0.5147,0.5147,100,0
2016-05-20,19:35:00,0.5147,0.5147,0.5147,0.5147,100,0
2016-05-20,19:45:00,0.5192,0.5192,0.5192,0.5192,100,0
