Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,52,52,51.6101,51.85,26583,0
2016-06-22,15:40:00,51.92,52.19,51.7,51.7,19250,0
2016-06-22,15:45:00,51.7022,51.83,51.56,51.83,6071,0
2016-06-22,15:50:00,51.8,51.99,51.7,51.94,9492,0
2016-06-22,15:55:00,51.94,52.02,51.9,51.93,26293,0
2016-06-22,16:00:00,51.98,52.05,51.86,51.86,3740,0
2016-06-22,16:05:00,51.91,52,51.825,51.8398,6804,0
2016-06-22,16:10:00,51.88,51.99,51.84,51.99,900,0
2016-06-22,16:15:00,51.95,52.09,51.95,52,2714,0
2016-06-22,16:20:00,52.01,52.04,51.964,51.9986,1875,0
2016-06-22,16:25:00,52,52.05,51.94,51.94,1351,0
2016-06-22,16:30:00,51.9601,51.99,51.8701,51.98,6965,0
2016-06-22,16:35:00,51.93,52.1,51.9001,52.0675,8457,0
2016-06-22,16:40:00,52.1,52.14,52.01,52.0501,14305,0
2016-06-22,16:45:00,52.15,52.24,52.08,52.14,5645,0
2016-06-22,16:50:00,52.176,52.26,52.15,52.22,4100,0
2016-06-22,16:55:00,52.24,52.4828,52.228,52.4828,13489,0
2016-06-22,17:00:00,52.43,52.5,52.4,52.41,6448,0
2016-06-22,17:05:00,52.44,52.47,52.4,52.46,4055,0
2016-06-22,17:10:00,52.46,52.46,52.42,52.42,350,0
2016-06-22,17:15:00,52.4534,52.51,52.4534,52.49,3439,0
2016-06-22,17:20:00,52.45,52.56,52.4,52.55,11562,0
2016-06-22,17:25:00,52.5799,52.5799,52.52,52.52,3249,0
2016-06-22,17:30:00,52.49,52.49,52.4,52.48,9852,0
2016-06-22,17:35:00,52.39,52.39,52.17,52.2401,5426,0
2016-06-22,17:40:00,52.26,52.39,52.24,52.29,5626,0
2016-06-22,17:45:00,52.27,52.36,52.2,52.36,3200,0
2016-06-22,17:50:00,52.36,52.38,52.31,52.3627,4426,0
2016-06-22,17:55:00,52.36,52.36,52.32,52.35,1552,0
2016-06-22,18:00:00,52.4,52.4,52.36,52.3784,1450,0
2016-06-22,18:05:00,52.43,52.46,52.37,52.37,1000,0
2016-06-22,18:10:00,52.36,52.3721,52.26,52.27,2308,0
2016-06-22,18:15:00,52.23,52.32,52.23,52.28,2700,0
2016-06-22,18:20:00,52.33,52.35,52.25,52.25,1400,0
2016-06-22,18:25:00,52.23,52.2301,51.916,51.916,7045,0
2016-06-22,18:30:00,51.91,52.1399,51.91,52.09,3367,0
2016-06-22,18:35:00,52.14,52.2538,52.14,52.2538,723,0
2016-06-22,18:40:00,52.26,52.26,52.02,52.02,1934,0
2016-06-22,18:45:00,52.03,52.03,51.96,51.96,700,0
2016-06-22,18:50:00,51.92,51.93,51.8227,51.93,2000,0
2016-06-22,18:55:00,51.97,52.01,51.9197,51.9197,1650,0
2016-06-22,19:00:00,51.9027,51.91,51.9027,51.91,250,0
2016-06-22,19:05:00,51.94,51.95,51.86,51.93,2600,0
2016-06-22,19:10:00,51.91,51.91,51.67,51.671,9543,0
2016-06-22,19:15:00,51.67,51.7163,51.635,51.7163,1550,0
2016-06-22,19:20:00,51.73,51.8,51.73,51.79,2800,0
2016-06-22,19:25:00,51.83,51.8599,51.78,51.78,1900,0
2016-06-22,19:30:00,51.78,51.794,51.73,51.794,1700,0
2016-06-22,19:35:00,51.73,51.77,51.69,51.73,2870,0
2016-06-22,19:40:00,51.7,51.7786,51.7,51.7786,750,0
2016-06-22,19:45:00,51.75,51.77,51.72,51.75,1700,0
2016-06-22,19:50:00,51.73,51.8,51.73,51.78,1600,0
2016-06-22,19:55:00,51.7975,51.89,51.76,51.87,3500,0
2016-06-22,20:00:00,51.9,51.906,51.84,51.86,1700,0
2016-06-22,20:05:00,51.85,51.88,51.77,51.78,2250,0
2016-06-22,20:10:00,51.83,51.87,51.7921,51.8,2385,0
2016-06-22,20:15:00,51.8,51.81,51.75,51.75,2796,0
2016-06-22,20:20:00,51.73,51.78,51.66,51.67,4602,0
2016-06-22,20:25:00,51.67,51.67,51.5521,51.59,10169,0
2016-06-22,20:30:00,51.58,51.62,51.53,51.57,4048,0
2016-06-22,20:35:00,51.59,51.63,51.58,51.6,6499,0
2016-06-22,20:40:00,51.59,51.63,51.57,51.57,2600,0
