Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-12-09,15:40:00,9.55,9.55,9.55,9.55,100,0
2015-12-09,16:15:00,9.55,9.55,9.55,9.55,100,0
2015-12-09,16:45:00,9.58,9.58,9.55,9.55,400,0
2015-12-09,17:40:00,9.55,9.55,9.55,9.55,1700,0
2015-12-09,19:35:00,9.52,9.52,9.52,9.52,2000,0
2015-12-09,21:45:00,9.51,9.51,9.51,9.51,1000,0
2015-12-10,18:15:00,9.5,9.5,9.5,9.5,4300,0
2015-12-11,17:30:00,9.5,9.5,9.5,9.5,3000,0
2015-12-11,21:05:00,9.55,9.55,9.51,9.51,300,0
2015-12-15,17:45:00,9.45,9.45,9.45,9.45,2600,0
2015-12-15,17:55:00,9.51,9.51,9.5099,9.51,3400,0
2015-12-15,21:35:00,9.5,9.51,9.5,9.51,500,0
2015-12-16,18:20:00,9.5,9.5,9.5,9.5,9000,0
2015-12-16,19:55:00,9.5,9.5,9.5,9.5,2000,0
2015-12-16,20:25:00,9.5,9.5,9.5,9.5,2300,0
2015-12-22,17:50:00,9.55,9.55,9.55,9.55,9900,0
2015-12-22,21:10:00,9.6,9.6,9.6,9.6,2000,0
2015-12-24,15:35:00,9.6,9.6,9.6,9.6,100,0
2015-12-24,18:25:00,9.55,9.55,9.55,9.55,100,0
2015-12-28,21:35:00,9.5081,9.51,9.506,9.51,2400,0
2015-12-28,21:40:00,9.51,9.51,9.51,9.51,600,0
2015-12-28,21:45:00,9.49,9.49,9.49,9.49,700,0
2015-12-28,21:55:00,9.5,9.5,9.5,9.5,300,0
2015-12-28,22:00:00,9.5,9.5,9.5,9.5,2000,0
2015-12-29,16:25:00,9.5,9.5,9.5,9.5,5000,0
2015-12-29,16:30:00,9.5,9.5,9.5,9.5,5300,0
2015-12-30,15:35:00,9.49,9.49,9.49,9.49,100,0
2015-12-30,17:15:00,9.51,9.51,9.5,9.5,1200,0
2015-12-30,21:35:00,9.49,9.49,9.49,9.49,3800,0
2015-12-30,22:00:00,9.5,9.5,9.5,9.5,100,0
2015-12-31,19:35:00,9.52,9.55,9.49,9.49,800,0
2015-12-31,20:00:00,9.49,9.49,9.49,9.49,900,0
2015-12-31,21:10:00,9.49,9.49,9.49,9.49,200,0
2015-12-31,21:50:00,9.5,9.5,9.5,9.5,200,0
2016-01-04,21:45:00,9.49,9.49,9.49,9.49,2400,0
