Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,7.54,7.54,7.51,7.51,2237,0
2016-06-21,15:40:00,7.5,7.5,7.42,7.46,1946,0
2016-06-21,15:45:00,7.43,7.445,7.39,7.42,6425,0
2016-06-21,15:50:00,7.39,7.39,7.39,7.39,200,0
2016-06-21,15:55:00,7.41,7.42,7.41,7.42,800,0
2016-06-21,16:05:00,7.435,7.435,7.42,7.43,1200,0
2016-06-21,16:10:00,7.42,7.45,7.42,7.42,2200,0
2016-06-21,16:15:00,7.4,7.4,7.35,7.4,7814,0
2016-06-21,16:20:00,7.41,7.44,7.41,7.415,8875,0
2016-06-21,16:25:00,7.4,7.405,7.38,7.39,1149,0
2016-06-21,16:30:00,7.4,7.44,7.4,7.44,8835,0
2016-06-21,16:35:00,7.45,7.47,7.44,7.46,6140,0
2016-06-21,16:40:00,7.45,7.46,7.44,7.45,2349,0
2016-06-21,16:45:00,7.46,7.46,7.46,7.46,100,0
2016-06-21,16:50:00,7.46,7.46,7.44,7.445,2718,0
2016-06-21,16:55:00,7.445,7.445,7.44,7.445,3041,0
2016-06-21,17:00:00,7.445,7.45,7.44,7.44,3612,0
2016-06-21,17:05:00,7.445,7.48,7.44,7.4701,3650,0
2016-06-21,17:10:00,7.475,7.5,7.45,7.5,6380,0
2016-06-21,17:15:00,7.51,7.51,7.5,7.5,50200,0
2016-06-21,17:20:00,7.505,7.52,7.505,7.52,3500,0
2016-06-21,17:25:00,7.52,7.5299,7.52,7.52,500,0
2016-06-21,17:30:00,7.52,7.52,7.5,7.52,2436,0
2016-06-21,17:35:00,7.51,7.51,7.495,7.495,1000,0
2016-06-21,17:40:00,7.49,7.49,7.49,7.49,300,0
2016-06-21,17:45:00,7.48,7.505,7.48,7.505,2200,0
2016-06-21,17:50:00,7.51,7.51,7.5037,7.5037,600,0
2016-06-21,17:55:00,7.505,7.515,7.485,7.485,4600,0
2016-06-21,18:00:00,7.485,7.505,7.485,7.505,1300,0
2016-06-21,18:05:00,7.5,7.5,7.49,7.5,700,0
2016-06-21,18:10:00,7.5,7.51,7.49,7.49,3544,0
2016-06-21,18:15:00,7.485,7.4999,7.485,7.4999,1667,0
2016-06-21,18:20:00,7.5,7.51,7.5,7.5099,1000,0
2016-06-21,18:25:00,7.5,7.51,7.5,7.51,500,0
2016-06-21,18:30:00,7.5,7.51,7.5,7.51,1600,0
2016-06-21,18:35:00,7.505,7.505,7.5,7.505,500,0
2016-06-21,18:40:00,7.505,7.505,7.505,7.505,300,0
2016-06-21,18:45:00,7.505,7.505,7.505,7.505,300,0
2016-06-21,18:50:00,7.505,7.505,7.48,7.49,2200,0
2016-06-21,18:55:00,7.49,7.49,7.48,7.485,700,0
2016-06-21,19:00:00,7.485,7.53,7.485,7.52,3769,0
2016-06-21,19:10:00,7.525,7.525,7.525,7.525,300,0
2016-06-21,19:15:00,7.52,7.52,7.51,7.51,500,0
2016-06-21,19:20:00,7.51,7.52,7.51,7.52,200,0
2016-06-21,19:25:00,7.515,7.52,7.51,7.52,600,0
2016-06-21,19:30:00,7.51,7.52,7.51,7.51,400,0
2016-06-21,19:35:00,7.515,7.515,7.5,7.505,1300,0
2016-06-21,19:40:00,7.51,7.53,7.5,7.52,7410,0
2016-06-21,19:45:00,7.515,7.56,7.515,7.55,12000,0
2016-06-21,19:50:00,7.555,7.555,7.55,7.55,200,0
2016-06-21,19:55:00,7.555,7.555,7.55,7.555,800,0
2016-06-21,20:00:00,7.54,7.54,7.53,7.53,600,0
2016-06-21,20:05:00,7.525,7.53,7.51,7.53,2667,0
2016-06-21,20:15:00,7.525,7.53,7.5228,7.525,800,0
2016-06-21,20:20:00,7.52,7.525,7.52,7.525,700,0
2016-06-21,20:25:00,7.52,7.53,7.52,7.53,700,0
2016-06-21,20:30:00,7.525,7.525,7.52,7.525,500,0
2016-06-21,20:35:00,7.52,7.55,7.52,7.55,1900,0
2016-06-21,20:40:00,7.56,7.57,7.56,7.57,2006,0
2016-06-21,20:45:00,7.57,7.57,7.55,7.55,1700,0
2016-06-21,20:50:00,7.54,7.54,7.53,7.54,800,0
2016-06-21,20:55:00,7.53,7.535,7.52,7.52,900,0
2016-06-21,21:00:00,7.52,7.52,7.515,7.515,500,0
2016-06-21,21:05:00,7.515,7.52,7.51,7.515,1000,0
2016-06-21,21:10:00,7.51,7.515,7.51,7.515,800,0
2016-06-21,21:15:00,7.51,7.5599,7.51,7.55,5708,0
2016-06-21,21:20:00,7.55,7.555,7.54,7.55,3200,0
2016-06-21,21:25:00,7.56,7.58,7.55,7.58,4300,0
2016-06-21,21:30:00,7.58,7.61,7.575,7.59,62007,0
2016-06-21,21:35:00,7.5732,7.59,7.5732,7.585,4263,0
2016-06-21,21:40:00,7.585,7.59,7.58,7.585,2800,0
2016-06-21,21:45:00,7.58,7.6,7.58,7.6,10114,0
2016-06-21,21:50:00,7.61,7.61,7.58,7.5816,2700,0
2016-06-21,21:55:00,7.58,7.62,7.58,7.61,11199,0
2016-06-21,22:00:00,7.6,7.605,7.57,7.57,29598,0
2016-06-22,15:35:00,7.57,7.62,7.57,7.62,691,0
2016-06-22,15:45:00,7.5,7.5,7.5,7.5,300,0
2016-06-22,15:50:00,7.55,7.55,7.5,7.54,2029,0
2016-06-22,15:55:00,7.53,7.54,7.5,7.54,1600,0
2016-06-22,16:00:00,7.54,7.54,7.54,7.54,100,0
2016-06-22,16:05:00,7.53,7.53,7.5,7.518,1700,0
2016-06-22,16:10:00,7.53,7.53,7.515,7.515,2110,0
2016-06-22,16:15:00,7.52,7.57,7.52,7.55,3800,0
2016-06-22,16:20:00,7.53,7.547,7.53,7.547,1600,0
2016-06-22,16:25:00,7.55,7.57,7.54,7.55,2100,0
2016-06-22,16:30:00,7.55,7.55,7.54,7.54,200,0
2016-06-22,16:35:00,7.54,7.57,7.54,7.55,2400,0
2016-06-22,16:40:00,7.56,7.56,7.56,7.56,100,0
2016-06-22,16:45:00,7.59,7.59,7.59,7.59,800,0
2016-06-22,16:50:00,7.57,7.57,7.55,7.55,464,0
2016-06-22,16:55:00,7.58,7.6,7.58,7.59,1700,0
2016-06-22,17:00:00,7.575,7.575,7.56,7.56,200,0
2016-06-22,17:05:00,7.565,7.565,7.565,7.565,100,0
2016-06-22,17:10:00,7.565,7.6,7.565,7.59,4500,0
2016-06-22,17:15:00,7.61,7.64,7.61,7.64,2841,0
2016-06-22,17:20:00,7.65,7.68,7.63,7.68,6719,0
2016-06-22,17:25:00,7.67,7.72,7.67,7.72,4258,0
2016-06-22,17:30:00,7.72,7.74,7.71,7.74,1247,0
2016-06-22,17:35:00,7.74,7.75,7.73,7.73,2638,0
2016-06-22,17:40:00,7.73,7.74,7.73,7.74,950,0
2016-06-22,17:45:00,7.76,7.78,7.73,7.75,1453,0
2016-06-22,17:50:00,7.78,7.8,7.76,7.8,1200,0
2016-06-22,17:55:00,7.8,7.8,7.775,7.775,700,0
2016-06-22,18:00:00,7.77,7.78,7.76,7.78,1000,0
2016-06-22,18:05:00,7.775,7.775,7.76,7.76,400,0
2016-06-22,18:10:00,7.76,7.76,7.73,7.73,1300,0
2016-06-22,18:15:00,7.71,7.71,7.68,7.68,910,0
2016-06-22,18:20:00,7.69,7.71,7.69,7.69,2500,0
2016-06-22,18:25:00,7.6475,7.6475,7.62,7.6299,5100,0
2016-06-22,18:30:00,7.625,7.63,7.62,7.63,2600,0
2016-06-22,18:35:00,7.63,7.65,7.625,7.65,1703,0
2016-06-22,18:40:00,7.65,7.65,7.62,7.62,400,0
2016-06-22,18:45:00,7.63,7.6301,7.63,7.63,400,0
2016-06-22,18:50:00,7.63,7.63,7.615,7.615,5700,0
2016-06-22,18:55:00,7.615,7.615,7.615,7.615,100,0
2016-06-22,19:00:00,7.615,7.645,7.615,7.645,1700,0
2016-06-22,19:05:00,7.635,7.635,7.635,7.635,100,0
2016-06-22,19:10:00,7.62,7.62,7.6,7.6,1300,0
2016-06-22,19:15:00,7.57,7.58,7.57,7.57,400,0
2016-06-22,19:20:00,7.57,7.57,7.57,7.57,200,0
2016-06-22,19:25:00,7.57,7.6,7.57,7.6,11300,0
2016-06-22,19:30:00,7.59,7.59,7.59,7.59,900,0
2016-06-22,19:35:00,7.58,7.58,7.58,7.58,300,0
2016-06-22,19:40:00,7.57,7.61,7.565,7.6,3261,0
2016-06-22,19:45:00,7.6,7.6,7.6,7.6,100,0
2016-06-22,19:50:00,7.6,7.6,7.6,7.6,200,0
2016-06-22,19:55:00,7.6,7.6032,7.6,7.6032,400,0
2016-06-22,20:00:00,7.6,7.605,7.6,7.605,200,0
2016-06-22,20:10:00,7.59,7.59,7.57,7.57,2300,0
2016-06-22,20:15:00,7.56,7.56,7.54,7.55,7100,0
2016-06-22,20:20:00,7.54,7.55,7.54,7.55,2500,0
2016-06-22,20:25:00,7.555,7.555,7.54,7.54,600,0
2016-06-22,20:30:00,7.54,7.54,7.53,7.53,600,0
2016-06-22,20:35:00,7.53,7.545,7.51,7.545,12700,0
2016-06-22,20:40:00,7.54,7.54,7.54,7.54,300,0
2016-06-22,20:45:00,7.54,7.5401,7.52,7.52,500,0
2016-06-22,20:50:00,7.54,7.54,7.52,7.52,300,0
2016-06-22,20:55:00,7.52,7.52,7.52,7.52,300,0
2016-06-22,21:00:00,7.52,7.52,7.52,7.52,300,0
2016-06-22,21:05:00,7.52,7.53,7.52,7.52,400,0
2016-06-22,21:10:00,7.52,7.56,7.52,7.54,8094,0
2016-06-22,21:15:00,7.53,7.53,7.53,7.53,200,0
2016-06-22,21:20:00,7.525,7.53,7.525,7.53,1000,0
2016-06-22,21:25:00,7.54,7.55,7.54,7.54,1220,0
2016-06-22,21:30:00,7.54,7.54,7.5338,7.5338,649,0
2016-06-22,21:35:00,7.53,7.53,7.48,7.5,11387,0
2016-06-22,21:40:00,7.485,7.485,7.46,7.4601,20284,0
2016-06-22,21:45:00,7.46,7.46,7.42,7.46,6600,0
2016-06-22,21:50:00,7.47,7.48,7.455,7.455,4190,0
2016-06-22,21:55:00,7.46,7.46,7.45,7.455,5276,0
2016-06-22,22:00:00,7.455,7.49,7.44,7.48,21416,0
2016-06-23,15:35:00,7.56,7.56,7.56,7.56,1410,0
2016-06-23,15:40:00,7.605,7.605,7.595,7.595,400,0
2016-06-23,15:45:00,7.54,7.595,7.54,7.57,500,0
2016-06-23,15:50:00,7.54,7.58,7.48,7.48,2260,0
2016-06-23,15:55:00,7.5,7.63,7.5,7.6075,13750,0
2016-06-23,16:00:00,7.57,7.62,7.57,7.59,900,0
2016-06-23,16:05:00,7.6,7.65,7.6,7.65,1400,0
2016-06-23,16:10:00,7.65,7.65,7.64,7.64,300,0
2016-06-23,16:15:00,7.6173,7.64,7.61,7.64,884,0
2016-06-23,16:20:00,7.64,7.65,7.62,7.63,1000,0
2016-06-23,16:25:00,7.65,7.65,7.62,7.62,400,0
2016-06-23,16:30:00,7.66,7.66,7.63,7.64,1300,0
2016-06-23,16:35:00,7.62,7.6201,7.6,7.6,7021,0
2016-06-23,16:40:00,7.59,7.59,7.59,7.59,300,0
2016-06-23,16:45:00,7.585,7.6,7.57,7.6,1100,0
2016-06-23,16:50:00,7.61,7.61,7.61,7.61,300,0
2016-06-23,16:55:00,7.63,7.63,7.63,7.63,200,0
2016-06-23,17:00:00,7.63,7.63,7.59,7.63,500,0
2016-06-23,17:05:00,7.63,7.635,7.59,7.635,1300,0
2016-06-23,17:10:00,7.65,7.65,7.61,7.61,1621,0
2016-06-23,17:15:00,7.61,7.65,7.61,7.65,1221,0
2016-06-23,17:20:00,7.65,7.67,7.65,7.67,400,0
2016-06-23,17:25:00,7.64,7.64,7.59,7.6325,13200,0
2016-06-23,17:30:00,7.62,7.65,7.62,7.65,900,0
2016-06-23,17:35:00,7.636,7.67,7.636,7.65,1700,0
2016-06-23,17:40:00,7.64,7.655,7.62,7.655,700,0
2016-06-23,17:45:00,7.63,7.64,7.63,7.63,800,0
2016-06-23,17:50:00,7.61,7.63,7.61,7.62,700,0
2016-06-23,17:55:00,7.64,7.64,7.63,7.63,400,0
2016-06-23,18:00:00,7.62,7.62,7.61,7.61,200,0
2016-06-23,18:05:00,7.63,7.63,7.62,7.62,800,0
2016-06-23,18:10:00,7.64,7.64,7.63,7.64,900,0
2016-06-23,18:15:00,7.68,7.68,7.6725,7.6725,200,0
2016-06-23,18:20:00,7.675,7.68,7.66,7.67,2500,0
2016-06-23,18:25:00,7.685,7.685,7.66,7.67,1500,0
2016-06-23,18:30:00,7.64,7.64,7.64,7.64,400,0
2016-06-23,18:35:00,7.64,7.64,7.61,7.61,1800,0
2016-06-23,18:40:00,7.6225,7.6225,7.6225,7.6225,100,0
2016-06-23,18:45:00,7.62,7.62,7.6,7.6,600,0
2016-06-23,18:50:00,7.58,7.59,7.5699,7.57,2566,0
2016-06-23,18:55:00,7.56,7.57,7.56,7.56,645,0
2016-06-23,19:00:00,7.565,7.565,7.55,7.55,900,0
2016-06-23,19:05:00,7.55,7.56,7.55,7.56,1600,0
2016-06-23,19:10:00,7.54,7.57,7.54,7.57,1100,0
2016-06-23,19:15:00,7.58,7.6,7.57,7.57,800,0
2016-06-23,19:20:00,7.58,7.59,7.58,7.59,600,0
2016-06-23,19:25:00,7.59,7.62,7.58,7.61,1100,0
2016-06-23,19:30:00,7.61,7.61,7.56,7.57,3409,0
2016-06-23,19:35:00,7.57,7.585,7.57,7.5775,300,0
2016-06-23,19:40:00,7.58,7.58,7.58,7.58,100,0
2016-06-23,19:45:00,7.58,7.58,7.56,7.57,1254,0
2016-06-23,19:50:00,7.56,7.56,7.56,7.56,100,0
2016-06-23,19:55:00,7.55,7.58,7.55,7.58,300,0
2016-06-23,20:00:00,7.56,7.56,7.54,7.54,680,0
2016-06-23,20:05:00,7.55,7.55,7.54,7.54,200,0
2016-06-23,20:10:00,7.55,7.55,7.54,7.5475,1705,0
2016-06-23,20:15:00,7.55,7.59,7.55,7.59,2200,0
2016-06-23,20:20:00,7.58,7.59,7.58,7.5875,1400,0
2016-06-23,20:25:00,7.59,7.59,7.58,7.58,500,0
2016-06-23,20:30:00,7.58,7.58,7.57,7.57,300,0
2016-06-23,20:35:00,7.57,7.6,7.57,7.57,1121,0
2016-06-23,20:40:00,7.57,7.57,7.57,7.57,100,0
2016-06-23,20:45:00,7.55,7.55,7.54,7.54,300,0
2016-06-23,20:50:00,7.56,7.58,7.55,7.58,1300,0
2016-06-23,20:55:00,7.57,7.58,7.57,7.58,800,0
2016-06-23,21:00:00,7.58,7.58,7.54,7.54,2913,0
2016-06-23,21:05:00,7.55,7.555,7.545,7.5525,1900,0
2016-06-23,21:10:00,7.53,7.56,7.52,7.52,1600,0
2016-06-23,21:15:00,7.52,7.52,7.52,7.52,1000,0
2016-06-23,21:20:00,7.52,7.52,7.51,7.51,2400,0
2016-06-23,21:25:00,7.51,7.51,7.5,7.51,3848,0
2016-06-23,21:30:00,7.5,7.5,7.485,7.49,6200,0
2016-06-23,21:35:00,7.49,7.49,7.475,7.49,6350,0
2016-06-23,21:40:00,7.49,7.5,7.48,7.49,7800,0
2016-06-23,21:45:00,7.49,7.54,7.48,7.52,8100,0
2016-06-23,21:50:00,7.52,7.52,7.5,7.5,6300,0
2016-06-23,21:55:00,7.5,7.52,7.47,7.48,9050,0
2016-06-23,22:00:00,7.485,7.53,7.485,7.53,18267,0
2016-06-24,15:35:00,7.33,7.4152,7.33,7.34,6494,0
2016-06-24,15:40:00,7.35,7.35,7.25,7.265,8867,0
2016-06-24,15:45:00,7.25,7.3199,7.25,7.29,5985,0
2016-06-24,15:50:00,7.26,7.28,7.23,7.26,2900,0
2016-06-24,15:55:00,7.275,7.275,7.19,7.21,5202,0
2016-06-24,16:00:00,7.2217,7.2301,7.22,7.23,800,0
2016-06-24,16:05:00,7.24,7.29,7.24,7.29,8653,0
2016-06-24,16:10:00,7.31,7.33,7.31,7.31,1900,0
2016-06-24,16:15:00,7.33,7.33,7.29,7.31,4222,0
2016-06-24,16:20:00,7.2901,7.32,7.285,7.29,3129,0
2016-06-24,16:25:00,7.2839,7.3,7.27,7.3,8675,0
2016-06-24,16:30:00,7.26,7.31,7.26,7.3,1178,0
2016-06-24,16:35:00,7.31,7.34,7.31,7.32,2400,0
2016-06-24,16:40:00,7.31,7.345,7.31,7.345,900,0
2016-06-24,16:45:00,7.36,7.38,7.36,7.36,400,0
2016-06-24,16:50:00,7.38,7.39,7.38,7.39,1000,0
2016-06-24,16:55:00,7.39,7.39,7.385,7.39,400,0
2016-06-24,17:00:00,7.37,7.37,7.32,7.32,1921,0
2016-06-24,17:05:00,7.3254,7.33,7.3254,7.33,1108,0
2016-06-24,17:10:00,7.32,7.33,7.32,7.33,900,0
2016-06-24,17:15:00,7.34,7.34,7.3,7.318,1000,0
2016-06-24,17:20:00,7.31,7.32,7.3,7.32,1400,0
2016-06-24,17:25:00,7.33,7.34,7.31,7.31,800,0
2016-06-24,17:30:00,7.3,7.3,7.28,7.285,1300,0
2016-06-24,17:35:00,7.32,7.32,7.315,7.315,200,0
2016-06-24,17:40:00,7.3,7.32,7.29,7.29,700,0
2016-06-24,17:45:00,7.31,7.31,7.29,7.29,1200,0
2016-06-24,17:50:00,7.295,7.32,7.29,7.32,400,0
2016-06-24,17:55:00,7.3,7.3,7.28,7.28,1073,0
2016-06-24,18:00:00,7.26,7.26,7.22,7.22,2913,0
2016-06-24,18:05:00,7.22,7.22,7.21,7.21,600,0
2016-06-24,18:10:00,7.215,7.215,7.2,7.2,4454,0
2016-06-24,18:15:00,7.2,7.205,7.2,7.2,2645,0
2016-06-24,18:20:00,7.2,7.2,7.17,7.17,665,0
2016-06-24,18:25:00,7.18,7.185,7.165,7.165,1900,0
2016-06-24,18:30:00,7.16,7.17,7.155,7.155,1000,0
2016-06-24,18:35:00,7.165,7.17,7.14,7.14,800,0
2016-06-24,18:40:00,7.14,7.14,7.135,7.135,800,0
2016-06-24,18:45:00,7.13,7.15,7.13,7.13,1800,0
2016-06-24,18:50:00,7.13,7.17,7.13,7.17,700,0
2016-06-24,18:55:00,7.14,7.16,7.14,7.16,400,0
2016-06-24,19:00:00,7.16,7.16,7.1,7.11,1600,0
2016-06-24,19:05:00,7.12,7.13,7.12,7.1275,700,0
2016-06-24,19:10:00,7.125,7.13,7.125,7.13,986,0
2016-06-24,19:15:00,7.13,7.13,7.11,7.13,900,0
2016-06-24,19:20:00,7.12,7.13,7.12,7.12,711,0
2016-06-24,19:25:00,7.125,7.13,7.12,7.12,300,0
2016-06-24,19:30:00,7.13,7.13,7.125,7.125,400,0
2016-06-24,19:35:00,7.1268,7.13,7.12,7.12,542,0
2016-06-24,19:40:00,7.125,7.125,7.125,7.125,100,0
2016-06-24,19:45:00,7.13,7.13,7.11,7.115,600,0
2016-06-24,19:50:00,7.12,7.12,7.1,7.1,900,0
2016-06-24,19:55:00,7.105,7.11,7.07,7.075,4869,0
2016-06-24,20:00:00,7.09,7.1,7.09,7.1,1400,0
2016-06-24,20:05:00,7.11,7.1101,7.1099,7.1101,1500,0
2016-06-24,20:10:00,7.12,7.12,7.09,7.09,1900,0
2016-06-24,20:20:00,7.0775,7.09,7.07,7.08,1900,0
2016-06-24,20:25:00,7.09,7.09,7.06,7.06,500,0
2016-06-24,20:30:00,7.07,7.09,7.07,7.07,1700,0
2016-06-24,20:35:00,7.05,7.06,7.05,7.06,700,0
2016-06-24,20:40:00,7.06,7.08,7.05,7.07,4800,0
2016-06-24,20:45:00,7.08,7.08,7.07,7.07,1800,0
2016-06-24,20:50:00,7.07,7.07,7.07,7.07,100,0
2016-06-24,20:55:00,7.07,7.1,7.065,7.09,1500,0
2016-06-24,21:00:00,7.09,7.1,7.0775,7.08,2600,0
2016-06-24,21:05:00,7.1,7.11,7.08,7.08,1000,0
2016-06-24,21:10:00,7.07,7.08,7.06,7.06,1000,0
2016-06-24,21:15:00,7.06,7.07,7.05,7.0501,2400,0
2016-06-24,21:20:00,7.068,7.08,7.05,7.08,4800,0
2016-06-24,21:25:00,7.06,7.08,7.06,7.06,1844,0
2016-06-24,21:30:00,7.05,7.05,7.05,7.05,1300,0
2016-06-24,21:35:00,7.06,7.065,7.05,7.05,2732,0
2016-06-24,21:40:00,7.06,7.075,7.05,7.075,5260,0
2016-06-24,21:45:00,7.07,7.08,7.055,7.08,3701,0
2016-06-24,21:50:00,7.08,7.1,7.07,7.07,3560,0
2016-06-24,21:55:00,7.08,7.11,7.075,7.1,9230,0
2016-06-24,22:00:00,7.11,7.11,7.06,7.1,20033,0
2016-06-27,15:35:00,7.08,7.38,7.05,7.055,9224,0
2016-06-27,15:40:00,7.06,7.1999,7.05,7.05,10594,0
2016-06-27,15:45:00,7.01,7.01,6.99,6.99,3459,0
2016-06-27,15:50:00,7,7,6.9,6.9,11700,0
2016-06-27,15:55:00,6.9,6.905,6.9,6.9,1500,0
2016-06-27,16:00:00,6.895,6.9042,6.8899,6.9,8676,0
2016-06-27,16:05:00,6.9,6.9,6.8899,6.89,1050,0
2016-06-27,16:10:00,6.87,6.875,6.85,6.85,2847,0
2016-06-27,16:15:00,6.85,6.85,6.79,6.8,8035,0
2016-06-27,16:20:00,6.818,6.818,6.8,6.805,2715,0
2016-06-27,16:25:00,6.81,6.839,6.8,6.82,11583,0
2016-06-27,16:30:00,6.82,6.84,6.82,6.84,4198,0
2016-06-27,16:35:00,6.85,6.85,6.84,6.84,600,0
2016-06-27,16:40:00,6.84,6.85,6.83,6.83,600,0
2016-06-27,16:45:00,6.85,6.87,6.84,6.87,1000,0
2016-06-27,16:50:00,6.86,6.86,6.77,6.77,9297,0
2016-06-27,16:55:00,6.785,6.785,6.785,6.785,200,0
2016-06-27,17:00:00,6.79,6.79,6.76,6.76,1100,0
2016-06-27,17:05:00,6.765,6.77,6.75,6.77,2100,0
2016-06-27,17:10:00,6.8,6.8,6.77,6.77,2700,0
2016-06-27,17:15:00,6.771,6.771,6.75,6.75,8928,0
2016-06-27,17:20:00,6.75,6.75,6.75,6.75,200,0
2016-06-27,17:25:00,6.75,6.75,6.69,6.7,7800,0
2016-06-27,17:30:00,6.7,6.76,6.695,6.76,4214,0
2016-06-27,17:35:00,6.77,6.77,6.755,6.76,1000,0
2016-06-27,17:40:00,6.755,6.76,6.755,6.755,600,0
2016-06-27,17:45:00,6.77,6.77,6.75,6.76,1400,0
2016-06-27,17:50:00,6.78,6.78,6.78,6.78,200,0
2016-06-27,17:55:00,6.77,6.77,6.75,6.75,1000,0
2016-06-27,18:00:00,6.75,6.76,6.745,6.76,2200,0
2016-06-27,18:05:00,6.75,6.75,6.75,6.75,200,0
2016-06-27,18:10:00,6.735,6.75,6.735,6.75,400,0
2016-06-27,18:15:00,6.75,6.75,6.7,6.71,900,0
2016-06-27,18:20:00,6.71,6.75,6.71,6.75,1400,0
2016-06-27,18:25:00,6.75,6.75,6.745,6.75,500,0
2016-06-27,18:30:00,6.75,6.755,6.735,6.75,11584,0
2016-06-27,18:35:00,6.745,6.755,6.74,6.755,9712,0
2016-06-27,18:40:00,6.755,6.755,6.74,6.74,2900,0
2016-06-27,18:45:00,6.75,6.75,6.74,6.74,400,0
2016-06-27,18:50:00,6.75,6.75,6.74,6.74,500,0
2016-06-27,18:55:00,6.75,6.77,6.74,6.75,4577,0
2016-06-27,19:00:00,6.75,6.8,6.745,6.8,1300,0
2016-06-27,19:05:00,6.8,6.8,6.79,6.79,200,0
2016-06-27,19:10:00,6.795,6.8,6.77,6.77,1353,0
2016-06-27,19:15:00,6.77,6.775,6.76,6.76,700,0
2016-06-27,19:20:00,6.76,6.775,6.755,6.77,3700,0
2016-06-27,19:25:00,6.78,6.78,6.765,6.77,3200,0
2016-06-27,19:30:00,6.76,6.77,6.76,6.77,1800,0
2016-06-27,19:35:00,6.76,6.76,6.75,6.75,400,0
2016-06-27,19:40:00,6.745,6.75,6.74,6.745,4300,0
2016-06-27,19:45:00,6.74,6.74,6.7249,6.7249,521,0
2016-06-27,19:50:00,6.72,6.72,6.7,6.71,2700,0
2016-06-27,19:55:00,6.715,6.715,6.68,6.68,3000,0
2016-06-27,20:00:00,6.68,6.6871,6.675,6.6871,3438,0
2016-06-27,20:05:00,6.69,6.69,6.685,6.69,550,0
2016-06-27,20:10:00,6.69,6.7,6.69,6.7,1513,0
2016-06-27,20:15:00,6.7,6.72,6.7,6.7,2312,0
2016-06-27,20:20:00,6.69,6.7,6.69,6.7,200,0
2016-06-27,20:25:00,6.7,6.705,6.7,6.705,800,0
2016-06-27,20:30:00,6.705,6.71,6.7,6.7,1100,0
2016-06-27,20:35:00,6.705,6.705,6.67,6.67,2800,0
2016-06-27,20:40:00,6.67,6.69,6.67,6.68,2100,0
2016-06-27,20:45:00,6.675,6.6899,6.62,6.6237,22824,0
2016-06-27,20:50:00,6.63,6.66,6.62,6.62,3600,0
2016-06-27,20:55:00,6.62,6.64,6.62,6.625,2100,0
2016-06-27,21:00:00,6.62,6.65,6.62,6.65,4800,0
2016-06-27,21:05:00,6.66,6.7,6.66,6.69,1265,0
2016-06-27,21:10:00,6.69,6.69,6.66,6.66,2010,0
2016-06-27,21:15:00,6.67,6.68,6.665,6.68,2690,0
2016-06-27,21:20:00,6.7,6.7,6.69,6.69,4700,0
