Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,53.17,53.17,52.86,52.92,2523,0
2016-06-21,15:40:00,52.77,52.955,52.52,52.836,1050,0
2016-06-21,15:45:00,52.79,52.82,52.52,52.82,5563,0
2016-06-21,15:50:00,52.76,52.8175,52.6,52.63,2600,0
2016-06-21,15:55:00,52.65,52.65,51.84,52.01,6295,0
2016-06-21,16:00:00,52.029,52.15,51.96,52.15,2106,0
2016-06-21,16:05:00,52.1782,52.1782,51.71,51.71,3200,0
2016-06-21,16:10:00,51.686,51.96,51.62,51.96,800,0
2016-06-21,16:15:00,51.906,52.252,51.8601,52.252,3185,0
2016-06-21,16:20:00,52.065,52.41,52.05,52.41,4150,0
2016-06-21,16:25:00,52.12,52.12,51.85,51.945,3100,0
2016-06-21,16:30:00,51.97,52.38,51.97,52.38,7655,0
2016-06-21,16:35:00,52.36,52.36,52.24,52.24,1000,0
2016-06-21,16:40:00,52.08,52.08,51.92,51.92,550,0
2016-06-21,16:45:00,51.97,51.97,51.69,51.69,600,0
2016-06-21,16:50:00,51.679,52.015,51.67,51.97,1240,0
2016-06-21,16:55:00,51.815,51.9,51.812,51.812,700,0
2016-06-21,17:00:00,52.07,52.07,51.79,51.79,1100,0
2016-06-21,17:05:00,51.95,52.35,51.95,52.18,2160,0
2016-06-21,17:10:00,52.15,52.15,51.951,51.951,400,0
2016-06-21,17:15:00,51.92,52.06,51.92,52,1000,0
2016-06-21,17:20:00,52.16,52.23,52.06,52.23,300,0
2016-06-21,17:25:00,52.27,52.27,51.97,52.03,1100,0
2016-06-21,17:30:00,51.93,52.055,51.93,52.01,2224,0
2016-06-21,17:35:00,51.8,51.8,51.48,51.5,2500,0
2016-06-21,17:40:00,51.402,51.54,51.38,51.54,2000,0
2016-06-21,17:45:00,51.44,51.47,51.44,51.46,1200,0
2016-06-21,17:50:00,51.47,51.52,51.22,51.25,3300,0
2016-06-21,17:55:00,51.26,51.27,50.91,51.075,4300,0
2016-06-21,18:00:00,50.944,51.32,50.944,51.32,1100,0
2016-06-21,18:05:00,51.31,51.31,51.14,51.14,350,0
2016-06-21,18:10:00,51.14,51.21,51.031,51.21,799,0
2016-06-21,18:15:00,51.22,51.34,51.2,51.275,700,0
2016-06-21,18:20:00,51.42,51.42,51.26,51.411,300,0
2016-06-21,18:25:00,51.6399,51.64,51.5,51.5,1800,0
2016-06-21,18:30:00,51.51,51.7,51.39,51.39,5851,0
2016-06-21,18:35:00,51.39,51.39,51.3,51.3,500,0
2016-06-21,18:40:00,51.2101,51.2101,51.01,51.01,4089,0
2016-06-21,18:45:00,51.15,51.18,51.15,51.16,2800,0
2016-06-21,18:50:00,51.04,51.04,50.95,50.97,858,0
2016-06-21,18:55:00,50.93,50.93,50.8101,50.84,1100,0
2016-06-21,19:00:00,50.82,50.95,50.82,50.94,3800,0
2016-06-21,19:05:00,51.08,51.08,50.879,50.879,1610,0
2016-06-21,19:10:00,50.8801,50.96,50.8801,50.9501,550,0
2016-06-21,19:15:00,51.07,51.09,51.03,51.09,600,0
2016-06-21,19:20:00,51.008,51.008,51.008,51.008,100,0
2016-06-21,19:25:00,51.13,51.14,50.888,50.91,6700,0
