Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-11-24,15:35:00,1.4,1.4,1.35,1.35,2875,0
2015-11-24,15:40:00,1.35,1.35,1.314,1.35,7848,0
2015-11-24,15:45:00,1.35,1.5,1.35,1.37,10300,0
2015-11-24,15:50:00,1.37,1.37,1.37,1.37,900,0
2015-11-24,16:00:00,1.37,1.37,1.3,1.3,5100,0
2015-11-24,16:20:00,1.37,1.37,1.37,1.37,488,0
2015-11-24,16:25:00,1.45,1.45,1.45,1.45,2900,0
2015-11-24,16:30:00,1.45,1.45,1.45,1.45,1101,0
2015-11-24,16:35:00,1.3623,1.3623,1.3623,1.3623,500,0
2015-11-24,16:40:00,1.5,1.5,1.5,1.5,100,0
2015-11-24,16:55:00,1.4499,1.4499,1.4499,1.4499,197,0
2015-11-24,17:10:00,1.42,1.42,1.4199,1.42,12600,0
2015-11-24,17:20:00,1.42,1.42,1.39,1.39,3765,0
2015-11-24,17:50:00,1.39,1.39,1.39,1.39,4300,0
2015-11-24,19:05:00,1.39,1.39,1.38,1.38,1500,0
2015-11-24,21:00:00,1.38,1.4,1.26,1.26,10000,0
2015-11-24,21:05:00,1.37,1.37,1.34,1.34,1800,0
2015-11-24,21:30:00,1.3759,1.3759,1.3759,1.3759,1500,0
2015-11-24,21:50:00,1.3,1.325,1.29,1.325,3600,0
2015-11-24,21:55:00,1.33,1.33,1.33,1.33,1200,0
2015-11-25,15:35:00,1.55,1.55,1.4,1.4,211,0
2015-11-25,16:05:00,1.39,1.39,1.39,1.39,100,0
2015-11-25,17:20:00,1.34,1.34,1.34,1.34,200,0
2015-11-25,17:25:00,1.26,1.26,1.26,1.26,2600,0
2015-11-25,17:50:00,1.31,1.435,1.31,1.42,10314,0
2015-11-25,18:05:00,1.34,1.34,1.34,1.34,1000,0
2015-11-25,18:20:00,1.34,1.34,1.34,1.34,7790,0
2015-11-25,18:30:00,1.4,1.45,1.3852,1.4,6551,0
2015-11-25,18:40:00,1.48,1.5,1.48,1.5,1400,0
2015-11-25,18:50:00,1.49,1.5,1.49,1.5,2400,0
2015-11-25,18:55:00,1.43,1.5,1.43,1.5,200,0
2015-11-25,19:00:00,1.42,1.42,1.32,1.4,4099,0
2015-11-25,19:25:00,1.335,1.335,1.31,1.3101,10000,0
2015-11-25,20:20:00,1.4,1.4,1.39,1.39,300,0
2015-11-25,20:25:00,1.3998,1.3998,1.3998,1.3998,1500,0
2015-11-25,20:30:00,1.4,1.4,1.4,1.4,6100,0
2015-11-25,22:00:00,1.35,1.36,1.35,1.36,200,0
2015-11-27,15:40:00,1.36,1.36,1.3599,1.3599,3732,0
2015-11-27,15:50:00,1.3988,1.4,1.3988,1.4,4234,0
2015-11-27,16:00:00,1.4,1.4,1.3999,1.3999,200,0
2015-11-27,16:35:00,1.4,1.4,1.4,1.4,200,0
2015-11-27,17:50:00,1.398,1.4,1.398,1.4,1000,0
2015-11-27,18:10:00,1.39,1.39,1.39,1.39,4315,0
2015-11-27,18:50:00,1.39,1.39,1.39,1.39,500,0
2015-11-27,18:55:00,1.39,1.39,1.39,1.39,300,0
2015-11-27,19:00:00,1.39,1.39,1.39,1.39,100,0
2015-11-30,15:35:00,1.39,1.39,1.39,1.39,115,0
2015-11-30,15:40:00,1.39,1.39,1.39,1.39,360,0
2015-11-30,15:45:00,1.51,1.55,1.5,1.5308,1250,0
2015-11-30,16:20:00,1.53,1.53,1.53,1.53,200,0
2015-11-30,16:55:00,1.51,1.51,1.51,1.51,200,0
2015-11-30,17:20:00,1.495,1.495,1.495,1.495,390,0
2015-11-30,17:35:00,1.69,1.69,1.69,1.69,100,0
2015-11-30,18:05:00,1.6,1.6,1.6,1.6,100,0
2015-11-30,18:25:00,1.59,1.59,1.59,1.59,200,0
2015-11-30,18:35:00,1.5,1.5,1.5,1.5,200,0
2015-11-30,19:20:00,1.68,1.68,1.68,1.68,150,0
2015-11-30,20:15:00,1.55,1.55,1.55,1.55,100,0
2015-11-30,20:30:00,1.497,1.497,1.497,1.497,200,0
2015-11-30,20:40:00,1.53,1.53,1.53,1.53,100,0
2015-11-30,21:00:00,1.53,1.53,1.53,1.53,100,0
2015-11-30,21:10:00,1.5184,1.5184,1.5184,1.5184,1000,0
2015-11-30,21:15:00,1.52,1.52,1.52,1.52,100,0
2015-11-30,21:25:00,1.52,1.52,1.52,1.52,100,0
2015-11-30,21:30:00,1.52,1.52,1.52,1.52,100,0
2015-11-30,21:45:00,1.51,1.51,1.51,1.51,100,0
2015-11-30,21:50:00,1.47,1.47,1.47,1.47,676,0
2015-11-30,22:00:00,1.52,1.52,1.44,1.47,400,0
2015-12-01,15:35:00,1.36,1.36,1.36,1.36,200,0
2015-12-01,15:55:00,1.4945,1.5,1.4945,1.5,3500,0
2015-12-01,16:35:00,1.5,1.5,1.5,1.5,1000,0
2015-12-01,17:05:00,1.5,1.5,1.5,1.5,2000,0
2015-12-01,17:25:00,1.4109,1.4109,1.4109,1.4109,1400,0
2015-12-01,18:25:00,1.41,1.41,1.41,1.41,1100,0
2015-12-01,20:50:00,1.48,1.48,1.474,1.474,3500,0
2015-12-01,21:20:00,1.48,1.48,1.48,1.48,100,0
2015-12-01,21:25:00,1.48,1.48,1.48,1.48,192,0
2015-12-01,21:55:00,1.48,1.48,1.4799,1.4799,4000,0
2015-12-02,15:35:00,1.56,1.56,1.56,1.56,300,0
2015-12-02,15:40:00,1.56,1.56,1.494,1.545,3955,0
2015-12-02,16:25:00,1.5,1.5,1.5,1.5,100,0
2015-12-02,16:30:00,1.53,1.53,1.53,1.53,700,0
2015-12-02,16:35:00,1.51,1.51,1.51,1.51,5500,0
2015-12-02,16:40:00,1.54,1.54,1.54,1.54,600,0
2015-12-02,16:45:00,1.73,1.74,1.62,1.62,2000,0
2015-12-02,16:55:00,1.64,1.65,1.64,1.65,500,0
2015-12-02,17:05:00,1.69,1.69,1.69,1.69,600,0
2015-12-02,17:15:00,1.72,1.72,1.72,1.72,500,0
2015-12-02,17:25:00,1.7158,1.7158,1.7158,1.7158,1000,0
2015-12-02,17:30:00,1.71,1.71,1.71,1.71,500,0
2015-12-02,17:45:00,1.69,1.69,1.68,1.69,600,0
2015-12-02,17:55:00,1.6497,1.6497,1.6497,1.6497,240,0
2015-12-02,18:00:00,1.62,1.62,1.5,1.5975,11800,0
2015-12-02,18:10:00,1.58,1.58,1.58,1.58,1700,0
2015-12-02,18:35:00,1.6,1.6,1.6,1.6,500,0
2015-12-02,18:40:00,1.59,1.59,1.59,1.59,1700,0
2015-12-02,18:55:00,1.69,1.69,1.65,1.665,4100,0
2015-12-02,19:05:00,1.67,1.67,1.65,1.65,600,0
2015-12-02,19:15:00,1.67,1.67,1.55,1.55,1600,0
2015-12-02,19:25:00,1.6481,1.6481,1.6481,1.6481,545,0
2015-12-02,19:45:00,1.6,1.6,1.58,1.58,2300,0
2015-12-02,20:00:00,1.55,1.55,1.55,1.55,100,0
2015-12-02,20:05:00,1.58,1.58,1.58,1.58,600,0
2015-12-02,20:25:00,1.63,1.63,1.63,1.63,400,0
2015-12-02,20:40:00,1.61,1.61,1.61,1.61,500,0
2015-12-02,20:45:00,1.55,1.56,1.55,1.56,2000,0
2015-12-02,20:50:00,1.55,1.55,1.55,1.55,1200,0
2015-12-02,20:55:00,1.5252,1.56,1.5252,1.56,1300,0
2015-12-02,21:00:00,1.56,1.56,1.555,1.555,200,0
2015-12-02,21:05:00,1.61,1.61,1.55,1.55,700,0
2015-12-02,21:15:00,1.6,1.6,1.6,1.6,600,0
2015-12-02,21:20:00,1.69,1.69,1.69,1.69,500,0
2015-12-02,21:25:00,1.69,1.69,1.69,1.69,300,0
2015-12-02,21:30:00,1.69,1.69,1.69,1.69,400,0
