Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,11.06,11.06,11.06,11.06,305,0
2016-06-21,15:40:00,11.05,11.065,11.05,11.05,1590,0
2016-06-21,15:55:00,11.04,11.11,10.9753,11.1,2240,0
2016-06-21,16:00:00,11.05,11.05,11.01,11.01,300,0
2016-06-21,16:10:00,11.042,11.042,11.01,11.01,800,0
2016-06-21,16:15:00,11.01,11.01,10.85,10.91,3029,0
2016-06-21,16:20:00,10.8845,10.8845,10.75,10.75,1255,0
2016-06-21,16:25:00,10.7,10.7,10.7,10.7,100,0
2016-06-21,16:30:00,10.7,10.7482,10.7,10.7482,600,0
2016-06-21,16:40:00,10.78,10.78,10.74,10.74,200,0
2016-06-21,16:45:00,10.74,10.74,10.74,10.74,100,0
2016-06-21,16:50:00,10.74,10.74,10.72,10.72,500,0
2016-06-21,17:00:00,10.7199,10.7199,10.69,10.69,700,0
2016-06-21,17:05:00,10.69,10.73,10.69,10.72,900,0
2016-06-21,17:15:00,10.75,10.75,10.75,10.75,100,0
2016-06-21,17:20:00,10.72,10.72,10.68,10.68,3925,0
2016-06-21,17:25:00,10.7,10.7,10.7,10.7,200,0
2016-06-21,17:30:00,10.68,10.68,10.68,10.68,100,0
2016-06-21,17:35:00,10.68,10.6922,10.68,10.68,500,0
2016-06-21,17:45:00,10.68,10.6992,10.68,10.6992,2264,0
2016-06-21,17:50:00,10.68,10.68,10.68,10.68,100,0
2016-06-21,17:55:00,10.68,10.68,10.68,10.68,500,0
2016-06-21,18:00:00,10.68,10.69,10.68,10.68,1929,0
2016-06-21,18:05:00,10.69,10.7,10.69,10.69,300,0
2016-06-21,18:15:00,10.74,10.74,10.74,10.74,200,0
2016-06-21,18:20:00,10.715,10.76,10.7,10.76,400,0
2016-06-21,18:25:00,10.75,10.75,10.72,10.72,400,0
2016-06-21,18:30:00,10.74,10.74,10.72,10.72,300,0
2016-06-21,18:35:00,10.78,10.78,10.78,10.78,200,0
2016-06-21,18:40:00,10.76,10.76,10.74,10.74,3000,0
2016-06-21,18:45:00,10.76,10.76,10.76,10.76,200,0
2016-06-21,18:50:00,10.76,10.76,10.76,10.76,200,0
2016-06-21,18:55:00,10.7501,10.8,10.7501,10.8,1200,0
2016-06-21,19:00:00,10.83,10.86,10.82,10.86,900,0
2016-06-21,19:05:00,10.85,10.86,10.85,10.86,200,0
2016-06-21,19:10:00,10.81,10.85,10.78,10.85,400,0
2016-06-21,19:20:00,10.84,10.84,10.76,10.76,500,0
2016-06-21,19:25:00,10.79,10.79,10.79,10.79,400,0
2016-06-21,19:30:00,10.82,10.82,10.79,10.81,600,0
2016-06-21,19:35:00,10.8,10.8,10.79,10.79,200,0
2016-06-21,19:40:00,10.85,10.85,10.85,10.85,200,0
2016-06-21,19:45:00,10.85,10.86,10.85,10.86,200,0
2016-06-21,19:50:00,10.86,10.87,10.86,10.87,1100,0
2016-06-21,19:55:00,10.87,10.87,10.85,10.85,400,0
2016-06-21,20:00:00,10.86,10.86,10.86,10.86,100,0
2016-06-21,20:05:00,10.86,10.86,10.86,10.86,200,0
2016-06-21,20:10:00,10.88,10.89,10.88,10.89,200,0
2016-06-21,20:15:00,10.9,10.91,10.9,10.91,300,0
2016-06-21,20:20:00,10.88,10.92,10.87,10.87,300,0
2016-06-21,20:25:00,10.92,11.04,10.91,11.04,2800,0
2016-06-21,20:30:00,11.0138,11.03,11.01,11.01,491,0
2016-06-21,20:35:00,11,11.01,10.99,11,500,0
2016-06-21,20:40:00,10.99,11.01,10.99,11.01,600,0
2016-06-21,20:45:00,11.01,11.05,10.99,11.05,3700,0
2016-06-21,20:50:00,11.05,11.1,10.989,11.1,3134,0
2016-06-21,20:55:00,11.1,11.1,11.1,11.1,1111,0
2016-06-21,21:00:00,11.07,11.12,11.07,11.12,600,0
2016-06-21,21:05:00,11.11,11.14,11.09,11.095,2750,0
2016-06-21,21:10:00,11.11,11.13,11.08,11.13,600,0
2016-06-21,21:15:00,11.11,11.13,11.09,11.09,500,0
2016-06-21,21:20:00,11.1,11.12,11.09,11.1,700,0
