Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,1.87,1.8999,1.86,1.87,8043,0
2016-06-22,15:40:00,1.87,1.87,1.84,1.85,19814,0
2016-06-22,15:45:00,1.85,1.85,1.84,1.845,6170,0
2016-06-22,15:50:00,1.84,1.84,1.83,1.84,22527,0
2016-06-22,15:55:00,1.845,1.85,1.84,1.84,1210,0
2016-06-22,16:00:00,1.84,1.85,1.84,1.85,1280,0
2016-06-22,16:05:00,1.845,1.85,1.84,1.845,2398,0
2016-06-22,16:10:00,1.845,1.845,1.83,1.83,5449,0
2016-06-22,16:15:00,1.84,1.85,1.83,1.84,8661,0
2016-06-22,16:20:00,1.8465,1.8465,1.84,1.845,2500,0
2016-06-22,16:25:00,1.84,1.8428,1.84,1.84,3000,0
2016-06-22,16:30:00,1.84,1.8499,1.84,1.84,4483,0
2016-06-22,16:35:00,1.85,1.9,1.84,1.88,49395,0
2016-06-22,16:40:00,1.89,1.9,1.88,1.8901,26370,0
2016-06-22,16:45:00,1.89,1.91,1.87,1.89,27953,0
2016-06-22,16:50:00,1.89,1.9,1.88,1.889,39865,0
2016-06-22,16:55:00,1.885,1.9,1.85,1.89,34182,0
2016-06-22,17:00:00,1.88,1.89,1.87,1.88,16700,0
2016-06-22,17:05:00,1.89,1.89,1.88,1.89,20081,0
2016-06-22,17:10:00,1.89,1.8901,1.89,1.89,4500,0
2016-06-22,17:15:00,1.9,1.9,1.88,1.89,8322,0
2016-06-22,17:20:00,1.89,1.9,1.88,1.9,4500,0
2016-06-22,17:25:00,1.895,1.9,1.87,1.87,21262,0
2016-06-22,17:30:00,1.87,1.88,1.87,1.88,2800,0
2016-06-22,17:35:00,1.88,1.88,1.87,1.87,1500,0
2016-06-22,17:40:00,1.875,1.89,1.87,1.87,1800,0
2016-06-22,17:45:00,1.87,1.885,1.87,1.885,4537,0
2016-06-22,17:50:00,1.88,1.88,1.87,1.87,2100,0
2016-06-22,17:55:00,1.87,1.8701,1.86,1.87,7200,0
2016-06-22,18:00:00,1.86,1.865,1.86,1.86,800,0
2016-06-22,18:05:00,1.86,1.87,1.86,1.86,1400,0
2016-06-22,18:10:00,1.86,1.86,1.86,1.86,800,0
2016-06-22,18:15:00,1.86,1.86,1.86,1.86,1100,0
2016-06-22,18:20:00,1.86,1.865,1.85,1.85,1300,0
2016-06-22,18:25:00,1.85,1.85,1.85,1.85,400,0
2016-06-22,18:30:00,1.85,1.86,1.85,1.85,2274,0
2016-06-22,18:35:00,1.85,1.86,1.85,1.85,5500,0
2016-06-22,18:40:00,1.85,1.86,1.85,1.86,600,0
2016-06-22,18:45:00,1.85,1.85,1.84,1.84,2979,0
2016-06-22,18:50:00,1.84,1.84,1.84,1.84,1100,0
2016-06-22,18:55:00,1.84,1.85,1.83,1.84,2419,0
2016-06-22,19:00:00,1.835,1.85,1.83,1.84,11599,0
2016-06-22,19:05:00,1.84,1.85,1.84,1.84,800,0
2016-06-22,19:10:00,1.845,1.85,1.84,1.84,1900,0
2016-06-22,19:15:00,1.84,1.84,1.83,1.84,10000,0
2016-06-22,19:20:00,1.83,1.835,1.83,1.83,1000,0
2016-06-22,19:25:00,1.83,1.84,1.83,1.84,800,0
2016-06-22,19:30:00,1.835,1.84,1.83,1.835,5305,0
2016-06-22,19:35:00,1.84,1.84,1.83,1.83,6190,0
2016-06-22,19:40:00,1.83,1.84,1.83,1.84,5375,0
2016-06-22,19:45:00,1.84,1.84,1.83,1.84,2747,0
2016-06-22,19:50:00,1.84,1.85,1.83,1.85,7031,0
2016-06-22,19:55:00,1.84,1.86,1.84,1.86,14483,0
2016-06-22,20:00:00,1.855,1.86,1.85,1.855,1310,0
2016-06-22,20:05:00,1.855,1.86,1.85,1.85,1000,0
