Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,5.65,5.65,5.645,5.645,2936,0
2016-06-22,15:40:00,5.63,5.63,5.63,5.63,300,0
2016-06-22,15:45:00,5.64,5.64,5.64,5.64,200,0
2016-06-22,15:50:00,5.63,5.63,5.5742,5.5742,1350,0
2016-06-22,15:55:00,5.605,5.61,5.5699,5.5699,5785,0
2016-06-22,16:00:00,5.57,5.58,5.55,5.55,7234,0
2016-06-22,16:05:00,5.54,5.57,5.54,5.57,1300,0
2016-06-22,16:10:00,5.57,5.57,5.55,5.5501,9120,0
2016-06-22,16:15:00,5.55,5.56,5.53,5.5345,3518,0
2016-06-22,16:20:00,5.57,5.57,5.52,5.55,2400,0
2016-06-22,16:25:00,5.56,5.56,5.54,5.5407,2750,0
2016-06-22,16:30:00,5.54,5.56,5.54,5.55,1776,0
2016-06-22,16:35:00,5.57,5.75,5.57,5.75,15352,0
2016-06-22,16:40:00,5.77,5.77,5.7,5.7,5850,0
2016-06-22,16:45:00,5.73,5.73,5.68,5.71,6501,0
2016-06-22,16:50:00,5.7,5.75,5.66,5.75,13493,0
2016-06-22,16:55:00,5.78,5.8,5.743,5.7501,5970,0
2016-06-22,17:00:00,5.78,5.78,5.75,5.75,3407,0
2016-06-22,17:05:00,5.75,5.8,5.75,5.8,2711,0
2016-06-22,17:10:00,5.8,5.8,5.74,5.74,7353,0
2016-06-22,17:15:00,5.78,5.78,5.74,5.74,2190,0
2016-06-22,17:20:00,5.73,5.795,5.73,5.79,3681,0
2016-06-22,17:25:00,5.7925,5.795,5.78,5.78,626,0
2016-06-22,17:30:00,5.78,5.78,5.75,5.75,400,0
2016-06-22,17:35:00,5.77,5.77,5.72,5.72,1200,0
2016-06-22,17:40:00,5.72,5.75,5.72,5.74,2804,0
2016-06-22,17:45:00,5.72,5.72,5.72,5.72,690,0
2016-06-22,17:50:00,5.72,5.72,5.71,5.71,700,0
2016-06-22,17:55:00,5.73,5.73,5.72,5.72,1408,0
2016-06-22,18:00:00,5.74,5.74,5.7399,5.74,700,0
2016-06-22,18:05:00,5.71,5.73,5.68,5.68,500,0
2016-06-22,18:10:00,5.69,5.692,5.68,5.69,2800,0
2016-06-22,18:15:00,5.69,5.7,5.69,5.7,500,0
2016-06-22,18:20:00,5.69,5.69,5.68,5.68,900,0
2016-06-22,18:25:00,5.66,5.67,5.61,5.63,4155,0
2016-06-22,18:30:00,5.62,5.64,5.62,5.63,4861,0
2016-06-22,18:35:00,5.634,5.66,5.634,5.64,2325,0
2016-06-22,18:40:00,5.64,5.64,5.6101,5.6101,1055,0
2016-06-22,18:45:00,5.6,5.6,5.57,5.57,2450,0
2016-06-22,18:50:00,5.57,5.57,5.55,5.55,1100,0
2016-06-22,18:55:00,5.55,5.57,5.55,5.57,1484,0
2016-06-22,19:00:00,5.59,5.59,5.57,5.5788,337,0
2016-06-22,19:05:00,5.59,5.59,5.59,5.59,1300,0
2016-06-22,19:10:00,5.58,5.6,5.57,5.57,900,0
2016-06-22,19:15:00,5.56,5.59,5.55,5.55,4774,0
2016-06-22,19:20:00,5.57,5.57,5.56,5.56,1400,0
2016-06-22,19:25:00,5.55,5.55,5.55,5.55,100,0
2016-06-22,19:30:00,5.55,5.58,5.55,5.55,1600,0
2016-06-22,19:35:00,5.58,5.58,5.57,5.58,1500,0
2016-06-22,19:40:00,5.59,5.59,5.57,5.58,2100,0
2016-06-22,19:45:00,5.59,5.63,5.59,5.62,6400,0
2016-06-22,19:50:00,5.62,5.62,5.6,5.61,635,0
2016-06-22,19:55:00,5.63,5.63,5.63,5.63,200,0
2016-06-22,20:00:00,5.64,5.64,5.62,5.62,800,0
2016-06-22,20:05:00,5.63,5.63,5.63,5.63,200,0
2016-06-22,20:10:00,5.63,5.63,5.63,5.63,400,0
2016-06-22,20:15:00,5.62,5.62,5.6,5.61,2661,0
2016-06-22,20:20:00,5.61,5.65,5.61,5.6301,9915,0
2016-06-22,20:25:00,5.64,5.6785,5.63,5.6785,7463,0
2016-06-22,20:30:00,5.68,5.69,5.6705,5.6858,5627,0
2016-06-22,20:35:00,5.69,5.7,5.69,5.7,8045,0
2016-06-22,20:40:00,5.69,5.7,5.69,5.7,4427,0
2016-06-22,20:45:00,5.7,5.71,5.7,5.71,3340,0
2016-06-22,20:50:00,5.715,5.72,5.68,5.7,7300,0
2016-06-22,20:55:00,5.7,5.725,5.695,5.725,9900,0
2016-06-22,21:00:00,5.7279,5.75,5.7279,5.74,12180,0
2016-06-22,21:05:00,5.74,5.74,5.74,5.74,1000,0
2016-06-22,21:10:00,5.75,5.75,5.7381,5.74,400,0
2016-06-22,21:15:00,5.74,5.74,5.73,5.73,2200,0
2016-06-22,21:20:00,5.74,5.74,5.7223,5.7223,3565,0
2016-06-22,21:25:00,5.72,5.72,5.69,5.7,11970,0
2016-06-22,21:30:00,5.7,5.73,5.7,5.7259,2974,0
2016-06-22,21:35:00,5.72,5.7201,5.71,5.71,8100,0
2016-06-22,21:40:00,5.71,5.77,5.695,5.76,38560,0
2016-06-22,21:45:00,5.77,5.7759,5.73,5.73,15398,0
2016-06-22,21:50:00,5.74,5.76,5.7,5.7,11537,0
2016-06-22,21:55:00,5.69,5.7,5.67,5.69,15672,0
2016-06-22,22:00:00,5.69,5.71,5.68,5.68,7390,0
2016-06-23,15:35:00,5.73,5.7593,5.73,5.734,8485,0
2016-06-23,15:40:00,5.708,5.708,5.708,5.708,1000,0
2016-06-23,15:45:00,5.7,5.7,5.67,5.68,1511,0
2016-06-23,15:50:00,5.7,5.7299,5.68,5.69,7682,0
2016-06-23,15:55:00,5.7,5.75,5.7,5.73,6553,0
2016-06-23,16:00:00,5.73,5.77,5.73,5.77,7811,0
2016-06-23,16:05:00,5.77,5.7701,5.75,5.7501,6100,0
2016-06-23,16:10:00,5.765,5.79,5.765,5.77,2148,0
2016-06-23,16:15:00,5.7648,5.79,5.76,5.76,1100,0
2016-06-23,16:20:00,5.75,5.76,5.75,5.75,1800,0
2016-06-23,16:25:00,5.755,5.77,5.755,5.76,1100,0
2016-06-23,16:30:00,5.76,5.78,5.76,5.78,4500,0
2016-06-23,16:35:00,5.77,5.77,5.72,5.73,3300,0
2016-06-23,16:40:00,5.72,5.72,5.7,5.7,700,0
2016-06-23,16:45:00,5.7,5.7001,5.69,5.69,1900,0
