Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,44.11,44.455,43.855,44.28,2011,0
2016-06-22,15:40:00,44.27,44.35,43.98,44.345,6448,0
2016-06-22,15:45:00,44.32,44.38,44.17,44.22,8542,0
2016-06-22,15:50:00,44.25,44.35,44.19,44.29,9100,0
2016-06-22,15:55:00,44.32,44.43,44.32,44.37,4270,0
2016-06-22,16:00:00,44.37,44.395,44.35,44.35,3500,0
2016-06-22,16:05:00,44.345,44.485,44.345,44.38,5800,0
2016-06-22,16:10:00,44.38,44.53,44.38,44.4647,6936,0
2016-06-22,16:15:00,44.455,44.67,44.455,44.67,2600,0
2016-06-22,16:20:00,44.67,44.67,44.51,44.54,12511,0
2016-06-22,16:25:00,44.54,44.68,44.54,44.68,2600,0
2016-06-22,16:30:00,44.72,44.77,44.65,44.69,5409,0
2016-06-22,16:35:00,44.69,44.71,44.63,44.69,4600,0
2016-06-22,16:40:00,44.69,44.72,44.64,44.71,4950,0
2016-06-22,16:45:00,44.72,44.72,44.68,44.69,10139,0
2016-06-22,16:50:00,44.675,44.675,44.57,44.65,6700,0
2016-06-22,16:55:00,44.65,44.85,44.65,44.85,12345,0
2016-06-22,17:00:00,44.86,44.93,44.85,44.9,5300,0
2016-06-22,17:05:00,44.89,44.93,44.89,44.92,3650,0
2016-06-22,17:10:00,44.92,44.93,44.88,44.88,5850,0
2016-06-22,17:15:00,44.895,44.9,44.87,44.88,3900,0
2016-06-22,17:20:00,44.87,44.96,44.77,44.96,7600,0
2016-06-22,17:25:00,44.99,45.03,44.96,45.03,8448,0
2016-06-22,17:30:00,45.02,45.04,44.99,45.01,8200,0
2016-06-22,17:35:00,45.01,45.015,44.9,44.93,6000,0
2016-06-22,17:40:00,44.92,45,44.92,44.95,6905,0
2016-06-22,17:45:00,44.967,44.967,44.8703,44.955,4128,0
2016-06-22,17:50:00,44.94,45.11,44.92,45.1,18800,0
2016-06-22,17:55:00,45.07,45.11,45.05,45.1,13894,0
2016-06-22,18:00:00,45.1,45.11,45.04,45.055,5200,0
2016-06-22,18:05:00,45.04,45.04,44.96,44.96,8230,0
2016-06-22,18:10:00,44.95,45.005,44.89,44.94,3200,0
2016-06-22,18:15:00,44.94,45.03,44.9,45.03,4200,0
2016-06-22,18:20:00,45.03,45.06,44.93,44.96,6505,0
2016-06-22,18:25:00,44.95,44.955,44.75,44.75,3300,0
2016-06-22,18:30:00,44.76,44.77,44.73,44.76,3200,0
2016-06-22,18:35:00,44.76,44.9,44.75,44.9,5398,0
2016-06-22,18:40:00,44.895,44.91,44.84,44.84,4500,0
2016-06-22,18:45:00,44.83,44.87,44.83,44.87,2900,0
2016-06-22,18:50:00,44.86,44.86,44.82,44.835,3400,0
2016-06-22,18:55:00,44.83,44.89,44.83,44.89,4200,0
2016-06-22,19:00:00,44.9,44.93,44.86,44.93,3200,0
2016-06-22,19:05:00,44.91,44.92,44.85,44.87,4445,0
2016-06-22,19:10:00,44.86,44.86,44.77,44.77,4850,0
2016-06-22,19:15:00,44.76,44.83,44.76,44.83,3700,0
2016-06-22,19:20:00,44.9,44.9,44.79,44.8,5499,0
2016-06-22,19:25:00,44.805,44.83,44.76,44.7999,3200,0
2016-06-22,19:30:00,44.79,44.8325,44.765,44.82,16230,0
2016-06-22,19:35:00,44.81,44.81,44.7,44.72,8700,0
2016-06-22,19:40:00,44.71,44.78,44.67,44.78,3600,0
2016-06-22,19:45:00,44.78,44.84,44.77,44.84,8200,0
2016-06-22,19:50:00,44.8425,44.85,44.83,44.85,5696,0
2016-06-22,19:55:00,44.84,44.8425,44.82,44.83,5200,0
2016-06-22,20:00:00,44.82,44.82,44.81,44.82,2200,0
2016-06-22,20:05:00,44.82,44.84,44.8,44.84,3200,0
2016-06-22,20:10:00,44.85,44.85,44.79,44.79,5769,0
2016-06-22,20:15:00,44.79,44.81,44.74,44.76,3000,0
2016-06-22,20:20:00,44.76,44.77,44.74,44.76,3410,0
2016-06-22,20:25:00,44.75,44.75,44.72,44.74,3817,0
2016-06-22,20:30:00,44.745,44.79,44.74,44.78,4900,0
2016-06-22,20:35:00,44.78,44.78,44.71,44.73,8600,0
2016-06-22,20:40:00,44.72,44.72,44.66,44.71,5548,0
2016-06-22,20:45:00,44.72,44.77,44.72,44.76,3900,0
2016-06-22,20:50:00,44.77,44.77,44.74,44.755,4831,0
2016-06-22,20:55:00,44.75,44.79,44.75,44.79,9188,0
2016-06-22,21:00:00,44.8,44.83,44.79,44.82,8600,0
