Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-21,15:35:00,7.65,7.65,7.6,7.6,14339,0
2016-06-21,15:40:00,7.57,7.59,7.56,7.57,1327,0
2016-06-21,15:45:00,7.57,7.59,7.56,7.59,3320,0
2016-06-21,15:50:00,7.57,7.58,7.55,7.575,4647,0
2016-06-21,15:55:00,7.575,7.58,7.55,7.55,563,0
2016-06-21,16:00:00,7.555,7.58,7.55,7.58,3100,0
2016-06-21,16:05:00,7.58,7.58,7.55,7.55,4323,0
2016-06-21,16:10:00,7.56,7.57,7.555,7.56,3400,0
2016-06-21,16:15:00,7.565,7.57,7.55,7.55,1800,0
2016-06-21,16:20:00,7.55,7.55,7.55,7.55,100,0
2016-06-21,16:25:00,7.55,7.56,7.545,7.56,13300,0
2016-06-21,16:30:00,7.55,7.57,7.55,7.57,3200,0
2016-06-21,16:35:00,7.575,7.575,7.56,7.56,4500,0
2016-06-21,16:40:00,7.56,7.569,7.56,7.56,2600,0
2016-06-21,16:45:00,7.56,7.56,7.56,7.56,600,0
2016-06-21,16:50:00,7.565,7.6,7.565,7.58,11251,0
2016-06-21,16:55:00,7.575,7.595,7.575,7.59,16104,0
2016-06-21,17:00:00,7.595,7.5999,7.59,7.59,8827,0
2016-06-21,17:05:00,7.59,7.59,7.58,7.58,4300,0
2016-06-21,17:10:00,7.58,7.59,7.58,7.58,1830,0
2016-06-21,17:15:00,7.58,7.6,7.58,7.59,19712,0
2016-06-21,17:20:00,7.5931,7.63,7.5931,7.62,7135,0
2016-06-21,17:25:00,7.62,7.66,7.61,7.66,6750,0
2016-06-21,17:30:00,7.655,7.659,7.65,7.65,3656,0
2016-06-21,17:35:00,7.66,7.665,7.65,7.66,2432,0
2016-06-21,17:40:00,7.66,7.66,7.65,7.65,600,0
2016-06-21,17:45:00,7.65,7.66,7.64,7.66,2476,0
2016-06-21,17:50:00,7.655,7.6599,7.6375,7.65,2730,0
2016-06-21,17:55:00,7.64,7.6534,7.64,7.6534,1000,0
2016-06-21,18:00:00,7.65,7.66,7.65,7.66,1173,0
2016-06-21,18:05:00,7.65,7.65,7.64,7.65,1200,0
2016-06-21,18:10:00,7.64,7.64,7.63,7.63,8300,0
2016-06-21,18:15:00,7.62,7.66,7.62,7.65,18800,0
2016-06-21,18:20:00,7.6483,7.66,7.6483,7.66,4953,0
2016-06-21,18:25:00,7.66,7.67,7.66,7.66,547,0
2016-06-21,18:30:00,7.67,7.67,7.65,7.65,1235,0
2016-06-21,18:35:00,7.65,7.65,7.64,7.64,1900,0
2016-06-21,18:50:00,7.6499,7.6499,7.64,7.6435,873,0
2016-06-21,18:55:00,7.64,7.64,7.64,7.64,1500,0
2016-06-21,19:00:00,7.6333,7.64,7.63,7.6376,1489,0
2016-06-21,19:05:00,7.63,7.6372,7.63,7.6372,266,0
2016-06-21,19:10:00,7.635,7.638,7.63,7.63,3300,0
2016-06-21,19:15:00,7.63,7.64,7.63,7.63,2008,0
2016-06-21,19:20:00,7.63,7.63,7.63,7.63,200,0
2016-06-21,19:25:00,7.63,7.635,7.615,7.635,3100,0
2016-06-21,19:30:00,7.64,7.65,7.64,7.65,1000,0
2016-06-21,19:35:00,7.65,7.65,7.64,7.65,1783,0
2016-06-21,19:40:00,7.65,7.65,7.64,7.64,7372,0
2016-06-21,19:45:00,7.65,7.65,7.64,7.645,4300,0
2016-06-21,19:50:00,7.65,7.66,7.65,7.66,6216,0
2016-06-21,19:55:00,7.66,7.66,7.65,7.65,3581,0
2016-06-21,20:00:00,7.652,7.66,7.65,7.65,4991,0
2016-06-21,20:05:00,7.655,7.66,7.64,7.65,3500,0
2016-06-21,20:10:00,7.655,7.66,7.655,7.655,1100,0
2016-06-21,20:15:00,7.651,7.66,7.651,7.66,8873,0
2016-06-21,20:20:00,7.66,7.67,7.6576,7.665,5012,0
2016-06-21,20:25:00,7.66,7.66,7.65,7.66,2000,0
2016-06-21,20:30:00,7.665,7.67,7.6616,7.665,1437,0
2016-06-21,20:35:00,7.665,7.665,7.665,7.665,200,0
2016-06-21,20:40:00,7.667,7.685,7.66,7.68,23384,0
2016-06-21,20:45:00,7.68,7.68,7.68,7.68,2062,0
2016-06-21,20:55:00,7.67,7.67,7.67,7.67,300,0
2016-06-21,21:00:00,7.67,7.68,7.67,7.68,400,0
2016-06-21,21:05:00,7.67,7.675,7.67,7.675,200,0
2016-06-21,21:10:00,7.6799,7.68,7.67,7.68,1000,0
2016-06-21,21:15:00,7.6742,7.6742,7.6742,7.6742,500,0
2016-06-21,21:20:00,7.67,7.675,7.67,7.6716,1400,0
