Date,Time,Open,High,Low,Close,Volume,OpenInt
2015-08-19,15:35:00,3.45,3.45,3.45,3.45,212,0
2015-08-19,16:00:00,2.86,2.86,2.86,2.86,100,0
2015-08-19,16:15:00,2.86,2.86,2.86,2.86,124,0
2015-08-19,16:40:00,2.9,2.9,2.89,2.89,700,0
2015-08-19,18:05:00,2.89,2.89,2.89,2.89,500,0
2015-08-19,19:30:00,2.833,2.833,2.833,2.833,100,0
2015-08-19,19:55:00,2.71,2.86,2.71,2.86,1407,0
2015-08-19,21:30:00,3.01,3.01,3,3,700,0
2015-08-20,15:35:00,2.06,2.06,2.06,2.06,270,0
2015-08-20,18:40:00,2.5,2.52,2.5,2.5,650,0
2015-08-20,18:45:00,2.5,2.5,2.5,2.5,550,0
2015-08-20,21:45:00,2.48,2.5,2.48,2.5,350,0
2015-08-20,21:55:00,2.75,2.75,2.75,2.75,200,0
2015-08-24,15:35:00,2.5,2.5,2.5,2.5,800,0
2015-08-25,21:50:00,2.6,2.6,2.6,2.6,500,0
2015-08-26,21:20:00,2.6,2.6,2.6,2.6,500,0
2015-08-27,21:05:00,2.75,2.75,2.75,2.75,190,0
2015-08-28,19:15:00,2.6,2.6,2.6,2.6,1166,0
2015-08-31,20:55:00,2.6,2.6,2.6,2.6,100,0
2015-09-01,16:55:00,2.6,2.6,2.5,2.5,500,0
2015-09-03,15:35:00,3.7,3.7,3.7,3.7,1000,0
2015-09-03,17:15:00,2.91,2.91,2.91,2.91,100,0
2015-09-04,15:40:00,2.96,3.04,2.96,3.04,200,0
2015-09-04,16:50:00,2.9,2.9,2.9,2.9,100,0
2015-09-08,16:05:00,2.02,2.02,2.02,2.02,100,0
2015-09-10,16:10:00,2.01,2.01,2.01,2.01,150,0
2015-09-14,16:20:00,2.02,2.02,2.02,2.02,600,0
2015-09-15,21:50:00,2.5,2.5,2.5,2.5,900,0
2015-09-16,21:40:00,3.25,3.55,3.2499,3.25,1800,0
2015-09-18,21:45:00,3.54,3.6984,3.54,3.6984,698,0
2015-09-22,18:10:00,2.5901,2.5901,2.5901,2.5901,200,0
2015-09-22,18:50:00,3.8801,3.8801,3.8801,3.8801,400,0
2015-09-22,19:30:00,2.63,2.63,2.63,2.63,200,0
2015-09-28,19:35:00,2.06,2.06,2.06,2.06,100,0
2015-09-29,16:40:00,2.08,2.08,2.06,2.06,500,0
2015-09-29,21:35:00,2.3,2.3,2.3,2.3,100,0
2015-10-01,16:45:00,2.0001,2.0001,2.0001,2.0001,100,0
2015-10-01,18:35:00,2.49,2.49,2.49,2.49,500,0
2015-10-06,19:15:00,2.2,2.2,2.2,2.2,100,0
2015-10-06,20:35:00,2.4,2.4,2.4,2.4,100,0
2015-10-14,17:15:00,3.4999,3.4999,2.0001,2.0001,300,0
2015-10-20,20:40:00,2.5693,2.5693,2.5693,2.5693,100,0
2015-10-21,15:35:00,3.34,3.34,3.34,3.34,200,0
2015-11-02,16:50:00,0.1113,0.1113,0.1113,0.1113,200,0
2015-11-02,19:10:00,2,2,2,2,600,0
2015-12-01,18:15:00,2.1,2.1,2.1,2.1,100,0
2015-12-15,15:35:00,2.5,2.5,2,2,400,0
2015-12-15,21:10:00,2.46,2.49,2.46,2.49,500,0
2015-12-18,15:35:00,2.05,2.05,2.05,2.05,300,0
2015-12-18,17:20:00,1.8,1.8,1.75,1.75,300,0
2015-12-31,19:10:00,2,2,2,2,500,0
2016-01-07,21:55:00,1.95,1.96,1.9,1.9,600,0
2016-01-08,15:40:00,2.05,2.05,2.05,2.05,100,0
2016-01-08,16:05:00,1.96,1.96,1.96,1.96,200,0
2016-01-08,18:25:00,1.96,1.96,1.9505,1.9505,200,0
2016-01-19,16:00:00,2.48,2.48,2.09,2.09,600,0
2016-01-19,16:05:00,2.1,2.1,2.1,2.1,100,0
2016-01-19,16:10:00,2.1199,2.1199,2.1199,2.1199,200,0
2016-01-19,16:35:00,2.0599,2.0599,2.0599,2.0599,200,0
2016-01-19,16:40:00,2.0599,2.06,2.0599,2.06,710,0
2016-01-19,16:45:00,2.0599,2.06,2.0599,2.06,300,0
2016-01-19,16:50:00,2.2601,2.2601,2.11,2.11,1310,0
2016-01-19,16:55:00,2.03,2.0599,2.03,2.0599,300,0
2016-01-19,17:00:00,2.0799,2.0799,2.0799,2.0799,300,0
2016-01-19,17:05:00,2.0799,2.0799,2.0799,2.0799,800,0
2016-01-19,17:10:00,2.08,2.08,2.08,2.08,200,0
2016-01-19,17:15:00,2.02,2.08,2.02,2.08,1700,0
2016-01-19,17:20:00,2.0999,2.1499,2.0999,2.1499,1900,0
2016-01-19,17:25:00,2.08,2.5,2.08,2.5,1800,0
2016-01-19,17:35:00,2.36,2.43,2.36,2.43,500,0
2016-01-19,17:40:00,2.3601,2.3601,2.3601,2.3601,1700,0
2016-01-19,17:55:00,2.36,2.36,2.3315,2.36,270,0
2016-01-19,21:05:00,2.22,2.22,2.22,2.22,800,0
2016-01-19,21:25:00,2.01,2.01,2.01,2.01,15,0
2016-01-19,21:30:00,2,2,2,2,100,0
2016-01-19,21:35:00,2,2,2,2,85,0
2016-01-19,21:45:00,1.95,1.95,1.9,1.9,2652,0
2016-01-19,22:00:00,1.9,1.9,1.9,1.9,300,0
2016-01-20,15:35:00,2,2,1.9,1.9686,1400,0
2016-01-20,17:15:00,1.7,1.7,1.6999,1.6999,400,0
2016-01-20,17:25:00,1.6499,1.6499,1.6499,1.6499,800,0
2016-01-20,17:30:00,1.65,1.65,1.59,1.59,1200,0
2016-01-20,17:35:00,1.21,1.24,1.21,1.21,600,0
2016-01-20,17:40:00,1.51,1.91,1.51,1.91,2200,0
2016-01-20,17:45:00,1.91,2.06,1.91,2.0101,4498,0
2016-01-20,17:50:00,1.96,2.01,1.8601,1.8601,1000,0
2016-01-20,18:00:00,1.8601,1.8601,1.8,1.8,400,0
2016-01-20,18:05:00,1.72,1.72,1.69,1.69,200,0
2016-01-20,18:15:00,1.53,1.53,1.52,1.52,500,0
2016-01-20,18:35:00,1.5999,1.6,1.5999,1.6,1100,0
2016-01-20,18:55:00,1.63,1.89,1.63,1.8001,1000,0
2016-01-20,19:20:00,1.66,1.66,1.66,1.66,600,0
2016-01-21,18:25:00,1.5999,1.6,1.5999,1.6,800,0
2016-01-21,18:30:00,1.76,1.76,1.7001,1.7001,1000,0
2016-01-21,18:50:00,1.88,1.88,1.88,1.88,500,0
2016-01-21,21:55:00,1.72,1.72,1.72,1.72,100,0
2016-01-21,22:00:00,1.7,1.7,1.7,1.7,600,0
2016-02-16,21:05:00,1.7,1.7,1.7,1.7,1500,0
2016-02-17,21:20:00,1.19,1.19,1.19,1.19,200,0
2016-02-18,16:50:00,1.17,1.17,1.17,1.17,500,0
2016-02-19,16:30:00,1.47,1.47,1.47,1.47,300,0
2016-02-19,16:55:00,1.47,1.47,1.47,1.47,200,0
2016-02-19,17:25:00,1.171,1.171,1.171,1.171,100,0
2016-02-23,17:35:00,0.8197,0.8197,0.8197,0.8197,200,0
