Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,9.3,9.3,9.18,9.19,1600,0
2016-06-22,15:40:00,9.19,9.22,9.15,9.2,1900,0
2016-06-22,15:45:00,9.22,9.28,9.22,9.24,800,0
2016-06-22,15:50:00,9.23,9.24,9.2,9.21,600,0
2016-06-22,15:55:00,9.22,9.24,9.22,9.23,500,0
2016-06-22,16:00:00,9.26,9.28,9.25,9.25,800,0
2016-06-22,16:05:00,9.26,9.28,9.26,9.26,900,0
2016-06-22,16:10:00,9.23,9.26,9.23,9.23,1000,0
2016-06-22,16:15:00,9.24,9.25,9.22,9.25,500,0
2016-06-22,16:20:00,9.23,9.26,9.23,9.25,500,0
2016-06-22,16:25:00,9.26,9.27,9.24,9.27,1500,0
2016-06-22,16:30:00,9.27,9.27,9.24,9.24,1000,0
2016-06-22,16:35:00,9.25,9.27,9.25,9.25,400,0
2016-06-22,16:40:00,9.25,9.27,9.24,9.25,1000,0
2016-06-22,16:45:00,9.26,9.27,9.26,9.27,600,0
2016-06-22,16:50:00,9.26,9.26,9.25,9.26,800,0
2016-06-22,16:55:00,9.3,9.32,9.27,9.32,1641,0
2016-06-22,17:00:00,9.36,9.48,9.36,9.42,800,0
2016-06-22,17:05:00,9.36,9.41,9.36,9.41,600,0
2016-06-22,17:10:00,9.39,9.4,9.38,9.38,700,0
2016-06-22,17:15:00,9.37,9.42,9.35,9.4,700,0
2016-06-22,17:20:00,9.39,9.5199,9.38,9.5,1500,0
2016-06-22,17:25:00,9.46,9.58,9.4,9.58,1400,0
2016-06-22,17:30:00,9.59,9.65,9.59,9.65,600,0
2016-06-22,17:35:00,9.64,9.6499,9.55,9.55,300,0
2016-06-22,17:40:00,9.56,9.56,9.53,9.53,300,0
2016-06-22,17:45:00,9.52,9.52,9.49,9.49,300,0
2016-06-22,17:50:00,9.47,9.5,9.47,9.48,700,0
2016-06-22,17:55:00,9.49,9.5001,9.47,9.5,1600,0
2016-06-22,18:00:00,9.51,9.51,9.49,9.49,600,0
2016-06-22,18:05:00,9.48,9.48,9.46,9.47,700,0
2016-06-22,18:10:00,9.49,9.51,9.49,9.5,1000,0
2016-06-22,18:15:00,9.51,9.52,9.5,9.51,600,0
2016-06-22,18:20:00,9.5,9.5,9.47,9.47,600,0
2016-06-22,18:25:00,9.49,9.51,9.48,9.49,1500,0
2016-06-22,18:30:00,9.48,9.51,9.46,9.5,1100,0
2016-06-22,18:35:00,9.49,9.51,9.48,9.51,600,0
2016-06-22,18:40:00,9.51,9.51,9.48,9.48,700,0
2016-06-22,18:45:00,9.49,9.49,9.47,9.47,500,0
2016-06-22,18:50:00,9.47,9.47,9.45,9.46,700,0
2016-06-22,18:55:00,9.47,9.48,9.45,9.47,1000,0
2016-06-22,19:00:00,9.47,9.47,9.45,9.45,1000,0
2016-06-22,19:05:00,9.46,9.48,9.44,9.44,1200,0
2016-06-22,19:10:00,9.43,9.47,9.42,9.47,900,0
2016-06-22,19:15:00,9.46,9.46,9.44,9.45,800,0
2016-06-22,19:20:00,9.51,9.51,9.49,9.5,600,0
2016-06-22,19:25:00,9.5,9.52,9.46,9.46,600,0
2016-06-22,19:30:00,9.46,9.48,9.46,9.48,700,0
2016-06-22,19:35:00,9.48,9.48,9.46,9.46,700,0
2016-06-22,19:40:00,9.45,9.45,9.44,9.44,400,0
2016-06-22,19:45:00,9.46,9.47,9.46,9.47,600,0
2016-06-22,19:50:00,9.46,9.47,9.45,9.45,1100,0
2016-06-22,19:55:00,9.46,9.46,9.43,9.43,800,0
2016-06-22,20:00:00,9.43,9.46,9.43,9.44,1100,0
2016-06-22,20:05:00,9.45,9.46,9.45,9.46,400,0
2016-06-22,20:10:00,9.46,9.47,9.45,9.47,700,0
2016-06-22,20:15:00,9.46,9.46,9.44,9.44,700,0
2016-06-22,20:20:00,9.43,9.48,9.43,9.46,600,0
2016-06-22,20:25:00,9.45,9.48,9.44,9.48,1100,0
2016-06-22,20:30:00,9.45,9.45,9.45,9.45,300,0
2016-06-22,20:35:00,9.47,9.47,9.43,9.43,600,0
2016-06-22,20:40:00,9.44,9.45,9.43,9.45,900,0
2016-06-22,20:45:00,9.44,9.46,9.44,9.46,500,0
2016-06-22,20:50:00,9.45,9.46,9.45,9.46,1000,0
2016-06-22,20:55:00,9.45,9.45,9.43,9.44,600,0
2016-06-22,21:00:00,9.44,9.45,9.42,9.45,1000,0
2016-06-22,21:05:00,9.42,9.44,9.4,9.44,900,0
2016-06-22,21:10:00,9.42,9.45,9.4,9.4,800,0
2016-06-22,21:15:00,9.41,9.43,9.41,9.42,1000,0
2016-06-22,21:20:00,9.4,9.41,9.4,9.41,300,0
2016-06-22,21:25:00,9.41,9.43,9.41,9.42,900,0
2016-06-22,21:30:00,9.43,9.45,9.41,9.45,900,0
2016-06-22,21:35:00,9.43,9.46,9.43,9.44,1100,0
2016-06-22,21:40:00,9.44,9.45,9.44,9.44,900,0
2016-06-22,21:45:00,9.43,9.46,9.42,9.46,400,0
2016-06-22,21:50:00,9.46,9.47,9.43,9.43,1100,0
2016-06-22,21:55:00,9.44,9.49,9.44,9.49,800,0
2016-06-22,22:00:00,9.49,9.52,9.49,9.52,800,0
2016-06-23,15:35:00,9.52,9.52,9.44,9.51,2000,0
2016-06-23,15:40:00,9.53,9.66,9.51,9.66,1100,0
2016-06-23,15:45:00,9.65,9.65,9.5679,9.5732,1398,0
2016-06-23,15:50:00,9.64,9.71,9.64,9.71,700,0
2016-06-23,15:55:00,9.7,9.83,9.6901,9.72,1500,0
2016-06-23,16:00:00,9.73,9.77,9.69,9.73,800,0
2016-06-23,16:05:00,9.73,9.83,9.73,9.75,1000,0
2016-06-23,16:10:00,9.76,9.76,9.73,9.76,1100,0
2016-06-23,16:15:00,9.77,9.77,9.66,9.74,1000,0
2016-06-23,16:20:00,9.73,9.74,9.71,9.71,800,0
2016-06-23,16:25:00,9.73,9.74,9.7,9.74,600,0
2016-06-23,16:30:00,9.81,9.81,9.76,9.8,500,0
2016-06-23,16:35:00,9.78,9.78,9.73,9.76,900,0
2016-06-23,16:40:00,9.76,9.76,9.73,9.75,800,0
2016-06-23,16:45:00,9.73,9.74,9.72,9.72,600,0
2016-06-23,16:50:00,9.74,9.74,9.71,9.74,900,0
2016-06-23,16:55:00,9.75,9.84,9.72,9.84,1000,0
2016-06-23,17:00:00,9.85,9.89,9.78,9.89,900,0
2016-06-23,17:05:00,9.94,9.98,9.92,9.92,1000,0
2016-06-23,17:10:00,9.93,9.94,9.9,9.94,700,0
2016-06-23,17:15:00,9.93,9.93,9.84,9.84,500,0
2016-06-23,17:20:00,9.84,9.89,9.84,9.84,800,0
2016-06-23,17:25:00,9.84,9.9,9.82,9.85,600,0
2016-06-23,17:30:00,9.89,9.89,9.81,9.83,800,0
2016-06-23,17:35:00,9.84,9.84,9.77,9.77,600,0
2016-06-23,17:40:00,9.77,9.88,9.77,9.86,1800,0
