Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,13.46,13.5,13.46,13.5,1473,0
2016-06-22,15:40:00,13.45,13.51,13.45,13.49,3500,0
2016-06-22,15:45:00,13.4927,13.5,13.48,13.48,2548,0
2016-06-22,15:50:00,13.49,13.5,13.48,13.495,1500,0
2016-06-22,15:55:00,13.49,13.49,13.48,13.48,3085,0
2016-06-22,16:00:00,13.47,13.49,13.46,13.46,3700,0
2016-06-22,16:05:00,13.47,13.48,13.47,13.48,6000,0
2016-06-22,16:10:00,13.47,13.485,13.45,13.485,13265,0
2016-06-22,16:15:00,13.48,13.49,13.48,13.49,1500,0
2016-06-22,16:20:00,13.48,13.52,13.48,13.515,5973,0
2016-06-22,16:25:00,13.51,13.52,13.51,13.515,2300,0
2016-06-22,16:30:00,13.52,13.52,13.5,13.505,3900,0
2016-06-22,16:35:00,13.5,13.52,13.49,13.505,8609,0
2016-06-22,16:40:00,13.505,13.505,13.5,13.5,700,0
2016-06-22,16:45:00,13.5,13.505,13.5,13.505,600,0
2016-06-22,16:50:00,13.505,13.55,13.5,13.54,18388,0
2016-06-22,16:55:00,13.54,13.545,13.535,13.545,6311,0
2016-06-22,17:00:00,13.54,13.56,13.54,13.54,5400,0
2016-06-22,17:05:00,13.545,13.55,13.54,13.545,2465,0
2016-06-22,17:10:00,13.54,13.55,13.54,13.545,2400,0
2016-06-22,17:15:00,13.54,13.55,13.54,13.54,2700,0
2016-06-22,17:20:00,13.54,13.548,13.535,13.54,4850,0
2016-06-22,17:25:00,13.535,13.535,13.52,13.535,17231,0
2016-06-22,17:30:00,13.535,13.54,13.53,13.53,4000,0
2016-06-22,17:35:00,13.53,13.53,13.5,13.51,6278,0
2016-06-22,17:40:00,13.505,13.52,13.505,13.52,7463,0
2016-06-22,17:45:00,13.515,13.515,13.51,13.51,3700,0
2016-06-22,17:50:00,13.5,13.525,13.5,13.521,7804,0
2016-06-22,17:55:00,13.52,13.52,13.51,13.51,7331,0
2016-06-22,18:00:00,13.51,13.53,13.51,13.52,6203,0
2016-06-22,18:05:00,13.525,13.525,13.515,13.515,3661,0
2016-06-22,18:10:00,13.51,13.52,13.51,13.515,2565,0
2016-06-22,18:15:00,13.51,13.52,13.51,13.515,2790,0
2016-06-22,18:20:00,13.51,13.52,13.51,13.515,1764,0
2016-06-22,18:25:00,13.51,13.52,13.5,13.5,8600,0
