Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-22,15:35:00,3.45,3.48,3.41,3.475,52947,0
2016-06-22,15:40:00,3.475,3.475,3.41,3.41,22896,0
2016-06-22,15:45:00,3.4001,3.4001,3.38,3.395,35337,0
2016-06-22,15:50:00,3.39,3.4,3.375,3.4,18463,0
2016-06-22,15:55:00,3.4,3.41,3.39,3.405,10212,0
2016-06-22,16:00:00,3.41,3.44,3.39,3.41,23100,0
2016-06-22,16:05:00,3.41,3.41,3.39,3.39,14827,0
2016-06-22,16:10:00,3.38,3.42,3.36,3.42,33522,0
2016-06-22,16:15:00,3.42,3.43,3.4,3.43,12135,0
2016-06-22,16:20:00,3.425,3.43,3.405,3.42,8398,0
2016-06-22,16:25:00,3.415,3.42,3.4,3.41,14000,0
2016-06-22,16:30:00,3.41,3.41,3.4,3.41,7800,0
2016-06-22,16:35:00,3.4,3.4,3.35,3.39,132895,0
2016-06-22,16:40:00,3.39,3.41,3.38,3.38,7122,0
2016-06-22,16:45:00,3.38,3.41,3.38,3.41,4625,0
2016-06-22,16:50:00,3.41,3.43,3.395,3.43,25860,0
2016-06-22,16:55:00,3.426,3.45,3.425,3.445,6280,0
2016-06-22,17:00:00,3.45,3.45,3.44,3.445,12970,0
2016-06-22,17:05:00,3.445,3.45,3.4401,3.445,3695,0
2016-06-22,17:10:00,3.445,3.45,3.43,3.43,11572,0
2016-06-22,17:15:00,3.43,3.45,3.43,3.45,4900,0
2016-06-22,17:20:00,3.44,3.46,3.435,3.46,33838,0
2016-06-22,17:25:00,3.46,3.46,3.44,3.45,11500,0
2016-06-22,17:30:00,3.4501,3.455,3.43,3.43,7692,0
2016-06-22,17:35:00,3.44,3.44,3.4127,3.43,10700,0
2016-06-22,17:40:00,3.425,3.43,3.425,3.4297,5300,0
2016-06-22,17:45:00,3.43,3.43,3.425,3.43,1300,0
2016-06-22,17:50:00,3.43,3.43,3.425,3.43,1300,0
2016-06-22,17:55:00,3.43,3.43,3.425,3.425,2600,0
2016-06-22,18:00:00,3.43,3.43,3.42,3.425,1800,0
2016-06-22,18:05:00,3.43,3.43,3.41,3.41,6850,0
2016-06-22,18:10:00,3.42,3.42,3.4,3.41,3400,0
2016-06-22,18:15:00,3.405,3.41,3.4,3.4,700,0
2016-06-22,18:20:00,3.405,3.41,3.39,3.39,4800,0
2016-06-22,18:25:00,3.39,3.4,3.36,3.37,25966,0
2016-06-22,18:30:00,3.365,3.37,3.315,3.35,164342,0
2016-06-22,18:35:00,3.345,3.36,3.345,3.355,13709,0
2016-06-22,18:40:00,3.3599,3.3599,3.345,3.345,6237,0
2016-06-22,18:45:00,3.345,3.345,3.333,3.335,7715,0
