Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-05-20,15:35:00,5,5,5,5,485,0
2016-05-20,15:40:00,4.9922,5,4.9895,5,2900,0
2016-05-20,15:55:00,4.99,4.99,4.98,4.9808,1200,0
2016-05-20,16:10:00,4.99,4.99,4.99,4.99,200,0
2016-05-20,16:25:00,4.98,4.99,4.98,4.99,200,0
2016-05-20,16:40:00,4.93,4.93,4.93,4.93,100,0
2016-05-20,17:25:00,4.98,4.98,4.98,4.98,300,0
2016-05-20,18:20:00,4.98,5,4.97,4.99,2391,0
2016-05-20,18:35:00,4.99,4.99,4.99,4.99,400,0
2016-05-20,19:30:00,4.99,4.99,4.98,4.98,700,0
2016-05-20,19:35:00,4.99,4.99,4.99,4.99,100,0
2016-05-20,19:40:00,5,5,4.99,5,2000,0
2016-05-20,19:45:00,5,5,4.99,5,14700,0
2016-05-20,19:55:00,5,5,5,5,500,0
2016-05-20,20:00:00,5,5,5,5,100,0
2016-05-20,20:10:00,5,5,4.99,5,900,0
2016-05-20,20:15:00,5,5.06,5,5.04,15726,0
2016-05-20,20:20:00,5.05,5.05,5.05,5.05,100,0
2016-05-20,20:30:00,5.06,5.06,5,5,2366,0
2016-05-20,20:40:00,5.03,5.03,5,5,900,0
2016-05-20,20:45:00,5.01,5.01,5.01,5.01,200,0
2016-05-20,21:00:00,5.01,5.01,5.01,5.01,100,0
2016-05-20,21:10:00,5.03,5.03,5.03,5.03,400,0
2016-05-20,21:15:00,5.0289,5.03,5,5.02,1966,0
2016-05-20,21:20:00,5,5,5,5,100,0
2016-05-20,21:25:00,5.03,5.03,5.03,5.03,300,0
2016-05-20,21:30:00,5,5,5,5,100,0
2016-05-20,21:35:00,5.02,5.02,5,5,1585,0
2016-05-20,21:40:00,5.03,5.03,5.03,5.03,300,0
2016-05-20,21:45:00,5.03,5.03,5.03,5.03,100,0
2016-05-20,21:50:00,5.01,5.01,5.01,5.01,200,0
2016-05-20,21:55:00,5.03,5.03,5.01,5.01,400,0
2016-05-20,22:00:00,5.01,5.03,5,5.03,4001,0
2016-05-23,15:35:00,5.01,5.01,4.95,4.95,2600,0
2016-05-23,15:40:00,4.99,5,4.95,4.95,700,0
2016-05-23,15:45:00,4.99,4.99,4.95,4.95,300,0
2016-05-23,15:50:00,4.99,4.99,4.99,4.99,100,0
2016-05-23,15:55:00,4.99,4.99,4.96,4.98,700,0
2016-05-23,16:00:00,4.99,5,4.99,5,200,0
2016-05-23,16:05:00,5,5,4.96,4.96,1812,0
2016-05-23,16:10:00,4.99,4.99,4.96,4.96,600,0
2016-05-23,16:25:00,4.9955,5,4.9955,5,20700,0
2016-05-23,16:30:00,5,5,5,5,100,0
2016-05-23,16:35:00,5,5,5,5,30199,0
2016-05-23,16:40:00,5,5,4.9955,5,3200,0
2016-05-23,16:50:00,5,5,5,5,400,0
2016-05-23,16:55:00,5,5,5,5,200,0
2016-05-23,17:00:00,5,5,5,5,100,0
2016-05-23,17:05:00,5,5,5,5,500,0
2016-05-23,17:10:00,5,5,5,5,100,0
2016-05-23,17:15:00,5,5,5,5,100,0
2016-05-23,17:20:00,5,5,5,5,100,0
2016-05-23,17:25:00,5,5,5,5,100,0
2016-05-23,17:30:00,5,5,5,5,100,0
2016-05-23,17:35:00,5,5,5,5,100,0
2016-05-23,17:45:00,5,5,5,5,100,0
2016-05-23,17:50:00,5,5,5,5,200,0
2016-05-23,18:00:00,5,5,5,5,100,0
2016-05-23,18:10:00,5,5,5,5,300,0
