Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-06-20,15:35:00,94.57,94.65,94,94.6,5684,0
2016-06-20,15:40:00,94.52,94.89,94.52,94.89,200,0
2016-06-20,15:50:00,94.35,94.55,94.26,94.31,2000,0
2016-06-20,15:55:00,94.32,94.32,93.83,93.83,1200,0
2016-06-20,16:00:00,94.215,94.24,94.02,94.02,400,0
2016-06-20,16:05:00,93.86,94.45,93.86,94.22,2543,0
2016-06-20,16:10:00,94.146,94.146,94.13,94.13,200,0
2016-06-20,16:15:00,94.1794,94.23,94.1794,94.23,350,0
2016-06-20,16:20:00,94.19,94.24,94.165,94.22,700,0
2016-06-20,16:25:00,94.235,94.36,94.235,94.34,9455,0
2016-06-20,16:30:00,94.42,94.42,94.38,94.38,400,0
2016-06-20,16:40:00,94.46,94.46,94.365,94.365,200,0
2016-06-20,16:45:00,94.485,94.63,94.41,94.42,3900,0
2016-06-20,16:50:00,94.335,94.413,94.32,94.32,1600,0
2016-06-20,16:55:00,94.475,94.475,94.35,94.35,500,0
2016-06-20,17:00:00,94.375,94.49,94.375,94.47,600,0
2016-06-20,17:05:00,94.42,94.48,94.36,94.42,1200,0
2016-06-20,17:10:00,94.4101,94.49,94.41,94.42,2583,0
2016-06-20,17:15:00,94.39,94.39,94.32,94.32,300,0
2016-06-20,17:20:00,94.34,94.34,94.2,94.2,300,0
2016-06-20,17:25:00,94.44,94.45,94.35,94.35,300,0
2016-06-20,17:30:00,94.23,94.23,94.23,94.23,100,0
2016-06-20,17:40:00,94.43,94.66,94.43,94.51,4643,0
2016-06-20,17:45:00,94.63,94.63,94.47,94.47,1600,0
2016-06-20,17:50:00,94.4,94.41,94.26,94.26,600,0
2016-06-20,17:55:00,94.26,94.3,94.26,94.3,400,0
2016-06-20,18:00:00,94.2,94.47,94.2,94.43,2480,0
2016-06-20,18:05:00,94.41,94.46,94.37,94.37,1200,0
2016-06-20,18:15:00,94.37,94.37,94.35,94.35,300,0
2016-06-20,18:20:00,94.38,94.38,94.38,94.38,300,0
2016-06-20,18:30:00,94.255,94.255,94.13,94.13,200,0
2016-06-20,18:35:00,94.29,94.4,94.29,94.4,1267,0
2016-06-20,18:40:00,94.41,94.41,94.41,94.41,100,0
2016-06-20,18:45:00,94.41,94.42,94.31,94.41,700,0
2016-06-20,18:50:00,94.41,94.41,94.41,94.41,100,0
2016-06-20,19:00:00,94.32,94.35,94.25,94.34,1000,0
2016-06-20,19:05:00,94.27,94.27,94.27,94.27,100,0
2016-06-20,19:15:00,94.28,94.29,94.07,94.29,1612,0
2016-06-20,19:20:00,94.29,94.29,94.2,94.2,600,0
2016-06-20,19:25:00,94.2,94.34,94.175,94.26,800,0
2016-06-20,19:30:00,94.27,94.27,94.21,94.21,500,0
2016-06-20,19:35:00,94.28,94.29,94.0901,94.0901,436,0
2016-06-20,19:40:00,94.1656,94.195,94.145,94.195,501,0
2016-06-20,19:45:00,94.1,94.1,94.1,94.1,100,0
2016-06-20,19:55:00,94.19,94.19,94.19,94.19,100,0
2016-06-20,20:00:00,94.17,94.2,94.17,94.2,200,0
2016-06-20,20:05:00,94.195,94.2,94.15,94.15,478,0
2016-06-20,20:10:00,94.16,94.16,94.16,94.16,100,0
2016-06-20,20:20:00,94.13,94.23,94.13,94.185,2178,0
2016-06-20,20:25:00,94.14,94.27,94.14,94.21,1565,0
2016-06-20,20:30:00,94.2,94.2,93.96,94.12,2516,0
2016-06-20,20:35:00,93.97,94.2,93.97,94.2,900,0
2016-06-20,20:40:00,94.16,94.16,94.03,94.03,669,0
2016-06-20,20:45:00,94.122,94.122,94.03,94.03,415,0
2016-06-20,20:50:00,94.14,94.14,94.12,94.14,656,0
2016-06-20,20:55:00,94.19,94.2,94.12,94.12,800,0
2016-06-20,21:00:00,94.1,94.15,94.05,94.07,2200,0
2016-06-20,21:05:00,94.08,94.1,94.08,94.1,800,0
2016-06-20,21:10:00,94.13,94.13,94.1,94.1,300,0
2016-06-20,21:15:00,94.08,94.08,94.06,94.06,300,0
2016-06-20,21:20:00,94.01,94.025,93.96,94.025,700,0
2016-06-20,21:25:00,93.97,94.07,93.97,93.98,823,0
2016-06-20,21:30:00,94.06,94.06,93.84,93.89,4000,0
2016-06-20,21:35:00,93.89,94.02,93.85,93.96,4400,0
2016-06-20,21:40:00,93.97,94.06,93.91,94.06,2800,0
2016-06-20,21:45:00,93.98,94.14,93.94,94.115,3500,0
2016-06-20,21:50:00,94.115,94.115,93.82,93.82,4104,0
2016-06-20,21:55:00,93.84,93.905,93.79,93.82,4439,0
2016-06-20,22:00:00,93.85,93.89,93.71,93.74,12720,0
2016-06-21,15:35:00,93.9,93.9,93.9,93.9,680,0
2016-06-21,15:40:00,93.55,93.55,93.52,93.52,200,0
2016-06-21,15:50:00,93.5,93.63,93.32,93.6,2050,0
2016-06-21,16:00:00,93.49,93.67,93.49,93.67,1200,0
2016-06-21,16:10:00,93.62,93.67,93.47,93.6,8994,0
2016-06-21,16:15:00,93.58,93.69,93.57,93.67,3847,0
2016-06-21,16:25:00,93.53,93.54,93.18,93.26,1100,0
2016-06-21,16:30:00,93.32,93.425,93.14,93.425,1200,0
2016-06-21,16:35:00,93.28,93.28,93.1,93.22,1100,0
2016-06-21,16:40:00,93.12,93.5,93.12,93.5,3300,0
2016-06-21,16:45:00,93.5,93.68,93.385,93.49,5000,0
2016-06-21,16:50:00,93.51,93.6,93.43,93.54,4700,0
2016-06-21,16:55:00,93.55,93.57,93.5,93.5,1404,0
2016-06-21,17:00:00,93.54,93.54,93.33,93.33,3700,0
2016-06-21,17:05:00,93.4,93.5,93.34,93.48,4358,0
2016-06-21,17:10:00,93.48,93.5,93.34,93.34,14235,0
2016-06-21,17:15:00,93.32,93.34,93.22,93.28,6800,0
2016-06-21,17:20:00,93.38,93.46,93.3406,93.39,3259,0
2016-06-21,17:25:00,93.35,93.3525,93.31,93.31,500,0
2016-06-21,17:30:00,93.41,93.64,93.39,93.63,3000,0
2016-06-21,17:35:00,93.6,93.6,93.2,93.2,2114,0
2016-06-21,17:40:00,93.2921,93.33,93.2921,93.33,250,0
2016-06-21,17:50:00,93.38,93.38,93.33,93.33,300,0
2016-06-21,18:05:00,93.535,93.535,93.535,93.535,107,0
2016-06-21,18:10:00,93.45,93.52,93.32,93.52,500,0
2016-06-21,18:20:00,93.62,93.65,93.62,93.65,400,0
2016-06-21,18:25:00,93.59,93.665,93.59,93.59,700,0
2016-06-21,18:30:00,93.6,93.66,93.54,93.54,1979,0
2016-06-21,18:50:00,93.46,93.46,93.46,93.46,100,0
2016-06-21,19:00:00,93.49,93.58,93.39,93.39,1900,0
2016-06-21,19:05:00,93.445,93.45,93.441,93.45,300,0
2016-06-21,19:15:00,93.51,93.66,93.51,93.57,3700,0
2016-06-21,19:20:00,93.59,93.7,93.47,93.6875,2600,0
2016-06-21,19:25:00,93.55,93.55,93.44,93.46,900,0
2016-06-21,19:30:00,93.51,93.51,93.4,93.4,200,0
2016-06-21,19:35:00,93.53,93.53,93.3,93.3,1325,0
2016-06-21,19:40:00,93.24,93.24,93.16,93.17,400,0
2016-06-21,19:55:00,93.12,93.12,93.06,93.06,200,0
2016-06-21,20:00:00,93.07,93.41,93.07,93.38,3300,0
2016-06-21,20:05:00,93.31,93.32,93.245,93.245,1399,0
2016-06-21,20:10:00,93.31,93.44,93.29,93.34,1410,0
2016-06-21,20:15:00,93.42,93.5,93.37,93.37,8132,0
2016-06-21,20:20:00,93.3963,93.41,93.37,93.41,401,0
2016-06-21,20:30:00,93.4925,93.4925,93.38,93.455,500,0
2016-06-21,20:35:00,93.455,93.52,93.455,93.47,1400,0
2016-06-21,20:40:00,93.47,93.625,93.47,93.605,1500,0
2016-06-21,20:45:00,93.6,93.6,93.45,93.45,600,0
2016-06-21,20:50:00,93.6084,93.66,93.47,93.62,1220,0
2016-06-21,20:55:00,93.67,93.7,93.58,93.58,1395,0
2016-06-21,21:00:00,93.58,93.58,93.5,93.55,2900,0
2016-06-21,21:05:00,93.51,93.51,93.38,93.38,300,0
2016-06-21,21:10:00,93.324,93.44,93.32,93.38,1000,0
2016-06-21,21:15:00,93.39,93.5,93.39,93.5,300,0
2016-06-21,21:20:00,93.51,93.65,93.51,93.65,700,0
